"subject_id","fcOrder","item","group","wave","1","2","3","4","5","form","resolution_31May2024","bin_number","unit","obscore","obscore_standardized","obscore_standardized_to_reg"
"vt916IZuBW8BbCO8LZhg","fcED","G1920","reg",1,0.56,0.24,0.2,0,0,"D",550347492,1,"USD",0.1168,-0.712965342770681,NA
"076BrNISK0IP8PsESVQX","fcED","G1920","reg",1,0.2,0.5,0.3,0,0,"D",550347492,1,"USD",0.365,0.0465221201405811,NA
"H1ZWXyVtnQuMt6kjEf1X","fcBA","G1948","reg",1,0.12,0.37,0.31,0.15,0.05,"A",2126085,1,"count",0.5385,-0.586806802769536,NA
"ZyEbe7eQxt4YlalJLb89","fcBA","G1948","reg",1,0.12,0.6,0.2,0.06,0.02,"A",2126085,1,"count",0.4298,-0.898044243845583,NA
"08YMNb5ZqlRtva1JyiNb","fcCB","G1189","reg",1,0.02,0.15,0.6,0.13,0.1,"B",15238.3,3,"Index",0.0461,-1.2973930119796,NA
"Q5v7vEQrx6bW7SNYTjUD","fcAE","C1084","reg",1,0.11,0.1,0.26,0.15,0.38,"E",7,1,"count",0.92075,0.44449281372399,NA
"eelRfx1LY8wXJoRoNwGT","fcBA","G1948","reg",1,0.05,0.1,0.33,0.43,0.09,"A",2126085,1,"count",0.95175,0.596439494605593,NA
"QsUNTZUvAPQxD34B6YFw","fcED","G1920","reg",1,0.5,0.14,0.16,0.15,0.05,"D",550347492,1,"USD",0.21105,-0.424562065657923,NA
"i19KaWNFkrgchXO6nMfE","fcBA","G1948","reg",1,0.09,0.3,0.52,0.06,0.03,"A",2126085,1,"count",0.6046,-0.397544660588057,NA
"EjsoVpqhWOiTqfeSVzaZ","fcCB","G1189","reg",1,0.2,0.21,0.21,0.2,0.18,"B",15238.3,3,"Index",0.19245,-0.0238629004459953,NA
"z6Lh4IOHDaSwgJPnXM9y","fcAE","C1084","reg",1,0.05,0.08,0.5,0.32,0.05,"E",7,1,"count",0.8994,0.39795652853055,NA
"0gDNwt5z4VUntFijldez","fcAE","C1084","reg",1,0,0.4,0.5,0.05,0.05,"E",7,1,"count",0.68625,-0.0666434334826448,NA
"D8fTXJ4pmCgPKwoIaToD","fcDC","M7949","reg",1,0,0,0,0,1,"C",12.116,4,"million km2",0.5,0.964906688300685,NA
"D3ShceKj3iyKrXmCrB7j","fcBA","G1948","reg",1,0.95,0.05,0,0,0,"A",2126085,1,"count",0.00125,-2.12509857110538,NA
"3hT6jBPVahtgMDOshUCe","fcED","G1920","reg",1,0.3,0.3,0.15,0.15,0.1,"D",550347492,1,"USD",0.36125,0.0350471886904711,NA
"QcrmHac8XMeZcwhfqCZW","fcBA","G1948","reg",1,0.12,0.3,0.3,0.18,0.1,"A",2126085,1,"count",0.5996,-0.41186101022357,NA
"zoxX2w6t4KHJ9jlRK4GI","fcBA","G1948","reg",1,0.16,0.29,0.36,0.14,0.05,"A",2126085,1,"count",0.52335,-0.63018534216514,NA
"4ErLxgNrw5giUuWzjjsm","fcCB","G1189","reg",1,0,0,0.05,0.8,0.15,"B",15238.3,3,"Index",0.4625,2.32609819705759,NA
"zPdJNnMEELaOlKvgj0xS","fcED","G1920","reg",1,0.18,0.24,0.33,0.2,0.05,"D",550347492,1,"USD",0.5369,0.57253297781361,NA
"8JPlYoclZmsdBMbSSwUV","fcBA","G1948","reg",1,0.05,0.2,0.5,0.2,0.05,"A",2126085,1,"count",0.765,0.0617238357191919,NA
"sCZWBUoMXgVeR1I2vHPG","fcCB","G1189","reg",1,0,0,0,1,0,"B",15238.3,3,"Index",0.5,2.6524212526265,NA
"Ckaj2seomfpQ0xDvDQR4","fcDC","M7949","reg",1,0.1,0.15,0.3,0.3,0.15,"C",12.116,4,"million km2",0.19875,-0.382424837034788,NA
"3VuBzxhMEP0vh3PsqIAC","fcBA","G1948","reg",1,0.1,0.15,0.2,0.25,0.3,"A",2126085,1,"count",0.8825,0.398158052153742,NA
"daODboVggv3HjxF3IKYk","fcBA","G1948","reg",1,0,0.05,0.15,0.7,0.1,"A",2126085,1,"count",1.27625,1.52557058595037,NA
"9t9PlX7wfLMMjeei9kUa","fcAE","C1084","reg",1,0,0.2,0.35,0.45,0,"E",7,1,"count",0.92125,0.445582656468567,NA
"pabaPqShLcfFodkNxSi9","fcAE","C1084","reg",1,0.1,0.2,0.4,0.15,0.15,"E",7,1,"count",0.70625,-0.0230497236995631,NA
"d89URw7prNWQ2tYiyNE6","fcBA","G1948","reg",1,0.06,0.11,0.16,0.19,0.48,"A",2126085,1,"count",1.1259,1.0950779524105,NA
"dSPhj4a8OeOcH3nwDPnU","fcBA","G1948","reg",1,0.05,0.1,0.15,0.3,0.4,"A",2126085,1,"count",1.1375,1.12829188356489,NA
"n76EcPNePczVQ85qQtbB","fcED","G1920","reg",1,0.15,0.1,0.35,0.2,0.2,"D",550347492,1,"USD",0.7425,1.20166521945162,NA
"fRN2BqpepgaxT82ExHgD","fcED","G1920","reg",1,0.35,0.26,0.17,0.13,0.09,"D",550347492,1,"USD",0.31555,-0.104793975914866,NA
"3lUidRlitol2ksRqEJvN","fcCB","G1189","reg",1,0,0,0.2,0.75,0.05,"B",15238.3,3,"Index",0.32125,1.09694802108136,NA
"G6LvMujrQyj0EAuVo6Uq","fcCB","G1189","reg",1,0.1,0.1,0.2,0.4,0.2,"B",15238.3,3,"Index",0.225,0.259385511787819,NA
"3bYsrERg1i8BZqzOlnZT","fcBA","G1948","reg",1,0,0.26,0.3,0.24,0.2,"A",2126085,1,"count",0.8906,0.421350538563272,NA
"e8cXE9s9upZtFqszDShQ","fcBA","G1948","reg",1,0.05,0.05,0.3,0.5,0.1,"A",2126085,1,"count",1.04125,0.852702153081272,NA
"uRnLhR9EHf3hyvc8IAhA","fcDC","M7949","reg",1,0.1,0.15,0.3,0.4,0.05,"C",12.116,4,"million km2",0.18875,-0.427149534971235,NA
"fkFoEo1gGQv4gTV9uSmY","fcCB","G1189","reg",1,0.09,0.4,0.3,0.16,0.05,"B",15238.3,3,"Index",0.1474,-0.415885664536114,NA
"OQBbRgSRcYyepR1DfiXP","fcBA","G1948","reg",1,0.07,0.16,0.25,0.16,0.36,"A",2126085,1,"count",0.9289,0.5310137767713,NA
"fkOJ1NbnRk71F9aGqXWl","fcCB","G1189","reg",1,0.09,0.19,0.43,0.19,0.1,"B",15238.3,3,"Index",0.0903,-0.912766903815708,NA
"uFa2AxLMcTcWQza7yFWZ","fcCB","G1189","reg",1,0.05,0.64,0.2,0.1,0.01,"B",15238.3,3,"Index",0.2454,0.436905254017307,NA
"5eqqhP6CMMz3wtzLhe9H","fcAE","C1084","reg",1,0.02,0.06,0.4,0.5,0.02,"E",7,1,"count",1.0388,0.701804685718631,NA
"3lGsczpaOxmDeZmuT7yz","fcBA","G1948","reg",1,0,0.1,0.1,0.3,0.5,"A",2126085,1,"count",1.35,1.73673674307418,NA
"EjoIAEzk6UUhC7y9F0Ry","fcED","G1920","reg",1,0.38,0.35,0.21,0.05,0.01,"D",550347492,1,"USD",0.2305,-0.365045421203354,NA
"iQPGv0PQCZ0WfPCRF2gI","fcCB","G1189","reg",1,0.1,0.2,0.3,0.3,0.1,"B",15238.3,3,"Index",0.135,-0.523789821577566,NA
"s9sWUlKi61LvdtfMTgzg","fcED","G1920","reg",1,0.65,0.2,0.1,0.04,0.01,"D",550347492,1,"USD",0.0738,-0.844544556731939,NA
"8AcDHk4eXDDaZAtdlBsu","fcAE","C1084","reg",1,0.08,0.43,0.38,0.08,0.03,"E",7,1,"count",0.54975,-0.364170502752179,NA
"QbBol6zjGvxaMPTAhCtK","fcAE","C1084","reg",1,0.05,0.05,0.1,0.3,0.5,"E",7,1,"count",1.30125,1.27386314234712,NA
"887VJxVdyCaKr418yL1i","fcDC","M7949","reg",1,0,0,0.03,0.24,0.73,"C",12.116,4,"million km2",0.2669,-0.0776260205979004,NA
"Gm5YDXVt591FIqCgxMtr","fcDC","M7949","reg",1,0.07,0.2,0.26,0.38,0.09,"C",12.116,4,"million km2",0.1834,-0.451077248367235,NA
"tnvKkJpoe2VvoCKQ2eec","fcAE","C1084","reg",1,0.3,0.35,0.2,0.1,0.05,"E",7,1,"count",0.31875,-0.867677850746774,NA
"aagK9U6xv7nU60Gpn14D","fcCB","G1189","reg",1,0,0,0.1,0.7,0.2,"B",15238.3,3,"Index",0.425,1.99977514148868,NA
"m2g6jSBVMT8QMYfBVVps","fcAE","C1084","reg",1,0.1,0.4,0.37,0.1,0.03,"E",7,1,"count",0.5389,-0.3878200903095,NA
"qSedMPNgMWvKnBuXotqt","fcAE","C1084","reg",1,0.1,0.3,0.4,0.18,0.02,"E",7,1,"count",0.6052,-0.243306942378584,NA
"GWvg7NVGakvtiXu8z98w","fcBA","G1948","reg",1,0.07,0.24,0.29,0.21,0.19,"A",2126085,1,"count",0.76855,0.0718884439604058,NA
"nIVIY5hc7DmG8frmbML7","fcCB","G1189","reg",1,0.04,0.08,0.25,0.5,0.13,"B",15238.3,3,"Index",0.2149,0.171495835487926,NA
"oaj9WvyKGTefrZ4v7rLm","fcDC","M7949","reg",1,0.04,0.14,0.23,0.32,0.27,"C",12.116,4,"million km2",0.1375,-0.656363611895527,NA
"ycyAacT3fNqaHh1KK9dT","fcAE","C1084","reg",1,0.05,0.1,0.6,0.2,0.05,"E",7,1,"count",0.845,0.279381637920567,NA
"vRyji87MB90B1qMDZPJN","fcBA","G1948","reg",1,0.16,0.21,0.26,0.27,0.1,"A",2126085,1,"count",0.6247,-0.339992935053296,NA
"Mlh747YAui02cXxoOo7i","fcDC","M7949","reg",1,0.07,0.14,0.18,0.23,0.38,"C",12.116,4,"million km2",0.17275,-0.498709051669551,NA
"wj0wxrv82fTB9XrX8A3i","fcDC","M7949","reg",1,0.04,0.16,0.12,0.37,0.31,"C",12.116,4,"million km2",0.12005,-0.734408209794628,NA
