"subject_id","wave","fcOrder","group","item","forecast","bscore","bscore_standardized","bscore_standardized_to_reg"
"9pA1UhzRyENKrwU6UsUQ",2,"fcCB","reg","G1920",10,1.62,1.599749670337,NA
"9pA1UhzRyENKrwU6UsUQ",2,"fcCB","reg","G2006",0,2,2.57857327341983,NA
"Ewp3WFDEQVhQx6UMUAiN",2,"fcAE","reg","C1039",6,1.7672,1.02366068620792,NA
"Ewp3WFDEQVhQx6UMUAiN",2,"fcAE","reg","G2063",27,1.0658,3.91221191438486,NA
"p7jxXch3zyEvD9B92JRQ",2,"fcBA","reg","C47",85,1.445,1.80582331034589,NA
"p7jxXch3zyEvD9B92JRQ",2,"fcBA","reg","M7949",66,0.8712,-0.094300980506386,NA
"R1sGzUZNWuEyAXcRhhWb",2,"fcAE","reg","C1039",5,1.805,1.0777261354629,NA
"R1sGzUZNWuEyAXcRhhWb",2,"fcAE","reg","G2063",91,0.0162,-0.535987234806402,NA
"eY5DtwY3LVvSbYn1iohi",2,"fcDC","reg","G2404",71,0.1682,-0.347361576447583,NA
"GOQMVlwANYX2lSvvAvS4",2,"fcDC","reg","G2404",72,0.1568,-0.377252060404375,NA
"UixxkbQY5Kl386J292ei",2,"fcAE","reg","C1039",2,1.9208,1.2433552101647,NA
"UixxkbQY5Kl386J292ei",2,"fcAE","reg","G2063",99,2e-04,-0.603795148666025,NA
"Ps3jaWnRHhoNNeL3PDa4",2,"fcBA","reg","C47",27,0.1458,-0.683458288242266,NA
"Ps3jaWnRHhoNNeL3PDa4",2,"fcBA","reg","M7949",49,0.4802,-0.751540713781795,NA
"Llp7QT0WZn6H3JgzqQ4l",2,"fcCB","reg","G1920",95,0.00500000000000001,-1.27305508816209,NA
"Llp7QT0WZn6H3JgzqQ4l",2,"fcCB","reg","G2006",92,0.0128,-1.39531722842336,NA
"etnyKJ3NA8vLJWQgHIDJ",2,"fcCB","reg","G1920",72,0.1568,-1.00302922912794,NA
"etnyKJ3NA8vLJWQgHIDJ",2,"fcCB","reg","G2006",100,0,-1.42091394663169,NA
"4ErLxgNrw5giUuWzjjsm",2,"fcCB","reg","G1920",60,0.32,-0.712724748269082,NA
"4ErLxgNrw5giUuWzjjsm",2,"fcCB","reg","G2006",84,0.0512,-1.31852707379837,NA
"iWkqE8VcvCk5Sr80QPjo",2,"fcED","reg","G1472",25,0.125,-0.532524953249299,NA
"iWkqE8VcvCk5Sr80QPjo",2,"fcED","reg","G1948",7,1.7298,1.41815557929642,NA
"zPdJNnMEELaOlKvgj0xS",2,"fcED","reg","G1472",23,0.1058,-0.573451478492025,NA
"zPdJNnMEELaOlKvgj0xS",2,"fcED","reg","G1948",70,0.18,-0.848688835583411,NA
"A7wLmahMacmd6RniSE0h",2,"fcAE","reg","C1039",98,0.000800000000000001,-1.50282633929509,NA
"A7wLmahMacmd6RniSE0h",2,"fcAE","reg","G2063",85,0.045,-0.413932989859081,NA
"vSgAkbmZBhLr5kGKihkG",2,"fcBA","reg","C47",91,1.6562,2.21048485100308,NA
"vSgAkbmZBhLr5kGKihkG",2,"fcBA","reg","M7949",63,0.7938,-0.224404191134306,NA
"pt2W0izi84dQu7fJwQWy",2,"fcED","reg","G1472",40,0.32,-0.116864931252868,NA
"pt2W0izi84dQu7fJwQWy",2,"fcED","reg","G1948",75,0.125,-0.92913563053656,NA
"LVOkVEUVB5INM1MjeBsr",2,"fcAE","reg","C1039",5,1.805,1.0777261354629,NA
"LVOkVEUVB5INM1MjeBsr",2,"fcAE","reg","G2063",75,0.125,-0.0748934205609667,NA
"SBm8jd39CUAJxlDEl20U",2,"fcAE","reg","C1039",5,1.805,1.0777261354629,NA
"SBm8jd39CUAJxlDEl20U",2,"fcAE","reg","G2063",85,0.045,-0.413932989859081,NA
"CVmfiQuobm1ux4zBp3l4",2,"fcCB","reg","G1920",83,0.0578,-1.17913305023717,NA
"CVmfiQuobm1ux4zBp3l4",2,"fcCB","reg","G2006",47,0.5618,-0.29745798651922,NA
"TKO2Alhu9oJQR8IzF5eI",2,"fcDC","reg","G2404",75,0.125,-0.460630778810164,NA
"17LEM8wPQyshaga81mOO",2,"fcCB","reg","G1920",6,1.7672,1.86159292758224,NA
"17LEM8wPQyshaga81mOO",2,"fcCB","reg","G2006",39,0.7442,0.0672952479494792,NA
"DRqr8hSzaMnwXidtehGV",2,"fcBA","reg","C47",25,0.125,-0.723311318761534,NA
"DRqr8hSzaMnwXidtehGV",2,"fcBA","reg","M7949",94,1.7672,1.41180336991501,NA
"IIeCbY9dM0C04giDl66U",2,"fcAE","reg","C1039",59,0.3362,-1.02310274987383,NA
"IIeCbY9dM0C04giDl66U",2,"fcAE","reg","G2063",60,0.32,0.751515529603187,NA
"QcrmHac8XMeZcwhfqCZW",2,"fcBA","reg","C47",45,0.405,-0.186828215617534,NA
"QcrmHac8XMeZcwhfqCZW",2,"fcBA","reg","M7949",50,0.5,-0.718258497109536,NA
"6k3jgmlRSTqrodJ0jwAs",2,"fcED","reg","G1472",69,0.9522,1.23072617595813,NA
"6k3jgmlRSTqrodJ0jwAs",2,"fcED","reg","G1948",88,0.0288,-1.06984438825461,NA
"az533Se9msJWRtlthzno",2,"fcAE","reg","C1039",40,0.72,-0.474152500559943,NA
"az533Se9msJWRtlthzno",2,"fcAE","reg","G2063",58,0.3528,0.890521753015414,NA
"1bohrO3vq1ZQNnSrphM4",2,"fcDC","reg","G2404",70,0.18,-0.316422303580026,NA
"yzpvkuUEteiwEY5CHRrG",2,"fcBA","reg","C47",18,0.0648,-0.838655185937494,NA
"yzpvkuUEteiwEY5CHRrG",2,"fcBA","reg","M7949",86,1.4792,0.927698400136705,NA
"qXLy4pIlDDDoNenqCw3e",2,"fcED","reg","G1472",40,0.32,-0.116864931252868,NA
"qXLy4pIlDDDoNenqCw3e",2,"fcED","reg","G1948",95,0.00500000000000001,-1.10465591043434,NA
"2sNFytLCdDNZk8UnzLGD",2,"fcCB","reg","G1920",74,0.1352,-1.04145188100632,NA
"2sNFytLCdDNZk8UnzLGD",2,"fcCB","reg","G2006",43,0.6498,-0.121480548836952,NA
"sp1prp6yBqCbHrTIgTfz",2,"fcBA","reg","C47",70,0.98,0.914878156910322,NA
"sp1prp6yBqCbHrTIgTfz",2,"fcBA","reg","M7949",83,1.3778,0.757253108693926,NA
"Owa2LoPD0gHy7KjtL0db",2,"fcBA","reg","C47",10,0.02,-0.924492482440534,NA
"Owa2LoPD0gHy7KjtL0db",2,"fcBA","reg","M7949",50,0.5,-0.718258497109536,NA
"VpHBzD0cNZ0G63Z3WZbn",2,"fcDC","reg","G2404",96,0.00320000000000001,-0.779987002137996,NA
"kWCRNYdWCscmc5F9HpUl",2,"fcDC","reg","G2404",100,0,-0.788377313424113,NA
"rVcV4RQCRFG8K2N3i8g5",2,"fcCB","reg","G1920",31,0.9522,0.411849349763813,NA
"rVcV4RQCRFG8K2N3i8g5",2,"fcCB","reg","G2006",50,0.5,-0.421042141618812,NA
"EECGDwmWAmWfpKKnYI7O",2,"fcED","reg","G1472",3,0.0018,-0.795136823556788,NA
"EECGDwmWAmWfpKKnYI7O",2,"fcED","reg","G1948",98,0.000800000000000001,-1.11079912023076,NA
"EYYpsISJ9Gn6xVcClZge",2,"fcDC","reg","G2404",56,0.3872,0.226850352196055,NA
"Xv00kKXR4bR6IIl92EtE",2,"fcDC","reg","G2404",70,0.18,-0.316422303580026,NA
"7vYEstY8KitU7rruFhbI",2,"fcAE","reg","C1039",1,1.9602,1.29970914404424,NA
"7vYEstY8KitU7rruFhbI",2,"fcAE","reg","G2063",100,0,-0.60464274758927,NA
"RFOrWXAQX1PO0HFZwlLL",2,"fcDC","reg","G2404",92,0.0128,-0.754816068279644,NA
"GexzYjhJP1cjPlyIYmBj",2,"fcBA","reg","C47",30,0.18,-0.617930709215391,NA
"GexzYjhJP1cjPlyIYmBj",2,"fcBA","reg","M7949",85,1.445,0.870210934975531,NA
"3Wk3c1HGlTGUJ1UbAUNw",2,"fcBA","reg","C47",35,0.245,-0.493389988842677,NA
"3Wk3c1HGlTGUJ1UbAUNw",2,"fcBA","reg","M7949",25,0.125,-1.34860350984171,NA
"rC8vlv2BY9Kml9ASUSKt",2,"fcBA","reg","C47",30,0.18,-0.617930709215391,NA
"rC8vlv2BY9Kml9ASUSKt",2,"fcBA","reg","M7949",10,0.02,-1.52510011340671,NA
"5Jqzges6X72YJR7IVU7C",2,"fcCB","reg","G1920",10,1.62,1.599749670337,NA
"5Jqzges6X72YJR7IVU7C",2,"fcCB","reg","G2006",20,1.28,1.13875787420128,NA
"Sah225y6DfpWaipZUpoA",2,"fcAE","reg","C1039",5,1.805,1.0777261354629,NA
"Sah225y6DfpWaipZUpoA",2,"fcAE","reg","G2063",90,0.02,-0.519882855264742,NA
"D0FyE8Mv8tbcZvUb3vgv",2,"fcBA","reg","C47",33,0.2178,-0.545505490290951,NA
"D0FyE8Mv8tbcZvUb3vgv",2,"fcBA","reg","M7949",10,0.02,-1.52510011340671,NA
"dh2PexZUtPejLAUOwsKc",2,"fcDC","reg","G2404",29,1.0082,1.85509513615815,NA
"3lUidRlitol2ksRqEJvN",2,"fcCB","reg","G1920",81,0.0722,-1.15351794898492,NA
"3lUidRlitol2ksRqEJvN",2,"fcCB","reg","G2006",50,0.5,-0.421042141618812,NA
"kEsM4qtWu3c24cxLGja3",2,"fcCB","reg","G1920",80,0.08,-1.13964310247328,NA
"kEsM4qtWu3c24cxLGja3",2,"fcCB","reg","G2006",100,0,-1.42091394663169,NA
"syaOSO9GuFLWojMPYoT5",2,"fcCB","reg","G1920",71,0.1682,-0.982750607303238,NA
"syaOSO9GuFLWojMPYoT5",2,"fcCB","reg","G2006",76,0.1152,-1.19054348275673,NA
"VS5l6y8k6nRvLQg16gSw",2,"fcBA","reg","C47",91,1.6562,2.21048485100308,NA
"VS5l6y8k6nRvLQg16gSw",2,"fcBA","reg","M7949",10,0.02,-1.52510011340671,NA
"OmDvk4v7NxuhAnLBrkbW",2,"fcCB","reg","G1920",80,0.08,-1.13964310247328,NA
"OmDvk4v7NxuhAnLBrkbW",2,"fcCB","reg","G2006",40,0.72,0.0189014525868558,NA
"m7jRKz68K57DR1eMddXA",2,"fcED","reg","G1472",30,0.18,-0.415287511147742,NA
"m7jRKz68K57DR1eMddXA",2,"fcED","reg","G1948",86,0.0392,-1.05463263066347,NA
"lWmRKxaFqAUiFJGMoQ5r",2,"fcBA","reg","C47",45,0.405,-0.186828215617534,NA
"lWmRKxaFqAUiFJGMoQ5r",2,"fcBA","reg","M7949",55,0.605,-0.541761893544529,NA
"u2ImtLqPCHaQdlpUDDTH",2,"fcAE","reg","C1039",100,0,-1.50397058160736,NA
"u2ImtLqPCHaQdlpUDDTH",2,"fcAE","reg","G2063",100,0,-0.60464274758927,NA
"hOdVHTzPBsd26UMRFL3Q",2,"fcED","reg","G1472",37,0.2738,-0.215344382618176,NA
"hOdVHTzPBsd26UMRFL3Q",2,"fcED","reg","G1948",74,0.1352,-0.914216406745249,NA
"E3hK4Etw5ylsn1SsXH8S",2,"fcCB","reg","G1920",44,0.6272,-0.166269254887706,NA
"E3hK4Etw5ylsn1SsXH8S",2,"fcCB","reg","G2006",68,0.2048,-1.01136645529842,NA
"cF4Hy6MQbBHjtLu8xQRm",2,"fcAE","reg","C1039",44,0.6272,-0.606884608783832,NA
"cF4Hy6MQbBHjtLu8xQRm",2,"fcAE","reg","G2063",90,0.02,-0.519882855264742,NA
"54TEF4eZN23KZglG8kHT",2,"fcCB","reg","G1920",89,0.0242,-1.23890161982576,NA
"54TEF4eZN23KZglG8kHT",2,"fcCB","reg","G2006",44,0.6272,-0.166674754423535,NA
"nDejJ2gTwPGj389BaBsD",2,"fcCB","reg","G1920",50,0.5,-0.392535982615932,NA
"nDejJ2gTwPGj389BaBsD",2,"fcCB","reg","G2006",70,0.18,-1.06096009682706,NA
"iMajxXV06Xq7yz9G7h9l",2,"fcED","reg","G1472",39,0.3042,-0.150544050983861,NA
"iMajxXV06Xq7yz9G7h9l",2,"fcED","reg","G1948",10,1.62,1.25755452318996,NA
"oF9hBAnlrGYSa56Xj8G1",2,"fcAE","reg","C1039",90,0.02,-1.47536452380049,NA
"oF9hBAnlrGYSa56Xj8G1",2,"fcAE","reg","G2063",88,0.0288,-0.482588502641949,NA
"P11pwBllfUHMrfMVJO4y",2,"fcBA","reg","C47",20,0.08,-0.809531817481106,NA
"P11pwBllfUHMrfMVJO4y",2,"fcBA","reg","M7949",42,0.3528,-0.965689926107338,NA
"gLW9BncdnIaH02q49IcY",2,"fcCB","reg","G1920",44,0.6272,-0.166269254887706,NA
"gLW9BncdnIaH02q49IcY",2,"fcCB","reg","G2006",27,1.0658,0.710412792933764,NA
"UQJfChjDGbHBK9ydZuBL",2,"fcBA","reg","C47",20,0.08,-0.809531817481106,NA
"UQJfChjDGbHBK9ydZuBL",2,"fcBA","reg","M7949",30,0.18,-1.25615290797432,NA
