item,resolution
C1084,12
G1189,14968.77
G1190,3.837
G1210,96.615
G1294,18535
G1461,419.84
G1472,4.3
G1588,3.8
G1799,1358
G181,192
G1920,472874941
G1948,2104825
G2268,269735
G2346,114.2
G410,35719
G794,55
G938,15948
M1571,411719409.546
M3028,1931
M3701,1.47
M5680,3.2
M5839,17
M811,118
M8907,120856
