trial_type,trial_index,time_elapsed,internal_node_id,subject_id,form,wave,group,session_id,session_restart_id,FULLSCREEN_SCREEN_WIDTH,FULLSCREEN_SCREEN_HEIGHT,view_history,rt,custom_timer_ended_trial,interval_id,width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_name,success,data_checkpoint,data_checkpoint_ind,experiment_parameters,task_raven_matrix,task_bayesian_update_easy,task_bayesian_update_hard,task_number_series,task_graph_literacy,task_admc_dr,task_time_series,task_coherence_forecasting,task_berlin_numeracy,task_admc_rc2,task_leapfrog,task_admc_a1,task_denominator_neglect_version_A,task_denominator_neglect_version_B,task_impossible_question,task_cognitive_reflection,response,question_order,pt_trial,block,trial,list_id,stimulus,correct_answer,correct,response_slider,unique_trial,unique_trial_draw_number,ball_split,left_box_majority_color,right_box_majority_color,selected_box_majority_color,current_draw,past_draws,version,aig_version,score,ns_id,ns_response,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,admc_id,admc_response,y_axis_values,chart_height,func,direction,noise_condition,datapoints,moved_sliders,cfs_id,cfs_response,BNS_1,BNS_2,BNS_3,BNS_4,slider_start,slider_moved,optionA_reward,optionB_reward,points_won,option_selected,curr_block_ind,pt_trial_prediction,task_version,choice_type,left_lottery_display_type,right_lottery_display_type,left_lottery_type,right_lottery_type,left_lottery_gold_prop,right_lottery_gold_prop,left_lottery_total_coins,right_lottery_total_coins,left_lottery_gold_coins,right_lottery_gold_coins,left_lottery_silver_coins,right_lottery_silver_coins,selected_lottery,coin_drawn,response_choice,id,question_text,answer_1,answer_2,crt_1,crt_2,crt_3,crt_4,crt_5,crt_6,crt_7
html-keyboard-response,2,19,0.0-2.0,I9gmFwCO9p5xFLn4C1dI,33ff78,3,2,kYrqtLvACktr7uDAUd4x7Qg9X5,ilaE5gczPKMOlVRBFk9TL13oiO,,,,,,,,,,,,,,,,,,async_data_save,,experiment__save_session_params,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,7,13130,0.0-7.0-0.0-0.0,I9gmFwCO9p5xFLn4C1dI,33ff78,3,2,kYrqtLvACktr7uDAUd4x7Qg9X5,RYEBwRXBueZ9yzy8EB0EJZKUw1,1920.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,8,13297,0.0-7.0-1.0,I9gmFwCO9p5xFLn4C1dI,33ff78,3,2,kYrqtLvACktr7uDAUd4x7Qg9X5,RYEBwRXBueZ9yzy8EB0EJZKUw1,1920.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instructions,9,32996,0.0-7.0-2.0,I9gmFwCO9p5xFLn4C1dI,33ff78,3,2,kYrqtLvACktr7uDAUd4x7Qg9X5,RYEBwRXBueZ9yzy8EB0EJZKUw1,1920.0,1080.0,"[{'page_index': 0, 'viewing_time': 20799}]",20799.0,False,5.0,,,,,,,,,,,,raven_matrix_instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,10,32998,0.0-7.0-3.0,I9gmFwCO9p5xFLn4C1dI,33ff78,3,2,kYrqtLvACktr7uDAUd4x7Qg9X5,RYEBwRXBueZ9yzy8EB0EJZKUw1,1920.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instructions,11,37015,0.0-7.0-4.0,I9gmFwCO9p5xFLn4C1dI,33ff78,3,2,kYrqtLvACktr7uDAUd4x7Qg9X5,RYEBwRXBueZ9yzy8EB0EJZKUw1,1920.0,1080.0,"[{'page_index': 0, 'viewing_time': 4016}]",4016.0,False,6.0,,,,,,,,,,,,raven_matrix_practice_trials_instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,12,47773,0.0-7.0-5.0-0.0-0.0,I9gmFwCO9p5xFLn4C1dI,33ff78,3,2,kYrqtLvACktr7uDAUd4x7Qg9X5,RYEBwRXBueZ9yzy8EB0EJZKUw1,1920.0,1080.0,,10752.0,False,7.0,,,,,,,,,,,,raven_trial,,,,,,,,,,,,,,,,,,,,,2,[0],True,0.0,0.0,16.0,A4_1,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,13,58158,0.0-7.0-5.0-0.0-0.1,I9gmFwCO9p5xFLn4C1dI,33ff78,3,2,kYrqtLvACktr7uDAUd4x7Qg9X5,RYEBwRXBueZ9yzy8EB0EJZKUw1,1920.0,1080.0,,10372.0,False,8.0,,,,,,,,,,,,raven_trial,,,,,,,,,,,,,,,,,,,,,6,[0],True,0.0,1.0,16.0,B5_3,3.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,14,64866,0.0-7.0-5.0-0.0-0.2,I9gmFwCO9p5xFLn4C1dI,33ff78,3,2,kYrqtLvACktr7uDAUd4x7Qg9X5,RYEBwRXBueZ9yzy8EB0EJZKUw1,1920.0,1080.0,,6701.0,False,9.0,,,,,,,,,,,,raven_trial,,,,,,,,,,,,,,,,,,,,,1,[0],True,0.0,2.0,16.0,C1_3,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,15,71062,0.0-7.0-5.0-0.0-0.3,I9gmFwCO9p5xFLn4C1dI,33ff78,3,2,kYrqtLvACktr7uDAUd4x7Qg9X5,RYEBwRXBueZ9yzy8EB0EJZKUw1,1920.0,1080.0,,6186.0,False,10.0,,,,,,,,,,,,raven_trial,,,,,,,,,,,,,,,,,,,,,3,[0],True,0.0,3.0,16.0,D2_3,3.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,16,86581,0.0-7.0-5.0-0.0-0.4,I9gmFwCO9p5xFLn4C1dI,33ff78,3,2,kYrqtLvACktr7uDAUd4x7Qg9X5,RYEBwRXBueZ9yzy8EB0EJZKUw1,1920.0,1080.0,,15510.0,False,11.0,,,,,,,,,,,,raven_trial,,,,,,,,,,,,,,,,,,,,,1,[0],True,0.0,4.0,16.0,E3_3,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instructions,17,96664,0.0-7.0-6.0,I9gmFwCO9p5xFLn4C1dI,33ff78,3,2,kYrqtLvACktr7uDAUd4x7Qg9X5,RYEBwRXBueZ9yzy8EB0EJZKUw1,1920.0,1080.0,"[{'page_index': 0, 'viewing_time': 10076}]",10077.0,False,12.0,,,,,,,,,,,,raven_matrix_test_trials_instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,18,105799,0.0-7.0-7.0-0.0-0.0,I9gmFwCO9p5xFLn4C1dI,33ff78,3,2,kYrqtLvACktr7uDAUd4x7Qg9X5,RYEBwRXBueZ9yzy8EB0EJZKUw1,1920.0,1080.0,,9131.0,False,13.0,,,,,,,,,,,,raven_trial,,,,,,,,,,,,,,,,,,,,,7,[0],False,0.0,0.0,11.0,A3_2,7.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,19,114455,0.0-7.0-7.0-0.0-0.1,I9gmFwCO9p5xFLn4C1dI,33ff78,3,2,kYrqtLvACktr7uDAUd4x7Qg9X5,RYEBwRXBueZ9yzy8EB0EJZKUw1,1920.0,1080.0,,8650.0,False,14.0,,,,,,,,,,,,raven_trial,,,,,,,,,,,,,,,,,,,,,4,[0],False,0.0,1.0,11.0,B4_2,4.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,20,124479,0.0-7.0-7.0-0.0-0.2,I9gmFwCO9p5xFLn4C1dI,33ff78,3,2,kYrqtLvACktr7uDAUd4x7Qg9X5,RYEBwRXBueZ9yzy8EB0EJZKUw1,1920.0,1080.0,,10017.0,False,15.0,,,,,,,,,,,,raven_trial,,,,,,,,,,,,,,,,,,,,,8,[0],False,0.0,2.0,11.0,C5_2,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,21,129172,0.0-7.0-7.0-0.0-0.3,I9gmFwCO9p5xFLn4C1dI,33ff78,3,2,kYrqtLvACktr7uDAUd4x7Qg9X5,RYEBwRXBueZ9yzy8EB0EJZKUw1,1920.0,1080.0,,4687.0,False,16.0,,,,,,,,,,,,raven_trial,,,,,,,,,,,,,,,,,,,,,3,[0],False,0.0,3.0,11.0,D1_2,3.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,22,147681,0.0-7.0-7.0-0.0-0.4,I9gmFwCO9p5xFLn4C1dI,33ff78,3,2,kYrqtLvACktr7uDAUd4x7Qg9X5,RYEBwRXBueZ9yzy8EB0EJZKUw1,1920.0,1080.0,,18501.0,False,17.0,,,,,,,,,,,,raven_trial,,,,,,,,,,,,,,,,,,,,,4,[0],False,0.0,4.0,11.0,E2_2,4.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,23,159582,0.0-7.0-7.0-0.0-0.5,I9gmFwCO9p5xFLn4C1dI,33ff78,3,2,kYrqtLvACktr7uDAUd4x7Qg9X5,RYEBwRXBueZ9yzy8EB0EJZKUw1,1920.0,1080.0,,11893.0,False,18.0,,,,,,,,,,,,raven_trial,,,,,,,,,,,,,,,,,,,,,4,[0],False,0.0,5.0,11.0,C1E4,5.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,24,167849,0.0-7.0-7.0-0.0-0.6,I9gmFwCO9p5xFLn4C1dI,33ff78,3,2,kYrqtLvACktr7uDAUd4x7Qg9X5,RYEBwRXBueZ9yzy8EB0EJZKUw1,1920.0,1080.0,,8260.0,False,19.0,,,,,,,,,,,,raven_trial,,,,,,,,,,,,,,,,,,,,,3,[0],False,0.0,6.0,11.0,D2E5,7.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,25,174336,0.0-7.0-7.0-0.0-0.7,I9gmFwCO9p5xFLn4C1dI,33ff78,3,2,kYrqtLvACktr7uDAUd4x7Qg9X5,RYEBwRXBueZ9yzy8EB0EJZKUw1,1920.0,1080.0,,6481.0,False,20.0,,,,,,,,,,,,raven_trial,,,,,,,,,,,,,,,,,,,,,8,[0],False,0.0,7.0,11.0,A3B1,8.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,26,183804,0.0-7.0-7.0-0.0-0.8,I9gmFwCO9p5xFLn4C1dI,33ff78,3,2,kYrqtLvACktr7uDAUd4x7Qg9X5,RYEBwRXBueZ9yzy8EB0EJZKUw1,1920.0,1080.0,,9462.0,False,21.0,,,,,,,,,,,,raven_trial,,,,,,,,,,,,,,,,,,,,,4,[0],False,0.0,8.0,11.0,A4C2,6.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,27,190575,0.0-7.0-7.0-0.0-0.9,I9gmFwCO9p5xFLn4C1dI,33ff78,3,2,kYrqtLvACktr7uDAUd4x7Qg9X5,RYEBwRXBueZ9yzy8EB0EJZKUw1,1920.0,1080.0,,6764.0,False,22.0,,,,,,,,,,,,raven_trial,,,,,,,,,,,,,,,,,,,,,2,[0],False,0.0,9.0,11.0,A1E4,2.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,28,201050,0.0-7.0-7.0-0.0-0.10,I9gmFwCO9p5xFLn4C1dI,33ff78,3,2,kYrqtLvACktr7uDAUd4x7Qg9X5,RYEBwRXBueZ9yzy8EB0EJZKUw1,1920.0,1080.0,,10468.0,False,23.0,,,,,,,,,,,,raven_trial,,,,,,,,,,,,,,,,,,,,,5,[0],False,0.0,10.0,11.0,B2C5,3.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,29,230640,0.0-7.0-7.0-0.0-0.11,I9gmFwCO9p5xFLn4C1dI,33ff78,3,2,kYrqtLvACktr7uDAUd4x7Qg9X5,RYEBwRXBueZ9yzy8EB0EJZKUw1,1920.0,1080.0,,29578.0,False,24.0,,,,,,,,,,,,raven_trial,,,,,,,,,,,,,,,,,,,,,5,[0],False,0.0,11.0,11.0,B3D1,5.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,30,255570,0.0-7.0-7.0-0.0-0.12,I9gmFwCO9p5xFLn4C1dI,33ff78,3,2,kYrqtLvACktr7uDAUd4x7Qg9X5,RYEBwRXBueZ9yzy8EB0EJZKUw1,1920.0,1080.0,,24924.0,False,25.0,,,,,,,,,,,,raven_trial,,,,,,,,,,,,,,,,,,,,,4,[0],False,0.0,12.0,11.0,B4E2,7.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,31,264168,0.0-7.0-7.0-0.0-0.13,I9gmFwCO9p5xFLn4C1dI,33ff78,3,2,kYrqtLvACktr7uDAUd4x7Qg9X5,RYEBwRXBueZ9yzy8EB0EJZKUw1,1920.0,1080.0,,8585.0,False,26.0,,,,,,,,,,,,raven_trial,,,,,,,,,,,,,,,,,,,,,3,[0],False,0.0,13.0,11.0,C5D3,8.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,32,271045,0.0-7.0-7.0-0.0-0.14,I9gmFwCO9p5xFLn4C1dI,33ff78,3,2,kYrqtLvACktr7uDAUd4x7Qg9X5,RYEBwRXBueZ9yzy8EB0EJZKUw1,1920.0,1080.0,,6870.0,False,27.0,,,,,,,,,,,,raven_trial,,,,,,,,,,,,,,,,,,,,,3,[0],False,0.0,14.0,11.0,X_11,2.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,33,279780,0.0-7.0-7.0-0.0-0.15,I9gmFwCO9p5xFLn4C1dI,33ff78,3,2,kYrqtLvACktr7uDAUd4x7Qg9X5,RYEBwRXBueZ9yzy8EB0EJZKUw1,1920.0,1080.0,,8727.0,False,28.0,,,,,,,,,,,,raven_trial,,,,,,,,,,,,,,,,,,,,,7,[0],False,0.0,15.0,11.0,Y_11,4.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,34,305934,0.0-7.0-7.0-0.0-0.16,I9gmFwCO9p5xFLn4C1dI,33ff78,3,2,kYrqtLvACktr7uDAUd4x7Qg9X5,RYEBwRXBueZ9yzy8EB0EJZKUw1,1920.0,1080.0,,26146.0,False,29.0,,,,,,,,,,,,raven_trial,,,,,,,,,,,,,,,,,,,,,4,[0],False,0.0,16.0,11.0,Z_11,5.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,35,323782,0.0-7.0-7.0-0.0-0.17,I9gmFwCO9p5xFLn4C1dI,33ff78,3,2,kYrqtLvACktr7uDAUd4x7Qg9X5,RYEBwRXBueZ9yzy8EB0EJZKUw1,1920.0,1080.0,,17842.0,False,30.0,,,,,,,,,,,,raven_trial,,,,,,,,,,,,,,,,,,,,,2,[0],False,0.0,17.0,11.0,A4C1D2_1,2.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,36,332795,0.0-7.0-7.0-0.0-0.18,I9gmFwCO9p5xFLn4C1dI,33ff78,3,2,kYrqtLvACktr7uDAUd4x7Qg9X5,RYEBwRXBueZ9yzy8EB0EJZKUw1,1920.0,1080.0,,9007.0,False,31.0,,,,,,,,,,,,raven_trial,,,,,,,,,,,,,,,,,,,,,5,[0],False,0.0,18.0,11.0,B5D2E1,7.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,37,346283,0.0-7.0-7.0-0.0-0.19,I9gmFwCO9p5xFLn4C1dI,33ff78,3,2,kYrqtLvACktr7uDAUd4x7Qg9X5,RYEBwRXBueZ9yzy8EB0EJZKUw1,1920.0,1080.0,,13480.0,False,32.0,,,,,,,,,,,,raven_trial,,,,,,,,,,,,,,,,,,,,,3,[0],False,0.0,19.0,11.0,A2B1C3,5.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,38,349978,0.0-7.0-7.0-0.0-0.20,I9gmFwCO9p5xFLn4C1dI,33ff78,3,2,kYrqtLvACktr7uDAUd4x7Qg9X5,RYEBwRXBueZ9yzy8EB0EJZKUw1,1920.0,1080.0,,3683.0,False,33.0,,,,,,,,,,,,raven_trial,,,,,,,,,,,,,,,,,,,,,6,[0],False,0.0,20.0,11.0,A1C2D4,5.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,39,363005,0.0-7.0-7.0-0.0-0.21,I9gmFwCO9p5xFLn4C1dI,33ff78,3,2,kYrqtLvACktr7uDAUd4x7Qg9X5,RYEBwRXBueZ9yzy8EB0EJZKUw1,1920.0,1080.0,,13021.0,False,34.0,,,,,,,,,,,,raven_trial,,,,,,,,,,,,,,,,,,,,,3,[0],False,0.0,21.0,11.0,B2D1E5,6.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,40,384498,0.0-7.0-7.0-0.0-0.22,I9gmFwCO9p5xFLn4C1dI,33ff78,3,2,kYrqtLvACktr7uDAUd4x7Qg9X5,RYEBwRXBueZ9yzy8EB0EJZKUw1,1920.0,1080.0,,21486.0,False,35.0,,,,,,,,,,,,raven_trial,,,,,,,,,,,,,,,,,,,,,2,[0],False,0.0,22.0,11.0,A4B3E1,7.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,41,393933,0.0-7.0-7.0-0.0-0.23,I9gmFwCO9p5xFLn4C1dI,33ff78,3,2,kYrqtLvACktr7uDAUd4x7Qg9X5,RYEBwRXBueZ9yzy8EB0EJZKUw1,1920.0,1080.0,,9428.0,False,36.0,,,,,,,,,,,,raven_trial,,,,,,,,,,,,,,,,,,,,,8,[0],False,0.0,23.0,11.0,A4C5E2,3.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,42,403150,0.0-7.0-7.0-0.0-0.24,I9gmFwCO9p5xFLn4C1dI,33ff78,3,2,kYrqtLvACktr7uDAUd4x7Qg9X5,RYEBwRXBueZ9yzy8EB0EJZKUw1,1920.0,1080.0,,9204.0,False,37.0,,,,,,,,,,,,raven_trial,,,,,,,,,,,,,,,,,,,,,3,[0],False,0.0,24.0,11.0,A3D4E1,2.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,43,410908,0.0-7.0-7.0-0.0-0.25,I9gmFwCO9p5xFLn4C1dI,33ff78,3,2,kYrqtLvACktr7uDAUd4x7Qg9X5,RYEBwRXBueZ9yzy8EB0EJZKUw1,1920.0,1080.0,,7751.0,False,38.0,,,,,,,,,,,,raven_trial,,,,,,,,,,,,,,,,,,,,,6,[0],False,0.0,25.0,11.0,A3D2E5,8.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,44,424694,0.0-7.0-7.0-0.0-0.26,I9gmFwCO9p5xFLn4C1dI,33ff78,3,2,kYrqtLvACktr7uDAUd4x7Qg9X5,RYEBwRXBueZ9yzy8EB0EJZKUw1,1920.0,1080.0,,13774.0,False,39.0,,,,,,,,,,,,raven_trial,,,,,,,,,,,,,,,,,,,,,4,[0],False,0.0,26.0,11.0,B4C3E1,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,45,431709,0.0-7.0-7.0-0.0-0.27,I9gmFwCO9p5xFLn4C1dI,33ff78,3,2,kYrqtLvACktr7uDAUd4x7Qg9X5,RYEBwRXBueZ9yzy8EB0EJZKUw1,1920.0,1080.0,,7003.0,False,40.0,,,,,,,,,,,,raven_trial,,,,,,,,,,,,,,,,,,,,,1,[0],False,0.0,27.0,11.0,A1B4D5,4.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,46,444946,0.0-7.0-7.0-0.0-0.28,I9gmFwCO9p5xFLn4C1dI,33ff78,3,2,kYrqtLvACktr7uDAUd4x7Qg9X5,RYEBwRXBueZ9yzy8EB0EJZKUw1,1920.0,1080.0,,13231.0,False,41.0,,,,,,,,,,,,raven_trial,,,,,,,,,,,,,,,,,,,,,8,[0],False,0.0,28.0,11.0,B5D2E3,3.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,47,451029,0.0-7.0-7.0-0.0-0.29,I9gmFwCO9p5xFLn4C1dI,33ff78,3,2,kYrqtLvACktr7uDAUd4x7Qg9X5,RYEBwRXBueZ9yzy8EB0EJZKUw1,1920.0,1080.0,,6074.0,False,42.0,,,,,,,,,,,,raven_trial,,,,,,,,,,,,,,,,,,,,,3,[0],False,0.0,29.0,11.0,B1C5D4,6.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,48,460904,0.0-7.0-7.0-0.0-0.30,I9gmFwCO9p5xFLn4C1dI,33ff78,3,2,kYrqtLvACktr7uDAUd4x7Qg9X5,RYEBwRXBueZ9yzy8EB0EJZKUw1,1920.0,1080.0,,9867.0,False,43.0,,,,,,,,,,,,raven_trial,,,,,,,,,,,,,,,,,,,,,3,[0],False,0.0,30.0,11.0,A1C3E4,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,49,488262,0.0-7.0-7.0-0.0-0.31,I9gmFwCO9p5xFLn4C1dI,33ff78,3,2,kYrqtLvACktr7uDAUd4x7Qg9X5,RYEBwRXBueZ9yzy8EB0EJZKUw1,1920.0,1080.0,,27346.0,False,44.0,,,,,,,,,,,,raven_trial,,,,,,,,,,,,,,,,,,,,,4,[0],False,0.0,31.0,11.0,C2D3E5,6.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,50,502942,0.0-7.0-7.0-0.0-0.32,I9gmFwCO9p5xFLn4C1dI,33ff78,3,2,kYrqtLvACktr7uDAUd4x7Qg9X5,RYEBwRXBueZ9yzy8EB0EJZKUw1,1920.0,1080.0,,14674.0,False,45.0,,,,,,,,,,,,raven_trial,,,,,,,,,,,,,,,,,,,,,4,[0],False,0.0,32.0,11.0,A4B3C5_3,6.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,51,513246,0.0-7.0-7.0-0.0-0.33,I9gmFwCO9p5xFLn4C1dI,33ff78,3,2,kYrqtLvACktr7uDAUd4x7Qg9X5,RYEBwRXBueZ9yzy8EB0EJZKUw1,1920.0,1080.0,,10292.0,False,46.0,,,,,,,,,,,,raven_trial,,,,,,,,,,,,,,,,,,,,,8,[0],False,0.0,33.0,11.0,A4B5D3_3,2.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
