trial_type,trial_index,time_elapsed,internal_node_id,subject_id,form,wave,group,session_id,session_restart_id,FULLSCREEN_SCREEN_WIDTH,FULLSCREEN_SCREEN_HEIGHT,view_history,rt,custom_timer_ended_trial,interval_id,width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_name,success,data_checkpoint,data_checkpoint_ind,experiment_parameters,task_raven_matrix,task_bayesian_update_easy,task_bayesian_update_hard,task_number_series,task_graph_literacy,task_admc_dr,task_time_series,task_coherence_forecasting,task_berlin_numeracy,task_admc_rc2,task_leapfrog,task_admc_a1,task_denominator_neglect_version_A,task_denominator_neglect_version_B,task_impossible_question,task_cognitive_reflection,response,question_order,pt_trial,block,trial,list_id,stimulus,correct_answer,correct,response_slider,unique_trial,unique_trial_draw_number,ball_split,left_box_majority_color,right_box_majority_color,selected_box_majority_color,current_draw,past_draws,version,aig_version,score,ns_id,ns_response,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,admc_id,admc_response,y_axis_values,chart_height,func,direction,noise_condition,datapoints,moved_sliders,cfs_id,cfs_response,BNS_1,BNS_2,BNS_3,BNS_4,slider_start,slider_moved,optionA_reward,optionB_reward,points_won,option_selected,curr_block_ind,pt_trial_prediction,task_version,choice_type,left_lottery_display_type,right_lottery_display_type,left_lottery_type,right_lottery_type,left_lottery_gold_prop,right_lottery_gold_prop,left_lottery_total_coins,right_lottery_total_coins,left_lottery_gold_coins,right_lottery_gold_coins,left_lottery_silver_coins,right_lottery_silver_coins,selected_lottery,coin_drawn,response_choice,id,question_text,answer_1,answer_2,crt_1,crt_2,crt_3,crt_4,crt_5,crt_6,crt_7
call-function,0,4,0.0-0.0,I9gmFwCO9p5xFLn4C1dI,33ff78,3,2,kYrqtLvACktr7uDAUd4x7Qg9X5,RYEBwRXBueZ9yzy8EB0EJZKUw1,1920.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instructions,1,6588,0.0-1.0,I9gmFwCO9p5xFLn4C1dI,33ff78,3,2,kYrqtLvACktr7uDAUd4x7Qg9X5,RYEBwRXBueZ9yzy8EB0EJZKUw1,1920.0,1080.0,"[{'page_index': 0, 'viewing_time': 6582}]",6582.0,False,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,2,6592,0.0-2.0,I9gmFwCO9p5xFLn4C1dI,33ff78,3,2,kYrqtLvACktr7uDAUd4x7Qg9X5,RYEBwRXBueZ9yzy8EB0EJZKUw1,1920.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
browser-check,3,7892,0.0-3.0,I9gmFwCO9p5xFLn4C1dI,33ff78,3,2,kYrqtLvACktr7uDAUd4x7Qg9X5,RYEBwRXBueZ9yzy8EB0EJZKUw1,1920.0,1080.0,,,,,1872.0,932.0,True,edge-chromium,117.0.2045,False,Windows 10,True,61.9,True,True,browser_check,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fullscreen,4,13124,0.0-4.0,I9gmFwCO9p5xFLn4C1dI,33ff78,3,2,kYrqtLvACktr7uDAUd4x7Qg9X5,RYEBwRXBueZ9yzy8EB0EJZKUw1,1920.0,1080.0,,,,,,,,,,,,,,,,fullscreen,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,5,13125,0.0-5.0,I9gmFwCO9p5xFLn4C1dI,33ff78,3,2,kYrqtLvACktr7uDAUd4x7Qg9X5,RYEBwRXBueZ9yzy8EB0EJZKUw1,1920.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,6,13126,0.0-6.0,I9gmFwCO9p5xFLn4C1dI,33ff78,3,2,kYrqtLvACktr7uDAUd4x7Qg9X5,RYEBwRXBueZ9yzy8EB0EJZKUw1,1920.0,1080.0,,,,,,,,,,,,,,,,async_data_save,,experiment__welcome,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,0,16,0.0-0.0,I9gmFwCO9p5xFLn4C1dI,33ff78,3,2,kYrqtLvACktr7uDAUd4x7Qg9X5,ilaE5gczPKMOlVRBFk9TL13oiO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
