trial_type,trial_index,time_elapsed,internal_node_id,subject_id,form,wave,group,session_id,session_restart_id,FULLSCREEN_SCREEN_WIDTH,FULLSCREEN_SCREEN_HEIGHT,view_history,rt,custom_timer_ended_trial,interval_id,width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_name,success,data_checkpoint,data_checkpoint_ind,experiment_parameters,task_admc_rc2,task_time_series,task_impossible_question,task_denominator_neglect_version_A,task_denominator_neglect_version_B,task_bayesian_update_easy,task_bayesian_update_hard,task_graph_literacy,task_berlin_numeracy,task_admc_dr,task_coherence_forecasting,task_cognitive_reflection,task_admc_a1,task_number_series,task_leapfrog,task_raven_matrix,stimulus,slider_start,response,slider_moved,admc_id,admc_response,y_axis_values,chart_height,pt_trial,block,trial,func,direction,noise_condition,datapoints,response_choice,response_slider,id,question_text,answer_1,answer_2,correct_answer,aig_version,correct,task_version,choice_type,left_lottery_display_type,right_lottery_display_type,left_lottery_type,right_lottery_type,left_lottery_gold_prop,right_lottery_gold_prop,left_lottery_total_coins,right_lottery_total_coins,left_lottery_gold_coins,right_lottery_gold_coins,left_lottery_silver_coins,right_lottery_silver_coins,selected_lottery,coin_drawn,unique_trial,unique_trial_draw_number,ball_split,left_box_majority_color,right_box_majority_color,selected_box_majority_color,current_draw,past_draws,version,score,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q13,question_order,BNS_1,BNS_2,BNS_3,BNS_4,moved_sliders,cfs_id,cfs_response,crt_1,crt_2,crt_3,crt_4,crt_5,crt_6,crt_7,ns_id,ns_response,optionA_reward,optionB_reward,points_won,option_selected,curr_block_ind,pt_trial_prediction,list_id
call-function,0,2,0.0-0.0,jrnhmVKt7CnPWS0OWMII,33ff78,2,2.0,p5bY6MRaajBlnoMdRAvyO5gMIh,FlM4FSUMkEHPKmT4SX01bQ7Xr5,1920.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instructions,1,10554,0.0-1.0,jrnhmVKt7CnPWS0OWMII,33ff78,2,2.0,p5bY6MRaajBlnoMdRAvyO5gMIh,FlM4FSUMkEHPKmT4SX01bQ7Xr5,1920.0,1080.0,"[{'page_index': 0, 'viewing_time': 10546}]",10551.0,False,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,2,10555,0.0-2.0,jrnhmVKt7CnPWS0OWMII,33ff78,2,2.0,p5bY6MRaajBlnoMdRAvyO5gMIh,FlM4FSUMkEHPKmT4SX01bQ7Xr5,1920.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
browser-check,3,11547,0.0-3.0,jrnhmVKt7CnPWS0OWMII,33ff78,2,2.0,p5bY6MRaajBlnoMdRAvyO5gMIh,FlM4FSUMkEHPKmT4SX01bQ7Xr5,1920.0,1080.0,,,,,1920.0,933.0,True,chrome,116.0.0,False,Windows 10,True,60.73,False,False,browser_check,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fullscreen,4,19342,0.0-4.0,jrnhmVKt7CnPWS0OWMII,33ff78,2,2.0,p5bY6MRaajBlnoMdRAvyO5gMIh,FlM4FSUMkEHPKmT4SX01bQ7Xr5,1920.0,1080.0,,,,,,,,,,,,,,,,fullscreen,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,5,19342,0.0-5.0,jrnhmVKt7CnPWS0OWMII,33ff78,2,2.0,p5bY6MRaajBlnoMdRAvyO5gMIh,FlM4FSUMkEHPKmT4SX01bQ7Xr5,1920.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,6,19343,0.0-6.0,jrnhmVKt7CnPWS0OWMII,33ff78,2,2.0,p5bY6MRaajBlnoMdRAvyO5gMIh,FlM4FSUMkEHPKmT4SX01bQ7Xr5,1920.0,1080.0,,,,,,,,,,,,,,,,async_data_save,,experiment__welcome,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,0,14,0.0-0.0,jrnhmVKt7CnPWS0OWMII,33ff78,2,,p5bY6MRaajBlnoMdRAvyO5gMIh,kqJ6145HYDU5AMXY1kQv8dtcbx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
