trial_type,trial_index,time_elapsed,internal_node_id,subject_id,form,wave,group,session_id,session_restart_id,FULLSCREEN_SCREEN_WIDTH,FULLSCREEN_SCREEN_HEIGHT,view_history,rt,custom_timer_ended_trial,interval_id,width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_name,success,data_checkpoint,data_checkpoint_ind,experiment_parameters,task_denominator_neglect_version_A,task_denominator_neglect_version_B,task_admc_rp,task_time_series,task_shipley_abstraction,task_bayesian_update_easy,task_bayesian_update_hard,task_impossible_question,task_admc_a2,task_leapfrog,task_admc_rc1,task_shipley_vocab,stimulus,response,pt_trial,block,trial,task_version,choice_type,left_lottery_display_type,right_lottery_display_type,left_lottery_type,right_lottery_type,left_lottery_gold_prop,right_lottery_gold_prop,left_lottery_total_coins,right_lottery_total_coins,left_lottery_gold_coins,right_lottery_gold_coins,left_lottery_silver_coins,right_lottery_silver_coins,selected_lottery,coin_drawn,moved_sliders,admc_id,admc_response,y_axis_values,chart_height,func,direction,noise_condition,datapoints,shipley_abstraction_score,response_slider,unique_trial,unique_trial_draw_number,ball_split,left_box_majority_color,right_box_majority_color,selected_box_majority_color,current_draw,past_draws,version,aig_version,score,response_choice,slider_moved,id,question_text,answer_1,answer_2,correct_answer,correct,slider_start,optionA_reward,optionB_reward,points_won,option_selected,curr_block_ind,pt_trial_prediction,question_order,shipley_vocabulary_score
call-function,0,1,0.0-0.0,KfKgT4e1rIjUHqtQszhH,223301,2,2.0,JDv0NcqC4sKpJ9VeMSroAaH5b4,XE8MRVEAx3mfVslbYmbatwdDW3,1680.0,1050.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instructions,1,17565,0.0-1.0,KfKgT4e1rIjUHqtQszhH,223301,2,2.0,JDv0NcqC4sKpJ9VeMSroAaH5b4,XE8MRVEAx3mfVslbYmbatwdDW3,1680.0,1050.0,"[{'page_index': 0, 'viewing_time': 17563}]",17564.0,False,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,2,17566,0.0-2.0,KfKgT4e1rIjUHqtQszhH,223301,2,2.0,JDv0NcqC4sKpJ9VeMSroAaH5b4,XE8MRVEAx3mfVslbYmbatwdDW3,1680.0,1050.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
browser-check,3,18563,0.0-3.0,KfKgT4e1rIjUHqtQszhH,223301,2,2.0,JDv0NcqC4sKpJ9VeMSroAaH5b4,XE8MRVEAx3mfVslbYmbatwdDW3,1680.0,1050.0,,,,,1680.0,925.0,True,chrome,116.0.0,False,Windows 10,True,60.35,True,True,browser_check,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fullscreen,4,24770,0.0-4.0,KfKgT4e1rIjUHqtQszhH,223301,2,2.0,JDv0NcqC4sKpJ9VeMSroAaH5b4,XE8MRVEAx3mfVslbYmbatwdDW3,1680.0,1050.0,,,,,,,,,,,,,,,,fullscreen,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,5,24772,0.0-5.0,KfKgT4e1rIjUHqtQszhH,223301,2,2.0,JDv0NcqC4sKpJ9VeMSroAaH5b4,XE8MRVEAx3mfVslbYmbatwdDW3,1680.0,1050.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,6,24773,0.0-6.0,KfKgT4e1rIjUHqtQszhH,223301,2,2.0,JDv0NcqC4sKpJ9VeMSroAaH5b4,XE8MRVEAx3mfVslbYmbatwdDW3,1680.0,1050.0,,,,,,,,,,,,,,,,async_data_save,,experiment__welcome,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,0,2,0.0-0.0,KfKgT4e1rIjUHqtQszhH,223301,2,,JDv0NcqC4sKpJ9VeMSroAaH5b4,HYoE4NoJf10jnqjjlZZD15ePMp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
