trial_type,trial_index,time_elapsed,internal_node_id,subject_id,form,wave,group,session_id,session_restart_id,FULLSCREEN_SCREEN_WIDTH,FULLSCREEN_SCREEN_HEIGHT,view_history,rt,custom_timer_ended_trial,interval_id,width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_name,success,data_checkpoint,data_checkpoint_ind,experiment_parameters,task_denominator_neglect_version_A,task_denominator_neglect_version_B,task_admc_rp,task_time_series,task_shipley_abstraction,task_bayesian_update_easy,task_bayesian_update_hard,task_impossible_question,task_admc_a2,task_leapfrog,task_admc_rc1,task_shipley_vocab,stimulus,response,pt_trial,block,trial,task_version,choice_type,left_lottery_display_type,right_lottery_display_type,left_lottery_type,right_lottery_type,left_lottery_gold_prop,right_lottery_gold_prop,left_lottery_total_coins,right_lottery_total_coins,left_lottery_gold_coins,right_lottery_gold_coins,left_lottery_silver_coins,right_lottery_silver_coins,selected_lottery,coin_drawn,moved_sliders,admc_id,admc_response,y_axis_values,chart_height,func,direction,noise_condition,datapoints,shipley_abstraction_score,response_slider,unique_trial,unique_trial_draw_number,ball_split,left_box_majority_color,right_box_majority_color,selected_box_majority_color,current_draw,past_draws,version,aig_version,score,response_choice,slider_moved,id,question_text,answer_1,answer_2,correct_answer,correct,slider_start,optionA_reward,optionB_reward,points_won,option_selected,curr_block_ind,pt_trial_prediction,question_order,shipley_vocabulary_score
html-keyboard-response,84,235633,0.0-7.0-7.0-0.0-2.15,KfKgT4e1rIjUHqtQszhH,223301,2,2.0,JDv0NcqC4sKpJ9VeMSroAaH5b4,XE8MRVEAx3mfVslbYmbatwdDW3,1680.0,1050.0,,,,,,,,,,,,,,,,dn_trial_feedback,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: white; line-height: 2em;"">You drew a <b>silver coin</b>.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,85,235934,0.0-7.0-7.0-0.0-0.16,KfKgT4e1rIjUHqtQszhH,223301,2,2.0,JDv0NcqC4sKpJ9VeMSroAaH5b4,XE8MRVEAx3mfVslbYmbatwdDW3,1680.0,1050.0,,,,,,,,,,,,,,,,fixation_cross,,,,,,,,,,,,,,,,,"<div class=""fixation-cross"">+</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,86,242395,0.0-7.0-7.0-0.0-1.16,KfKgT4e1rIjUHqtQszhH,223301,2,2.0,JDv0NcqC4sKpJ9VeMSroAaH5b4,XE8MRVEAx3mfVslbYmbatwdDW3,1680.0,1050.0,,6460.0,False,1793.0,,,,,,,,,,,,dn_main_trial_version_A,,,,,,,,,,,,,,,,,"<div id=""lottery_labels_container"">
                            <div>Lottery 1</div>
                            <div>Lottery 2</div>
                        </div>
                        <div id=""lottery_text_desc_container"">
                            <div id=""lottery_left_text"" class=""lottery_text""></div>
                            <div id=""lottery_right_text"" class=""lottery_text""></div>
                        </div>
                        <div id=""lotteries_container"">
                            <div id=""lottery_left_parent"" class=""lottery_parent"" style='visibility: hidden'"">
                                <div id=""lottery_left"" class=""lottery""></div>
                            </div>
                            <div id=""lottery_right_parent"" class=""lottery_parent"" style='visibility: hidden'"">
                                <div id=""lottery_right"" class=""lottery""></div>
                            </div>
                        </div>
                        <div id=""lottery_choices"">
                            <div class=""lottery_choice""><span>Draw from Lottery 1</span><br><span><i>left arrow</i></span></div>
                            <div class=""lottery_choice""><span>Draw from Lottery 2</span><br><span><i>right arrow</i></span></div>
                        </div>
                ",arrowleft,False,0.0,16.0,A,conflict,text,text,large,small,0.26,0.2,400.0,10.0,104.0,2.0,296.0,8.0,left,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,87,243397,0.0-7.0-7.0-0.0-2.16,KfKgT4e1rIjUHqtQszhH,223301,2,2.0,JDv0NcqC4sKpJ9VeMSroAaH5b4,XE8MRVEAx3mfVslbYmbatwdDW3,1680.0,1050.0,,,,,,,,,,,,,,,,dn_trial_feedback,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: white; line-height: 2em;"">You drew a <b>silver coin</b>.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,88,243699,0.0-7.0-7.0-0.0-0.17,KfKgT4e1rIjUHqtQszhH,223301,2,2.0,JDv0NcqC4sKpJ9VeMSroAaH5b4,XE8MRVEAx3mfVslbYmbatwdDW3,1680.0,1050.0,,,,,,,,,,,,,,,,fixation_cross,,,,,,,,,,,,,,,,,"<div class=""fixation-cross"">+</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,89,249120,0.0-7.0-7.0-0.0-1.17,KfKgT4e1rIjUHqtQszhH,223301,2,2.0,JDv0NcqC4sKpJ9VeMSroAaH5b4,XE8MRVEAx3mfVslbYmbatwdDW3,1680.0,1050.0,,5420.0,False,1830.0,,,,,,,,,,,,dn_main_trial_version_A,,,,,,,,,,,,,,,,,"<div id=""lottery_labels_container"">
                            <div>Lottery 1</div>
                            <div>Lottery 2</div>
                        </div>
                        <div id=""lottery_text_desc_container"">
                            <div id=""lottery_left_text"" class=""lottery_text""></div>
                            <div id=""lottery_right_text"" class=""lottery_text""></div>
                        </div>
                        <div id=""lotteries_container"">
                            <div id=""lottery_left_parent"" class=""lottery_parent"" style='visibility: hidden'"">
                                <div id=""lottery_left"" class=""lottery""></div>
                            </div>
                            <div id=""lottery_right_parent"" class=""lottery_parent"" style='visibility: hidden'"">
                                <div id=""lottery_right"" class=""lottery""></div>
                            </div>
                        </div>
                        <div id=""lottery_choices"">
                            <div class=""lottery_choice""><span>Draw from Lottery 1</span><br><span><i>left arrow</i></span></div>
                            <div class=""lottery_choice""><span>Draw from Lottery 2</span><br><span><i>right arrow</i></span></div>
                        </div>
                ",arrowleft,False,0.0,17.0,A,conflict,text,text,large,small,0.25,0.3,400.0,10.0,100.0,3.0,300.0,7.0,left,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,90,250122,0.0-7.0-7.0-0.0-2.17,KfKgT4e1rIjUHqtQszhH,223301,2,2.0,JDv0NcqC4sKpJ9VeMSroAaH5b4,XE8MRVEAx3mfVslbYmbatwdDW3,1680.0,1050.0,,,,,,,,,,,,,,,,dn_trial_feedback,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: white; line-height: 2em;"">You drew a <b>silver coin</b>.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,91,250423,0.0-7.0-7.0-0.0-0.18,KfKgT4e1rIjUHqtQszhH,223301,2,2.0,JDv0NcqC4sKpJ9VeMSroAaH5b4,XE8MRVEAx3mfVslbYmbatwdDW3,1680.0,1050.0,,,,,,,,,,,,,,,,fixation_cross,,,,,,,,,,,,,,,,,"<div class=""fixation-cross"">+</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,92,258569,0.0-7.0-7.0-0.0-1.18,KfKgT4e1rIjUHqtQszhH,223301,2,2.0,JDv0NcqC4sKpJ9VeMSroAaH5b4,XE8MRVEAx3mfVslbYmbatwdDW3,1680.0,1050.0,,8144.0,False,1862.0,,,,,,,,,,,,dn_main_trial_version_A,,,,,,,,,,,,,,,,,"<div id=""lottery_labels_container"">
                            <div>Lottery 1</div>
                            <div>Lottery 2</div>
                        </div>
                        <div id=""lottery_text_desc_container"">
                            <div id=""lottery_left_text"" class=""lottery_text""></div>
                            <div id=""lottery_right_text"" class=""lottery_text""></div>
                        </div>
                        <div id=""lotteries_container"">
                            <div id=""lottery_left_parent"" class=""lottery_parent"" style='visibility: hidden'"">
                                <div id=""lottery_left"" class=""lottery""></div>
                            </div>
                            <div id=""lottery_right_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_right"" class=""lottery""></div>
                            </div>
                        </div>
                        <div id=""lottery_choices"">
                            <div class=""lottery_choice""><span>Draw from Lottery 1</span><br><span><i>left arrow</i></span></div>
                            <div class=""lottery_choice""><span>Draw from Lottery 2</span><br><span><i>right arrow</i></span></div>
                        </div>
                ",arrowright,False,0.0,18.0,A,conflict,text,array,small,large,0.2,0.21,10.0,400.0,2.0,84.0,8.0,316.0,right,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,93,259571,0.0-7.0-7.0-0.0-2.18,KfKgT4e1rIjUHqtQszhH,223301,2,2.0,JDv0NcqC4sKpJ9VeMSroAaH5b4,XE8MRVEAx3mfVslbYmbatwdDW3,1680.0,1050.0,,,,,,,,,,,,,,,,dn_trial_feedback,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: white; line-height: 2em;"">You drew a <b>silver coin</b>.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,94,259872,0.0-7.0-7.0-0.0-0.19,KfKgT4e1rIjUHqtQszhH,223301,2,2.0,JDv0NcqC4sKpJ9VeMSroAaH5b4,XE8MRVEAx3mfVslbYmbatwdDW3,1680.0,1050.0,,,,,,,,,,,,,,,,fixation_cross,,,,,,,,,,,,,,,,,"<div class=""fixation-cross"">+</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,95,262155,0.0-7.0-7.0-0.0-1.19,KfKgT4e1rIjUHqtQszhH,223301,2,2.0,JDv0NcqC4sKpJ9VeMSroAaH5b4,XE8MRVEAx3mfVslbYmbatwdDW3,1680.0,1050.0,,2281.0,False,1906.0,,,,,,,,,,,,dn_main_trial_version_A,,,,,,,,,,,,,,,,,"<div id=""lottery_labels_container"">
                            <div>Lottery 1</div>
                            <div>Lottery 2</div>
                        </div>
                        <div id=""lottery_text_desc_container"">
                            <div id=""lottery_left_text"" class=""lottery_text""></div>
                            <div id=""lottery_right_text"" class=""lottery_text""></div>
                        </div>
                        <div id=""lotteries_container"">
                            <div id=""lottery_left_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_left"" class=""lottery""></div>
                            </div>
                            <div id=""lottery_right_parent"" class=""lottery_parent"" style='visibility: hidden'"">
                                <div id=""lottery_right"" class=""lottery""></div>
                            </div>
                        </div>
                        <div id=""lottery_choices"">
                            <div class=""lottery_choice""><span>Draw from Lottery 1</span><br><span><i>left arrow</i></span></div>
                            <div class=""lottery_choice""><span>Draw from Lottery 2</span><br><span><i>right arrow</i></span></div>
                        </div>
                ",arrowleft,False,0.0,19.0,A,harmony,array,text,large,small,0.13,0.1,400.0,10.0,52.0,1.0,348.0,9.0,left,gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,96,263157,0.0-7.0-7.0-0.0-2.19,KfKgT4e1rIjUHqtQszhH,223301,2,2.0,JDv0NcqC4sKpJ9VeMSroAaH5b4,XE8MRVEAx3mfVslbYmbatwdDW3,1680.0,1050.0,,,,,,,,,,,,,,,,dn_trial_feedback,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: gold; line-height: 2em;"">You drew a <b>gold coin</b>.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,97,263459,0.0-7.0-7.0-0.0-0.20,KfKgT4e1rIjUHqtQszhH,223301,2,2.0,JDv0NcqC4sKpJ9VeMSroAaH5b4,XE8MRVEAx3mfVslbYmbatwdDW3,1680.0,1050.0,,,,,,,,,,,,,,,,fixation_cross,,,,,,,,,,,,,,,,,"<div class=""fixation-cross"">+</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,98,271310,0.0-7.0-7.0-0.0-1.20,KfKgT4e1rIjUHqtQszhH,223301,2,2.0,JDv0NcqC4sKpJ9VeMSroAaH5b4,XE8MRVEAx3mfVslbYmbatwdDW3,1680.0,1050.0,,7850.0,False,2007.0,,,,,,,,,,,,dn_main_trial_version_A,,,,,,,,,,,,,,,,,"<div id=""lottery_labels_container"">
                            <div>Lottery 1</div>
                            <div>Lottery 2</div>
                        </div>
                        <div id=""lottery_text_desc_container"">
                            <div id=""lottery_left_text"" class=""lottery_text""></div>
                            <div id=""lottery_right_text"" class=""lottery_text""></div>
                        </div>
                        <div id=""lotteries_container"">
                            <div id=""lottery_left_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_left"" class=""lottery""></div>
                            </div>
                            <div id=""lottery_right_parent"" class=""lottery_parent"" style='visibility: hidden'"">
                                <div id=""lottery_right"" class=""lottery""></div>
                            </div>
                        </div>
                        <div id=""lottery_choices"">
                            <div class=""lottery_choice""><span>Draw from Lottery 1</span><br><span><i>left arrow</i></span></div>
                            <div class=""lottery_choice""><span>Draw from Lottery 2</span><br><span><i>right arrow</i></span></div>
                        </div>
                ",arrowleft,False,0.0,20.0,A,conflict,array,text,small,large,0.2,0.12,10.0,400.0,2.0,48.0,8.0,352.0,left,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,99,272312,0.0-7.0-7.0-0.0-2.20,KfKgT4e1rIjUHqtQszhH,223301,2,2.0,JDv0NcqC4sKpJ9VeMSroAaH5b4,XE8MRVEAx3mfVslbYmbatwdDW3,1680.0,1050.0,,,,,,,,,,,,,,,,dn_trial_feedback,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: white; line-height: 2em;"">You drew a <b>silver coin</b>.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,100,272613,0.0-7.0-7.0-0.0-0.21,KfKgT4e1rIjUHqtQszhH,223301,2,2.0,JDv0NcqC4sKpJ9VeMSroAaH5b4,XE8MRVEAx3mfVslbYmbatwdDW3,1680.0,1050.0,,,,,,,,,,,,,,,,fixation_cross,,,,,,,,,,,,,,,,,"<div class=""fixation-cross"">+</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,101,275621,0.0-7.0-7.0-0.0-1.21,KfKgT4e1rIjUHqtQszhH,223301,2,2.0,JDv0NcqC4sKpJ9VeMSroAaH5b4,XE8MRVEAx3mfVslbYmbatwdDW3,1680.0,1050.0,,3007.0,False,2048.0,,,,,,,,,,,,dn_main_trial_version_A,,,,,,,,,,,,,,,,,"<div id=""lottery_labels_container"">
                            <div>Lottery 1</div>
                            <div>Lottery 2</div>
                        </div>
                        <div id=""lottery_text_desc_container"">
                            <div id=""lottery_left_text"" class=""lottery_text""></div>
                            <div id=""lottery_right_text"" class=""lottery_text""></div>
                        </div>
                        <div id=""lotteries_container"">
                            <div id=""lottery_left_parent"" class=""lottery_parent"" style='visibility: hidden'"">
                                <div id=""lottery_left"" class=""lottery""></div>
                            </div>
                            <div id=""lottery_right_parent"" class=""lottery_parent"" style='visibility: hidden'"">
                                <div id=""lottery_right"" class=""lottery""></div>
                            </div>
                        </div>
                        <div id=""lottery_choices"">
                            <div class=""lottery_choice""><span>Draw from Lottery 1</span><br><span><i>left arrow</i></span></div>
                            <div class=""lottery_choice""><span>Draw from Lottery 2</span><br><span><i>right arrow</i></span></div>
                        </div>
                ",arrowright,False,0.0,21.0,A,harmony,text,text,small,large,0.3,0.38,10.0,400.0,3.0,152.0,7.0,248.0,right,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,102,276622,0.0-7.0-7.0-0.0-2.21,KfKgT4e1rIjUHqtQszhH,223301,2,2.0,JDv0NcqC4sKpJ9VeMSroAaH5b4,XE8MRVEAx3mfVslbYmbatwdDW3,1680.0,1050.0,,,,,,,,,,,,,,,,dn_trial_feedback,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: white; line-height: 2em;"">You drew a <b>silver coin</b>.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,103,276924,0.0-7.0-7.0-0.0-0.22,KfKgT4e1rIjUHqtQszhH,223301,2,2.0,JDv0NcqC4sKpJ9VeMSroAaH5b4,XE8MRVEAx3mfVslbYmbatwdDW3,1680.0,1050.0,,,,,,,,,,,,,,,,fixation_cross,,,,,,,,,,,,,,,,,"<div class=""fixation-cross"">+</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,104,283340,0.0-7.0-7.0-0.0-1.22,KfKgT4e1rIjUHqtQszhH,223301,2,2.0,JDv0NcqC4sKpJ9VeMSroAaH5b4,XE8MRVEAx3mfVslbYmbatwdDW3,1680.0,1050.0,,6415.0,False,2072.0,,,,,,,,,,,,dn_main_trial_version_A,,,,,,,,,,,,,,,,,"<div id=""lottery_labels_container"">
                            <div>Lottery 1</div>
                            <div>Lottery 2</div>
                        </div>
                        <div id=""lottery_text_desc_container"">
                            <div id=""lottery_left_text"" class=""lottery_text""></div>
                            <div id=""lottery_right_text"" class=""lottery_text""></div>
                        </div>
                        <div id=""lotteries_container"">
                            <div id=""lottery_left_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_left"" class=""lottery""></div>
                            </div>
                            <div id=""lottery_right_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_right"" class=""lottery""></div>
                            </div>
                        </div>
                        <div id=""lottery_choices"">
                            <div class=""lottery_choice""><span>Draw from Lottery 1</span><br><span><i>left arrow</i></span></div>
                            <div class=""lottery_choice""><span>Draw from Lottery 2</span><br><span><i>right arrow</i></span></div>
                        </div>
                ",arrowright,False,0.0,22.0,A,harmony,array,array,large,small,0.18,0.2,400.0,10.0,72.0,2.0,328.0,8.0,right,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,105,284342,0.0-7.0-7.0-0.0-2.22,KfKgT4e1rIjUHqtQszhH,223301,2,2.0,JDv0NcqC4sKpJ9VeMSroAaH5b4,XE8MRVEAx3mfVslbYmbatwdDW3,1680.0,1050.0,,,,,,,,,,,,,,,,dn_trial_feedback,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: white; line-height: 2em;"">You drew a <b>silver coin</b>.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,106,284644,0.0-7.0-7.0-0.0-0.23,KfKgT4e1rIjUHqtQszhH,223301,2,2.0,JDv0NcqC4sKpJ9VeMSroAaH5b4,XE8MRVEAx3mfVslbYmbatwdDW3,1680.0,1050.0,,,,,,,,,,,,,,,,fixation_cross,,,,,,,,,,,,,,,,,"<div class=""fixation-cross"">+</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,107,289186,0.0-7.0-7.0-0.0-1.23,KfKgT4e1rIjUHqtQszhH,223301,2,2.0,JDv0NcqC4sKpJ9VeMSroAaH5b4,XE8MRVEAx3mfVslbYmbatwdDW3,1680.0,1050.0,,4540.0,False,2108.0,,,,,,,,,,,,dn_main_trial_version_A,,,,,,,,,,,,,,,,,"<div id=""lottery_labels_container"">
                            <div>Lottery 1</div>
                            <div>Lottery 2</div>
                        </div>
                        <div id=""lottery_text_desc_container"">
                            <div id=""lottery_left_text"" class=""lottery_text""></div>
                            <div id=""lottery_right_text"" class=""lottery_text""></div>
                        </div>
                        <div id=""lotteries_container"">
                            <div id=""lottery_left_parent"" class=""lottery_parent"" style='visibility: hidden'"">
                                <div id=""lottery_left"" class=""lottery""></div>
                            </div>
                            <div id=""lottery_right_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_right"" class=""lottery""></div>
                            </div>
                        </div>
                        <div id=""lottery_choices"">
                            <div class=""lottery_choice""><span>Draw from Lottery 1</span><br><span><i>left arrow</i></span></div>
                            <div class=""lottery_choice""><span>Draw from Lottery 2</span><br><span><i>right arrow</i></span></div>
                        </div>
                ",arrowright,False,0.0,23.0,A,harmony,text,array,small,large,0.2,0.14,10.0,400.0,2.0,56.0,8.0,344.0,right,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,108,290188,0.0-7.0-7.0-0.0-2.23,KfKgT4e1rIjUHqtQszhH,223301,2,2.0,JDv0NcqC4sKpJ9VeMSroAaH5b4,XE8MRVEAx3mfVslbYmbatwdDW3,1680.0,1050.0,,,,,,,,,,,,,,,,dn_trial_feedback,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: white; line-height: 2em;"">You drew a <b>silver coin</b>.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,109,290489,0.0-7.0-7.0-0.0-0.24,KfKgT4e1rIjUHqtQszhH,223301,2,2.0,JDv0NcqC4sKpJ9VeMSroAaH5b4,XE8MRVEAx3mfVslbYmbatwdDW3,1680.0,1050.0,,,,,,,,,,,,,,,,fixation_cross,,,,,,,,,,,,,,,,,"<div class=""fixation-cross"">+</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,110,293276,0.0-7.0-7.0-0.0-1.24,KfKgT4e1rIjUHqtQszhH,223301,2,2.0,JDv0NcqC4sKpJ9VeMSroAaH5b4,XE8MRVEAx3mfVslbYmbatwdDW3,1680.0,1050.0,,2787.0,False,2138.0,,,,,,,,,,,,dn_main_trial_version_A,,,,,,,,,,,,,,,,,"<div id=""lottery_labels_container"">
                            <div>Lottery 1</div>
                            <div>Lottery 2</div>
                        </div>
                        <div id=""lottery_text_desc_container"">
                            <div id=""lottery_left_text"" class=""lottery_text""></div>
                            <div id=""lottery_right_text"" class=""lottery_text""></div>
                        </div>
                        <div id=""lotteries_container"">
                            <div id=""lottery_left_parent"" class=""lottery_parent"" style='visibility: hidden'"">
                                <div id=""lottery_left"" class=""lottery""></div>
                            </div>
                            <div id=""lottery_right_parent"" class=""lottery_parent"" style='visibility: hidden'"">
                                <div id=""lottery_right"" class=""lottery""></div>
                            </div>
                        </div>
                        <div id=""lottery_choices"">
                            <div class=""lottery_choice""><span>Draw from Lottery 1</span><br><span><i>left arrow</i></span></div>
                            <div class=""lottery_choice""><span>Draw from Lottery 2</span><br><span><i>right arrow</i></span></div>
                        </div>
                ",arrowleft,False,0.0,24.0,A,conflict,text,text,large,small,0.12,0.1,400.0,10.0,48.0,1.0,352.0,9.0,left,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,111,294278,0.0-7.0-7.0-0.0-2.24,KfKgT4e1rIjUHqtQszhH,223301,2,2.0,JDv0NcqC4sKpJ9VeMSroAaH5b4,XE8MRVEAx3mfVslbYmbatwdDW3,1680.0,1050.0,,,,,,,,,,,,,,,,dn_trial_feedback,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: white; line-height: 2em;"">You drew a <b>silver coin</b>.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,112,294580,0.0-7.0-7.0-0.0-0.25,KfKgT4e1rIjUHqtQszhH,223301,2,2.0,JDv0NcqC4sKpJ9VeMSroAaH5b4,XE8MRVEAx3mfVslbYmbatwdDW3,1680.0,1050.0,,,,,,,,,,,,,,,,fixation_cross,,,,,,,,,,,,,,,,,"<div class=""fixation-cross"">+</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,113,298472,0.0-7.0-7.0-0.0-1.25,KfKgT4e1rIjUHqtQszhH,223301,2,2.0,JDv0NcqC4sKpJ9VeMSroAaH5b4,XE8MRVEAx3mfVslbYmbatwdDW3,1680.0,1050.0,,3891.0,False,2159.0,,,,,,,,,,,,dn_main_trial_version_A,,,,,,,,,,,,,,,,,"<div id=""lottery_labels_container"">
                            <div>Lottery 1</div>
                            <div>Lottery 2</div>
                        </div>
                        <div id=""lottery_text_desc_container"">
                            <div id=""lottery_left_text"" class=""lottery_text""></div>
                            <div id=""lottery_right_text"" class=""lottery_text""></div>
                        </div>
                        <div id=""lotteries_container"">
                            <div id=""lottery_left_parent"" class=""lottery_parent"" style='visibility: hidden'"">
                                <div id=""lottery_left"" class=""lottery""></div>
                            </div>
                            <div id=""lottery_right_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_right"" class=""lottery""></div>
                            </div>
                        </div>
                        <div id=""lottery_choices"">
                            <div class=""lottery_choice""><span>Draw from Lottery 1</span><br><span><i>left arrow</i></span></div>
                            <div class=""lottery_choice""><span>Draw from Lottery 2</span><br><span><i>right arrow</i></span></div>
                        </div>
                ",arrowright,False,0.0,25.0,A,conflict,text,array,small,large,0.1,0.17,10.0,400.0,1.0,68.0,9.0,332.0,right,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,114,299473,0.0-7.0-7.0-0.0-2.25,KfKgT4e1rIjUHqtQszhH,223301,2,2.0,JDv0NcqC4sKpJ9VeMSroAaH5b4,XE8MRVEAx3mfVslbYmbatwdDW3,1680.0,1050.0,,,,,,,,,,,,,,,,dn_trial_feedback,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: white; line-height: 2em;"">You drew a <b>silver coin</b>.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,115,299774,0.0-7.0-7.0-0.0-0.26,KfKgT4e1rIjUHqtQszhH,223301,2,2.0,JDv0NcqC4sKpJ9VeMSroAaH5b4,XE8MRVEAx3mfVslbYmbatwdDW3,1680.0,1050.0,,,,,,,,,,,,,,,,fixation_cross,,,,,,,,,,,,,,,,,"<div class=""fixation-cross"">+</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
