trial_type,trial_index,time_elapsed,internal_node_id,subject_id,form,wave,session_id,session_restart_id,FULLSCREEN_SCREEN_WIDTH,FULLSCREEN_SCREEN_HEIGHT,view_history,rt,custom_timer_ended_trial,interval_id,width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_name,success,data_checkpoint,data_checkpoint_ind,experiment_parameters,task_impossible_question,task_time_series,task_leapfrog,task_bayesian_update_easy,task_bayesian_update_hard,task_shipley_vocab,task_shipley_abstraction,task_admc_a2,task_admc_rc1,task_denominator_neglect_version_A,task_denominator_neglect_version_B,task_admc_rp,response,response_choice,response_slider,slider_moved,pt_trial,block,trial,id,question_text,answer_1,answer_2,correct_answer,aig_version,correct,stimulus,y_axis_values,chart_height,func,direction,noise_condition,datapoints,optionA_reward,optionB_reward,points_won,option_selected,curr_block_ind,pt_trial_prediction,unique_trial,unique_trial_draw_number,ball_split,left_box_majority_color,right_box_majority_color,selected_box_majority_color,current_draw,past_draws,version,score,question_order,shipley_vocabulary_score,shipley_abstraction_score,slider_start,admc_id,admc_response,task_version,choice_type,left_lottery_display_type,right_lottery_display_type,left_lottery_type,right_lottery_type,left_lottery_gold_prop,right_lottery_gold_prop,left_lottery_total_coins,right_lottery_total_coins,left_lottery_gold_coins,right_lottery_gold_coins,left_lottery_silver_coins,right_lottery_silver_coins,selected_lottery,coin_drawn,moved_sliders
call-function,0,9,0.0-0.0,9RURS9QDBxOxAXzKslIr,223301,2,h583RYORXtRkVOy067RJhA4Kz3,6VzD3KUWLtJX7vztnUjD2F9NzG,1562.0,880.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instructions,1,1986,0.0-1.0,9RURS9QDBxOxAXzKslIr,223301,2,h583RYORXtRkVOy067RJhA4Kz3,6VzD3KUWLtJX7vztnUjD2F9NzG,1562.0,880.0,"[{'page_index': 0, 'viewing_time': 1973}]",1974.0,False,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,2,1987,0.0-2.0,9RURS9QDBxOxAXzKslIr,223301,2,h583RYORXtRkVOy067RJhA4Kz3,6VzD3KUWLtJX7vztnUjD2F9NzG,1562.0,880.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
browser-check,3,2978,0.0-3.0,9RURS9QDBxOxAXzKslIr,223301,2,h583RYORXtRkVOy067RJhA4Kz3,6VzD3KUWLtJX7vztnUjD2F9NzG,1562.0,880.0,,,,,1554.0,732.0,True,edge-chromium,116.0.1938,False,Windows 10,True,60.8,True,True,browser_check,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fullscreen,4,8645,0.0-4.0,9RURS9QDBxOxAXzKslIr,223301,2,h583RYORXtRkVOy067RJhA4Kz3,6VzD3KUWLtJX7vztnUjD2F9NzG,1562.0,880.0,,,,,,,,,,,,,,,,fullscreen,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,5,8647,0.0-5.0,9RURS9QDBxOxAXzKslIr,223301,2,h583RYORXtRkVOy067RJhA4Kz3,6VzD3KUWLtJX7vztnUjD2F9NzG,1562.0,880.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,6,8648,0.0-6.0,9RURS9QDBxOxAXzKslIr,223301,2,h583RYORXtRkVOy067RJhA4Kz3,6VzD3KUWLtJX7vztnUjD2F9NzG,1562.0,880.0,,,,,,,,,,,,,,,,async_data_save,,experiment__welcome,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,0,2,0.0-0.0,9RURS9QDBxOxAXzKslIr,223301,2,h583RYORXtRkVOy067RJhA4Kz3,WvLpNrQWFqawXcOIjrvCLjBYJc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
