trial_type,trial_index,time_elapsed,internal_node_id,subject_id,form,wave,session_id,session_restart_id,FULLSCREEN_SCREEN_WIDTH,FULLSCREEN_SCREEN_HEIGHT,view_history,rt,custom_timer_ended_trial,interval_id,width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_name,success,data_checkpoint,data_checkpoint_ind,experiment_parameters,task_impossible_question,task_time_series,task_leapfrog,task_bayesian_update_easy,task_bayesian_update_hard,task_shipley_vocab,task_shipley_abstraction,task_admc_a2,task_admc_rc1,task_denominator_neglect_version_A,task_denominator_neglect_version_B,task_admc_rp,response,response_choice,response_slider,slider_moved,pt_trial,block,trial,id,question_text,answer_1,answer_2,correct_answer,aig_version,correct,stimulus,y_axis_values,chart_height,func,direction,noise_condition,datapoints,optionA_reward,optionB_reward,points_won,option_selected,curr_block_ind,pt_trial_prediction,unique_trial,unique_trial_draw_number,ball_split,left_box_majority_color,right_box_majority_color,selected_box_majority_color,current_draw,past_draws,version,score,question_order,shipley_vocabulary_score,shipley_abstraction_score,slider_start,admc_id,admc_response,task_version,choice_type,left_lottery_display_type,right_lottery_display_type,left_lottery_type,right_lottery_type,left_lottery_gold_prop,right_lottery_gold_prop,left_lottery_total_coins,right_lottery_total_coins,left_lottery_gold_coins,right_lottery_gold_coins,left_lottery_silver_coins,right_lottery_silver_coins,selected_lottery,coin_drawn,moved_sliders
html-keyboard-response,2,3,0.0-2.0,9RURS9QDBxOxAXzKslIr,223301,2,h583RYORXtRkVOy067RJhA4Kz3,WvLpNrQWFqawXcOIjrvCLjBYJc,,,,,,,,,,,,,,,,,,async_data_save,,experiment__save_session_params,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,7,8801,0.0-7.0-1.0,9RURS9QDBxOxAXzKslIr,223301,2,h583RYORXtRkVOy067RJhA4Kz3,6VzD3KUWLtJX7vztnUjD2F9NzG,1562.0,880.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instructions,8,27030,0.0-7.0-2.0,9RURS9QDBxOxAXzKslIr,223301,2,h583RYORXtRkVOy067RJhA4Kz3,6VzD3KUWLtJX7vztnUjD2F9NzG,1562.0,880.0,"[{'page_index': 0, 'viewing_time': 18228}]",18228.0,False,4.0,,,,,,,,,,,,iqc_general_instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,9,27032,0.0-7.0-3.0,9RURS9QDBxOxAXzKslIr,223301,2,h583RYORXtRkVOy067RJhA4Kz3,6VzD3KUWLtJX7vztnUjD2F9NzG,1562.0,880.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-html-form,10,48039,0.0-7.0-4.0-0.0-0.0,9RURS9QDBxOxAXzKslIr,223301,2,h583RYORXtRkVOy067RJhA4Kz3,6VzD3KUWLtJX7vztnUjD2F9NzG,1562.0,880.0,,21004.0,True,5.0,,,,,,,,,,,,iqc_test_trial,,,,,,,,,,,,,,,,,"{'GK_55': '2', 'GK_55_slider': '50'}",2.0,50.0,True,False,0.0,0.0,GK_55,Autism has become an epidemic.,True,False,2.0,anchor,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,11,51906,0.0-7.0-4.0-0.0-1.0,9RURS9QDBxOxAXzKslIr,223301,2,h583RYORXtRkVOy067RJhA4Kz3,6VzD3KUWLtJX7vztnUjD2F9NzG,1562.0,880.0,,3864.0,False,6.0,,,,,,,,,,,,iqc_test_trial_feedback,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,"<p>Your answer was <span style=""color: green""><b>correct</b></span>.</p><p>Progress: 1/30 questions completed. 100% correct.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-html-form,12,67742,0.0-7.0-4.0-0.0-0.1,9RURS9QDBxOxAXzKslIr,223301,2,h583RYORXtRkVOy067RJhA4Kz3,6VzD3KUWLtJX7vztnUjD2F9NzG,1562.0,880.0,,15834.0,False,7.0,,,,,,,,,,,,iqc_test_trial,,,,,,,,,,,,,,,,,"{'GK_61': '2', 'GK_61_slider': '54'}",2.0,54.0,True,False,0.0,1.0,GK_61,Which comes closest in meaning to the following word? Intransigent,Transitory,Inflexible,2.0,anchor,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,13,70243,0.0-7.0-4.0-0.0-1.1,9RURS9QDBxOxAXzKslIr,223301,2,h583RYORXtRkVOy067RJhA4Kz3,6VzD3KUWLtJX7vztnUjD2F9NzG,1562.0,880.0,,2500.0,False,8.0,,,,,,,,,,,,iqc_test_trial_feedback,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,"<p>Your answer was <span style=""color: green""><b>correct</b></span>.</p><p>Progress: 2/30 questions completed. 100% correct.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-html-form,14,80162,0.0-7.0-4.0-0.0-0.2,9RURS9QDBxOxAXzKslIr,223301,2,h583RYORXtRkVOy067RJhA4Kz3,6VzD3KUWLtJX7vztnUjD2F9NzG,1562.0,880.0,,9917.0,False,9.0,,,,,,,,,,,,iqc_test_trial,,,,,,,,,,,,,,,,,"{'GK_86': '2', 'GK_86_slider': '70'}",2.0,70.0,True,False,0.0,2.0,GK_86,The velocity of a radio wave and a visible light wave in a vacuum are the same.,True,False,1.0,anchor,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,15,83909,0.0-7.0-4.0-0.0-1.2,9RURS9QDBxOxAXzKslIr,223301,2,h583RYORXtRkVOy067RJhA4Kz3,6VzD3KUWLtJX7vztnUjD2F9NzG,1562.0,880.0,,3746.0,False,10.0,,,,,,,,,,,,iqc_test_trial_feedback,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,"<p>Your answer was <span style=""color: red""><b>incorrect</b></span>.</p><p>Progress: 3/30 questions completed. 67% correct.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-html-form,16,101857,0.0-7.0-4.0-0.0-0.3,9RURS9QDBxOxAXzKslIr,223301,2,h583RYORXtRkVOy067RJhA4Kz3,6VzD3KUWLtJX7vztnUjD2F9NzG,1562.0,880.0,,17947.0,False,11.0,,,,,,,,,,,,iqc_test_trial,,,,,,,,,,,,,,,,,"{'GK_53': '2', 'GK_53_slider': '80'}",2.0,80.0,True,False,0.0,3.0,GK_53,The top 10 car manufacturing countries produced approximately how many new cars in 2014?,50 milion,10 million,1.0,anchor,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,17,104739,0.0-7.0-4.0-0.0-1.3,9RURS9QDBxOxAXzKslIr,223301,2,h583RYORXtRkVOy067RJhA4Kz3,6VzD3KUWLtJX7vztnUjD2F9NzG,1562.0,880.0,,2880.0,False,12.0,,,,,,,,,,,,iqc_test_trial_feedback,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,"<p>Your answer was <span style=""color: red""><b>incorrect</b></span>.</p><p>Progress: 4/30 questions completed. 50% correct.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-html-form,18,115432,0.0-7.0-4.0-0.0-0.4,9RURS9QDBxOxAXzKslIr,223301,2,h583RYORXtRkVOy067RJhA4Kz3,6VzD3KUWLtJX7vztnUjD2F9NzG,1562.0,880.0,,10691.0,False,13.0,,,,,,,,,,,,iqc_test_trial,,,,,,,,,,,,,,,,,"{'GK_42': '1', 'GK_42_slider': '60'}",1.0,60.0,True,False,0.0,4.0,GK_42,Which happened earlier in history?,Chinese issue the first paper money,European sailors begin to use the magnetic compass,1.0,anchor,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,19,118683,0.0-7.0-4.0-0.0-1.4,9RURS9QDBxOxAXzKslIr,223301,2,h583RYORXtRkVOy067RJhA4Kz3,6VzD3KUWLtJX7vztnUjD2F9NzG,1562.0,880.0,,3250.0,False,14.0,,,,,,,,,,,,iqc_test_trial_feedback,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,"<p>Your answer was <span style=""color: green""><b>correct</b></span>.</p><p>Progress: 5/30 questions completed. 60% correct.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-html-form,20,125397,0.0-7.0-4.0-0.0-0.5,9RURS9QDBxOxAXzKslIr,223301,2,h583RYORXtRkVOy067RJhA4Kz3,6VzD3KUWLtJX7vztnUjD2F9NzG,1562.0,880.0,,6713.0,False,15.0,,,,,,,,,,,,iqc_test_trial,,,,,,,,,,,,,,,,,"{'GK_64': '2', 'GK_64_slider': '89'}",2.0,89.0,True,False,0.0,5.0,GK_64,Human children have more bones than adults.,True,False,1.0,anchor,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,21,127772,0.0-7.0-4.0-0.0-1.5,9RURS9QDBxOxAXzKslIr,223301,2,h583RYORXtRkVOy067RJhA4Kz3,6VzD3KUWLtJX7vztnUjD2F9NzG,1562.0,880.0,,2373.0,False,16.0,,,,,,,,,,,,iqc_test_trial_feedback,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,"<p>Your answer was <span style=""color: red""><b>incorrect</b></span>.</p><p>Progress: 6/30 questions completed. 50% correct.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-html-form,22,147284,0.0-7.0-4.0-0.0-0.6,9RURS9QDBxOxAXzKslIr,223301,2,h583RYORXtRkVOy067RJhA4Kz3,6VzD3KUWLtJX7vztnUjD2F9NzG,1562.0,880.0,,19511.0,False,17.0,,,,,,,,,,,,iqc_test_trial,,,,,,,,,,,,,,,,,{'GK_79': '3'},3.0,,False,False,0.0,6.0,GK_79,Which one of the below is not a correct possible solution for x. | x - 9 | <  10.,-4,4,1.0,anchor,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,23,149142,0.0-7.0-4.0-0.0-1.6,9RURS9QDBxOxAXzKslIr,223301,2,h583RYORXtRkVOy067RJhA4Kz3,6VzD3KUWLtJX7vztnUjD2F9NzG,1562.0,880.0,,1856.0,False,18.0,,,,,,,,,,,,iqc_test_trial_feedback,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,<p>Progress: 7/30 questions completed. 50% correct.</p>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-html-form,24,161158,0.0-7.0-4.0-0.0-0.7,9RURS9QDBxOxAXzKslIr,223301,2,h583RYORXtRkVOy067RJhA4Kz3,6VzD3KUWLtJX7vztnUjD2F9NzG,1562.0,880.0,,12014.0,False,19.0,,,,,,,,,,,,iqc_test_trial,,,,,,,,,,,,,,,,,"{'IQ_5': '2', 'IQ_5_slider': '70'}",2.0,70.0,True,False,0.0,7.0,IQ_5,What is the Parlichev method?,A way of extracting minerals from soil,A way of determining the distance to a star,3.0,anchor,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,25,163071,0.0-7.0-4.0-0.0-1.7,9RURS9QDBxOxAXzKslIr,223301,2,h583RYORXtRkVOy067RJhA4Kz3,6VzD3KUWLtJX7vztnUjD2F9NzG,1562.0,880.0,,1912.0,False,20.0,,,,,,,,,,,,iqc_test_trial_feedback,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,"<p>Your answer was <span style=""color: red""><b>incorrect</b></span>.</p><p>Progress: 8/30 questions completed. 43% correct.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-html-form,26,180590,0.0-7.0-4.0-0.0-0.8,9RURS9QDBxOxAXzKslIr,223301,2,h583RYORXtRkVOy067RJhA4Kz3,6VzD3KUWLtJX7vztnUjD2F9NzG,1562.0,880.0,,17517.0,False,21.0,,,,,,,,,,,,iqc_test_trial,,,,,,,,,,,,,,,,,"{'IQ_3': '1', 'IQ_3_slider': '50'}",1.0,50.0,True,False,0.0,8.0,IQ_3,What is the population of Synomle?,"More than 10,000","Less than 10,000",3.0,anchor,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,27,182902,0.0-7.0-4.0-0.0-1.8,9RURS9QDBxOxAXzKslIr,223301,2,h583RYORXtRkVOy067RJhA4Kz3,6VzD3KUWLtJX7vztnUjD2F9NzG,1562.0,880.0,,2310.0,False,22.0,,,,,,,,,,,,iqc_test_trial_feedback,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,"<p>Your answer was <span style=""color: red""><b>incorrect</b></span>.</p><p>Progress: 9/30 questions completed. 38% correct.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-html-form,28,191282,0.0-7.0-4.0-0.0-0.9,9RURS9QDBxOxAXzKslIr,223301,2,h583RYORXtRkVOy067RJhA4Kz3,6VzD3KUWLtJX7vztnUjD2F9NzG,1562.0,880.0,,8379.0,False,23.0,,,,,,,,,,,,iqc_test_trial,,,,,,,,,,,,,,,,,"{'GK_36': '1', 'GK_36_slider': '50'}",1.0,50.0,True,False,0.0,9.0,GK_36,Ocean currents carry heat from the equator toward the north and south poles.,True,False,1.0,anchor,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,29,195090,0.0-7.0-4.0-0.0-1.9,9RURS9QDBxOxAXzKslIr,223301,2,h583RYORXtRkVOy067RJhA4Kz3,6VzD3KUWLtJX7vztnUjD2F9NzG,1562.0,880.0,,3806.0,False,24.0,,,,,,,,,,,,iqc_test_trial_feedback,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,"<p>Your answer was <span style=""color: green""><b>correct</b></span>.</p><p>Progress: 10/30 questions completed. 44% correct.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-html-form,30,214074,0.0-7.0-4.0-0.0-0.10,9RURS9QDBxOxAXzKslIr,223301,2,h583RYORXtRkVOy067RJhA4Kz3,6VzD3KUWLtJX7vztnUjD2F9NzG,1562.0,880.0,,18982.0,False,25.0,,,,,,,,,,,,iqc_test_trial,,,,,,,,,,,,,,,,,"{'GK_70': '1', 'GK_70_slider': '59'}",1.0,59.0,True,False,0.0,10.0,GK_70,"A man bought a car for $10,000. He sold the car once the price fell by 17%, and invested the money so that he then got back $10,000. His profit on the invested amount is approximately:",0.17,0.2,2.0,anchor,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,31,215879,0.0-7.0-4.0-0.0-1.10,9RURS9QDBxOxAXzKslIr,223301,2,h583RYORXtRkVOy067RJhA4Kz3,6VzD3KUWLtJX7vztnUjD2F9NzG,1562.0,880.0,,1804.0,False,26.0,,,,,,,,,,,,iqc_test_trial_feedback,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,"<p>Your answer was <span style=""color: red""><b>incorrect</b></span>.</p><p>Progress: 11/30 questions completed. 40% correct.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-html-form,32,225388,0.0-7.0-4.0-0.0-0.11,9RURS9QDBxOxAXzKslIr,223301,2,h583RYORXtRkVOy067RJhA4Kz3,6VzD3KUWLtJX7vztnUjD2F9NzG,1562.0,880.0,,9507.0,False,27.0,,,,,,,,,,,,iqc_test_trial,,,,,,,,,,,,,,,,,"{'IQ_2': '1', 'IQ_2_slider': '50'}",1.0,50.0,True,False,0.0,11.0,IQ_2,How many sides does a Detseroid have?,More than 20,Less than 20,3.0,anchor,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,33,228045,0.0-7.0-4.0-0.0-1.11,9RURS9QDBxOxAXzKslIr,223301,2,h583RYORXtRkVOy067RJhA4Kz3,6VzD3KUWLtJX7vztnUjD2F9NzG,1562.0,880.0,,2656.0,False,28.0,,,,,,,,,,,,iqc_test_trial_feedback,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,"<p>Your answer was <span style=""color: red""><b>incorrect</b></span>.</p><p>Progress: 12/30 questions completed. 36% correct.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-html-form,34,238760,0.0-7.0-4.0-0.0-0.12,9RURS9QDBxOxAXzKslIr,223301,2,h583RYORXtRkVOy067RJhA4Kz3,6VzD3KUWLtJX7vztnUjD2F9NzG,1562.0,880.0,,10713.0,False,29.0,,,,,,,,,,,,iqc_test_trial,,,,,,,,,,,,,,,,,"{'IQ_4': '1', 'IQ_4_slider': '50'}",1.0,50.0,True,False,0.0,12.0,IQ_4,What is the most prominent symptom of Seradot's disease?,A fever,A rash,3.0,anchor,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,35,240717,0.0-7.0-4.0-0.0-1.12,9RURS9QDBxOxAXzKslIr,223301,2,h583RYORXtRkVOy067RJhA4Kz3,6VzD3KUWLtJX7vztnUjD2F9NzG,1562.0,880.0,,1956.0,False,30.0,,,,,,,,,,,,iqc_test_trial_feedback,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,"<p>Your answer was <span style=""color: red""><b>incorrect</b></span>.</p><p>Progress: 13/30 questions completed. 33% correct.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-html-form,36,249632,0.0-7.0-4.0-0.0-0.13,9RURS9QDBxOxAXzKslIr,223301,2,h583RYORXtRkVOy067RJhA4Kz3,6VzD3KUWLtJX7vztnUjD2F9NzG,1562.0,880.0,,8913.0,False,31.0,,,,,,,,,,,,iqc_test_trial,,,,,,,,,,,,,,,,,"{'GK_2': '1', 'GK_2_slider': '50'}",1.0,50.0,True,False,0.0,13.0,GK_2,The radius of the Earth is approximately...,4000 miles,200 miles,1.0,anchor,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,37,252296,0.0-7.0-4.0-0.0-1.13,9RURS9QDBxOxAXzKslIr,223301,2,h583RYORXtRkVOy067RJhA4Kz3,6VzD3KUWLtJX7vztnUjD2F9NzG,1562.0,880.0,,2663.0,False,32.0,,,,,,,,,,,,iqc_test_trial_feedback,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,"<p>Your answer was <span style=""color: green""><b>correct</b></span>.</p><p>Progress: 14/30 questions completed. 38% correct.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-html-form,38,259918,0.0-7.0-4.0-0.0-0.14,9RURS9QDBxOxAXzKslIr,223301,2,h583RYORXtRkVOy067RJhA4Kz3,6VzD3KUWLtJX7vztnUjD2F9NzG,1562.0,880.0,,7619.0,False,33.0,,,,,,,,,,,,iqc_test_trial,,,,,,,,,,,,,,,,,"{'GK_69': '1', 'GK_69_slider': '50'}",1.0,50.0,True,False,0.0,14.0,GK_69,Which is the smallest independent country?,Monaco,Vatican City,2.0,anchor,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,39,261853,0.0-7.0-4.0-0.0-1.14,9RURS9QDBxOxAXzKslIr,223301,2,h583RYORXtRkVOy067RJhA4Kz3,6VzD3KUWLtJX7vztnUjD2F9NzG,1562.0,880.0,,1933.0,False,34.0,,,,,,,,,,,,iqc_test_trial_feedback,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,"<p>Your answer was <span style=""color: red""><b>incorrect</b></span>.</p><p>Progress: 15/30 questions completed. 36% correct.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-html-form,40,273494,0.0-7.0-4.0-0.0-0.15,9RURS9QDBxOxAXzKslIr,223301,2,h583RYORXtRkVOy067RJhA4Kz3,6VzD3KUWLtJX7vztnUjD2F9NzG,1562.0,880.0,,11639.0,False,35.0,,,,,,,,,,,,iqc_test_trial,,,,,,,,,,,,,,,,,"{'GK_23': '1', 'GK_23_slider': '100'}",1.0,100.0,True,False,0.0,15.0,GK_23,Not all metals are attracted to magnets,True,False,1.0,anchor,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,41,278884,0.0-7.0-4.0-0.0-1.15,9RURS9QDBxOxAXzKslIr,223301,2,h583RYORXtRkVOy067RJhA4Kz3,6VzD3KUWLtJX7vztnUjD2F9NzG,1562.0,880.0,,5390.0,False,36.0,,,,,,,,,,,,iqc_test_trial_feedback,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,"<p>Your answer was <span style=""color: green""><b>correct</b></span>.</p><p>Progress: 16/30 questions completed. 40% correct.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-html-form,42,288536,0.0-7.0-4.0-0.0-0.16,9RURS9QDBxOxAXzKslIr,223301,2,h583RYORXtRkVOy067RJhA4Kz3,6VzD3KUWLtJX7vztnUjD2F9NzG,1562.0,880.0,,9649.0,False,37.0,,,,,,,,,,,,iqc_test_trial,,,,,,,,,,,,,,,,,"{'GK_3': '1', 'GK_3_slider': '100'}",1.0,100.0,True,False,0.0,16.0,GK_3,Apples are classified as:,Fruits,Vegetables,1.0,anchor,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,43,290953,0.0-7.0-4.0-0.0-1.16,9RURS9QDBxOxAXzKslIr,223301,2,h583RYORXtRkVOy067RJhA4Kz3,6VzD3KUWLtJX7vztnUjD2F9NzG,1562.0,880.0,,2416.0,False,38.0,,,,,,,,,,,,iqc_test_trial_feedback,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,"<p>Your answer was <span style=""color: green""><b>correct</b></span>.</p><p>Progress: 17/30 questions completed. 44% correct.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-html-form,44,299993,0.0-7.0-4.0-0.0-0.17,9RURS9QDBxOxAXzKslIr,223301,2,h583RYORXtRkVOy067RJhA4Kz3,6VzD3KUWLtJX7vztnUjD2F9NzG,1562.0,880.0,,9038.0,False,39.0,,,,,,,,,,,,iqc_test_trial,,,,,,,,,,,,,,,,,"{'GK_90': '1', 'GK_90_slider': '100'}",1.0,100.0,True,False,0.0,17.0,GK_90,The reason we experience seasons is because the distance between the earth and sun changes.,True,False,2.0,anchor,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,45,302548,0.0-7.0-4.0-0.0-1.17,9RURS9QDBxOxAXzKslIr,223301,2,h583RYORXtRkVOy067RJhA4Kz3,6VzD3KUWLtJX7vztnUjD2F9NzG,1562.0,880.0,,2554.0,False,40.0,,,,,,,,,,,,iqc_test_trial_feedback,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,"<p>Your answer was <span style=""color: red""><b>incorrect</b></span>.</p><p>Progress: 18/30 questions completed. 41% correct.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-html-form,46,323559,0.0-7.0-4.0-0.0-0.18,9RURS9QDBxOxAXzKslIr,223301,2,h583RYORXtRkVOy067RJhA4Kz3,6VzD3KUWLtJX7vztnUjD2F9NzG,1562.0,880.0,,21008.0,True,41.0,,,,,,,,,,,,iqc_test_trial,,,,,,,,,,,,,,,,,"{'GK_75': '1', 'GK_75_slider': '60'}",1.0,60.0,True,False,0.0,18.0,GK_75,"In 2006, the status of the then planet Pluto was reduced to 'dwarf Planet' so that it was no longer officially the ninth planet in our Solar system. The reason for this was because its' gravitational force was not enough to",Maintain its regular orbit around the sun,Clear its neighbouring region of planetesimals and asteroids etc.,2.0,anchor,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,47,324877,0.0-7.0-4.0-0.0-1.18,9RURS9QDBxOxAXzKslIr,223301,2,h583RYORXtRkVOy067RJhA4Kz3,6VzD3KUWLtJX7vztnUjD2F9NzG,1562.0,880.0,,1317.0,False,42.0,,,,,,,,,,,,iqc_test_trial_feedback,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,"<p>Your answer was <span style=""color: red""><b>incorrect</b></span>.</p><p>Progress: 19/30 questions completed. 39% correct.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-html-form,48,334297,0.0-7.0-4.0-0.0-0.19,9RURS9QDBxOxAXzKslIr,223301,2,h583RYORXtRkVOy067RJhA4Kz3,6VzD3KUWLtJX7vztnUjD2F9NzG,1562.0,880.0,,9419.0,False,43.0,,,,,,,,,,,,iqc_test_trial,,,,,,,,,,,,,,,,,"{'GK_14': '1', 'GK_14_slider': '59'}",1.0,59.0,True,False,0.0,19.0,GK_14,"Methane, Carbon Dioxide and Water vapor in the atmosphere are all good at trapping heat from the Earth's surface",True,False,1.0,anchor,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,49,336663,0.0-7.0-4.0-0.0-1.19,9RURS9QDBxOxAXzKslIr,223301,2,h583RYORXtRkVOy067RJhA4Kz3,6VzD3KUWLtJX7vztnUjD2F9NzG,1562.0,880.0,,2364.0,False,44.0,,,,,,,,,,,,iqc_test_trial_feedback,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,"<p>Your answer was <span style=""color: green""><b>correct</b></span>.</p><p>Progress: 20/30 questions completed. 42% correct.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-html-form,50,345435,0.0-7.0-4.0-0.0-0.20,9RURS9QDBxOxAXzKslIr,223301,2,h583RYORXtRkVOy067RJhA4Kz3,6VzD3KUWLtJX7vztnUjD2F9NzG,1562.0,880.0,,8771.0,False,45.0,,,,,,,,,,,,iqc_test_trial,,,,,,,,,,,,,,,,,"{'GK_4': '2', 'GK_4_slider': '100'}",2.0,100.0,True,False,0.0,20.0,GK_4,Which comes closest in meaning to the following word? Easy,Complex,Simple,2.0,anchor,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,51,348313,0.0-7.0-4.0-0.0-1.20,9RURS9QDBxOxAXzKslIr,223301,2,h583RYORXtRkVOy067RJhA4Kz3,6VzD3KUWLtJX7vztnUjD2F9NzG,1562.0,880.0,,2876.0,False,46.0,,,,,,,,,,,,iqc_test_trial_feedback,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,"<p>Your answer was <span style=""color: green""><b>correct</b></span>.</p><p>Progress: 21/30 questions completed. 45% correct.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
