trial_type,trial_index,time_elapsed,internal_node_id,subject_id,form,wave,session_id,session_restart_id,trial_name,experiment_parameters,task_impossible_question,task_admc_a2,task_bayesian_update_easy,task_bayesian_update_hard,task_leapfrog,task_denominator_neglect_version_A,task_denominator_neglect_version_B,task_admc_rc1,task_time_series,task_shipley_abstraction,task_shipley_vocab,task_admc_rp,data_checkpoint,data_checkpoint_ind,view_history,rt,custom_timer_ended_trial,interval_id,FULLSCREEN_SCREEN_WIDTH,FULLSCREEN_SCREEN_HEIGHT,width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,success,response,response_choice,response_slider,slider_moved,pt_trial,block,trial,id,question_text,answer_1,answer_2,correct_answer,aig_version,correct,stimulus,slider_start,admc_id,admc_response,unique_trial,unique_trial_draw_number,ball_split,left_box_majority_color,right_box_majority_color,selected_box_majority_color,current_draw,past_draws,version,score,optionA_reward,optionB_reward,points_won,option_selected,curr_block_ind,pt_trial_prediction,task_version,choice_type,left_lottery_display_type,right_lottery_display_type,left_lottery_type,right_lottery_type,left_lottery_gold_prop,right_lottery_gold_prop,left_lottery_total_coins,right_lottery_total_coins,left_lottery_gold_coins,right_lottery_gold_coins,left_lottery_silver_coins,right_lottery_silver_coins,selected_lottery,coin_drawn,y_axis_values,chart_height,func,direction,noise_condition,datapoints,shipley_abstraction_score,question_order,shipley_vocabulary_score,moved_sliders
html-keyboard-response,901,1855283,0.0-19.0-7.0-0.0-2.22,G70NDfvVTsAVQheihRzE,223301,2,R4kdrJuLjAafZWmB7UsoFbNC01,yLPJTHannfTR0QtyKZFi70WtAT,dn_trial_feedback,,,,,,,,,,,,,,,,,,,,1536.0,864.0,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: gold; line-height: 2em;"">You drew a <b>gold coin</b>.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,902,1855590,0.0-19.0-7.0-0.0-0.23,G70NDfvVTsAVQheihRzE,223301,2,R4kdrJuLjAafZWmB7UsoFbNC01,yLPJTHannfTR0QtyKZFi70WtAT,fixation_cross,,,,,,,,,,,,,,,,,,,,1536.0,864.0,,,,,,,,,,,,,,,,,,,,,,,,,,,"<div class=""fixation-cross"">+</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,903,1856569,0.0-19.0-7.0-0.0-1.23,G70NDfvVTsAVQheihRzE,223301,2,R4kdrJuLjAafZWmB7UsoFbNC01,yLPJTHannfTR0QtyKZFi70WtAT,dn_main_trial_version_A,,,,,,,,,,,,,,,,,976.0,False,123562.0,1536.0,864.0,,,,,,,,,,,,,arrowright,,,,False,0.0,23.0,,,,,,,,"<div id=""lottery_labels_container"">
                            <div>Lottery 1</div>
                            <div>Lottery 2</div>
                        </div>
                        <div id=""lottery_text_desc_container"">
                            <div id=""lottery_left_text"" class=""lottery_text""></div>
                            <div id=""lottery_right_text"" class=""lottery_text""></div>
                        </div>
                        <div id=""lotteries_container"">
                            <div id=""lottery_left_parent"" class=""lottery_parent"" style='visibility: hidden'"">
                                <div id=""lottery_left"" class=""lottery""></div>
                            </div>
                            <div id=""lottery_right_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_right"" class=""lottery""></div>
                            </div>
                        </div>
                        <div id=""lottery_choices"">
                            <div class=""lottery_choice""><span>Draw from Lottery 1</span><br><span><i>left arrow</i></span></div>
                            <div class=""lottery_choice""><span>Draw from Lottery 2</span><br><span><i>right arrow</i></span></div>
                        </div>
                ",,,,,,,,,,,,,,,,,,,,A,harmony,text,array,small,large,0.2,0.14,10.0,400.0,2.0,56.0,8.0,344.0,right,gold,,,,,,,,,,
html-keyboard-response,904,1857570,0.0-19.0-7.0-0.0-2.23,G70NDfvVTsAVQheihRzE,223301,2,R4kdrJuLjAafZWmB7UsoFbNC01,yLPJTHannfTR0QtyKZFi70WtAT,dn_trial_feedback,,,,,,,,,,,,,,,,,,,,1536.0,864.0,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: gold; line-height: 2em;"">You drew a <b>gold coin</b>.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,905,1857874,0.0-19.0-7.0-0.0-0.24,G70NDfvVTsAVQheihRzE,223301,2,R4kdrJuLjAafZWmB7UsoFbNC01,yLPJTHannfTR0QtyKZFi70WtAT,fixation_cross,,,,,,,,,,,,,,,,,,,,1536.0,864.0,,,,,,,,,,,,,,,,,,,,,,,,,,,"<div class=""fixation-cross"">+</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,906,1858982,0.0-19.0-7.0-0.0-1.24,G70NDfvVTsAVQheihRzE,223301,2,R4kdrJuLjAafZWmB7UsoFbNC01,yLPJTHannfTR0QtyKZFi70WtAT,dn_main_trial_version_A,,,,,,,,,,,,,,,,,1106.0,False,124500.0,1536.0,864.0,,,,,,,,,,,,,arrowleft,,,,False,0.0,24.0,,,,,,,,"<div id=""lottery_labels_container"">
                            <div>Lottery 1</div>
                            <div>Lottery 2</div>
                        </div>
                        <div id=""lottery_text_desc_container"">
                            <div id=""lottery_left_text"" class=""lottery_text""></div>
                            <div id=""lottery_right_text"" class=""lottery_text""></div>
                        </div>
                        <div id=""lotteries_container"">
                            <div id=""lottery_left_parent"" class=""lottery_parent"" style='visibility: hidden'"">
                                <div id=""lottery_left"" class=""lottery""></div>
                            </div>
                            <div id=""lottery_right_parent"" class=""lottery_parent"" style='visibility: hidden'"">
                                <div id=""lottery_right"" class=""lottery""></div>
                            </div>
                        </div>
                        <div id=""lottery_choices"">
                            <div class=""lottery_choice""><span>Draw from Lottery 1</span><br><span><i>left arrow</i></span></div>
                            <div class=""lottery_choice""><span>Draw from Lottery 2</span><br><span><i>right arrow</i></span></div>
                        </div>
                ",,,,,,,,,,,,,,,,,,,,A,conflict,text,text,large,small,0.12,0.1,400.0,10.0,48.0,1.0,352.0,9.0,left,silver,,,,,,,,,,
html-keyboard-response,907,1859984,0.0-19.0-7.0-0.0-2.24,G70NDfvVTsAVQheihRzE,223301,2,R4kdrJuLjAafZWmB7UsoFbNC01,yLPJTHannfTR0QtyKZFi70WtAT,dn_trial_feedback,,,,,,,,,,,,,,,,,,,,1536.0,864.0,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: white; line-height: 2em;"">You drew a <b>silver coin</b>.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,908,1860292,0.0-19.0-7.0-0.0-0.25,G70NDfvVTsAVQheihRzE,223301,2,R4kdrJuLjAafZWmB7UsoFbNC01,yLPJTHannfTR0QtyKZFi70WtAT,fixation_cross,,,,,,,,,,,,,,,,,,,,1536.0,864.0,,,,,,,,,,,,,,,,,,,,,,,,,,,"<div class=""fixation-cross"">+</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,909,1861636,0.0-19.0-7.0-0.0-1.25,G70NDfvVTsAVQheihRzE,223301,2,R4kdrJuLjAafZWmB7UsoFbNC01,yLPJTHannfTR0QtyKZFi70WtAT,dn_main_trial_version_A,,,,,,,,,,,,,,,,,1341.0,False,124522.0,1536.0,864.0,,,,,,,,,,,,,arrowleft,,,,False,0.0,25.0,,,,,,,,"<div id=""lottery_labels_container"">
                            <div>Lottery 1</div>
                            <div>Lottery 2</div>
                        </div>
                        <div id=""lottery_text_desc_container"">
                            <div id=""lottery_left_text"" class=""lottery_text""></div>
                            <div id=""lottery_right_text"" class=""lottery_text""></div>
                        </div>
                        <div id=""lotteries_container"">
                            <div id=""lottery_left_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_left"" class=""lottery""></div>
                            </div>
                            <div id=""lottery_right_parent"" class=""lottery_parent"" style='visibility: hidden'"">
                                <div id=""lottery_right"" class=""lottery""></div>
                            </div>
                        </div>
                        <div id=""lottery_choices"">
                            <div class=""lottery_choice""><span>Draw from Lottery 1</span><br><span><i>left arrow</i></span></div>
                            <div class=""lottery_choice""><span>Draw from Lottery 2</span><br><span><i>right arrow</i></span></div>
                        </div>
                ",,,,,,,,,,,,,,,,,,,,A,harmony,array,text,small,large,0.1,0.17,10.0,400.0,1.0,68.0,9.0,332.0,left,silver,,,,,,,,,,
html-keyboard-response,910,1862638,0.0-19.0-7.0-0.0-2.25,G70NDfvVTsAVQheihRzE,223301,2,R4kdrJuLjAafZWmB7UsoFbNC01,yLPJTHannfTR0QtyKZFi70WtAT,dn_trial_feedback,,,,,,,,,,,,,,,,,,,,1536.0,864.0,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: white; line-height: 2em;"">You drew a <b>silver coin</b>.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
