trial_type,trial_index,time_elapsed,internal_node_id,subject_id,form,wave,group,session_id,session_restart_id,FULLSCREEN_SCREEN_WIDTH,FULLSCREEN_SCREEN_HEIGHT,view_history,rt,custom_timer_ended_trial,interval_id,width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_name,success,data_checkpoint,data_checkpoint_ind,experiment_parameters,task_raven_matrix,task_berlin_numeracy,task_denominator_neglect_version_A,task_denominator_neglect_version_B,task_bayesian_update_easy,task_bayesian_update_hard,task_coherence_forecasting,task_leapfrog,task_admc_dr,task_cognitive_reflection,task_admc_a1,task_time_series,task_number_series,task_graph_literacy,task_impossible_question,task_admc_rc2,response,question_order,pt_trial,block,trial,list_id,stimulus,correct_answer,correct,BNS_1,BNS_2,BNS_3,BNS_4,task_version,choice_type,left_lottery_display_type,right_lottery_display_type,left_lottery_type,right_lottery_type,left_lottery_gold_prop,right_lottery_gold_prop,left_lottery_total_coins,right_lottery_total_coins,left_lottery_gold_coins,right_lottery_gold_coins,left_lottery_silver_coins,right_lottery_silver_coins,selected_lottery,coin_drawn,response_slider,unique_trial,unique_trial_draw_number,ball_split,left_box_majority_color,right_box_majority_color,selected_box_majority_color,current_draw,past_draws,version,aig_version,score,moved_sliders,cfs_id,cfs_response,optionA_reward,optionB_reward,points_won,option_selected,curr_block_ind,pt_trial_prediction,admc_id,admc_response,crt_1,crt_2,crt_3,crt_4,crt_5,crt_6,crt_7,slider_start,slider_moved,y_axis_values,chart_height,func,direction,noise_condition,datapoints,ns_id,ns_response,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,response_choice,id,question_text,answer_1,answer_2
html-keyboard-response,2,3,0.0-2.0,DlgqDFDTBhm3azaOtREy,33ff78,3,1,h5ksrMHPeb25v21INaHw13aWWi,ij02fCj1H4cbeIe9GOs8KOlkwu,,,,,,,,,,,,,,,,,,async_data_save,,experiment__save_session_params,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,7,4773,0.0-7.0-0.0-0.0,DlgqDFDTBhm3azaOtREy,33ff78,3,1,h5ksrMHPeb25v21INaHw13aWWi,2JXgRlYwKeCSyD9HJW8hVvU49P,1280.0,720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,8,4933,0.0-7.0-1.0,DlgqDFDTBhm3azaOtREy,33ff78,3,1,h5ksrMHPeb25v21INaHw13aWWi,2JXgRlYwKeCSyD9HJW8hVvU49P,1280.0,720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instructions,9,9604,0.0-7.0-2.0,DlgqDFDTBhm3azaOtREy,33ff78,3,1,h5ksrMHPeb25v21INaHw13aWWi,2JXgRlYwKeCSyD9HJW8hVvU49P,1280.0,720.0,"[{'page_index': 0, 'viewing_time': 4670}]",4670.0,False,8.0,,,,,,,,,,,,raven_matrix_instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,10,9607,0.0-7.0-3.0,DlgqDFDTBhm3azaOtREy,33ff78,3,1,h5ksrMHPeb25v21INaHw13aWWi,2JXgRlYwKeCSyD9HJW8hVvU49P,1280.0,720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instructions,11,11088,0.0-7.0-4.0,DlgqDFDTBhm3azaOtREy,33ff78,3,1,h5ksrMHPeb25v21INaHw13aWWi,2JXgRlYwKeCSyD9HJW8hVvU49P,1280.0,720.0,"[{'page_index': 0, 'viewing_time': 1480}]",1480.0,False,9.0,,,,,,,,,,,,raven_matrix_practice_trials_instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,12,16796,0.0-7.0-5.0-0.0-0.0,DlgqDFDTBhm3azaOtREy,33ff78,3,1,h5ksrMHPeb25v21INaHw13aWWi,2JXgRlYwKeCSyD9HJW8hVvU49P,1280.0,720.0,,5703.0,False,10.0,,,,,,,,,,,,raven_trial,,,,,,,,,,,,,,,,,,,,,6,[0],True,0.0,0.0,5.0,A1_1,6.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,13,20690,0.0-7.0-5.0-0.0-0.1,DlgqDFDTBhm3azaOtREy,33ff78,3,1,h5ksrMHPeb25v21INaHw13aWWi,2JXgRlYwKeCSyD9HJW8hVvU49P,1280.0,720.0,,3888.0,False,11.0,,,,,,,,,,,,raven_trial,,,,,,,,,,,,,,,,,,,,,8,[0],True,0.0,1.0,5.0,B2_1,8.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,14,29537,0.0-7.0-5.0-0.0-0.2,DlgqDFDTBhm3azaOtREy,33ff78,3,1,h5ksrMHPeb25v21INaHw13aWWi,2JXgRlYwKeCSyD9HJW8hVvU49P,1280.0,720.0,,8840.0,False,12.0,,,,,,,,,,,,raven_trial,,,,,,,,,,,,,,,,,,,,,4,[0],True,0.0,2.0,5.0,C3_1,7.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,15,44681,0.0-7.0-5.0-0.0-0.3,DlgqDFDTBhm3azaOtREy,33ff78,3,1,h5ksrMHPeb25v21INaHw13aWWi,2JXgRlYwKeCSyD9HJW8hVvU49P,1280.0,720.0,,15137.0,False,13.0,,,,,,,,,,,,raven_trial,,,,,,,,,,,,,,,,,,,,,8,[0],True,0.0,3.0,5.0,D4_1,8.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,16,53137,0.0-7.0-5.0-0.0-0.4,DlgqDFDTBhm3azaOtREy,33ff78,3,1,h5ksrMHPeb25v21INaHw13aWWi,2JXgRlYwKeCSyD9HJW8hVvU49P,1280.0,720.0,,8450.0,False,14.0,,,,,,,,,,,,raven_trial,,,,,,,,,,,,,,,,,,,,,2,[0],True,0.0,4.0,5.0,E5_1,2.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instructions,17,56245,0.0-7.0-6.0,DlgqDFDTBhm3azaOtREy,33ff78,3,1,h5ksrMHPeb25v21INaHw13aWWi,2JXgRlYwKeCSyD9HJW8hVvU49P,1280.0,720.0,"[{'page_index': 0, 'viewing_time': 3103}]",3103.0,False,15.0,,,,,,,,,,,,raven_matrix_test_trials_instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,18,59685,0.0-7.0-7.0-0.0-0.0,DlgqDFDTBhm3azaOtREy,33ff78,3,1,h5ksrMHPeb25v21INaHw13aWWi,2JXgRlYwKeCSyD9HJW8hVvU49P,1280.0,720.0,,3438.0,False,16.0,,,,,,,,,,,,raven_trial,,,,,,,,,,,,,,,,,,,,,1,[0],False,0.0,0.0,14.0,A2_3,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,19,65638,0.0-7.0-7.0-0.0-0.1,DlgqDFDTBhm3azaOtREy,33ff78,3,1,h5ksrMHPeb25v21INaHw13aWWi,2JXgRlYwKeCSyD9HJW8hVvU49P,1280.0,720.0,,5948.0,False,17.0,,,,,,,,,,,,raven_trial,,,,,,,,,,,,,,,,,,,,,3,[0],False,0.0,1.0,14.0,B3_3,3.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,20,76118,0.0-7.0-7.0-0.0-0.2,DlgqDFDTBhm3azaOtREy,33ff78,3,1,h5ksrMHPeb25v21INaHw13aWWi,2JXgRlYwKeCSyD9HJW8hVvU49P,1280.0,720.0,,10475.0,False,18.0,,,,,,,,,,,,raven_trial,,,,,,,,,,,,,,,,,,,,,1,[0],False,0.0,2.0,14.0,C4_3,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,21,88980,0.0-7.0-7.0-0.0-0.3,DlgqDFDTBhm3azaOtREy,33ff78,3,1,h5ksrMHPeb25v21INaHw13aWWi,2JXgRlYwKeCSyD9HJW8hVvU49P,1280.0,720.0,,12856.0,False,19.0,,,,,,,,,,,,raven_trial,,,,,,,,,,,,,,,,,,,,,7,[0],False,0.0,3.0,14.0,D5_3,7.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,22,93250,0.0-7.0-7.0-0.0-0.4,DlgqDFDTBhm3azaOtREy,33ff78,3,1,h5ksrMHPeb25v21INaHw13aWWi,2JXgRlYwKeCSyD9HJW8hVvU49P,1280.0,720.0,,4264.0,False,20.0,,,,,,,,,,,,raven_trial,,,,,,,,,,,,,,,,,,,,,4,[0],False,0.0,4.0,14.0,E1_3,4.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,23,107643,0.0-7.0-7.0-0.0-0.5,DlgqDFDTBhm3azaOtREy,33ff78,3,1,h5ksrMHPeb25v21INaHw13aWWi,2JXgRlYwKeCSyD9HJW8hVvU49P,1280.0,720.0,,14388.0,False,21.0,,,,,,,,,,,,raven_trial,,,,,,,,,,,,,,,,,,,,,1,[0],False,0.0,5.0,14.0,C1D3,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,24,119639,0.0-7.0-7.0-0.0-0.6,DlgqDFDTBhm3azaOtREy,33ff78,3,1,h5ksrMHPeb25v21INaHw13aWWi,2JXgRlYwKeCSyD9HJW8hVvU49P,1280.0,720.0,,11990.0,False,22.0,,,,,,,,,,,,raven_trial,,,,,,,,,,,,,,,,,,,,,3,[0],False,0.0,6.0,14.0,C2E4,3.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,25,143942,0.0-7.0-7.0-0.0-0.7,DlgqDFDTBhm3azaOtREy,33ff78,3,1,h5ksrMHPeb25v21INaHw13aWWi,2JXgRlYwKeCSyD9HJW8hVvU49P,1280.0,720.0,,24300.0,False,23.0,,,,,,,,,,,,raven_trial,,,,,,,,,,,,,,,,,,,,,4,[0],False,0.0,7.0,14.0,D3E5,4.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,26,155962,0.0-7.0-7.0-0.0-0.8,DlgqDFDTBhm3azaOtREy,33ff78,3,1,h5ksrMHPeb25v21INaHw13aWWi,2JXgRlYwKeCSyD9HJW8hVvU49P,1280.0,720.0,,12014.0,False,24.0,,,,,,,,,,,,raven_trial,,,,,,,,,,,,,,,,,,,,,5,[0],False,0.0,8.0,14.0,A4B1,5.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,27,167976,0.0-7.0-7.0-0.0-0.9,DlgqDFDTBhm3azaOtREy,33ff78,3,1,h5ksrMHPeb25v21INaHw13aWWi,2JXgRlYwKeCSyD9HJW8hVvU49P,1280.0,720.0,,12008.0,False,25.0,,,,,,,,,,,,raven_trial,,,,,,,,,,,,,,,,,,,,,8,[0],False,0.0,9.0,14.0,A1D3,8.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,28,188692,0.0-7.0-7.0-0.0-0.10,DlgqDFDTBhm3azaOtREy,33ff78,3,1,h5ksrMHPeb25v21INaHw13aWWi,2JXgRlYwKeCSyD9HJW8hVvU49P,1280.0,720.0,,20704.0,False,26.0,,,,,,,,,,,,raven_trial,,,,,,,,,,,,,,,,,,,,,6,[0],False,0.0,10.0,14.0,A2E4,6.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,29,197170,0.0-7.0-7.0-0.0-0.11,DlgqDFDTBhm3azaOtREy,33ff78,3,1,h5ksrMHPeb25v21INaHw13aWWi,2JXgRlYwKeCSyD9HJW8hVvU49P,1280.0,720.0,,8473.0,False,27.0,,,,,,,,,,,,raven_trial,,,,,,,,,,,,,,,,,,,,,3,[0],False,0.0,11.0,14.0,B3C5,8.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,30,203022,0.0-7.0-7.0-0.0-0.12,DlgqDFDTBhm3azaOtREy,33ff78,3,1,h5ksrMHPeb25v21INaHw13aWWi,2JXgRlYwKeCSyD9HJW8hVvU49P,1280.0,720.0,,5846.0,False,28.0,,,,,,,,,,,,raven_trial,,,,,,,,,,,,,,,,,,,,,2,[0],False,0.0,12.0,14.0,B4D1,2.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,31,211835,0.0-7.0-7.0-0.0-0.13,DlgqDFDTBhm3azaOtREy,33ff78,3,1,h5ksrMHPeb25v21INaHw13aWWi,2JXgRlYwKeCSyD9HJW8hVvU49P,1280.0,720.0,,8808.0,False,29.0,,,,,,,,,,,,raven_trial,,,,,,,,,,,,,,,,,,,,,3,[0],False,0.0,13.0,14.0,B5E2,3.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,32,242852,0.0-7.0-7.0-0.0-0.14,DlgqDFDTBhm3azaOtREy,33ff78,3,1,h5ksrMHPeb25v21INaHw13aWWi,2JXgRlYwKeCSyD9HJW8hVvU49P,1280.0,720.0,,31010.0,True,30.0,,,,,,,,,,,,raven_trial,,,,,,,,,,,,,,,,,,,,,,[0],False,0.0,14.0,14.0,X_14,5.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,33,265547,0.0-7.0-7.0-0.0-0.15,DlgqDFDTBhm3azaOtREy,33ff78,3,1,h5ksrMHPeb25v21INaHw13aWWi,2JXgRlYwKeCSyD9HJW8hVvU49P,1280.0,720.0,,22691.0,False,31.0,,,,,,,,,,,,raven_trial,,,,,,,,,,,,,,,,,,,,,4,[0],False,0.0,15.0,14.0,Y_14,7.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,34,282754,0.0-7.0-7.0-0.0-0.16,DlgqDFDTBhm3azaOtREy,33ff78,3,1,h5ksrMHPeb25v21INaHw13aWWi,2JXgRlYwKeCSyD9HJW8hVvU49P,1280.0,720.0,,17202.0,False,32.0,,,,,,,,,,,,raven_trial,,,,,,,,,,,,,,,,,,,,,2,[0],False,0.0,16.0,14.0,Z_14,8.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,35,302214,0.0-7.0-7.0-0.0-0.17,DlgqDFDTBhm3azaOtREy,33ff78,3,1,h5ksrMHPeb25v21INaHw13aWWi,2JXgRlYwKeCSyD9HJW8hVvU49P,1280.0,720.0,,19453.0,False,33.0,,,,,,,,,,,,raven_trial,,,,,,,,,,,,,,,,,,,,,5,[0],False,0.0,17.0,14.0,A4C2E1,5.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,36,311108,0.0-7.0-7.0-0.0-0.18,DlgqDFDTBhm3azaOtREy,33ff78,3,1,h5ksrMHPeb25v21INaHw13aWWi,2JXgRlYwKeCSyD9HJW8hVvU49P,1280.0,720.0,,8892.0,False,34.0,,,,,,,,,,,,raven_trial,,,,,,,,,,,,,,,,,,,,,4,[0],False,0.0,18.0,14.0,A2B5C1,4.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,37,321371,0.0-7.0-7.0-0.0-0.19,DlgqDFDTBhm3azaOtREy,33ff78,3,1,h5ksrMHPeb25v21INaHw13aWWi,2JXgRlYwKeCSyD9HJW8hVvU49P,1280.0,720.0,,10257.0,False,35.0,,,,,,,,,,,,raven_trial,,,,,,,,,,,,,,,,,,,,,4,[0],False,0.0,19.0,14.0,B1C3D2,8.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,38,333073,0.0-7.0-7.0-0.0-0.20,DlgqDFDTBhm3azaOtREy,33ff78,3,1,h5ksrMHPeb25v21INaHw13aWWi,2JXgRlYwKeCSyD9HJW8hVvU49P,1280.0,720.0,,11696.0,False,36.0,,,,,,,,,,,,raven_trial,,,,,,,,,,,,,,,,,,,,,2,[0],False,0.0,20.0,14.0,C2D4E1,2.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,39,348201,0.0-7.0-7.0-0.0-0.21,DlgqDFDTBhm3azaOtREy,33ff78,3,1,h5ksrMHPeb25v21INaHw13aWWi,2JXgRlYwKeCSyD9HJW8hVvU49P,1280.0,720.0,,15122.0,False,37.0,,,,,,,,,,,,raven_trial,,,,,,,,,,,,,,,,,,,,,7,[0],False,0.0,21.0,14.0,A2C1E5,7.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,40,360643,0.0-7.0-7.0-0.0-0.22,DlgqDFDTBhm3azaOtREy,33ff78,3,1,h5ksrMHPeb25v21INaHw13aWWi,2JXgRlYwKeCSyD9HJW8hVvU49P,1280.0,720.0,,12436.0,False,38.0,,,,,,,,,,,,raven_trial,,,,,,,,,,,,,,,,,,,,,5,[0],False,0.0,22.0,14.0,A3B5C1,5.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,41,369521,0.0-7.0-7.0-0.0-0.23,DlgqDFDTBhm3azaOtREy,33ff78,3,1,h5ksrMHPeb25v21INaHw13aWWi,2JXgRlYwKeCSyD9HJW8hVvU49P,1280.0,720.0,,8870.0,False,39.0,,,,,,,,,,,,raven_trial,,,,,,,,,,,,,,,,,,,,,5,[0],False,0.0,23.0,14.0,A4B2C3,5.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,42,392236,0.0-7.0-7.0-0.0-0.24,DlgqDFDTBhm3azaOtREy,33ff78,3,1,h5ksrMHPeb25v21INaHw13aWWi,2JXgRlYwKeCSyD9HJW8hVvU49P,1280.0,720.0,,22709.0,False,40.0,,,,,,,,,,,,raven_trial,,,,,,,,,,,,,,,,,,,,,8,[0],False,0.0,24.0,14.0,A4B1D5,6.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,43,404536,0.0-7.0-7.0-0.0-0.25,DlgqDFDTBhm3azaOtREy,33ff78,3,1,h5ksrMHPeb25v21INaHw13aWWi,2JXgRlYwKeCSyD9HJW8hVvU49P,1280.0,720.0,,12294.0,False,41.0,,,,,,,,,,,,raven_trial,,,,,,,,,,,,,,,,,,,,,7,[0],False,0.0,25.0,14.0,A3C2E4,7.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,44,412330,0.0-7.0-7.0-0.0-0.26,DlgqDFDTBhm3azaOtREy,33ff78,3,1,h5ksrMHPeb25v21INaHw13aWWi,2JXgRlYwKeCSyD9HJW8hVvU49P,1280.0,720.0,,7789.0,False,42.0,,,,,,,,,,,,raven_trial,,,,,,,,,,,,,,,,,,,,,3,[0],False,0.0,26.0,14.0,A1B5C4,3.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,45,421630,0.0-7.0-7.0-0.0-0.27,DlgqDFDTBhm3azaOtREy,33ff78,3,1,h5ksrMHPeb25v21INaHw13aWWi,2JXgRlYwKeCSyD9HJW8hVvU49P,1280.0,720.0,,9294.0,False,43.0,,,,,,,,,,,,raven_trial,,,,,,,,,,,,,,,,,,,,,2,[0],False,0.0,27.0,14.0,B3D4E2,2.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,46,434372,0.0-7.0-7.0-0.0-0.28,DlgqDFDTBhm3azaOtREy,33ff78,3,1,h5ksrMHPeb25v21INaHw13aWWi,2JXgRlYwKeCSyD9HJW8hVvU49P,1280.0,720.0,,12732.0,False,44.0,,,,,,,,,,,,raven_trial,,,,,,,,,,,,,,,,,,,,,8,[0],False,0.0,28.0,14.0,B3C1E5,8.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,47,443535,0.0-7.0-7.0-0.0-0.29,DlgqDFDTBhm3azaOtREy,33ff78,3,1,h5ksrMHPeb25v21INaHw13aWWi,2JXgRlYwKeCSyD9HJW8hVvU49P,1280.0,720.0,,9156.0,False,45.0,,,,,,,,,,,,raven_trial,,,,,,,,,,,,,,,,,,,,,1,[0],False,0.0,29.0,14.0,A1C4D3,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,48,457710,0.0-7.0-7.0-0.0-0.30,DlgqDFDTBhm3azaOtREy,33ff78,3,1,h5ksrMHPeb25v21INaHw13aWWi,2JXgRlYwKeCSyD9HJW8hVvU49P,1280.0,720.0,,14170.0,False,46.0,,,,,,,,,,,,raven_trial,,,,,,,,,,,,,,,,,,,,,4,[0],False,0.0,30.0,14.0,C4D2E5,4.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,49,471766,0.0-7.0-7.0-0.0-0.31,DlgqDFDTBhm3azaOtREy,33ff78,3,1,h5ksrMHPeb25v21INaHw13aWWi,2JXgRlYwKeCSyD9HJW8hVvU49P,1280.0,720.0,,14050.0,False,47.0,,,,,,,,,,,,raven_trial,,,,,,,,,,,,,,,,,,,,,3,[0],False,0.0,31.0,14.0,B1D5E3,3.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,50,482843,0.0-7.0-7.0-0.0-0.32,DlgqDFDTBhm3azaOtREy,33ff78,3,1,h5ksrMHPeb25v21INaHw13aWWi,2JXgRlYwKeCSyD9HJW8hVvU49P,1280.0,720.0,,11071.0,False,48.0,,,,,,,,,,,,raven_trial,,,,,,,,,,,,,,,,,,,,,6,[0],False,0.0,32.0,14.0,A3B5C4_4,6.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,51,492964,0.0-7.0-7.0-0.0-0.33,DlgqDFDTBhm3azaOtREy,33ff78,3,1,h5ksrMHPeb25v21INaHw13aWWi,2JXgRlYwKeCSyD9HJW8hVvU49P,1280.0,720.0,,10115.0,False,49.0,,,,,,,,,,,,raven_trial,,,,,,,,,,,,,,,,,,,,,1,[0],False,0.0,33.0,14.0,A4B3D5_4,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,52,505412,0.0-7.0-7.0-0.0-0.34,DlgqDFDTBhm3azaOtREy,33ff78,3,1,h5ksrMHPeb25v21INaHw13aWWi,2JXgRlYwKeCSyD9HJW8hVvU49P,1280.0,720.0,,12442.0,False,50.0,,,,,,,,,,,,raven_trial,,,,,,,,,,,,,,,,,,,,,6,[0],False,0.0,34.0,14.0,A4B5E3_4,6.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
