trial_type,trial_index,time_elapsed,internal_node_id,subject_id,form,wave,group,session_id,session_restart_id,FULLSCREEN_SCREEN_WIDTH,FULLSCREEN_SCREEN_HEIGHT,view_history,rt,custom_timer_ended_trial,interval_id,width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_name,success,data_checkpoint,data_checkpoint_ind,experiment_parameters,task_leapfrog,task_shipley_vocab,task_denominator_neglect_version_A,task_denominator_neglect_version_B,task_admc_rc1,task_bayesian_update_easy,task_bayesian_update_hard,task_admc_a2,task_admc_rp,task_shipley_abstraction,task_impossible_question,task_time_series,stimulus,response,pt_trial,block,trial,optionA_reward,optionB_reward,points_won,option_selected,curr_block_ind,pt_trial_prediction,question_order,shipley_vocabulary_score,task_version,choice_type,left_lottery_display_type,right_lottery_display_type,left_lottery_type,right_lottery_type,left_lottery_gold_prop,right_lottery_gold_prop,left_lottery_total_coins,right_lottery_total_coins,left_lottery_gold_coins,right_lottery_gold_coins,left_lottery_silver_coins,right_lottery_silver_coins,selected_lottery,coin_drawn,slider_start,slider_moved,admc_id,admc_response,response_slider,unique_trial,unique_trial_draw_number,ball_split,left_box_majority_color,right_box_majority_color,selected_box_majority_color,current_draw,past_draws,version,aig_version,score,moved_sliders,shipley_abstraction_score,response_choice,id,question_text,answer_1,answer_2,correct_answer,correct,y_axis_values,chart_height,func,direction,noise_condition,datapoints
call-function,0,1,0.0-0.0,fqW72q81GSezW9MEdWpP,223301,2,2.0,yK3d2uVHiCWmjRTKP42Lg9Q6Lq,qmmRaKHm0rN4VIfwJuHnwCyoso,1536.0,864.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instructions,1,28502,0.0-1.0,fqW72q81GSezW9MEdWpP,223301,2,2.0,yK3d2uVHiCWmjRTKP42Lg9Q6Lq,qmmRaKHm0rN4VIfwJuHnwCyoso,1536.0,864.0,"[{'page_index': 0, 'viewing_time': 28498}]",28500.0,False,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,2,28504,0.0-2.0,fqW72q81GSezW9MEdWpP,223301,2,2.0,yK3d2uVHiCWmjRTKP42Lg9Q6Lq,qmmRaKHm0rN4VIfwJuHnwCyoso,1536.0,864.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
browser-check,3,29487,0.0-3.0,fqW72q81GSezW9MEdWpP,223301,2,2.0,yK3d2uVHiCWmjRTKP42Lg9Q6Lq,qmmRaKHm0rN4VIfwJuHnwCyoso,1536.0,864.0,,,,,1536.0,788.0,True,chrome,116.0.0,False,Chrome OS,True,61.66,True,True,browser_check,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fullscreen,4,38655,0.0-4.0,fqW72q81GSezW9MEdWpP,223301,2,2.0,yK3d2uVHiCWmjRTKP42Lg9Q6Lq,qmmRaKHm0rN4VIfwJuHnwCyoso,1536.0,864.0,,,,,,,,,,,,,,,,fullscreen,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,5,38657,0.0-5.0,fqW72q81GSezW9MEdWpP,223301,2,2.0,yK3d2uVHiCWmjRTKP42Lg9Q6Lq,qmmRaKHm0rN4VIfwJuHnwCyoso,1536.0,864.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,6,38658,0.0-6.0,fqW72q81GSezW9MEdWpP,223301,2,2.0,yK3d2uVHiCWmjRTKP42Lg9Q6Lq,qmmRaKHm0rN4VIfwJuHnwCyoso,1536.0,864.0,,,,,,,,,,,,,,,,async_data_save,,experiment__welcome,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,0,1,0.0-0.0,fqW72q81GSezW9MEdWpP,223301,2,,yK3d2uVHiCWmjRTKP42Lg9Q6Lq,kbWPCN4Kk4917Kkro64AMsgAvx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
