"session_id","trinary_A","trinary_B","trinary_C","trinary_AB","trinary_BC","binary_statepop1","binary_statearea1","binary_gdp1","binary_statepop2","binary_statearea2","binary_gdp2","time1","time2","time3","time4","time5","time6","space1","space2","space3","space4","space5","space6","confidence_interval1","confidence_interval2","confidence_interval3","tri1_abc","tri1_ab","tri1_bc","bin1","bin2","bin3","t1","t2","s1","s2","ci1","score_mean"
"SzLFi6MDhanqznHZzhOse9CTFG",0.16,0.43,0.45,0.45,0.76,0.79,0.1,0.8,0.15,0.65,0.26,0.02,0.09,0.19,0.1,0.22,0.38,0.29,0.8,1,0.08,0.21,1,0.57,0.8,0.79,0.98,0.86,0.88,0.94,0.75,0.94,1,1,1,1,0.666666666666667,0.910606060606061
"SzT0gcxZrWvwUZgkfVN5tCKSbN",0.04,0.25,0.7,0.29,0.7,0.3,0.49,0.89,0.4,0.49,0.1,0.6,0.69,0.8,0.15,0.24,0.31,0.4,0.6,1,0.3,0.5,0.8,0.65,0.7,1,0.995,1,0.75,0.7,0.98,0.99,1,1,1,1,1,0.946818181818182
"t0hv9NR8DyEzKiFQ9EDsnsA2MO",0.09,0.11,1,0.01,1,0.7,0.19,0.51,0.3,0.7,0.41,0.11,0.19,0.29,0.03,0.09,0.16,0.84,0.85,0.93,0.6,0.73,0.85,0.8,0.51,0.21,0.9,0.81,0.89,1,0.89,0.92,1,1,1,1,0,0.855454545454545
"t1a78NTxAtFMWQLWiQYToZcAFW",0.5,0.39,0.99,0.62,0.93,0.98,0.14,0.94,0.04,0.08,0.1,0.99,0.77,0.66,0.57,0.69,0.59,0.91,0.8,0.96,0.95,0.84,0.76,0.99,0.73,0.55,0.56,0.73,0.55,0.98,0.22,0.96,0,0.666666666666667,0.666666666666667,0,0,0.484848484848485
"t4soEe9IohcRqyTLw1QRNSjuBv",0.6,0.51,0.39,0.3,0.3,0.54,0.75,0.4,0.59,0.51,0.48,0.43,0.47,0.53,0.34,0.46,0.56,0.22,0.38,0.54,0.27,0.42,0.51,0.28,0.39,0.42,0.75,0.19,0.4,0.87,0.74,0.88,1,1,1,1,1,0.802727272727273
"t4YUgORbQl5WaLvKlDyTcZWBA0",0.15,0.18,1,0.11,1,0.71,0.16,0.8,0.16,0.7,0.22,0.39,0.44,0.46,0.43,0.49,0.92,0.77,0.92,1,0.48,0.49,0.54,0.63,0.59,0.82,0.835,0.78,0.82,0.87,0.86,0.98,1,1,1,1,0.666666666666667,0.891969696969697
"T5voBgtgC1kIb8MZtn3qAYeWUJ",0.04,0.04,0.9,0.09,0.94,0.49,0.5,0.59,0.5,0.5,0.6,0.1,0.14,0.17,0.04,0.1,0.19,0.19,0.3,0.59,0.29,0.4,0.6,0.6,0.69,0.8,0.99,0.99,1,0.99,1,0.81,1,1,1,1,1,0.98
"T6bbUjI3wlKZgzfEgrmBJ5L6jX",0.15,0.21,0.63,0.17,0.94,0.61,0.94,0.91,0.64,0.16,0.13,0.14,0.25,0.36,0.01,0.03,0.08,0.61,0.99,1,0.52,0.78,0.99,1,1,1,0.995,0.81,0.9,0.75,0.9,0.96,1,1,1,1,0.5,0.892272727272727
"t8GXUbH4ljzertFyQYyWoc7xCS",0.21,0.31,0.6,0.32,0.79,0.6,0.5,0.59,0.48,0.39,0.27,0.29,0.5,0.72,0.31,0.49,0.69,0.28,0.71,1,0.7,0.9,1,0.7,0.61,1,0.94,0.8,0.88,0.92,0.89,0.86,1,1,1,1,0.666666666666667,0.905151515151515
"t8pSmT4JkWFPjSv9F4s9unqGc3",0.69,0.6,0.39,0.68,0.3,0.7,0.93,0.29,0.36,0.1,0.9,0.39,0.5,0.56,0.7,0.71,0.7,0.71,0.79,0.83,0.51,0.42,0.61,0.6,0.68,0.76,0.66,0.39,0.31,0.94,0.97,0.81,1,0.5,1,0.666666666666667,1,0.74969696969697
