"session_id","session_restart_id","time_elapsed","trial_index","custom_timer_ended_trial","rt","cfs_id","cfs_response"
"016SsHMbVS1ns2Qxcmk4hHRgSH","cTUFCC0UsYwePsDP5ScoGOXR9P",2246255,181,FALSE,76234,"['trinary_A', 'trinary_B', 'trinary_C', 'trinary_AB', 'trinary_BC']","['13', '12', '88', '13', '90']"
"016SsHMbVS1ns2Qxcmk4hHRgSH","cTUFCC0UsYwePsDP5ScoGOXR9P",2285470,182,FALSE,39210,"['binary_statepop1', 'binary_statearea1', 'binary_gdp1']","['94', '100', '87']"
"016SsHMbVS1ns2Qxcmk4hHRgSH","cTUFCC0UsYwePsDP5ScoGOXR9P",2307363,183,FALSE,21890,"['binary_statepop2', 'binary_statearea2', 'binary_gdp2']","['7', '6', '3']"
"016SsHMbVS1ns2Qxcmk4hHRgSH","cTUFCC0UsYwePsDP5ScoGOXR9P",2332165,184,FALSE,24798,"['time1', 'time2', 'time3']","['36', '43', '36']"
"016SsHMbVS1ns2Qxcmk4hHRgSH","cTUFCC0UsYwePsDP5ScoGOXR9P",2346655,185,FALSE,14486,"['time4', 'time5', 'time6']","['29', '35', '38']"
"016SsHMbVS1ns2Qxcmk4hHRgSH","cTUFCC0UsYwePsDP5ScoGOXR9P",2369419,186,FALSE,22759,"['space1', 'space2', 'space3']","['61', '68', '75']"
"016SsHMbVS1ns2Qxcmk4hHRgSH","cTUFCC0UsYwePsDP5ScoGOXR9P",2395011,187,FALSE,25588,"['space4', 'space5', 'space6']","['66', '67', '67']"
"016SsHMbVS1ns2Qxcmk4hHRgSH","cTUFCC0UsYwePsDP5ScoGOXR9P",2417589,188,FALSE,22574,"['confidence_interval1', 'confidence_interval2', 'confidence_interval3']","['70', '47', '50']"
"02QWkclNXRGICktZzGbALKgOXn","0LA5VsQ6bM4SkkRpi1z7Y9kiys",1969201,155,FALSE,54994,"['trinary_A', 'trinary_B', 'trinary_C', 'trinary_AB', 'trinary_BC']","['6', '9', '91', '9', '94']"
"02QWkclNXRGICktZzGbALKgOXn","0LA5VsQ6bM4SkkRpi1z7Y9kiys",2014373,156,FALSE,45161,"['binary_statepop1', 'binary_statearea1', 'binary_gdp1']","['49', '0', '78']"
