"session_id","session_restart_id","time_elapsed","trial_index","custom_timer_ended_trial","trial_name","rt","ns_id","ns_response","correct_answer","correct"
"0AJe17yTnscnQdDkkzrQujSpwV","K2CT0IsLiI8W0lOPyrwxmR5FD0",4943024,141,FALSE,"number_series_test_trial",10009,"NS_1","-2","-2",1
"0AJe17yTnscnQdDkkzrQujSpwV","K2CT0IsLiI8W0lOPyrwxmR5FD0",4957243,142,FALSE,"number_series_test_trial",14208,"NS_2","28","28",1
"0AJe17yTnscnQdDkkzrQujSpwV","K2CT0IsLiI8W0lOPyrwxmR5FD0",4971167,143,FALSE,"number_series_test_trial",13911,"NS_3","64","64",1
"0AJe17yTnscnQdDkkzrQujSpwV","K2CT0IsLiI8W0lOPyrwxmR5FD0",4994954,144,FALSE,"number_series_test_trial",23772,"NS_4","29","29",1
"0AJe17yTnscnQdDkkzrQujSpwV","K2CT0IsLiI8W0lOPyrwxmR5FD0",5025970,145,TRUE,"number_series_test_trial",31002,"NS_5",NA,"8/16",NA
"0AJe17yTnscnQdDkkzrQujSpwV","K2CT0IsLiI8W0lOPyrwxmR5FD0",5056980,146,TRUE,"number_series_test_trial",30998,"NS_6",NA,"165",NA
"0AJe17yTnscnQdDkkzrQujSpwV","K2CT0IsLiI8W0lOPyrwxmR5FD0",5087993,147,TRUE,"number_series_test_trial",31000,"NS_7","10","43",0
"0AJe17yTnscnQdDkkzrQujSpwV","K2CT0IsLiI8W0lOPyrwxmR5FD0",5115718,148,FALSE,"number_series_test_trial",27711,"NS_8","8800","8900",0
"0AJe17yTnscnQdDkkzrQujSpwV","K2CT0IsLiI8W0lOPyrwxmR5FD0",5136592,149,FALSE,"number_series_test_trial",20861,"NS_9","10/14","12/16",0
"0cIniih0zGVLugJAhIvoynm7SN","0I8218AoreLXbxA6yAekp7UbkT",395513,41,FALSE,"number_series_test_trial",10837,"NS_1","-2","-2",1
"0cIniih0zGVLugJAhIvoynm7SN","0I8218AoreLXbxA6yAekp7UbkT",404251,42,FALSE,"number_series_test_trial",8733,"NS_2","28","28",1
"0cIniih0zGVLugJAhIvoynm7SN","0I8218AoreLXbxA6yAekp7UbkT",421217,43,FALSE,"number_series_test_trial",16959,"NS_3","64","64",1
"0cIniih0zGVLugJAhIvoynm7SN","0I8218AoreLXbxA6yAekp7UbkT",438123,44,FALSE,"number_series_test_trial",16899,"NS_4","29","29",1
"0cIniih0zGVLugJAhIvoynm7SN","0I8218AoreLXbxA6yAekp7UbkT",467679,45,FALSE,"number_series_test_trial",29550,"NS_5","8/16","8/16",1
"0cIniih0zGVLugJAhIvoynm7SN","0I8218AoreLXbxA6yAekp7UbkT",475537,46,FALSE,"number_series_test_trial",7854,"NS_6","166","165",0
"0cIniih0zGVLugJAhIvoynm7SN","0I8218AoreLXbxA6yAekp7UbkT",506543,47,TRUE,"number_series_test_trial",31002,"NS_7","30","43",0
"0cIniih0zGVLugJAhIvoynm7SN","0I8218AoreLXbxA6yAekp7UbkT",530894,48,FALSE,"number_series_test_trial",24341,"NS_8","8891","8900",0
"0cIniih0zGVLugJAhIvoynm7SN","0I8218AoreLXbxA6yAekp7UbkT",561898,49,TRUE,"number_series_test_trial",30999,"NS_9","10/","12/16",0
"0DARnsbleA8l9r84MLWLQDcr2A","U2kZDu937PzpS9Qk1pYpQkqsKF",5312488,833,FALSE,"number_series_test_trial",6873,"NS_1","8","-2",0
"0DARnsbleA8l9r84MLWLQDcr2A","U2kZDu937PzpS9Qk1pYpQkqsKF",5320130,834,FALSE,"number_series_test_trial",7633,"NS_2","28","28",1
"0DARnsbleA8l9r84MLWLQDcr2A","U2kZDu937PzpS9Qk1pYpQkqsKF",5351182,835,TRUE,"number_series_test_trial",31046,"NS_3",NA,"64",NA
"0DARnsbleA8l9r84MLWLQDcr2A","U2kZDu937PzpS9Qk1pYpQkqsKF",5382238,836,TRUE,"number_series_test_trial",31044,"NS_4",NA,"29",NA
"0DARnsbleA8l9r84MLWLQDcr2A","U2kZDu937PzpS9Qk1pYpQkqsKF",5413288,837,TRUE,"number_series_test_trial",31045,"NS_5","9/15","8/16",0
"0DARnsbleA8l9r84MLWLQDcr2A","U2kZDu937PzpS9Qk1pYpQkqsKF",5444339,838,TRUE,"number_series_test_trial",31045,"NS_6",NA,"165",NA
"0DARnsbleA8l9r84MLWLQDcr2A","U2kZDu937PzpS9Qk1pYpQkqsKF",5467484,839,FALSE,"number_series_test_trial",23139,"NS_7","43","43",1
"0DARnsbleA8l9r84MLWLQDcr2A","U2kZDu937PzpS9Qk1pYpQkqsKF",5498529,840,TRUE,"number_series_test_trial",31036,"NS_8","88","8900",0
"0DARnsbleA8l9r84MLWLQDcr2A","U2kZDu937PzpS9Qk1pYpQkqsKF",5529580,841,TRUE,"number_series_test_trial",31046,"NS_9","12/","12/16",0
"0DEZ1s0f0nL0RnrJSeHg0aGp5O","kThZ34Ul9ItYv63Kq24BkXD4Mc",1460123,95,FALSE,"number_series_test_trial",16318,"NS_1","-2","-2",1
"0DEZ1s0f0nL0RnrJSeHg0aGp5O","kThZ34Ul9ItYv63Kq24BkXD4Mc",1468795,96,FALSE,"number_series_test_trial",8670,"NS_2","28","28",1
"0DEZ1s0f0nL0RnrJSeHg0aGp5O","kThZ34Ul9ItYv63Kq24BkXD4Mc",1494091,97,FALSE,"number_series_test_trial",25294,"NS_3","64","64",1
"0DEZ1s0f0nL0RnrJSeHg0aGp5O","kThZ34Ul9ItYv63Kq24BkXD4Mc",1525093,98,TRUE,"number_series_test_trial",31001,"NS_4",NA,"29",NA
"0DEZ1s0f0nL0RnrJSeHg0aGp5O","kThZ34Ul9ItYv63Kq24BkXD4Mc",1556096,99,TRUE,"number_series_test_trial",30999,"NS_5","8/","8/16",0
"0DEZ1s0f0nL0RnrJSeHg0aGp5O","kThZ34Ul9ItYv63Kq24BkXD4Mc",1581523,100,FALSE,"number_series_test_trial",25426,"NS_6","137","165",0
"0DEZ1s0f0nL0RnrJSeHg0aGp5O","kThZ34Ul9ItYv63Kq24BkXD4Mc",1612526,101,TRUE,"number_series_test_trial",31001,"NS_7","10","43",0
"0DEZ1s0f0nL0RnrJSeHg0aGp5O","kThZ34Ul9ItYv63Kq24BkXD4Mc",1642954,102,FALSE,"number_series_test_trial",30425,"NS_8","8990","8900",0
"0DEZ1s0f0nL0RnrJSeHg0aGp5O","kThZ34Ul9ItYv63Kq24BkXD4Mc",1664675,103,FALSE,"number_series_test_trial",21720,"NS_9","10/40","12/16",0
"0gUy8npz5GjwfN9oGmScOumKJ6","sIu0lEnWHZ3BBI2MCi8l8qBqGF",64358,12,FALSE,"number_series_test_trial",17473,"NS_1","-2","-2",1
"0gUy8npz5GjwfN9oGmScOumKJ6","sIu0lEnWHZ3BBI2MCi8l8qBqGF",71640,13,FALSE,"number_series_test_trial",7276,"NS_2","28","28",1
"0gUy8npz5GjwfN9oGmScOumKJ6","sIu0lEnWHZ3BBI2MCi8l8qBqGF",85025,14,FALSE,"number_series_test_trial",13377,"NS_3","60","64",0
"0gUy8npz5GjwfN9oGmScOumKJ6","sIu0lEnWHZ3BBI2MCi8l8qBqGF",113078,15,FALSE,"number_series_test_trial",28046,"NS_4","18","29",0
"0gUy8npz5GjwfN9oGmScOumKJ6","sIu0lEnWHZ3BBI2MCi8l8qBqGF",144104,16,TRUE,"number_series_test_trial",31019,"NS_5",NA,"8/16",NA
"0gUy8npz5GjwfN9oGmScOumKJ6","sIu0lEnWHZ3BBI2MCi8l8qBqGF",175125,17,TRUE,"number_series_test_trial",31015,"NS_6",NA,"165",NA
"0gUy8npz5GjwfN9oGmScOumKJ6","sIu0lEnWHZ3BBI2MCi8l8qBqGF",206155,18,TRUE,"number_series_test_trial",31023,"NS_7",NA,"43",NA
"0gUy8npz5GjwfN9oGmScOumKJ6","sIu0lEnWHZ3BBI2MCi8l8qBqGF",228427,19,FALSE,"number_series_test_trial",22267,"NS_8","8100","8900",0
"0gUy8npz5GjwfN9oGmScOumKJ6","sIu0lEnWHZ3BBI2MCi8l8qBqGF",255675,20,FALSE,"number_series_test_trial",27243,"NS_9","12/14","12/16",0
