"session_id","session_restart_id","time_elapsed","trial_index","custom_timer_ended_trial","rt","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10","Q11","Q12","Q13"
"016SsHMbVS1ns2Qxcmk4hHRgSH","cTUFCC0UsYwePsDP5ScoGOXR9P",4886629,860,TRUE,301012,35,30,25,25,20,3,27,40,60,NA,NA,NA,NA
"02QWkclNXRGICktZzGbALKgOXn","0LA5VsQ6bM4SkkRpi1z7Y9kiys",249922,12,FALSE,225766,35,15,25,25,18,3,25,40,10,3,2,2,5
"08JvGfUwcNXzbgM6Uw9OTeVzMT","PJuN6vwRcRa1Fzq9fDjFSIoeFl",4937967,881,FALSE,210549,35,15,25,25,20,3,25,40,20,3,4,2,50
"09Sw3t0YLj302lra5gkQlLEMwE","tSVr1jFY0oLEEbRYQciHBJ7oTh",1993010,182,FALSE,258929,35,15,24,25,20,3,24,40,20,3,4,2,5
"0bjDzRkHTDdAUc8E3JPJxkyVYK","zsBfeBSdE7vxtgIbfVOykEXPpx",3487266,1192,FALSE,241334,35,15,24,26,20,3,24,40,20,3,4,2,5
"0d3KNfQfPK5yzhZRUP0U1M47yp","RSiqpywAKT7f8wv1Igns83P72Y",995254,383,FALSE,172243,35,10,25,25,20,3,25,40,20,1,2,2,50
"0DbPC3sk9u2UC1A1OXELSFZqk4","c2GIWn9emVoP44rKyARiF4oCTC",1924074,162,FALSE,203001,35,15,24,25,20,3,24,40,20,3,4,2,5
"0f9yzMMlcjFihBIVm43sUQOq5N","qhl8ukQCrx6MDit5YdxfmugO0f",594707,36,FALSE,192299,35,15,25,25,20,3,25,40,20,3,4,2,5
"0G6inFq7heMyKnrLpeL72Oc0x2","yAgyeF8QHnbs6LcNXkA9cjYtRu",2064482,168,TRUE,301009,35,15,25,25,20,3,25,40,20,1,2,2,5
"0iWhbvxyvGhSXx6Vwq7cOzsX5P","X1rytSlURdcGMLSBZf6jwNoXUe",19944116,130,FALSE,296893,35,15,24,25,20,3,25,40,20,1,4,2,5
"0jtfnPUyl2KfOkrH6EawIfcZrU","stUKpNW3Mk2vv5Oc72ghXZyNnT",3023214,858,FALSE,187682,35,15,25,25,20,3,25,40,20,1,2,2,25
"0lONQy80IYyb7sgqnX55uzWGpk","OM503ekApHW2kf5At0wdsuS96N",1529200,176,FALSE,170797,35,15,25,25,20,3,25,40,20,3,4,2,5
"0MRkDC9OIj6neflPX1YCGTovn9","vAE6zLm4ydsdwHl2dEf8dPgmJl",106742349,1227,TRUE,301311,35,30,25,25,20,3,NA,40,20,2,2,2,NA
"0muiSaKLm83R3IxO8bShtR5IvR","hjDpOypaLa3CKrAaFVihmBzufm",5041401,1246,TRUE,301009,35,75,25,25,20,2,NA,35,65,2,3,1,NA
"0nvFj8VxK1Hq2p7OWf9G7eoPjS","q7kGXvwxXjffBfPSfqAO1WnxIh",4399948,1117,TRUE,301002,35,15,25,25,20,3,25,40,20,1,2,2,NA
"0o9HmsRAeWW6hOa4qWA3aiYgGk","D7gyRawJwSofJEPuvjB5TvoiYI",322924,12,TRUE,300999,35,15,25,25,20,3,24,40,20,3,4,2,NA
"0oOc4trw2RuVUTJzHPoOiPutvD","haWvNox37toJMmbkUs8RvGxTDT",4971299,1242,TRUE,303129,35,15,45,20,20,3,25,40,NA,NA,NA,NA,NA
"0PGSj6vBGEWDIv52s0FmG8v3dC","mrqZgpS24kXVNkIjRl0NcP5Xwd",4539124,1216,FALSE,281104,35,10,25,25,20,3,25,40,20,3,2,2,50
"0qhwNPBkRLnN5VgpoCWSHQbZNZ","sBEJxVGV01L9RGc229FDgMXRkN",2258688,265,FALSE,219006,35,15,25,25,20,3,34,40,20,3,4,2,5
"0wxHPgNbpBWYb8kVt0LHMMWnKG","NoWCAOszI0E1XGFTQoOlG11fOs",4139231,1259,FALSE,191629,35,10,25,25,20,2,23,40,20,3,4,2,50
