"session_id","time_elapsed","trial_index","custom_timer_ended_trial","rt","shipley_abstraction_1_0","shipley_abstraction_2_0","shipley_abstraction_2_1","shipley_abstraction_3_0","shipley_abstraction_4_0","shipley_abstraction_5_0","shipley_abstraction_6_0","shipley_abstraction_6_1","shipley_abstraction_6_2","shipley_abstraction_6_3","shipley_abstraction_7_0","shipley_abstraction_7_1","shipley_abstraction_7_2","shipley_abstraction_8_0","shipley_abstraction_8_1","shipley_abstraction_9_0","shipley_abstraction_10_0","shipley_abstraction_10_1","shipley_abstraction_11_0","shipley_abstraction_11_1","shipley_abstraction_12_0","shipley_abstraction_12_1","shipley_abstraction_12_2","shipley_abstraction_12_3","shipley_abstraction_12_4","shipley_abstraction_13_0","shipley_abstraction_13_1","shipley_abstraction_13_2","shipley_abstraction_13_3","shipley_abstraction_14_0","shipley_abstraction_15_0","shipley_abstraction_15_1","shipley_abstraction_15_2","shipley_abstraction_16_0","shipley_abstraction_16_1","shipley_abstraction_17_0","shipley_abstraction_17_1","shipley_abstraction_17_2","shipley_abstraction_17_3","shipley_abstraction_17_4","shipley_abstraction_18_0","shipley_abstraction_19_0","shipley_abstraction_20_0","shipley_abstraction_21_0","shipley_abstraction_22_0","shipley_abstraction_22_1","shipley_abstraction_23_0","shipley_abstraction_23_1","shipley_abstraction_23_2","shipley_abstraction_23_3","shipley_abstraction_23_4","shipley_abstraction_23_5","shipley_abstraction_24_0","shipley_abstraction_25_0","shipley_abstraction_25_1","shipley_abstraction_25_2","shipley_abstraction_total"
"0o9HmsRAeWW6hOa4qWA3aiYgGk",72463186,1040,FALSE,728121,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,0,1,50
"0oOc4trw2RuVUTJzHPoOiPutvD",3462807,1157,TRUE,726620,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
"0PGSj6vBGEWDIv52s0FmG8v3dC",4058557,1207,TRUE,721007,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,47
"0qhwNPBkRLnN5VgpoCWSHQbZNZ",4723209,1244,FALSE,715601,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,0,1,0,1,45
"0wxHPgNbpBWYb8kVt0LHMMWnKG",3070386,864,FALSE,531793,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
"0ZtepTI67Bd7sjifgxAlqs79Ne",5652603,413,FALSE,421340,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,38
"1aCQXzMxvKGN7rhH120pTns7ly",3711024,1173,FALSE,254551,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
"1ALaeVQQ86lCBbzEY0ygIqiVPO",1393822,589,FALSE,636499,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,48
"1brBjF9gjcWQS6VPzrzn9fg0Zt",7141218,271,TRUE,721004,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,39
"1ceGfBKQFjbWwypDqcxWsFk6uK",13155719,1147,FALSE,679202,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,31
