trial_type,trial_index,time_elapsed,internal_node_id,subject_id,form,wave,session_id,session_restart_id,FULLSCREEN_SCREEN_WIDTH,FULLSCREEN_SCREEN_HEIGHT,view_history,rt,width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_name,success,data_checkpoint,data_checkpoint_ind,experiment_parameters,task_cognitive_reflection,task_admc_a1,task_impossible_question,task_leapfrog,task_time_series,task_raven_matrix,task_admc_rc2,task_denominator_neglect_version_A,task_denominator_neglect_version_B,task_admc_dr,task_bayesian_update_easy,task_bayesian_update_hard,task_number_series,response,question_order,custom_timer_ended_trial,interval_id,crt_1,crt_2,crt_3,crt_4,crt_5,crt_6,crt_7,stimulus,slider_start,slider_moved,admc_id,admc_response,response_choice,response_slider,pt_trial,block,trial,id,question_text,answer_1,answer_2,correct_answer,aig_version,correct,optionA_reward,optionB_reward,points_won,option_selected,curr_block_ind,pt_trial_prediction,y_axis_values,chart_height,func,direction,noise_condition,datapoints,list_id,task_version,choice_type,left_lottery_display_type,right_lottery_display_type,left_lottery_type,right_lottery_type,left_lottery_gold_prop,right_lottery_gold_prop,left_lottery_total_coins,right_lottery_total_coins,left_lottery_gold_coins,right_lottery_gold_coins,left_lottery_silver_coins,right_lottery_silver_coins,selected_lottery,coin_drawn,unique_trial,unique_trial_draw_number,ball_split,left_box_majority_color,right_box_majority_color,selected_box_majority_color,current_draw,past_draws,version,score,ns_id,ns_response
call-function,0,1,0.0-0.0,7GrCyxHBO12pzCQyoIY7,33ff78,3,LoFBIepXgH9LCLHkGJ4esjxqwT,YdiLrnPD4sCAzocsNqjjjXgtRC,1920.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instructions,1,1278,0.0-1.0,7GrCyxHBO12pzCQyoIY7,33ff78,3,LoFBIepXgH9LCLHkGJ4esjxqwT,YdiLrnPD4sCAzocsNqjjjXgtRC,1920.0,1080.0,"[{'page_index': 0, 'viewing_time': 1276}]",1276.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,2,1278,0.0-2.0,7GrCyxHBO12pzCQyoIY7,33ff78,3,LoFBIepXgH9LCLHkGJ4esjxqwT,YdiLrnPD4sCAzocsNqjjjXgtRC,1920.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
browser-check,3,2264,0.0-3.0,7GrCyxHBO12pzCQyoIY7,33ff78,3,LoFBIepXgH9LCLHkGJ4esjxqwT,YdiLrnPD4sCAzocsNqjjjXgtRC,1920.0,1080.0,,,1579.0,909.0,True,chrome,123.0.0,False,Windows 10,True,61.05,False,True,browser_check,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fullscreen,4,7005,0.0-4.0,7GrCyxHBO12pzCQyoIY7,33ff78,3,LoFBIepXgH9LCLHkGJ4esjxqwT,YdiLrnPD4sCAzocsNqjjjXgtRC,1920.0,1080.0,,,,,,,,,,,,,,fullscreen,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,5,7006,0.0-5.0,7GrCyxHBO12pzCQyoIY7,33ff78,3,LoFBIepXgH9LCLHkGJ4esjxqwT,YdiLrnPD4sCAzocsNqjjjXgtRC,1920.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,6,7006,0.0-6.0,7GrCyxHBO12pzCQyoIY7,33ff78,3,LoFBIepXgH9LCLHkGJ4esjxqwT,YdiLrnPD4sCAzocsNqjjjXgtRC,1920.0,1080.0,,,,,,,,,,,,,,async_data_save,,experiment__welcome,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,0,1,0.0-0.0,7GrCyxHBO12pzCQyoIY7,33ff78,3,LoFBIepXgH9LCLHkGJ4esjxqwT,2ILDsn6sen43kW8kGHvD00q2mD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
