trial_type,trial_index,time_elapsed,internal_node_id,subject_id,form,wave,session_id,session_restart_id,FULLSCREEN_SCREEN_WIDTH,FULLSCREEN_SCREEN_HEIGHT,view_history,rt,width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_name,success,data_checkpoint,data_checkpoint_ind,experiment_parameters,task_admc_rp,task_graph_literacy,task_bayesian_update_easy,task_bayesian_update_hard,task_shipley_abstraction,task_coherence_forecasting,task_denominator_neglect_version_A,task_denominator_neglect_version_B,task_shipley_vocab,task_time_series,task_admc_a2,task_admc_rc1,task_impossible_question,task_leapfrog,custom_timer_ended_trial,interval_id,response,moved_sliders,admc_id,admc_response,stimulus,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q13,response_slider,pt_trial,block,trial,unique_trial,unique_trial_draw_number,ball_split,left_box_majority_color,right_box_majority_color,selected_box_majority_color,current_draw,past_draws,version,aig_version,score,shipley_abstraction_score,cfs_id,cfs_response,task_version,choice_type,left_lottery_display_type,right_lottery_display_type,left_lottery_type,right_lottery_type,left_lottery_gold_prop,right_lottery_gold_prop,left_lottery_total_coins,right_lottery_total_coins,left_lottery_gold_coins,right_lottery_gold_coins,left_lottery_silver_coins,right_lottery_silver_coins,selected_lottery,coin_drawn,question_order,shipley_vocabulary_score,y_axis_values,chart_height,func,direction,noise_condition,datapoints,slider_start,slider_moved,response_choice,id,question_text,answer_1,answer_2,correct_answer,correct,optionA_reward,optionB_reward,points_won,option_selected,curr_block_ind,pt_trial_prediction
call-function,0,3,0.0-0.0,K8U8pBMuys6ldJBu2EyF,223301,5,QQwm1xRJboZ0BgZJnxcwDAnTMT,lmm2zb5jMzv1lJk34WRvTghUEJ,1366.0,768.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instructions,1,13491977,0.0-1.0,K8U8pBMuys6ldJBu2EyF,223301,5,QQwm1xRJboZ0BgZJnxcwDAnTMT,lmm2zb5jMzv1lJk34WRvTghUEJ,1366.0,768.0,"[{'page_index': 0, 'viewing_time': 13491973}]",13491974.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,2,13491989,0.0-2.0,K8U8pBMuys6ldJBu2EyF,223301,5,QQwm1xRJboZ0BgZJnxcwDAnTMT,lmm2zb5jMzv1lJk34WRvTghUEJ,1366.0,768.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
browser-check,3,13492975,0.0-3.0,K8U8pBMuys6ldJBu2EyF,223301,5,QQwm1xRJboZ0BgZJnxcwDAnTMT,lmm2zb5jMzv1lJk34WRvTghUEJ,1366.0,768.0,,,1366.0,645.0,True,chrome,123.0.0,False,Windows 10,True,61.17,True,True,browser_check,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fullscreen,4,13499152,0.0-4.0,K8U8pBMuys6ldJBu2EyF,223301,5,QQwm1xRJboZ0BgZJnxcwDAnTMT,lmm2zb5jMzv1lJk34WRvTghUEJ,1366.0,768.0,,,,,,,,,,,,,,fullscreen,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,5,13499154,0.0-5.0,K8U8pBMuys6ldJBu2EyF,223301,5,QQwm1xRJboZ0BgZJnxcwDAnTMT,lmm2zb5jMzv1lJk34WRvTghUEJ,1366.0,768.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,6,13499156,0.0-6.0,K8U8pBMuys6ldJBu2EyF,223301,5,QQwm1xRJboZ0BgZJnxcwDAnTMT,lmm2zb5jMzv1lJk34WRvTghUEJ,1366.0,768.0,,,,,,,,,,,,,,async_data_save,,experiment__welcome,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,0,20,0.0-0.0,K8U8pBMuys6ldJBu2EyF,223301,5,QQwm1xRJboZ0BgZJnxcwDAnTMT,svhwyVoMJubul6FW28KEeZZI6F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
