trial_type,trial_index,time_elapsed,internal_node_id,subject_id,form,wave,session_id,session_restart_id,FULLSCREEN_SCREEN_WIDTH,FULLSCREEN_SCREEN_HEIGHT,view_history,rt,width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_name,success,data_checkpoint,data_checkpoint_ind,experiment_parameters,task_time_series,task_shipley_abstraction,task_admc_a2,task_admc_rc1,task_graph_literacy,task_coherence_forecasting,task_admc_rp,task_denominator_neglect_version_A,task_denominator_neglect_version_B,task_bayesian_update_easy,task_bayesian_update_hard,task_shipley_vocab,task_impossible_question,task_leapfrog,custom_timer_ended_trial,interval_id,y_axis_values,chart_height,pt_trial,block,trial,func,direction,noise_condition,datapoints,stimulus,response,shipley_abstraction_score,slider_start,slider_moved,admc_id,admc_response,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,moved_sliders,cfs_id,cfs_response,task_version,choice_type,left_lottery_display_type,right_lottery_display_type,left_lottery_type,right_lottery_type,left_lottery_gold_prop,right_lottery_gold_prop,left_lottery_total_coins,right_lottery_total_coins,left_lottery_gold_coins,right_lottery_gold_coins,left_lottery_silver_coins,right_lottery_silver_coins,selected_lottery,coin_drawn,response_slider,unique_trial,unique_trial_draw_number,ball_split,left_box_majority_color,right_box_majority_color,selected_box_majority_color,current_draw,past_draws,version,aig_version,score,question_order,shipley_vocabulary_score,response_choice,id,question_text,answer_1,answer_2,correct_answer,correct,optionA_reward,optionB_reward,points_won,option_selected,curr_block_ind,pt_trial_prediction
call-function,0,3,0.0-0.0,WgRfEmiRKt0bi4Pa8GXf,223301,3,hOu3JpzO7RN6aWPratW1dCGOas,yi9UOi4w56nAoUdVdEbBB8kfPm,1180.0,776.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instructions,1,17407,0.0-1.0,WgRfEmiRKt0bi4Pa8GXf,223301,3,hOu3JpzO7RN6aWPratW1dCGOas,yi9UOi4w56nAoUdVdEbBB8kfPm,1180.0,776.0,"[{'page_index': 0, 'viewing_time': 17403}]",17404.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,2,17410,0.0-2.0,WgRfEmiRKt0bi4Pa8GXf,223301,3,hOu3JpzO7RN6aWPratW1dCGOas,yi9UOi4w56nAoUdVdEbBB8kfPm,1180.0,776.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
browser-check,3,18418,0.0-3.0,WgRfEmiRKt0bi4Pa8GXf,223301,3,hOu3JpzO7RN6aWPratW1dCGOas,yi9UOi4w56nAoUdVdEbBB8kfPm,1180.0,776.0,,,1180.0,702.0,True,safari,17.3.1,False,Mac OS,True,60.3,True,True,browser_check,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fullscreen,4,26156,0.0-4.0,WgRfEmiRKt0bi4Pa8GXf,223301,3,hOu3JpzO7RN6aWPratW1dCGOas,yi9UOi4w56nAoUdVdEbBB8kfPm,1180.0,776.0,,,,,,,,,,,,,,fullscreen,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,5,26159,0.0-5.0,WgRfEmiRKt0bi4Pa8GXf,223301,3,hOu3JpzO7RN6aWPratW1dCGOas,yi9UOi4w56nAoUdVdEbBB8kfPm,1180.0,776.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,6,26161,0.0-6.0,WgRfEmiRKt0bi4Pa8GXf,223301,3,hOu3JpzO7RN6aWPratW1dCGOas,yi9UOi4w56nAoUdVdEbBB8kfPm,1180.0,776.0,,,,,,,,,,,,,,async_data_save,,experiment__welcome,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,0,2,0.0-0.0,WgRfEmiRKt0bi4Pa8GXf,223301,3,hOu3JpzO7RN6aWPratW1dCGOas,FNvGRvtEcIGr97zu8ma9HaNtAo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
