trial_type,trial_index,time_elapsed,internal_node_id,subject_id,form,wave,session_id,session_restart_id,FULLSCREEN_SCREEN_WIDTH,FULLSCREEN_SCREEN_HEIGHT,view_history,rt,width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_name,success,data_checkpoint,data_checkpoint_ind,experiment_parameters,task_time_series,task_graph_literacy,task_admc_a2,task_admc_rc1,task_shipley_vocab,task_shipley_abstraction,task_denominator_neglect_version_A,task_denominator_neglect_version_B,task_bayesian_update_easy,task_bayesian_update_hard,task_impossible_question,task_leapfrog,task_admc_rp,task_coherence_forecasting,custom_timer_ended_trial,interval_id,y_axis_values,chart_height,pt_trial,block,trial,func,direction,noise_condition,datapoints,stimulus,response,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,slider_start,slider_moved,admc_id,admc_response,question_order,shipley_vocabulary_score,shipley_abstraction_score,task_version,choice_type,left_lottery_display_type,right_lottery_display_type,left_lottery_type,right_lottery_type,left_lottery_gold_prop,right_lottery_gold_prop,left_lottery_total_coins,right_lottery_total_coins,left_lottery_gold_coins,right_lottery_gold_coins,left_lottery_silver_coins,right_lottery_silver_coins,selected_lottery,coin_drawn,response_slider,unique_trial,unique_trial_draw_number,ball_split,left_box_majority_color,right_box_majority_color,selected_box_majority_color,current_draw,past_draws,version,aig_version,score,response_choice,id,question_text,answer_1,answer_2,correct_answer,correct,optionA_reward,optionB_reward,points_won,option_selected,curr_block_ind,pt_trial_prediction,moved_sliders,cfs_id,cfs_response
call-function,0,8,0.0-0.0,QKfAH4AsGeJ4vOFeImNb,223301,3,rRkr5CL32tLU4AdMysmNQrFdM1,1T2zh6xBKuYph22ry55CJ3JZo8,1600.0,900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instructions,1,34065,0.0-1.0,QKfAH4AsGeJ4vOFeImNb,223301,3,rRkr5CL32tLU4AdMysmNQrFdM1,1T2zh6xBKuYph22ry55CJ3JZo8,1600.0,900.0,"[{'page_index': 0, 'viewing_time': 34049}]",34051.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,2,34072,0.0-2.0,QKfAH4AsGeJ4vOFeImNb,223301,3,rRkr5CL32tLU4AdMysmNQrFdM1,1T2zh6xBKuYph22ry55CJ3JZo8,1600.0,900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
browser-check,3,38344,0.0-3.0,QKfAH4AsGeJ4vOFeImNb,223301,3,rRkr5CL32tLU4AdMysmNQrFdM1,1T2zh6xBKuYph22ry55CJ3JZo8,1600.0,900.0,,,1600.0,739.0,True,chrome,121.0.0,False,Windows 10,True,61.32,True,True,browser_check,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fullscreen,4,51536,0.0-4.0,QKfAH4AsGeJ4vOFeImNb,223301,3,rRkr5CL32tLU4AdMysmNQrFdM1,1T2zh6xBKuYph22ry55CJ3JZo8,1600.0,900.0,,,,,,,,,,,,,,fullscreen,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,5,51540,0.0-5.0,QKfAH4AsGeJ4vOFeImNb,223301,3,rRkr5CL32tLU4AdMysmNQrFdM1,1T2zh6xBKuYph22ry55CJ3JZo8,1600.0,900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,6,51542,0.0-6.0,QKfAH4AsGeJ4vOFeImNb,223301,3,rRkr5CL32tLU4AdMysmNQrFdM1,1T2zh6xBKuYph22ry55CJ3JZo8,1600.0,900.0,,,,,,,,,,,,,,async_data_save,,experiment__welcome,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,0,2,0.0-0.0,QKfAH4AsGeJ4vOFeImNb,223301,3,rRkr5CL32tLU4AdMysmNQrFdM1,UlNct7uh19uBMnEfRlXIzTDA2v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
