trial_type,trial_index,time_elapsed,internal_node_id,subject_id,form,wave,session_id,session_restart_id,FULLSCREEN_SCREEN_WIDTH,FULLSCREEN_SCREEN_HEIGHT,view_history,rt,width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_name,success,data_checkpoint,data_checkpoint_ind,experiment_parameters,task_admc_a2,task_bayesian_update_easy,task_bayesian_update_hard,task_impossible_question,task_denominator_neglect_version_A,task_denominator_neglect_version_B,task_shipley_abstraction,task_admc_rc1,task_time_series,task_graph_literacy,task_shipley_vocab,task_leapfrog,task_coherence_forecasting,task_admc_rp,custom_timer_ended_trial,interval_id,stimulus,slider_start,response,slider_moved,admc_id,admc_response,response_slider,pt_trial,block,trial,unique_trial,unique_trial_draw_number,ball_split,left_box_majority_color,right_box_majority_color,selected_box_majority_color,current_draw,past_draws,version,aig_version,score,response_choice,id,question_text,answer_1,answer_2,correct_answer,correct,task_version,choice_type,left_lottery_display_type,right_lottery_display_type,left_lottery_type,right_lottery_type,left_lottery_gold_prop,right_lottery_gold_prop,left_lottery_total_coins,right_lottery_total_coins,left_lottery_gold_coins,right_lottery_gold_coins,left_lottery_silver_coins,right_lottery_silver_coins,selected_lottery,coin_drawn,shipley_abstraction_score,y_axis_values,chart_height,func,direction,noise_condition,datapoints,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,question_order,shipley_vocabulary_score,optionA_reward,optionB_reward,points_won,option_selected,curr_block_ind,pt_trial_prediction,moved_sliders,cfs_id,cfs_response
call-function,0,3,0.0-0.0,icpRmmer8RMDjezeZ9hd,223301,3,BynFm7Ut3voAkgNYMeyulvNvSW,GDXQa4xQndpXOELYsTYZroE3CH,1280.0,765.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instructions,1,6670,0.0-1.0,icpRmmer8RMDjezeZ9hd,223301,3,BynFm7Ut3voAkgNYMeyulvNvSW,GDXQa4xQndpXOELYsTYZroE3CH,1280.0,765.0,"[{'page_index': 0, 'viewing_time': 6666}]",6667.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,2,6671,0.0-2.0,icpRmmer8RMDjezeZ9hd,223301,3,BynFm7Ut3voAkgNYMeyulvNvSW,GDXQa4xQndpXOELYsTYZroE3CH,1280.0,765.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
browser-check,3,7659,0.0-3.0,icpRmmer8RMDjezeZ9hd,223301,3,BynFm7Ut3voAkgNYMeyulvNvSW,GDXQa4xQndpXOELYsTYZroE3CH,1280.0,765.0,,,1280.0,588.0,True,chrome,121.0.0,False,Mac OS,True,61.16,True,True,browser_check,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fullscreen,4,15385,0.0-4.0,icpRmmer8RMDjezeZ9hd,223301,3,BynFm7Ut3voAkgNYMeyulvNvSW,GDXQa4xQndpXOELYsTYZroE3CH,1280.0,765.0,,,,,,,,,,,,,,fullscreen,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,5,15388,0.0-5.0,icpRmmer8RMDjezeZ9hd,223301,3,BynFm7Ut3voAkgNYMeyulvNvSW,GDXQa4xQndpXOELYsTYZroE3CH,1280.0,765.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,6,15389,0.0-6.0,icpRmmer8RMDjezeZ9hd,223301,3,BynFm7Ut3voAkgNYMeyulvNvSW,GDXQa4xQndpXOELYsTYZroE3CH,1280.0,765.0,,,,,,,,,,,,,,async_data_save,,experiment__welcome,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,0,3,0.0-0.0,icpRmmer8RMDjezeZ9hd,223301,3,BynFm7Ut3voAkgNYMeyulvNvSW,HDxXCvMMZ08Xv54s05ArHBIocx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
