trial_type,trial_index,time_elapsed,internal_node_id,subject_id,form,wave,session_id,session_restart_id,trial_name,experiment_parameters,task_denominator_neglect_version_A,task_denominator_neglect_version_B,task_admc_a2,task_impossible_question,task_bayesian_update_easy,task_bayesian_update_hard,task_leapfrog,task_shipley_abstraction,task_admc_rc1,task_time_series,task_graph_literacy,task_shipley_vocab,task_admc_rp,task_coherence_forecasting,data_checkpoint,data_checkpoint_ind,view_history,rt,FULLSCREEN_SCREEN_WIDTH,FULLSCREEN_SCREEN_HEIGHT,width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,success,custom_timer_ended_trial,interval_id,stimulus,response,pt_trial,block,trial,task_version,choice_type,left_lottery_display_type,right_lottery_display_type,left_lottery_type,right_lottery_type,left_lottery_gold_prop,right_lottery_gold_prop,left_lottery_total_coins,right_lottery_total_coins,left_lottery_gold_coins,right_lottery_gold_coins,left_lottery_silver_coins,right_lottery_silver_coins,selected_lottery,coin_drawn,slider_start,slider_moved,admc_id,admc_response,response_choice,response_slider,id,question_text,answer_1,answer_2,correct_answer,aig_version,correct,unique_trial,unique_trial_draw_number,ball_split,left_box_majority_color,right_box_majority_color,selected_box_majority_color,current_draw,past_draws,version,score,optionA_reward,optionB_reward,points_won,option_selected,curr_block_ind,pt_trial_prediction,shipley_abstraction_score,y_axis_values,chart_height,func,direction,noise_condition,datapoints,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,question_order,shipley_vocabulary_score,moved_sliders,cfs_id,cfs_response
html-keyboard-response,2,1,0.0-2.0,cF4Hy6MQbBHjtLu8xQRm,223301,5,HSCYYb9oNISwgDDgWm0GTv3k64,HzdV0zL65WpGiiYHhuAbHrPIi1,async_data_save,,,,,,,,,,,,,,,,experiment__save_session_params,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instructions,3,2348,0.0-3.0,cF4Hy6MQbBHjtLu8xQRm,223301,5,HSCYYb9oNISwgDDgWm0GTv3k64,HzdV0zL65WpGiiYHhuAbHrPIi1,,,,,,,,,,,,,,,,,,,"[{'page_index': 0, 'viewing_time': 2346}]",2346.0,1440.0,900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,4,2348,0.0-4.0,cF4Hy6MQbBHjtLu8xQRm,223301,5,HSCYYb9oNISwgDDgWm0GTv3k64,HzdV0zL65WpGiiYHhuAbHrPIi1,,,,,,,,,,,,,,,,,,,,,1440.0,900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
browser-check,5,3335,0.0-5.0,cF4Hy6MQbBHjtLu8xQRm,223301,5,HSCYYb9oNISwgDDgWm0GTv3k64,HzdV0zL65WpGiiYHhuAbHrPIi1,browser_check,,,,,,,,,,,,,,,,,,,,1440.0,900.0,1440.0,686.0,True,chrome,123.0.0,False,Mac OS,True,60.98,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fullscreen,6,6037,0.0-6.0,cF4Hy6MQbBHjtLu8xQRm,223301,5,HSCYYb9oNISwgDDgWm0GTv3k64,HzdV0zL65WpGiiYHhuAbHrPIi1,fullscreen,,,,,,,,,,,,,,,,,,,,1440.0,900.0,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,7,6039,0.0-7.0,cF4Hy6MQbBHjtLu8xQRm,223301,5,HSCYYb9oNISwgDDgWm0GTv3k64,HzdV0zL65WpGiiYHhuAbHrPIi1,,,,,,,,,,,,,,,,,,,,,1440.0,900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,8,6039,0.0-8.0,cF4Hy6MQbBHjtLu8xQRm,223301,5,HSCYYb9oNISwgDDgWm0GTv3k64,HzdV0zL65WpGiiYHhuAbHrPIi1,async_data_save,,,,,,,,,,,,,,,,experiment__welcome,1.0,,,1440.0,900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,9,6043,0.0-9.0-0.0-0.0,cF4Hy6MQbBHjtLu8xQRm,223301,5,HSCYYb9oNISwgDDgWm0GTv3k64,HzdV0zL65WpGiiYHhuAbHrPIi1,,,,,,,,,,,,,,,,,,,,,1440.0,900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,10,6195,0.0-9.0-1.0,cF4Hy6MQbBHjtLu8xQRm,223301,5,HSCYYb9oNISwgDDgWm0GTv3k64,HzdV0zL65WpGiiYHhuAbHrPIi1,,,,,,,,,,,,,,,,,,,,,1440.0,900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instructions,11,27297,0.0-9.0-2.0,cF4Hy6MQbBHjtLu8xQRm,223301,5,HSCYYb9oNISwgDDgWm0GTv3k64,HzdV0zL65WpGiiYHhuAbHrPIi1,dn_general_instructions,,,,,,,,,,,,,,,,,,"[{'page_index': 0, 'viewing_time': 19919}, {'page_index': 1, 'viewing_time': 1183}]",21102.0,1440.0,900.0,,,,,,,,,,,,,False,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
