trial_type,trial_index,time_elapsed,internal_node_id,subject_id,form,wave,session_id,session_restart_id,FULLSCREEN_SCREEN_WIDTH,FULLSCREEN_SCREEN_HEIGHT,view_history,rt,width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_name,success,data_checkpoint,data_checkpoint_ind,experiment_parameters,task_admc_rc1,task_denominator_neglect_version_A,task_denominator_neglect_version_B,task_impossible_question,task_admc_rp,task_leapfrog,task_shipley_vocab,task_shipley_abstraction,task_time_series,task_admc_a2,task_graph_literacy,task_bayesian_update_easy,task_bayesian_update_hard,task_coherence_forecasting,custom_timer_ended_trial,interval_id,stimulus,slider_start,response,slider_moved,admc_id,admc_response,pt_trial,block,trial,task_version,choice_type,left_lottery_display_type,right_lottery_display_type,left_lottery_type,right_lottery_type,left_lottery_gold_prop,right_lottery_gold_prop,left_lottery_total_coins,right_lottery_total_coins,left_lottery_gold_coins,right_lottery_gold_coins,left_lottery_silver_coins,right_lottery_silver_coins,selected_lottery,coin_drawn,response_choice,response_slider,id,question_text,answer_1,answer_2,correct_answer,aig_version,correct,moved_sliders,optionA_reward,optionB_reward,points_won,option_selected,curr_block_ind,pt_trial_prediction,question_order,shipley_vocabulary_score,shipley_abstraction_score,y_axis_values,chart_height,func,direction,noise_condition,datapoints,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,unique_trial,unique_trial_draw_number,ball_split,left_box_majority_color,right_box_majority_color,selected_box_majority_color,current_draw,past_draws,version,score,cfs_id,cfs_response
call-function,0,4,0.0-0.0,4MXqlRYjANDHSM003I2c,223301,3,osgaGbowxJewJJbkHuL2XlYtFy,ypNi3MSvwkyOskHHxcmCZhqp5v,2560.0,1440.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instructions,1,2238,0.0-1.0,4MXqlRYjANDHSM003I2c,223301,3,osgaGbowxJewJJbkHuL2XlYtFy,ypNi3MSvwkyOskHHxcmCZhqp5v,2560.0,1440.0,"[{'page_index': 0, 'viewing_time': 2232}]",2232.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,2,2239,0.0-2.0,4MXqlRYjANDHSM003I2c,223301,3,osgaGbowxJewJJbkHuL2XlYtFy,ypNi3MSvwkyOskHHxcmCZhqp5v,2560.0,1440.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
browser-check,3,3231,0.0-3.0,4MXqlRYjANDHSM003I2c,223301,3,osgaGbowxJewJJbkHuL2XlYtFy,ypNi3MSvwkyOskHHxcmCZhqp5v,2560.0,1440.0,,,1556.0,1270.0,True,firefox,124.0.0,False,Mac OS,True,60.61,True,True,browser_check,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fullscreen,4,469906,0.0-4.0,4MXqlRYjANDHSM003I2c,223301,3,osgaGbowxJewJJbkHuL2XlYtFy,ypNi3MSvwkyOskHHxcmCZhqp5v,2560.0,1440.0,,,,,,,,,,,,,,fullscreen,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,5,469907,0.0-5.0,4MXqlRYjANDHSM003I2c,223301,3,osgaGbowxJewJJbkHuL2XlYtFy,ypNi3MSvwkyOskHHxcmCZhqp5v,2560.0,1440.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,6,469908,0.0-6.0,4MXqlRYjANDHSM003I2c,223301,3,osgaGbowxJewJJbkHuL2XlYtFy,ypNi3MSvwkyOskHHxcmCZhqp5v,2560.0,1440.0,,,,,,,,,,,,,,async_data_save,,experiment__welcome,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,0,4,0.0-0.0,4MXqlRYjANDHSM003I2c,223301,3,osgaGbowxJewJJbkHuL2XlYtFy,Y7OhhgMuU2a9k0ySMSyx4Mgnlb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
