trial_type,trial_index,time_elapsed,internal_node_id,subject_id,form,wave,session_id,session_restart_id,FULLSCREEN_SCREEN_WIDTH,FULLSCREEN_SCREEN_HEIGHT,view_history,rt,width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_name,success,data_checkpoint,data_checkpoint_ind,experiment_parameters,task_bayesian_update_easy,task_bayesian_update_hard,task_time_series,task_raven_matrix,task_admc_dr,task_admc_rc2,task_cognitive_reflection,task_admc_a1,task_impossible_question,task_number_series,task_denominator_neglect_version_A,task_denominator_neglect_version_B,task_leapfrog,custom_timer_ended_trial,interval_id,stimulus,response,response_slider,pt_trial,block,trial,unique_trial,unique_trial_draw_number,ball_split,left_box_majority_color,right_box_majority_color,selected_box_majority_color,current_draw,past_draws,version,aig_version,score,y_axis_values,chart_height,func,direction,noise_condition,datapoints,question_order,list_id,correct_answer,correct,admc_id,admc_response,slider_start,slider_moved,crt_1,crt_2,crt_3,crt_4,crt_5,crt_6,crt_7,response_choice,id,question_text,answer_1,answer_2,ns_id,ns_response,task_version,choice_type,left_lottery_display_type,right_lottery_display_type,left_lottery_type,right_lottery_type,left_lottery_gold_prop,right_lottery_gold_prop,left_lottery_total_coins,right_lottery_total_coins,left_lottery_gold_coins,right_lottery_gold_coins,left_lottery_silver_coins,right_lottery_silver_coins,selected_lottery,coin_drawn,optionA_reward,optionB_reward,points_won,option_selected,curr_block_ind,pt_trial_prediction
call-function,0,5,0.0-0.0,aXtAwUv3JWttnWXbi1wX,33ff78,5,PyAuvuxoKcDQmG3axWcbWr2jSJ,FNfjGs3nQOY0v6OszZFJTkwiW5,1512.0,945.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instructions,1,2922,0.0-1.0,aXtAwUv3JWttnWXbi1wX,33ff78,5,PyAuvuxoKcDQmG3axWcbWr2jSJ,FNfjGs3nQOY0v6OszZFJTkwiW5,1512.0,945.0,"[{'page_index': 0, 'viewing_time': 2915}]",2916.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,2,2923,0.0-2.0,aXtAwUv3JWttnWXbi1wX,33ff78,5,PyAuvuxoKcDQmG3axWcbWr2jSJ,FNfjGs3nQOY0v6OszZFJTkwiW5,1512.0,945.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
browser-check,3,3948,0.0-3.0,aXtAwUv3JWttnWXbi1wX,33ff78,5,PyAuvuxoKcDQmG3axWcbWr2jSJ,FNfjGs3nQOY0v6OszZFJTkwiW5,1512.0,945.0,,,1512.0,779.0,True,safari,17.4.0,False,Mac OS,True,59.0,True,True,browser_check,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fullscreen,4,8636,0.0-4.0,aXtAwUv3JWttnWXbi1wX,33ff78,5,PyAuvuxoKcDQmG3axWcbWr2jSJ,FNfjGs3nQOY0v6OszZFJTkwiW5,1512.0,945.0,,,,,,,,,,,,,,fullscreen,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,5,8637,0.0-5.0,aXtAwUv3JWttnWXbi1wX,33ff78,5,PyAuvuxoKcDQmG3axWcbWr2jSJ,FNfjGs3nQOY0v6OszZFJTkwiW5,1512.0,945.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,6,8637,0.0-6.0,aXtAwUv3JWttnWXbi1wX,33ff78,5,PyAuvuxoKcDQmG3axWcbWr2jSJ,FNfjGs3nQOY0v6OszZFJTkwiW5,1512.0,945.0,,,,,,,,,,,,,,async_data_save,,experiment__welcome,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,0,5,0.0-0.0,aXtAwUv3JWttnWXbi1wX,33ff78,5,PyAuvuxoKcDQmG3axWcbWr2jSJ,1LWKmA2s2RH4oppKMXKiN6VG8w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
