trial_type,trial_index,time_elapsed,internal_node_id,subject_id,form,wave,session_id,session_restart_id,FULLSCREEN_SCREEN_WIDTH,FULLSCREEN_SCREEN_HEIGHT,view_history,rt,width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_name,success,data_checkpoint,data_checkpoint_ind,experiment_parameters,task_admc_rc2,task_admc_dr,task_admc_a1,task_leapfrog,task_denominator_neglect_version_A,task_denominator_neglect_version_B,task_raven_matrix,task_bayesian_update_easy,task_bayesian_update_hard,task_impossible_question,task_cognitive_reflection,task_number_series,task_time_series,custom_timer_ended_trial,interval_id,stimulus,slider_start,response,slider_moved,admc_id,admc_response,question_order,pt_trial,block,trial,optionA_reward,optionB_reward,points_won,option_selected,curr_block_ind,pt_trial_prediction,task_version,choice_type,left_lottery_display_type,right_lottery_display_type,left_lottery_type,right_lottery_type,left_lottery_gold_prop,right_lottery_gold_prop,left_lottery_total_coins,right_lottery_total_coins,left_lottery_gold_coins,right_lottery_gold_coins,left_lottery_silver_coins,right_lottery_silver_coins,selected_lottery,coin_drawn,list_id,correct_answer,correct,response_slider,unique_trial,unique_trial_draw_number,ball_split,left_box_majority_color,right_box_majority_color,selected_box_majority_color,current_draw,past_draws,version,aig_version,score,response_choice,id,question_text,answer_1,answer_2,crt_1,crt_2,crt_3,crt_4,crt_5,crt_6,crt_7,ns_id,ns_response,y_axis_values,chart_height,func,direction,noise_condition,datapoints
call-function,0,2,0.0-0.0,H1B2V5Xe5BW3Q6smlZl4,33ff78,5,4nzdFmrvKGHrE9x7gQXcbl1DsS,AQlNui6mbCLYzIVnmydjYm5pkC,1536.0,864.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instructions,1,5336,0.0-1.0,H1B2V5Xe5BW3Q6smlZl4,33ff78,5,4nzdFmrvKGHrE9x7gQXcbl1DsS,AQlNui6mbCLYzIVnmydjYm5pkC,1536.0,864.0,"[{'page_index': 0, 'viewing_time': 5332}]",5333.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,2,5336,0.0-2.0,H1B2V5Xe5BW3Q6smlZl4,33ff78,5,4nzdFmrvKGHrE9x7gQXcbl1DsS,AQlNui6mbCLYzIVnmydjYm5pkC,1536.0,864.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
browser-check,3,6337,0.0-3.0,H1B2V5Xe5BW3Q6smlZl4,33ff78,5,4nzdFmrvKGHrE9x7gQXcbl1DsS,AQlNui6mbCLYzIVnmydjYm5pkC,1536.0,864.0,,,1536.0,742.0,True,chrome,123.0.0,False,Windows 10,True,60.3,True,True,browser_check,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fullscreen,4,9394,0.0-4.0,H1B2V5Xe5BW3Q6smlZl4,33ff78,5,4nzdFmrvKGHrE9x7gQXcbl1DsS,AQlNui6mbCLYzIVnmydjYm5pkC,1536.0,864.0,,,,,,,,,,,,,,fullscreen,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,5,9398,0.0-5.0,H1B2V5Xe5BW3Q6smlZl4,33ff78,5,4nzdFmrvKGHrE9x7gQXcbl1DsS,AQlNui6mbCLYzIVnmydjYm5pkC,1536.0,864.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,6,9399,0.0-6.0,H1B2V5Xe5BW3Q6smlZl4,33ff78,5,4nzdFmrvKGHrE9x7gQXcbl1DsS,AQlNui6mbCLYzIVnmydjYm5pkC,1536.0,864.0,,,,,,,,,,,,,,async_data_save,,experiment__welcome,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,0,3,0.0-0.0,H1B2V5Xe5BW3Q6smlZl4,33ff78,5,4nzdFmrvKGHrE9x7gQXcbl1DsS,KboVGmNs6AXoRy8XvNRGWZIyhU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
