trial_type,trial_index,time_elapsed,internal_node_id,subject_id,form,wave,session_id,session_restart_id,FULLSCREEN_SCREEN_WIDTH,FULLSCREEN_SCREEN_HEIGHT,view_history,rt,width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_name,success,data_checkpoint,data_checkpoint_ind,experiment_parameters,task_number_series,task_bayesian_update_easy,task_bayesian_update_hard,task_admc_rc2,task_impossible_question,task_raven_matrix,task_admc_a1,task_cognitive_reflection,task_leapfrog,task_time_series,task_admc_dr,task_denominator_neglect_version_A,task_denominator_neglect_version_B,custom_timer_ended_trial,interval_id,response,ns_id,ns_response,stimulus,response_slider,pt_trial,block,trial,unique_trial,unique_trial_draw_number,ball_split,left_box_majority_color,right_box_majority_color,selected_box_majority_color,current_draw,past_draws,version,aig_version,score,slider_start,slider_moved,admc_id,admc_response,response_choice,id,question_text,answer_1,answer_2,correct_answer,correct,question_order,list_id,crt_1,crt_2,crt_3,crt_4,crt_5,crt_6,crt_7,optionA_reward,optionB_reward,points_won,option_selected,curr_block_ind,pt_trial_prediction,y_axis_values,chart_height,func,direction,noise_condition,datapoints,task_version,choice_type,left_lottery_display_type,right_lottery_display_type,left_lottery_type,right_lottery_type,left_lottery_gold_prop,right_lottery_gold_prop,left_lottery_total_coins,right_lottery_total_coins,left_lottery_gold_coins,right_lottery_gold_coins,left_lottery_silver_coins,right_lottery_silver_coins,selected_lottery,coin_drawn
call-function,0,6,0.0-0.0,We0PNV8gUFAgrSL0CLLr,33ff78,3,5hmgcb4aHkCP29mTehdJCorG2I,ADnarer76kfVigyRTpHkUwTlcE,1440.0,865.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instructions,1,16823,0.0-1.0,We0PNV8gUFAgrSL0CLLr,33ff78,3,5hmgcb4aHkCP29mTehdJCorG2I,ADnarer76kfVigyRTpHkUwTlcE,1440.0,865.0,"[{'page_index': 0, 'viewing_time': 16814}]",16815.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,2,16825,0.0-2.0,We0PNV8gUFAgrSL0CLLr,33ff78,3,5hmgcb4aHkCP29mTehdJCorG2I,ADnarer76kfVigyRTpHkUwTlcE,1440.0,865.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
browser-check,3,17821,0.0-3.0,We0PNV8gUFAgrSL0CLLr,33ff78,3,5hmgcb4aHkCP29mTehdJCorG2I,ADnarer76kfVigyRTpHkUwTlcE,1440.0,865.0,,,1268.0,664.0,True,chrome,123.0.0,False,Mac OS,True,60.94,True,True,browser_check,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fullscreen,4,23773,0.0-4.0,We0PNV8gUFAgrSL0CLLr,33ff78,3,5hmgcb4aHkCP29mTehdJCorG2I,ADnarer76kfVigyRTpHkUwTlcE,1440.0,865.0,,,,,,,,,,,,,,fullscreen,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,5,23778,0.0-5.0,We0PNV8gUFAgrSL0CLLr,33ff78,3,5hmgcb4aHkCP29mTehdJCorG2I,ADnarer76kfVigyRTpHkUwTlcE,1440.0,865.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,6,23780,0.0-6.0,We0PNV8gUFAgrSL0CLLr,33ff78,3,5hmgcb4aHkCP29mTehdJCorG2I,ADnarer76kfVigyRTpHkUwTlcE,1440.0,865.0,,,,,,,,,,,,,,async_data_save,,experiment__welcome,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,0,6,0.0-0.0,We0PNV8gUFAgrSL0CLLr,33ff78,3,5hmgcb4aHkCP29mTehdJCorG2I,UtH0aA8WyQBSMPN4wXYKDmxVmj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
