trial_type,trial_index,time_elapsed,internal_node_id,subject_id,form,wave,session_id,session_restart_id,trial_name,experiment_parameters,task_admc_dr,task_admc_a1,task_admc_rc2,task_raven_matrix,task_impossible_question,task_number_series,task_leapfrog,task_cognitive_reflection,task_denominator_neglect_version_A,task_denominator_neglect_version_B,task_time_series,task_bayesian_update_easy,task_bayesian_update_hard,data_checkpoint,data_checkpoint_ind,view_history,rt,FULLSCREEN_SCREEN_WIDTH,FULLSCREEN_SCREEN_HEIGHT,width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,success,custom_timer_ended_trial,interval_id,response,question_order,admc_id,admc_response,stimulus,slider_start,slider_moved,pt_trial,block,trial,list_id,correct_answer,correct,response_choice,response_slider,id,question_text,answer_1,answer_2,aig_version,ns_id,ns_response,optionA_reward,optionB_reward,points_won,option_selected,curr_block_ind,pt_trial_prediction,crt_1,crt_2,crt_3,crt_4,crt_5,crt_6,crt_7,task_version,choice_type,left_lottery_display_type,right_lottery_display_type,left_lottery_type,right_lottery_type,left_lottery_gold_prop,right_lottery_gold_prop,left_lottery_total_coins,right_lottery_total_coins,left_lottery_gold_coins,right_lottery_gold_coins,left_lottery_silver_coins,right_lottery_silver_coins,selected_lottery,coin_drawn,y_axis_values,chart_height,func,direction,noise_condition,datapoints,unique_trial,unique_trial_draw_number,ball_split,left_box_majority_color,right_box_majority_color,selected_box_majority_color,current_draw,past_draws,version,score
instructions,1129,2432750,0.0-29.0-2.0,01hf1lkFq3KK8GJzeVP3,33ff78,3,HRDX2CZFlzBvDAJ2TGyGnkXHAz,OOBAdq3KJSfRjT7W3oi4vtylEK,time_series_general_instructions,,,,,,,,,,,,,,,,,"[{'page_index': 0, 'viewing_time': 12244}, {'page_index': 1, 'viewing_time': 2702}]",14947.0,1280.0,720.0,,,,,,,,,,,,,False,50496.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,1130,2432752,0.0-29.0-3.0,01hf1lkFq3KK8GJzeVP3,33ff78,3,HRDX2CZFlzBvDAJ2TGyGnkXHAz,OOBAdq3KJSfRjT7W3oi4vtylEK,,,,,,,,,,,,,,,,,,,,1280.0,720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instructions,1131,2434153,0.0-29.0-4.0,01hf1lkFq3KK8GJzeVP3,33ff78,3,HRDX2CZFlzBvDAJ2TGyGnkXHAz,OOBAdq3KJSfRjT7W3oi4vtylEK,time_series_pt_trials_instructions,,,,,,,,,,,,,,,,,"[{'page_index': 0, 'viewing_time': 1400}]",1400.0,1280.0,720.0,,,,,,,,,,,,,False,50752.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,1132,2455154,0.0-29.0-5.0-0.0-0.0,01hf1lkFq3KK8GJzeVP3,33ff78,3,HRDX2CZFlzBvDAJ2TGyGnkXHAz,OOBAdq3KJSfRjT7W3oi4vtylEK,time_series_trial,,,,,,,,,,,,,,,,,,,1280.0,720.0,,,,,,,,,,,,,True,50807.0,,,,,,,,True,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[105.45494635068147, 122.07654624127719, 43.34060915437076, 79.24694333130685, 74.24414763123154, 151.01849574057445, 84.32507105447853, 95.71736418454917, 67.78128008464762, 154.19710683628398, '86.51', '83.48', '94.59', '203.74', '105.71', '108.74']",475.6,exponential,positive,high,datapoints_10,,,,,,,,,,
html-button-response,1133,2464848,0.0-29.0-5.0-0.0-0.1,01hf1lkFq3KK8GJzeVP3,33ff78,3,HRDX2CZFlzBvDAJ2TGyGnkXHAz,OOBAdq3KJSfRjT7W3oi4vtylEK,time_series_trial,,,,,,,,,,,,,,,,,,9693.0,1280.0,720.0,,,,,,,,,,,,,False,51421.0,0,,,,"<canvas id=""myChart""></canvas>",,,True,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[161.8634377847158, 181.97647158033485, 188.98353324111963, 203.43750125685517, 219.7992301357277, 218.5143351060522, 241.981714295186, 231.6713168191614, 261.4100079505192, 256.68767630489725, '270.44', '253.26', '281.56', '281.56', '271.45', '301.77']",475.6,linear,positive,low,datapoints_10,,,,,,,,,,
html-button-response,1134,2474886,0.0-29.0-5.0-0.0-0.2,01hf1lkFq3KK8GJzeVP3,33ff78,3,HRDX2CZFlzBvDAJ2TGyGnkXHAz,OOBAdq3KJSfRjT7W3oi4vtylEK,time_series_trial,,,,,,,,,,,,,,,,,,10036.0,1280.0,720.0,,,,,,,,,,,,,False,51817.0,0,,,,"<canvas id=""myChart""></canvas>",,,True,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[384.864844650672, 398.35893487972703, 401.09618460353846, 390.88715619293725, 388.685868127205, 390.3818747748165, 378.50710528982484, 404.26860924933504, 398.126938667179, 404.28820836382573, 380.1924848197187, 395.8137142032507, 382.87992974254837, 382.36092487309224, 385.35985265082394, 385.0995706496585, 374.9343164795909, 371.6586779216485, 362.54109880123144, 379.316844694328, 362.74128660800903, 356.5607194728962, 361.74316578491823, 331.19987705917555, 341.8305807606707, 334.962973321832, 316.3411555716802, 293.1766051233603, 285.15383829145674, 268.97801015547435, '249.22', '247.20', '210.82', '172.41', '172.41', '157.25']",475.6,exponential,negative,low,datapoints_30,,,,,,,,,,
html-button-response,1135,2489431,0.0-29.0-5.0-0.0-0.3,01hf1lkFq3KK8GJzeVP3,33ff78,3,HRDX2CZFlzBvDAJ2TGyGnkXHAz,OOBAdq3KJSfRjT7W3oi4vtylEK,time_series_trial,,,,,,,,,,,,,,,,,,14544.0,1280.0,720.0,,,,,,,,,,,,,False,52153.0,0,,,,"<canvas id=""myChart""></canvas>",,,True,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[392.74028128110365, 412.6195726164559, 354.1354030528462, 369.51265223755524, 384.7854315763436, 387.1906421711891, 390.22091272645724, 383.58117658746454, 410.15643602148566, 368.73518498850086, 409.69915908379244, 417.34611576135876, 393.0686034840539, 381.3911060728311, 361.55680605469297, 450.36291908765133, 334.7699046451222, 310.1059628830709, 385.0340820026864, 329.54090512840247, 335.1216557472845, 386.85975040004917, 354.30995112586197, 364.48394881480425, 362.49251525841873, 339.01645623140564, 366.7526731004321, 339.7139236727652, 273.2648006846601, 285.1197231678299, '317.94', '407.89', '275.50', '303.79', '388.69', '356.35']",475.6,exponential,negative,high,datapoints_30,,,,,,,,,,
instructions,1136,2494031,0.0-29.0-6.0,01hf1lkFq3KK8GJzeVP3,33ff78,3,HRDX2CZFlzBvDAJ2TGyGnkXHAz,OOBAdq3KJSfRjT7W3oi4vtylEK,time_series_test_trials_instructions,,,,,,,,,,,,,,,,,"[{'page_index': 0, 'viewing_time': 4598}]",4599.0,1280.0,720.0,,,,,,,,,,,,,False,52625.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,1137,2504606,0.0-29.0-7.0-0.0-0.0,01hf1lkFq3KK8GJzeVP3,33ff78,3,HRDX2CZFlzBvDAJ2TGyGnkXHAz,OOBAdq3KJSfRjT7W3oi4vtylEK,time_series_trial,,,,,,,,,,,,,,,,,,10573.0,1280.0,720.0,,,,,,,,,,,,,False,52723.0,0,,,,"<canvas id=""myChart""></canvas>",,,False,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[51.76707414825215, 80.05806327822826, 82.08828786439815, 111.74267420298204, 128.2971238062732, 92.31035547245826, 85.75853236338672, 67.60804974404233, 67.99403344821056, 63.73695126753731, 32.496021665279144, 104.99760292795733, 33.30110391439302, 34.39840252222331, 71.31318692768681, 93.10447845924134, 90.7000561627162, 56.77618348915117, 147.84935585973514, 114.53245591841777, 140.10613097158958, 128.26466170741682, 123.12688930941407, 118.91552364191749, 127.75756476876448, 183.13888964130646, 149.2830691199937, 187.4626691503255, 228.22255912325133, 216.0582899343766, '239.11', '342.20', '334.11', '279.54', '320.97', '379.59']",475.6,exponential,positive,high,datapoints_30,,,,,,,,,,
html-button-response,1138,2515524,0.0-29.0-7.0-0.0-0.1,01hf1lkFq3KK8GJzeVP3,33ff78,3,HRDX2CZFlzBvDAJ2TGyGnkXHAz,OOBAdq3KJSfRjT7W3oi4vtylEK,time_series_trial,,,,,,,,,,,,,,,,,,10916.0,1280.0,720.0,,,,,,,,,,,,,False,53142.0,0,,,,"<canvas id=""myChart""></canvas>",,,False,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[184.53687868458482, 189.61353911843327, 148.314159451468, 144.37463510213797, 183.63328208479942, 186.89981840394856, 231.0941076499991, 187.27920727639716, 183.2001127416367, 169.08587968321126, 237.0697408755479, 234.96964645072694, 231.89841903405082, 276.88638258168635, 231.292916559388, 200.11194134152308, 254.32887734345695, 219.3416360123425, 188.81852238657268, 240.8036011746452, 272.19505330959225, 280.0239616354875, 211.22140643217944, 293.1287696994763, 277.2051502494205, 293.8939143958316, 327.36142881343613, 287.39618875459786, 303.4423865542942, 305.92522487258697, '307.84', '241.14', '202.73', '180.50', '235.07', '291.67']",475.6,linear,positive,high,datapoints_30,,,,,,,,,,
