trial_type,trial_index,time_elapsed,internal_node_id,subject_id,form,wave,session_id,session_restart_id,FULLSCREEN_SCREEN_WIDTH,FULLSCREEN_SCREEN_HEIGHT,view_history,rt,width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_name,success,data_checkpoint,data_checkpoint_ind,experiment_parameters,task_bayesian_update_easy,task_bayesian_update_hard,task_time_series,task_impossible_question,task_admc_rc1,task_coherence_forecasting,task_graph_literacy,task_shipley_vocab,task_leapfrog,task_admc_rp,task_denominator_neglect_version_A,task_denominator_neglect_version_B,task_admc_a2,task_shipley_abstraction,custom_timer_ended_trial,interval_id,stimulus,response,response_slider,pt_trial,block,trial,unique_trial,unique_trial_draw_number,ball_split,left_box_majority_color,right_box_majority_color,selected_box_majority_color,current_draw,past_draws,version,aig_version,score,y_axis_values,chart_height,func,direction,noise_condition,datapoints,response_choice,slider_moved,id,question_text,answer_1,answer_2,correct_answer,correct,slider_start,admc_id,admc_response,moved_sliders,cfs_id,cfs_response,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,question_order,shipley_vocabulary_score,optionA_reward,optionB_reward,points_won,option_selected,curr_block_ind,pt_trial_prediction,task_version,choice_type,left_lottery_display_type,right_lottery_display_type,left_lottery_type,right_lottery_type,left_lottery_gold_prop,right_lottery_gold_prop,left_lottery_total_coins,right_lottery_total_coins,left_lottery_gold_coins,right_lottery_gold_coins,left_lottery_silver_coins,right_lottery_silver_coins,selected_lottery,coin_drawn,shipley_abstraction_score
call-function,0,2,0.0-0.0,OZM4OtBJTfsUkiH8G4Zp,223301,3,nurSYLUmKaM8UWc4LOj0ML3pO1,3HL9DgRH1ANbuTlup9BWz2znE0,1280.0,800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instructions,1,5520,0.0-1.0,OZM4OtBJTfsUkiH8G4Zp,223301,3,nurSYLUmKaM8UWc4LOj0ML3pO1,3HL9DgRH1ANbuTlup9BWz2znE0,1280.0,800.0,"[{'page_index': 0, 'viewing_time': 5515}]",5516.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,2,5521,0.0-2.0,OZM4OtBJTfsUkiH8G4Zp,223301,3,nurSYLUmKaM8UWc4LOj0ML3pO1,3HL9DgRH1ANbuTlup9BWz2znE0,1280.0,800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
browser-check,3,6546,0.0-3.0,OZM4OtBJTfsUkiH8G4Zp,223301,3,nurSYLUmKaM8UWc4LOj0ML3pO1,3HL9DgRH1ANbuTlup9BWz2znE0,1280.0,800.0,,,1280.0,679.0,True,chrome,120.0.0,False,Mac OS,True,58.99,True,True,browser_check,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fullscreen,4,41742,0.0-4.0,OZM4OtBJTfsUkiH8G4Zp,223301,3,nurSYLUmKaM8UWc4LOj0ML3pO1,3HL9DgRH1ANbuTlup9BWz2znE0,1280.0,800.0,,,,,,,,,,,,,,fullscreen,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,5,41746,0.0-5.0,OZM4OtBJTfsUkiH8G4Zp,223301,3,nurSYLUmKaM8UWc4LOj0ML3pO1,3HL9DgRH1ANbuTlup9BWz2znE0,1280.0,800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,6,41747,0.0-6.0,OZM4OtBJTfsUkiH8G4Zp,223301,3,nurSYLUmKaM8UWc4LOj0ML3pO1,3HL9DgRH1ANbuTlup9BWz2znE0,1280.0,800.0,,,,,,,,,,,,,,async_data_save,,experiment__welcome,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,0,5,0.0-0.0,OZM4OtBJTfsUkiH8G4Zp,223301,3,nurSYLUmKaM8UWc4LOj0ML3pO1,r5E1br5jWcQbXSMMrOlpntWtup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
