trial_type,trial_index,time_elapsed,internal_node_id,subject_id,form,wave,session_id,session_restart_id,FULLSCREEN_SCREEN_WIDTH,FULLSCREEN_SCREEN_HEIGHT,view_history,rt,width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_name,success,data_checkpoint,data_checkpoint_ind,experiment_parameters,task_admc_a1,task_admc_dr,task_time_series,task_raven_matrix,task_bayesian_update_easy,task_bayesian_update_hard,task_impossible_question,task_denominator_neglect_version_A,task_denominator_neglect_version_B,task_cognitive_reflection,task_number_series,task_admc_rc2,task_leapfrog,custom_timer_ended_trial,interval_id,stimulus,slider_start,response,slider_moved,admc_id,admc_response,question_order,y_axis_values,chart_height,pt_trial,block,trial,func,direction,noise_condition,datapoints,list_id,correct_answer,correct,response_slider,unique_trial,unique_trial_draw_number,ball_split,left_box_majority_color,right_box_majority_color,selected_box_majority_color,current_draw,past_draws,version,aig_version,score,response_choice,id,question_text,answer_1,answer_2,task_version,choice_type,left_lottery_display_type,right_lottery_display_type,left_lottery_type,right_lottery_type,left_lottery_gold_prop,right_lottery_gold_prop,left_lottery_total_coins,right_lottery_total_coins,left_lottery_gold_coins,right_lottery_gold_coins,left_lottery_silver_coins,right_lottery_silver_coins,selected_lottery,coin_drawn,crt_1,crt_2,crt_3,crt_4,crt_5,crt_6,crt_7,ns_id,ns_response,optionA_reward,optionB_reward,points_won,option_selected,curr_block_ind,pt_trial_prediction
call-function,0,6,0.0-0.0,7qLDDKDuB8YbLuP5HMQ3,33ff78,5,jjwzS0zNMFeDzQfHVswA5egXRm,K8GkO0MfjLWMRS9w6byC8IMj4C,1518.0,853.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instructions,1,4031,0.0-1.0,7qLDDKDuB8YbLuP5HMQ3,33ff78,5,jjwzS0zNMFeDzQfHVswA5egXRm,K8GkO0MfjLWMRS9w6byC8IMj4C,1518.0,853.0,"[{'page_index': 0, 'viewing_time': 4023}]",4024.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,2,4034,0.0-2.0,7qLDDKDuB8YbLuP5HMQ3,33ff78,5,jjwzS0zNMFeDzQfHVswA5egXRm,K8GkO0MfjLWMRS9w6byC8IMj4C,1518.0,853.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
browser-check,3,5262,0.0-3.0,7qLDDKDuB8YbLuP5HMQ3,33ff78,5,jjwzS0zNMFeDzQfHVswA5egXRm,K8GkO0MfjLWMRS9w6byC8IMj4C,1518.0,853.0,,,1518.0,638.0,True,chrome,123.0.0,False,Windows 10,True,60.46,True,True,browser_check,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fullscreen,4,16706,0.0-4.0,7qLDDKDuB8YbLuP5HMQ3,33ff78,5,jjwzS0zNMFeDzQfHVswA5egXRm,K8GkO0MfjLWMRS9w6byC8IMj4C,1518.0,853.0,,,,,,,,,,,,,,fullscreen,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,5,16716,0.0-5.0,7qLDDKDuB8YbLuP5HMQ3,33ff78,5,jjwzS0zNMFeDzQfHVswA5egXRm,K8GkO0MfjLWMRS9w6byC8IMj4C,1518.0,853.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,6,16719,0.0-6.0,7qLDDKDuB8YbLuP5HMQ3,33ff78,5,jjwzS0zNMFeDzQfHVswA5egXRm,K8GkO0MfjLWMRS9w6byC8IMj4C,1518.0,853.0,,,,,,,,,,,,,,async_data_save,,experiment__welcome,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,0,5,0.0-0.0,7qLDDKDuB8YbLuP5HMQ3,33ff78,5,jjwzS0zNMFeDzQfHVswA5egXRm,hJtsAwvFTnKlfJ5rRYA2mXslM0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
