trial_type,trial_index,time_elapsed,internal_node_id,subject_id,form,wave,session_id,session_restart_id,FULLSCREEN_SCREEN_WIDTH,FULLSCREEN_SCREEN_HEIGHT,view_history,rt,width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_name,success,data_checkpoint,data_checkpoint_ind,experiment_parameters,task_time_series,task_raven_matrix,task_admc_a1,task_bayesian_update_easy,task_bayesian_update_hard,task_admc_rc2,task_cognitive_reflection,task_impossible_question,task_leapfrog,task_denominator_neglect_version_A,task_denominator_neglect_version_B,task_number_series,task_admc_dr,custom_timer_ended_trial,interval_id,y_axis_values,chart_height,pt_trial,block,trial,func,direction,noise_condition,datapoints,response,question_order,list_id,stimulus,correct_answer,correct,slider_start,slider_moved,admc_id,admc_response,response_slider,unique_trial,unique_trial_draw_number,ball_split,left_box_majority_color,right_box_majority_color,selected_box_majority_color,current_draw,past_draws,version,aig_version,score,crt_1,crt_2,crt_3,crt_4,crt_5,crt_6,crt_7,response_choice,id,question_text,answer_1,answer_2,optionA_reward,optionB_reward,points_won,option_selected,curr_block_ind,pt_trial_prediction,task_version,choice_type,left_lottery_display_type,right_lottery_display_type,left_lottery_type,right_lottery_type,left_lottery_gold_prop,right_lottery_gold_prop,left_lottery_total_coins,right_lottery_total_coins,left_lottery_gold_coins,right_lottery_gold_coins,left_lottery_silver_coins,right_lottery_silver_coins,selected_lottery,coin_drawn,ns_id,ns_response
call-function,0,22,0.0-0.0,59IvIpJNBTNdhP0pm9AL,33ff78,3,9KzHTRBLHu5XLEzUNHiYHpR77h,im8E9LEgwAEOvGqHMOEb2U9oLk,1920.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instructions,1,68399,0.0-1.0,59IvIpJNBTNdhP0pm9AL,33ff78,3,9KzHTRBLHu5XLEzUNHiYHpR77h,im8E9LEgwAEOvGqHMOEb2U9oLk,1920.0,1080.0,"[{'page_index': 0, 'viewing_time': 68376}]",68376.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,2,68400,0.0-2.0,59IvIpJNBTNdhP0pm9AL,33ff78,3,9KzHTRBLHu5XLEzUNHiYHpR77h,im8E9LEgwAEOvGqHMOEb2U9oLk,1920.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
browser-check,3,69396,0.0-3.0,59IvIpJNBTNdhP0pm9AL,33ff78,3,9KzHTRBLHu5XLEzUNHiYHpR77h,im8E9LEgwAEOvGqHMOEb2U9oLk,1920.0,1080.0,,,1920.0,908.0,True,firefox,115.0.0,False,Windows 8.1,True,60.67,True,True,browser_check,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fullscreen,4,85463,0.0-4.0,59IvIpJNBTNdhP0pm9AL,33ff78,3,9KzHTRBLHu5XLEzUNHiYHpR77h,im8E9LEgwAEOvGqHMOEb2U9oLk,1920.0,1080.0,,,,,,,,,,,,,,fullscreen,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,5,85466,0.0-5.0,59IvIpJNBTNdhP0pm9AL,33ff78,3,9KzHTRBLHu5XLEzUNHiYHpR77h,im8E9LEgwAEOvGqHMOEb2U9oLk,1920.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,6,85467,0.0-6.0,59IvIpJNBTNdhP0pm9AL,33ff78,3,9KzHTRBLHu5XLEzUNHiYHpR77h,im8E9LEgwAEOvGqHMOEb2U9oLk,1920.0,1080.0,,,,,,,,,,,,,,async_data_save,,experiment__welcome,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,0,39,0.0-0.0,59IvIpJNBTNdhP0pm9AL,33ff78,3,9KzHTRBLHu5XLEzUNHiYHpR77h,zkQy7Qqei9rRHYkxQqgIBEOBLa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
