trial_type,trial_index,time_elapsed,internal_node_id,subject_id,form,wave,session_id,session_restart_id,FULLSCREEN_SCREEN_WIDTH,FULLSCREEN_SCREEN_HEIGHT,view_history,rt,width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_name,success,data_checkpoint,data_checkpoint_ind,experiment_parameters,task_impossible_question,task_admc_dr,task_denominator_neglect_version_A,task_denominator_neglect_version_B,task_time_series,task_admc_a1,task_bayesian_update_easy,task_bayesian_update_hard,task_admc_rc2,task_number_series,task_cognitive_reflection,task_raven_matrix,task_leapfrog,custom_timer_ended_trial,interval_id,response,response_choice,response_slider,slider_moved,pt_trial,block,trial,id,question_text,answer_1,answer_2,correct_answer,aig_version,correct,stimulus,question_order,admc_id,admc_response,task_version,choice_type,left_lottery_display_type,right_lottery_display_type,left_lottery_type,right_lottery_type,left_lottery_gold_prop,right_lottery_gold_prop,left_lottery_total_coins,right_lottery_total_coins,left_lottery_gold_coins,right_lottery_gold_coins,left_lottery_silver_coins,right_lottery_silver_coins,selected_lottery,coin_drawn,y_axis_values,chart_height,func,direction,noise_condition,datapoints,slider_start,unique_trial,unique_trial_draw_number,ball_split,left_box_majority_color,right_box_majority_color,selected_box_majority_color,current_draw,past_draws,version,score,ns_id,ns_response,crt_1,crt_2,crt_3,crt_4,crt_5,crt_6,crt_7,list_id,optionA_reward,optionB_reward,points_won,option_selected,curr_block_ind,pt_trial_prediction
html-keyboard-response,2,3,0.0-2.0,VOkbWlTi5n1whoVMO9Mu,33ff78,3,2Z9640BioWe6f4fTgj71LM6OmS,q9RzGNMVfWLcGd5acABuQuIQbw,,,,,,,,,,,,,,,,async_data_save,,experiment__save_session_params,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,7,10846,0.0-7.0-1.0,VOkbWlTi5n1whoVMO9Mu,33ff78,3,2Z9640BioWe6f4fTgj71LM6OmS,VRR2XOp5oSJAvIXdjP0Eu1oqOy,1920.0,1200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instructions,8,27024,0.0-7.0-2.0,VOkbWlTi5n1whoVMO9Mu,33ff78,3,2Z9640BioWe6f4fTgj71LM6OmS,VRR2XOp5oSJAvIXdjP0Eu1oqOy,1920.0,1200.0,"[{'page_index': 0, 'viewing_time': 16174}]",16175.0,,,,,,,,,,,,iqc_general_instructions,,,,,,,,,,,,,,,,,,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,9,27026,0.0-7.0-3.0,VOkbWlTi5n1whoVMO9Mu,33ff78,3,2Z9640BioWe6f4fTgj71LM6OmS,VRR2XOp5oSJAvIXdjP0Eu1oqOy,1920.0,1200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-html-form,10,42009,0.0-7.0-4.0-0.0-0.0,VOkbWlTi5n1whoVMO9Mu,33ff78,3,2Z9640BioWe6f4fTgj71LM6OmS,VRR2XOp5oSJAvIXdjP0Eu1oqOy,1920.0,1200.0,,14967.0,,,,,,,,,,,,iqc_test_trial,,,,,,,,,,,,,,,,,,False,4.0,"{'GK_12': '2', 'GK_12_slider': '100'}",2.0,100.0,True,False,0.0,0.0,GK_12,Psychology is used to study the life cycle of animals and plants,True,False,2.0,aig_B,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,11,46022,0.0-7.0-4.0-0.0-1.0,VOkbWlTi5n1whoVMO9Mu,33ff78,3,2Z9640BioWe6f4fTgj71LM6OmS,VRR2XOp5oSJAvIXdjP0Eu1oqOy,1920.0,1200.0,,4010.0,,,,,,,,,,,,iqc_test_trial_feedback,,,,,,,,,,,,,,,,,,False,5.0,0,,,,,,,,,,,,,,"<p>Your answer was <span style=""color: green""><b>correct</b></span>.</p><p>Progress: 1/30 questions completed. 100% correct.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-html-form,12,55885,0.0-7.0-4.0-0.0-0.1,VOkbWlTi5n1whoVMO9Mu,33ff78,3,2Z9640BioWe6f4fTgj71LM6OmS,VRR2XOp5oSJAvIXdjP0Eu1oqOy,1920.0,1200.0,,9860.0,,,,,,,,,,,,iqc_test_trial,,,,,,,,,,,,,,,,,,False,6.0,"{'GK_60': '1', 'GK_60_slider': '67'}",1.0,67.0,True,False,0.0,1.0,GK_60,Which is the only country to qualify for every FIFA World Cup (soccer) since inception in 1930?,Argentina,Brazil,2.0,aig_B,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,13,57140,0.0-7.0-4.0-0.0-1.1,VOkbWlTi5n1whoVMO9Mu,33ff78,3,2Z9640BioWe6f4fTgj71LM6OmS,VRR2XOp5oSJAvIXdjP0Eu1oqOy,1920.0,1200.0,,1253.0,,,,,,,,,,,,iqc_test_trial_feedback,,,,,,,,,,,,,,,,,,False,7.0,0,,,,,,,,,,,,,,"<p>Your answer was <span style=""color: red""><b>incorrect</b></span>.</p><p>Progress: 2/30 questions completed. 50% correct.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-html-form,14,70989,0.0-7.0-4.0-0.0-0.2,VOkbWlTi5n1whoVMO9Mu,33ff78,3,2Z9640BioWe6f4fTgj71LM6OmS,VRR2XOp5oSJAvIXdjP0Eu1oqOy,1920.0,1200.0,,13847.0,,,,,,,,,,,,iqc_test_trial,,,,,,,,,,,,,,,,,,False,8.0,"{'GK_44': '2', 'GK_44_slider': '100'}",2.0,100.0,True,False,0.0,2.0,GK_44,Which happened earlier in history?,Julius Caesar getting assassinated,Alexander the Great conquering Egypt,2.0,aig_B,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,15,72276,0.0-7.0-4.0-0.0-1.2,VOkbWlTi5n1whoVMO9Mu,33ff78,3,2Z9640BioWe6f4fTgj71LM6OmS,VRR2XOp5oSJAvIXdjP0Eu1oqOy,1920.0,1200.0,,1285.0,,,,,,,,,,,,iqc_test_trial_feedback,,,,,,,,,,,,,,,,,,False,9.0,0,,,,,,,,,,,,,,"<p>Your answer was <span style=""color: green""><b>correct</b></span>.</p><p>Progress: 3/30 questions completed. 67% correct.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-html-form,16,83642,0.0-7.0-4.0-0.0-0.3,VOkbWlTi5n1whoVMO9Mu,33ff78,3,2Z9640BioWe6f4fTgj71LM6OmS,VRR2XOp5oSJAvIXdjP0Eu1oqOy,1920.0,1200.0,,11363.0,,,,,,,,,,,,iqc_test_trial,,,,,,,,,,,,,,,,,,False,10.0,"{'IQ_16': '1', 'IQ_16_slider': '50'}",1.0,50.0,True,False,0.0,3.0,IQ_16,What's the side effect of Grilpax's disease?,Change in hair color,Ability to sing beautifully,3.0,aig_B,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,17,84593,0.0-7.0-4.0-0.0-1.3,VOkbWlTi5n1whoVMO9Mu,33ff78,3,2Z9640BioWe6f4fTgj71LM6OmS,VRR2XOp5oSJAvIXdjP0Eu1oqOy,1920.0,1200.0,,948.0,,,,,,,,,,,,iqc_test_trial_feedback,,,,,,,,,,,,,,,,,,False,11.0,0,,,,,,,,,,,,,,"<p>Your answer was <span style=""color: red""><b>incorrect</b></span>.</p><p>Progress: 4/30 questions completed. 50% correct.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-html-form,18,95605,0.0-7.0-4.0-0.0-0.4,VOkbWlTi5n1whoVMO9Mu,33ff78,3,2Z9640BioWe6f4fTgj71LM6OmS,VRR2XOp5oSJAvIXdjP0Eu1oqOy,1920.0,1200.0,,11017.0,,,,,,,,,,,,iqc_test_trial,,,,,,,,,,,,,,,,,,False,12.0,"{'GK_57': '2', 'GK_57_slider': '90'}",2.0,90.0,True,False,0.0,4.0,GK_57,Positive charges cannot flow in any conductor.,True,False,2.0,aig_B,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,19,96598,0.0-7.0-4.0-0.0-1.4,VOkbWlTi5n1whoVMO9Mu,33ff78,3,2Z9640BioWe6f4fTgj71LM6OmS,VRR2XOp5oSJAvIXdjP0Eu1oqOy,1920.0,1200.0,,991.0,,,,,,,,,,,,iqc_test_trial_feedback,,,,,,,,,,,,,,,,,,False,13.0,0,,,,,,,,,,,,,,"<p>Your answer was <span style=""color: green""><b>correct</b></span>.</p><p>Progress: 5/30 questions completed. 60% correct.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-html-form,20,105877,0.0-7.0-4.0-0.0-0.5,VOkbWlTi5n1whoVMO9Mu,33ff78,3,2Z9640BioWe6f4fTgj71LM6OmS,VRR2XOp5oSJAvIXdjP0Eu1oqOy,1920.0,1200.0,,9276.0,,,,,,,,,,,,iqc_test_trial,,,,,,,,,,,,,,,,,,False,14.0,"{'GK_82': '2', 'GK_82_slider': '63'}",2.0,63.0,True,False,0.0,5.0,GK_82,Plants use oxygen.,True,False,1.0,aig_B,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,21,106849,0.0-7.0-4.0-0.0-1.5,VOkbWlTi5n1whoVMO9Mu,33ff78,3,2Z9640BioWe6f4fTgj71LM6OmS,VRR2XOp5oSJAvIXdjP0Eu1oqOy,1920.0,1200.0,,970.0,,,,,,,,,,,,iqc_test_trial_feedback,,,,,,,,,,,,,,,,,,False,15.0,0,,,,,,,,,,,,,,"<p>Your answer was <span style=""color: red""><b>incorrect</b></span>.</p><p>Progress: 6/30 questions completed. 50% correct.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-html-form,22,127471,0.0-7.0-4.0-0.0-0.6,VOkbWlTi5n1whoVMO9Mu,33ff78,3,2Z9640BioWe6f4fTgj71LM6OmS,VRR2XOp5oSJAvIXdjP0Eu1oqOy,1920.0,1200.0,,20620.0,,,,,,,,,,,,iqc_test_trial,,,,,,,,,,,,,,,,,,False,16.0,"{'GK_26': '1', 'GK_26_slider': '72'}",1.0,72.0,True,False,0.0,6.0,GK_26,Given: Any glass requires cups to exist but cups can exist without glass. One cup can support only one glass. Logical conclusion: There are more cups existing than glasses.,True,False,1.0,aig_B,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,23,129778,0.0-7.0-4.0-0.0-1.6,VOkbWlTi5n1whoVMO9Mu,33ff78,3,2Z9640BioWe6f4fTgj71LM6OmS,VRR2XOp5oSJAvIXdjP0Eu1oqOy,1920.0,1200.0,,2305.0,,,,,,,,,,,,iqc_test_trial_feedback,,,,,,,,,,,,,,,,,,False,17.0,0,,,,,,,,,,,,,,"<p>Your answer was <span style=""color: green""><b>correct</b></span>.</p><p>Progress: 7/30 questions completed. 57% correct.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-html-form,24,140648,0.0-7.0-4.0-0.0-0.7,VOkbWlTi5n1whoVMO9Mu,33ff78,3,2Z9640BioWe6f4fTgj71LM6OmS,VRR2XOp5oSJAvIXdjP0Eu1oqOy,1920.0,1200.0,,10868.0,,,,,,,,,,,,iqc_test_trial,,,,,,,,,,,,,,,,,,False,18.0,"{'IQ_17': '1', 'IQ_17_slider': '50'}",1.0,50.0,True,False,0.0,7.0,IQ_17,What is the Kraghold method used for?,Predicting stock market trends,Improving memory recall,3.0,aig_B,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,25,142155,0.0-7.0-4.0-0.0-1.7,VOkbWlTi5n1whoVMO9Mu,33ff78,3,2Z9640BioWe6f4fTgj71LM6OmS,VRR2XOp5oSJAvIXdjP0Eu1oqOy,1920.0,1200.0,,1504.0,,,,,,,,,,,,iqc_test_trial_feedback,,,,,,,,,,,,,,,,,,False,19.0,0,,,,,,,,,,,,,,"<p>Your answer was <span style=""color: red""><b>incorrect</b></span>.</p><p>Progress: 8/30 questions completed. 50% correct.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-html-form,26,160326,0.0-7.0-4.0-0.0-0.8,VOkbWlTi5n1whoVMO9Mu,33ff78,3,2Z9640BioWe6f4fTgj71LM6OmS,VRR2XOp5oSJAvIXdjP0Eu1oqOy,1920.0,1200.0,,18163.0,,,,,,,,,,,,iqc_test_trial,,,,,,,,,,,,,,,,,,False,20.0,{'IQ_13': '3'},3.0,,False,False,0.0,8.0,IQ_13,What are the ingredients of a traditional Zibrune stew?,Magical herbs and spices,Alien sea creatures,3.0,aig_B,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,27,161643,0.0-7.0-4.0-0.0-1.8,VOkbWlTi5n1whoVMO9Mu,33ff78,3,2Z9640BioWe6f4fTgj71LM6OmS,VRR2XOp5oSJAvIXdjP0Eu1oqOy,1920.0,1200.0,,1315.0,,,,,,,,,,,,iqc_test_trial_feedback,,,,,,,,,,,,,,,,,,False,21.0,0,,,,,,,,,,,,,,<p>Progress: 9/30 questions completed. 50% correct.</p>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-html-form,28,168591,0.0-7.0-4.0-0.0-0.9,VOkbWlTi5n1whoVMO9Mu,33ff78,3,2Z9640BioWe6f4fTgj71LM6OmS,VRR2XOp5oSJAvIXdjP0Eu1oqOy,1920.0,1200.0,,6946.0,,,,,,,,,,,,iqc_test_trial,,,,,,,,,,,,,,,,,,False,22.0,{'IQ_14': '3'},3.0,,False,False,0.0,9.0,IQ_14,What's the main purpose of a Tantrigon device?,To communicate with other dimensions,To teleport through space,3.0,aig_B,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,29,170132,0.0-7.0-4.0-0.0-1.9,VOkbWlTi5n1whoVMO9Mu,33ff78,3,2Z9640BioWe6f4fTgj71LM6OmS,VRR2XOp5oSJAvIXdjP0Eu1oqOy,1920.0,1200.0,,1539.0,,,,,,,,,,,,iqc_test_trial_feedback,,,,,,,,,,,,,,,,,,False,23.0,0,,,,,,,,,,,,,,<p>Progress: 10/30 questions completed. 50% correct.</p>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-html-form,30,178043,0.0-7.0-4.0-0.0-0.10,VOkbWlTi5n1whoVMO9Mu,33ff78,3,2Z9640BioWe6f4fTgj71LM6OmS,VRR2XOp5oSJAvIXdjP0Eu1oqOy,1920.0,1200.0,,7909.0,,,,,,,,,,,,iqc_test_trial,,,,,,,,,,,,,,,,,,False,24.0,"{'GK_33': '2', 'GK_33_slider': '100'}",2.0,100.0,True,False,0.0,10.0,GK_33,Which planet in our solar system is closest to the Sun?,Pluto,Mercury,2.0,aig_B,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,31,179349,0.0-7.0-4.0-0.0-1.10,VOkbWlTi5n1whoVMO9Mu,33ff78,3,2Z9640BioWe6f4fTgj71LM6OmS,VRR2XOp5oSJAvIXdjP0Eu1oqOy,1920.0,1200.0,,1303.0,,,,,,,,,,,,iqc_test_trial_feedback,,,,,,,,,,,,,,,,,,False,25.0,0,,,,,,,,,,,,,,"<p>Your answer was <span style=""color: green""><b>correct</b></span>.</p><p>Progress: 11/30 questions completed. 56% correct.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-html-form,32,187470,0.0-7.0-4.0-0.0-0.11,VOkbWlTi5n1whoVMO9Mu,33ff78,3,2Z9640BioWe6f4fTgj71LM6OmS,VRR2XOp5oSJAvIXdjP0Eu1oqOy,1920.0,1200.0,,8118.0,,,,,,,,,,,,iqc_test_trial,,,,,,,,,,,,,,,,,,False,26.0,"{'GK_13': '1', 'GK_13_slider': '100'}",1.0,100.0,True,False,0.0,11.0,GK_13,Melting point is the temperature at which solids:,Melt in liquids,Evaporate into gases,1.0,aig_B,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,33,188603,0.0-7.0-4.0-0.0-1.11,VOkbWlTi5n1whoVMO9Mu,33ff78,3,2Z9640BioWe6f4fTgj71LM6OmS,VRR2XOp5oSJAvIXdjP0Eu1oqOy,1920.0,1200.0,,1131.0,,,,,,,,,,,,iqc_test_trial_feedback,,,,,,,,,,,,,,,,,,False,27.0,0,,,,,,,,,,,,,,"<p>Your answer was <span style=""color: green""><b>correct</b></span>.</p><p>Progress: 12/30 questions completed. 60% correct.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-html-form,34,198576,0.0-7.0-4.0-0.0-0.12,VOkbWlTi5n1whoVMO9Mu,33ff78,3,2Z9640BioWe6f4fTgj71LM6OmS,VRR2XOp5oSJAvIXdjP0Eu1oqOy,1920.0,1200.0,,9970.0,,,,,,,,,,,,iqc_test_trial,,,,,,,,,,,,,,,,,,False,28.0,"{'GK_29': '2', 'GK_29_slider': '72'}",2.0,72.0,True,False,0.0,12.0,GK_29,Who has a higher NBA career playoff points per game?,Kobe Bryant,Michael Jordan,2.0,aig_B,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,35,200630,0.0-7.0-4.0-0.0-1.12,VOkbWlTi5n1whoVMO9Mu,33ff78,3,2Z9640BioWe6f4fTgj71LM6OmS,VRR2XOp5oSJAvIXdjP0Eu1oqOy,1920.0,1200.0,,2052.0,,,,,,,,,,,,iqc_test_trial_feedback,,,,,,,,,,,,,,,,,,False,29.0,0,,,,,,,,,,,,,,"<p>Your answer was <span style=""color: green""><b>correct</b></span>.</p><p>Progress: 13/30 questions completed. 64% correct.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-html-form,36,214005,0.0-7.0-4.0-0.0-0.13,VOkbWlTi5n1whoVMO9Mu,33ff78,3,2Z9640BioWe6f4fTgj71LM6OmS,VRR2XOp5oSJAvIXdjP0Eu1oqOy,1920.0,1200.0,,13372.0,,,,,,,,,,,,iqc_test_trial,,,,,,,,,,,,,,,,,,False,30.0,"{'GK_81': '2', 'GK_81_slider': '50'}",2.0,50.0,True,False,0.0,13.0,GK_81,"If you are standing on the Equator, your approximate rotational speed is:","Less than 1,000 km/h",Greater than 1000 km/h,2.0,aig_B,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,37,215844,0.0-7.0-4.0-0.0-1.13,VOkbWlTi5n1whoVMO9Mu,33ff78,3,2Z9640BioWe6f4fTgj71LM6OmS,VRR2XOp5oSJAvIXdjP0Eu1oqOy,1920.0,1200.0,,1835.0,,,,,,,,,,,,iqc_test_trial_feedback,,,,,,,,,,,,,,,,,,False,31.0,0,,,,,,,,,,,,,,"<p>Your answer was <span style=""color: green""><b>correct</b></span>.</p><p>Progress: 14/30 questions completed. 67% correct.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-html-form,38,225994,0.0-7.0-4.0-0.0-0.14,VOkbWlTi5n1whoVMO9Mu,33ff78,3,2Z9640BioWe6f4fTgj71LM6OmS,VRR2XOp5oSJAvIXdjP0Eu1oqOy,1920.0,1200.0,,10146.0,,,,,,,,,,,,iqc_test_trial,,,,,,,,,,,,,,,,,,False,32.0,"{'GK_66': '2', 'GK_66_slider': '67'}",2.0,67.0,True,False,0.0,14.0,GK_66,The number of tourist arrivals per year in China (as of 2018) were approximately:,141 million,31 million,1.0,aig_B,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,39,227179,0.0-7.0-4.0-0.0-1.14,VOkbWlTi5n1whoVMO9Mu,33ff78,3,2Z9640BioWe6f4fTgj71LM6OmS,VRR2XOp5oSJAvIXdjP0Eu1oqOy,1920.0,1200.0,,1182.0,,,,,,,,,,,,iqc_test_trial_feedback,,,,,,,,,,,,,,,,,,False,33.0,0,,,,,,,,,,,,,,"<p>Your answer was <span style=""color: red""><b>incorrect</b></span>.</p><p>Progress: 15/30 questions completed. 62% correct.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-html-form,40,234644,0.0-7.0-4.0-0.0-0.15,VOkbWlTi5n1whoVMO9Mu,33ff78,3,2Z9640BioWe6f4fTgj71LM6OmS,VRR2XOp5oSJAvIXdjP0Eu1oqOy,1920.0,1200.0,,7459.0,,,,,,,,,,,,iqc_test_trial,,,,,,,,,,,,,,,,,,False,34.0,"{'GK_41': '1', 'GK_41_slider': '100'}",1.0,100.0,True,False,0.0,15.0,GK_41,Which comes closest in meaning to the following word? Zephyr,Breeze,Tide,1.0,aig_B,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,41,236069,0.0-7.0-4.0-0.0-1.15,VOkbWlTi5n1whoVMO9Mu,33ff78,3,2Z9640BioWe6f4fTgj71LM6OmS,VRR2XOp5oSJAvIXdjP0Eu1oqOy,1920.0,1200.0,,1421.0,,,,,,,,,,,,iqc_test_trial_feedback,,,,,,,,,,,,,,,,,,False,35.0,0,,,,,,,,,,,,,,"<p>Your answer was <span style=""color: green""><b>correct</b></span>.</p><p>Progress: 16/30 questions completed. 64% correct.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-html-form,42,241146,0.0-7.0-4.0-0.0-0.16,VOkbWlTi5n1whoVMO9Mu,33ff78,3,2Z9640BioWe6f4fTgj71LM6OmS,VRR2XOp5oSJAvIXdjP0Eu1oqOy,1920.0,1200.0,,5075.0,,,,,,,,,,,,iqc_test_trial,,,,,,,,,,,,,,,,,,False,36.0,"{'GK_9': '2', 'GK_9_slider': '100'}",2.0,100.0,True,False,0.0,16.0,GK_9,In which continent does Germany lie?,Asia,Europe,2.0,aig_B,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,43,242503,0.0-7.0-4.0-0.0-1.16,VOkbWlTi5n1whoVMO9Mu,33ff78,3,2Z9640BioWe6f4fTgj71LM6OmS,VRR2XOp5oSJAvIXdjP0Eu1oqOy,1920.0,1200.0,,1355.0,,,,,,,,,,,,iqc_test_trial_feedback,,,,,,,,,,,,,,,,,,False,37.0,0,,,,,,,,,,,,,,"<p>Your answer was <span style=""color: green""><b>correct</b></span>.</p><p>Progress: 17/30 questions completed. 67% correct.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-html-form,44,256246,0.0-7.0-4.0-0.0-0.17,VOkbWlTi5n1whoVMO9Mu,33ff78,3,2Z9640BioWe6f4fTgj71LM6OmS,VRR2XOp5oSJAvIXdjP0Eu1oqOy,1920.0,1200.0,,13738.0,,,,,,,,,,,,iqc_test_trial,,,,,,,,,,,,,,,,,,False,38.0,"{'IQ_18': '1', 'IQ_18_slider': '50'}",1.0,50.0,True,False,0.0,17.0,IQ_18,The Diflective Assumption Theory helps us understand:,How memories are stored in the brain,How emotions impact our decision making,3.0,aig_B,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,45,257703,0.0-7.0-4.0-0.0-1.17,VOkbWlTi5n1whoVMO9Mu,33ff78,3,2Z9640BioWe6f4fTgj71LM6OmS,VRR2XOp5oSJAvIXdjP0Eu1oqOy,1920.0,1200.0,,1456.0,,,,,,,,,,,,iqc_test_trial_feedback,,,,,,,,,,,,,,,,,,False,39.0,0,,,,,,,,,,,,,,"<p>Your answer was <span style=""color: red""><b>incorrect</b></span>.</p><p>Progress: 18/30 questions completed. 63% correct.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-html-form,46,267640,0.0-7.0-4.0-0.0-0.18,VOkbWlTi5n1whoVMO9Mu,33ff78,3,2Z9640BioWe6f4fTgj71LM6OmS,VRR2XOp5oSJAvIXdjP0Eu1oqOy,1920.0,1200.0,,9934.0,,,,,,,,,,,,iqc_test_trial,,,,,,,,,,,,,,,,,,False,40.0,"{'GK_47': '2', 'GK_47_slider': '51'}",2.0,51.0,True,False,0.0,18.0,GK_47,Radioactive milk cannot be made safe by boiling it,True,False,1.0,aig_B,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,47,269068,0.0-7.0-4.0-0.0-1.18,VOkbWlTi5n1whoVMO9Mu,33ff78,3,2Z9640BioWe6f4fTgj71LM6OmS,VRR2XOp5oSJAvIXdjP0Eu1oqOy,1920.0,1200.0,,1426.0,,,,,,,,,,,,iqc_test_trial_feedback,,,,,,,,,,,,,,,,,,False,41.0,0,,,,,,,,,,,,,,"<p>Your answer was <span style=""color: red""><b>incorrect</b></span>.</p><p>Progress: 19/30 questions completed. 59% correct.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-html-form,48,284068,0.0-7.0-4.0-0.0-0.19,VOkbWlTi5n1whoVMO9Mu,33ff78,3,2Z9640BioWe6f4fTgj71LM6OmS,VRR2XOp5oSJAvIXdjP0Eu1oqOy,1920.0,1200.0,,14997.0,,,,,,,,,,,,iqc_test_trial,,,,,,,,,,,,,,,,,,False,42.0,"{'GK_87': '2', 'GK_87_slider': '75'}",2.0,75.0,True,False,0.0,19.0,GK_87,House flies have an average life span of less than 2 days.,True,False,2.0,aig_B,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,49,285576,0.0-7.0-4.0-0.0-1.19,VOkbWlTi5n1whoVMO9Mu,33ff78,3,2Z9640BioWe6f4fTgj71LM6OmS,VRR2XOp5oSJAvIXdjP0Eu1oqOy,1920.0,1200.0,,1504.0,,,,,,,,,,,,iqc_test_trial_feedback,,,,,,,,,,,,,,,,,,False,43.0,0,,,,,,,,,,,,,,"<p>Your answer was <span style=""color: green""><b>correct</b></span>.</p><p>Progress: 20/30 questions completed. 61% correct.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
