trial_type,trial_index,time_elapsed,internal_node_id,subject_id,form,wave,session_id,session_restart_id,FULLSCREEN_SCREEN_WIDTH,FULLSCREEN_SCREEN_HEIGHT,view_history,rt,width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_name,success,data_checkpoint,data_checkpoint_ind,experiment_parameters,task_impossible_question,task_admc_dr,task_denominator_neglect_version_A,task_denominator_neglect_version_B,task_time_series,task_admc_a1,task_bayesian_update_easy,task_bayesian_update_hard,task_admc_rc2,task_number_series,task_cognitive_reflection,task_raven_matrix,task_leapfrog,custom_timer_ended_trial,interval_id,response,response_choice,response_slider,slider_moved,pt_trial,block,trial,id,question_text,answer_1,answer_2,correct_answer,aig_version,correct,stimulus,question_order,admc_id,admc_response,task_version,choice_type,left_lottery_display_type,right_lottery_display_type,left_lottery_type,right_lottery_type,left_lottery_gold_prop,right_lottery_gold_prop,left_lottery_total_coins,right_lottery_total_coins,left_lottery_gold_coins,right_lottery_gold_coins,left_lottery_silver_coins,right_lottery_silver_coins,selected_lottery,coin_drawn,y_axis_values,chart_height,func,direction,noise_condition,datapoints,slider_start,unique_trial,unique_trial_draw_number,ball_split,left_box_majority_color,right_box_majority_color,selected_box_majority_color,current_draw,past_draws,version,score,ns_id,ns_response,crt_1,crt_2,crt_3,crt_4,crt_5,crt_6,crt_7,list_id,optionA_reward,optionB_reward,points_won,option_selected,curr_block_ind,pt_trial_prediction
call-function,0,4,0.0-0.0,VOkbWlTi5n1whoVMO9Mu,33ff78,3,2Z9640BioWe6f4fTgj71LM6OmS,VRR2XOp5oSJAvIXdjP0Eu1oqOy,1920.0,1200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instructions,1,1939,0.0-1.0,VOkbWlTi5n1whoVMO9Mu,33ff78,3,2Z9640BioWe6f4fTgj71LM6OmS,VRR2XOp5oSJAvIXdjP0Eu1oqOy,1920.0,1200.0,"[{'page_index': 0, 'viewing_time': 1933}]",1934.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,2,1941,0.0-2.0,VOkbWlTi5n1whoVMO9Mu,33ff78,3,2Z9640BioWe6f4fTgj71LM6OmS,VRR2XOp5oSJAvIXdjP0Eu1oqOy,1920.0,1200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
browser-check,3,3906,0.0-3.0,VOkbWlTi5n1whoVMO9Mu,33ff78,3,2Z9640BioWe6f4fTgj71LM6OmS,VRR2XOp5oSJAvIXdjP0Eu1oqOy,1920.0,1200.0,,,1920.0,1031.0,True,chrome,123.0.0,False,Windows 10,True,61.27,True,True,browser_check,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fullscreen,4,10688,0.0-4.0,VOkbWlTi5n1whoVMO9Mu,33ff78,3,2Z9640BioWe6f4fTgj71LM6OmS,VRR2XOp5oSJAvIXdjP0Eu1oqOy,1920.0,1200.0,,,,,,,,,,,,,,fullscreen,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,5,10690,0.0-5.0,VOkbWlTi5n1whoVMO9Mu,33ff78,3,2Z9640BioWe6f4fTgj71LM6OmS,VRR2XOp5oSJAvIXdjP0Eu1oqOy,1920.0,1200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,6,10691,0.0-6.0,VOkbWlTi5n1whoVMO9Mu,33ff78,3,2Z9640BioWe6f4fTgj71LM6OmS,VRR2XOp5oSJAvIXdjP0Eu1oqOy,1920.0,1200.0,,,,,,,,,,,,,,async_data_save,,experiment__welcome,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,0,2,0.0-0.0,VOkbWlTi5n1whoVMO9Mu,33ff78,3,2Z9640BioWe6f4fTgj71LM6OmS,q9RzGNMVfWLcGd5acABuQuIQbw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
