trial_type,trial_index,time_elapsed,internal_node_id,subject_id,form,wave,session_id,session_restart_id,trial_name,experiment_parameters,task_shipley_abstraction,task_time_series,task_shipley_vocab,task_admc_rc1,task_impossible_question,task_bayesian_update_easy,task_bayesian_update_hard,task_admc_a2,task_admc_rp,task_denominator_neglect_version_A,task_denominator_neglect_version_B,task_graph_literacy,task_leapfrog,task_coherence_forecasting,data_checkpoint,data_checkpoint_ind,view_history,rt,FULLSCREEN_SCREEN_WIDTH,FULLSCREEN_SCREEN_HEIGHT,width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,success,custom_timer_ended_trial,interval_id,response,shipley_abstraction_score,stimulus,y_axis_values,chart_height,pt_trial,block,trial,func,direction,noise_condition,datapoints,question_order,shipley_vocabulary_score,slider_start,slider_moved,admc_id,admc_response,response_choice,response_slider,id,question_text,answer_1,answer_2,correct_answer,aig_version,correct,unique_trial,unique_trial_draw_number,ball_split,left_box_majority_color,right_box_majority_color,selected_box_majority_color,current_draw,past_draws,version,score,moved_sliders,task_version,choice_type,left_lottery_display_type,right_lottery_display_type,left_lottery_type,right_lottery_type,left_lottery_gold_prop,right_lottery_gold_prop,left_lottery_total_coins,right_lottery_total_coins,left_lottery_gold_coins,right_lottery_gold_coins,left_lottery_silver_coins,right_lottery_silver_coins,selected_lottery,coin_drawn,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,optionA_reward,optionB_reward,points_won,option_selected,curr_block_ind,pt_trial_prediction,cfs_id,cfs_response
html-keyboard-response,790,2940886,0.0-33.0-5.0-6.0-0.2,xVa4sxiVQcwRAFeHBw6Q,223301,3,aZHGeps5oVHwh5zO5mPcC7DdKC,PzCaOS4GWjvVMETELGVNkwOqOX,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,,315.0,1366.0,768.0,,,,,,,,,,,,,,,arrowleft,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div>",,,True,3.0,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,110.0,100.0,A,,,,
html-keyboard-response,791,2941888,0.0-33.0-5.0-6.0-1.2,xVa4sxiVQcwRAFeHBw6Q,223301,3,aZHGeps5oVHwh5zO5mPcC7DdKC,PzCaOS4GWjvVMETELGVNkwOqOX,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,1366.0,768.0,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>100</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,792,2942183,0.0-33.0-5.0-6.0-0.3,xVa4sxiVQcwRAFeHBw6Q,223301,3,aZHGeps5oVHwh5zO5mPcC7DdKC,PzCaOS4GWjvVMETELGVNkwOqOX,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,,294.0,1366.0,768.0,,,,,,,,,,,,,,,arrowright,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div>",,,True,3.0,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,110.0,110.0,B,,,,
html-keyboard-response,793,2943185,0.0-33.0-5.0-6.0-1.3,xVa4sxiVQcwRAFeHBw6Q,223301,3,aZHGeps5oVHwh5zO5mPcC7DdKC,PzCaOS4GWjvVMETELGVNkwOqOX,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,1366.0,768.0,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>110</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,794,2943458,0.0-33.0-5.0-6.0-0.4,xVa4sxiVQcwRAFeHBw6Q,223301,3,aZHGeps5oVHwh5zO5mPcC7DdKC,PzCaOS4GWjvVMETELGVNkwOqOX,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,,272.0,1366.0,768.0,,,,,,,,,,,,,,,arrowright,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div>",,,True,3.0,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,110.0,110.0,B,,,,
html-keyboard-response,795,2944460,0.0-33.0-5.0-6.0-1.4,xVa4sxiVQcwRAFeHBw6Q,223301,3,aZHGeps5oVHwh5zO5mPcC7DdKC,PzCaOS4GWjvVMETELGVNkwOqOX,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,1366.0,768.0,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>110</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,796,2944718,0.0-33.0-5.0-6.0-0.5,xVa4sxiVQcwRAFeHBw6Q,223301,3,aZHGeps5oVHwh5zO5mPcC7DdKC,PzCaOS4GWjvVMETELGVNkwOqOX,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,,257.0,1366.0,768.0,,,,,,,,,,,,,,,arrowright,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div>",,,True,3.0,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.0,110.0,110.0,B,,,,
html-keyboard-response,797,2945720,0.0-33.0-5.0-6.0-1.5,xVa4sxiVQcwRAFeHBw6Q,223301,3,aZHGeps5oVHwh5zO5mPcC7DdKC,PzCaOS4GWjvVMETELGVNkwOqOX,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,1366.0,768.0,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>110</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,798,2945980,0.0-33.0-5.0-6.0-0.6,xVa4sxiVQcwRAFeHBw6Q,223301,3,aZHGeps5oVHwh5zO5mPcC7DdKC,PzCaOS4GWjvVMETELGVNkwOqOX,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,,258.0,1366.0,768.0,,,,,,,,,,,,,,,arrowleft,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div>",,,True,3.0,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.0,130.0,120.0,A,,,,
html-keyboard-response,799,2946982,0.0-33.0-5.0-6.0-1.6,xVa4sxiVQcwRAFeHBw6Q,223301,3,aZHGeps5oVHwh5zO5mPcC7DdKC,PzCaOS4GWjvVMETELGVNkwOqOX,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,1366.0,768.0,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>120</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
