trial_type,trial_index,time_elapsed,internal_node_id,subject_id,form,wave,session_id,session_restart_id,FULLSCREEN_SCREEN_WIDTH,FULLSCREEN_SCREEN_HEIGHT,view_history,rt,width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_name,success,data_checkpoint,data_checkpoint_ind,experiment_parameters,task_admc_a2,task_admc_rp,task_coherence_forecasting,task_time_series,task_graph_literacy,task_leapfrog,task_admc_rc1,task_impossible_question,task_denominator_neglect_version_A,task_denominator_neglect_version_B,task_bayesian_update_easy,task_bayesian_update_hard,task_shipley_vocab,task_shipley_abstraction,custom_timer_ended_trial,interval_id,stimulus,slider_start,response,slider_moved,admc_id,admc_response,moved_sliders,cfs_id,cfs_response,y_axis_values,chart_height,pt_trial,block,trial,func,direction,noise_condition,datapoints,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,optionA_reward,optionB_reward,points_won,option_selected,curr_block_ind,pt_trial_prediction,response_choice,response_slider,id,question_text,answer_1,answer_2,correct_answer,aig_version,correct,task_version,choice_type,left_lottery_display_type,right_lottery_display_type,left_lottery_type,right_lottery_type,left_lottery_gold_prop,right_lottery_gold_prop,left_lottery_total_coins,right_lottery_total_coins,left_lottery_gold_coins,right_lottery_gold_coins,left_lottery_silver_coins,right_lottery_silver_coins,selected_lottery,coin_drawn,unique_trial,unique_trial_draw_number,ball_split,left_box_majority_color,right_box_majority_color,selected_box_majority_color,current_draw,past_draws,version,score,question_order,shipley_vocabulary_score,shipley_abstraction_score
html-keyboard-response,204,2241374,0.0-17.0-5.0-4.0-0.18,aSQHqNgAC72qFl41sNLj,223301,3,YB9bOpsYd7GSZk5kE1qZQS3J1M,Eoq92zhqgUpvzHQtuDZZLwcNkR,1280.0,720.0,,494.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div>",,arrowleft,,,,,,,,,True,2.0,58.0,,,,,,,,,,,,,,,,,,80.0,70.0,80.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,205,2242376,0.0-17.0-5.0-4.0-1.18,aSQHqNgAC72qFl41sNLj,223301,3,YB9bOpsYd7GSZk5kE1qZQS3J1M,Eoq92zhqgUpvzHQtuDZZLwcNkR,1280.0,720.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>80</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,206,2243024,0.0-17.0-5.0-4.0-0.19,aSQHqNgAC72qFl41sNLj,223301,3,YB9bOpsYd7GSZk5kE1qZQS3J1M,Eoq92zhqgUpvzHQtuDZZLwcNkR,1280.0,720.0,,646.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div>",,arrowleft,,,,,,,,,True,2.0,59.0,,,,,,,,,,,,,,,,,,80.0,70.0,80.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,207,2244028,0.0-17.0-5.0-4.0-1.19,aSQHqNgAC72qFl41sNLj,223301,3,YB9bOpsYd7GSZk5kE1qZQS3J1M,Eoq92zhqgUpvzHQtuDZZLwcNkR,1280.0,720.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>80</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-html-form,208,2256287,0.0-17.0-5.0-5.0-0.0-0.0,aSQHqNgAC72qFl41sNLj,223301,3,YB9bOpsYd7GSZk5kE1qZQS3J1M,Eoq92zhqgUpvzHQtuDZZLwcNkR,1280.0,720.0,,12256.0,,,,,,,,,,,,leapfrog_pt_trial_interblock_question,,,,,,,,,,,,,,,,,,,False,7200.0,,,{'prediction': '0'},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,209,2263277,0.0-17.0-5.0-5.0-0.0-1.0,aSQHqNgAC72qFl41sNLj,223301,3,YB9bOpsYd7GSZk5kE1qZQS3J1M,Eoq92zhqgUpvzHQtuDZZLwcNkR,1280.0,720.0,,6989.0,,,,,,,,,,,,pt_trial_after_interblock,,,,,,,,,,,,,,,,,,,False,7228.0,"<p>Now, please <b>place your right hand on the left and right arrow keys</b>.</p>
                            <p><i>Press the <b>spacebar</b> with your left hand whenever you are ready to continue!</i></p>",, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,210,2264117,0.0-17.0-5.0-6.0-0.0,aSQHqNgAC72qFl41sNLj,223301,3,YB9bOpsYd7GSZk5kE1qZQS3J1M,Eoq92zhqgUpvzHQtuDZZLwcNkR,1280.0,720.0,,838.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div>",,arrowright,,,,,,,,,True,3.0,60.0,,,,,,,,,,,,,,,,,,80.0,90.0,90.0,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,211,2265118,0.0-17.0-5.0-6.0-1.0,aSQHqNgAC72qFl41sNLj,223301,3,YB9bOpsYd7GSZk5kE1qZQS3J1M,Eoq92zhqgUpvzHQtuDZZLwcNkR,1280.0,720.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>90</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,212,2265620,0.0-17.0-5.0-6.0-0.1,aSQHqNgAC72qFl41sNLj,223301,3,YB9bOpsYd7GSZk5kE1qZQS3J1M,Eoq92zhqgUpvzHQtuDZZLwcNkR,1280.0,720.0,,500.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div>",,arrowleft,,,,,,,,,True,3.0,61.0,,,,,,,,,,,,,,,,,,80.0,90.0,80.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,213,2266623,0.0-17.0-5.0-6.0-1.1,aSQHqNgAC72qFl41sNLj,223301,3,YB9bOpsYd7GSZk5kE1qZQS3J1M,Eoq92zhqgUpvzHQtuDZZLwcNkR,1280.0,720.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>80</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,214,2266999,0.0-17.0-5.0-6.0-0.2,aSQHqNgAC72qFl41sNLj,223301,3,YB9bOpsYd7GSZk5kE1qZQS3J1M,Eoq92zhqgUpvzHQtuDZZLwcNkR,1280.0,720.0,,374.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div>",,arrowright,,,,,,,,,True,3.0,62.0,,,,,,,,,,,,,,,,,,80.0,90.0,90.0,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,215,2268001,0.0-17.0-5.0-6.0-1.2,aSQHqNgAC72qFl41sNLj,223301,3,YB9bOpsYd7GSZk5kE1qZQS3J1M,Eoq92zhqgUpvzHQtuDZZLwcNkR,1280.0,720.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>90</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,216,2268313,0.0-17.0-5.0-6.0-0.3,aSQHqNgAC72qFl41sNLj,223301,3,YB9bOpsYd7GSZk5kE1qZQS3J1M,Eoq92zhqgUpvzHQtuDZZLwcNkR,1280.0,720.0,,311.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div>",,arrowright,,,,,,,,,True,3.0,63.0,,,,,,,,,,,,,,,,,,100.0,90.0,90.0,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,217,2269316,0.0-17.0-5.0-6.0-1.3,aSQHqNgAC72qFl41sNLj,223301,3,YB9bOpsYd7GSZk5kE1qZQS3J1M,Eoq92zhqgUpvzHQtuDZZLwcNkR,1280.0,720.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>90</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,218,2269724,0.0-17.0-5.0-6.0-0.4,aSQHqNgAC72qFl41sNLj,223301,3,YB9bOpsYd7GSZk5kE1qZQS3J1M,Eoq92zhqgUpvzHQtuDZZLwcNkR,1280.0,720.0,,406.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div>",,arrowright,,,,,,,,,True,3.0,64.0,,,,,,,,,,,,,,,,,,100.0,90.0,90.0,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,219,2270727,0.0-17.0-5.0-6.0-1.4,aSQHqNgAC72qFl41sNLj,223301,3,YB9bOpsYd7GSZk5kE1qZQS3J1M,Eoq92zhqgUpvzHQtuDZZLwcNkR,1280.0,720.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>90</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,220,2271079,0.0-17.0-5.0-6.0-0.5,aSQHqNgAC72qFl41sNLj,223301,3,YB9bOpsYd7GSZk5kE1qZQS3J1M,Eoq92zhqgUpvzHQtuDZZLwcNkR,1280.0,720.0,,350.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div>",,arrowright,,,,,,,,,True,3.0,65.0,,,,,,,,,,,,,,,,,,100.0,90.0,90.0,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,221,2272081,0.0-17.0-5.0-6.0-1.5,aSQHqNgAC72qFl41sNLj,223301,3,YB9bOpsYd7GSZk5kE1qZQS3J1M,Eoq92zhqgUpvzHQtuDZZLwcNkR,1280.0,720.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>90</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,222,2272471,0.0-17.0-5.0-6.0-0.6,aSQHqNgAC72qFl41sNLj,223301,3,YB9bOpsYd7GSZk5kE1qZQS3J1M,Eoq92zhqgUpvzHQtuDZZLwcNkR,1280.0,720.0,,388.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div>",,arrowright,,,,,,,,,True,3.0,66.0,,,,,,,,,,,,,,,,,,100.0,90.0,90.0,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,223,2273473,0.0-17.0-5.0-6.0-1.6,aSQHqNgAC72qFl41sNLj,223301,3,YB9bOpsYd7GSZk5kE1qZQS3J1M,Eoq92zhqgUpvzHQtuDZZLwcNkR,1280.0,720.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>90</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,224,2273831,0.0-17.0-5.0-6.0-0.7,aSQHqNgAC72qFl41sNLj,223301,3,YB9bOpsYd7GSZk5kE1qZQS3J1M,Eoq92zhqgUpvzHQtuDZZLwcNkR,1280.0,720.0,,357.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div>",,arrowright,,,,,,,,,True,3.0,67.0,,,,,,,,,,,,,,,,,,100.0,90.0,90.0,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,225,2274833,0.0-17.0-5.0-6.0-1.7,aSQHqNgAC72qFl41sNLj,223301,3,YB9bOpsYd7GSZk5kE1qZQS3J1M,Eoq92zhqgUpvzHQtuDZZLwcNkR,1280.0,720.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>90</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,226,2275294,0.0-17.0-5.0-6.0-0.8,aSQHqNgAC72qFl41sNLj,223301,3,YB9bOpsYd7GSZk5kE1qZQS3J1M,Eoq92zhqgUpvzHQtuDZZLwcNkR,1280.0,720.0,,459.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div>",,arrowright,,,,,,,,,True,3.0,68.0,,,,,,,,,,,,,,,,,,100.0,90.0,90.0,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,227,2276296,0.0-17.0-5.0-6.0-1.8,aSQHqNgAC72qFl41sNLj,223301,3,YB9bOpsYd7GSZk5kE1qZQS3J1M,Eoq92zhqgUpvzHQtuDZZLwcNkR,1280.0,720.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>90</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,228,2276957,0.0-17.0-5.0-6.0-0.9,aSQHqNgAC72qFl41sNLj,223301,3,YB9bOpsYd7GSZk5kE1qZQS3J1M,Eoq92zhqgUpvzHQtuDZZLwcNkR,1280.0,720.0,,659.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div>",,arrowleft,,,,,,,,,True,3.0,69.0,,,,,,,,,,,,,,,,,,100.0,90.0,100.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,229,2277960,0.0-17.0-5.0-6.0-1.9,aSQHqNgAC72qFl41sNLj,223301,3,YB9bOpsYd7GSZk5kE1qZQS3J1M,Eoq92zhqgUpvzHQtuDZZLwcNkR,1280.0,720.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>100</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,230,2278614,0.0-17.0-5.0-6.0-0.10,aSQHqNgAC72qFl41sNLj,223301,3,YB9bOpsYd7GSZk5kE1qZQS3J1M,Eoq92zhqgUpvzHQtuDZZLwcNkR,1280.0,720.0,,653.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div>",,arrowleft,,,,,,,,,True,3.0,70.0,,,,,,,,,,,,,,,,,,100.0,90.0,100.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,231,2279618,0.0-17.0-5.0-6.0-1.10,aSQHqNgAC72qFl41sNLj,223301,3,YB9bOpsYd7GSZk5kE1qZQS3J1M,Eoq92zhqgUpvzHQtuDZZLwcNkR,1280.0,720.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>100</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,232,2279797,0.0-17.0-5.0-6.0-0.11,aSQHqNgAC72qFl41sNLj,223301,3,YB9bOpsYd7GSZk5kE1qZQS3J1M,Eoq92zhqgUpvzHQtuDZZLwcNkR,1280.0,720.0,,177.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div>",,arrowleft,,,,,,,,,True,3.0,71.0,,,,,,,,,,,,,,,,,,100.0,90.0,100.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,233,2280799,0.0-17.0-5.0-6.0-1.11,aSQHqNgAC72qFl41sNLj,223301,3,YB9bOpsYd7GSZk5kE1qZQS3J1M,Eoq92zhqgUpvzHQtuDZZLwcNkR,1280.0,720.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>100</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,234,2281035,0.0-17.0-5.0-6.0-0.12,aSQHqNgAC72qFl41sNLj,223301,3,YB9bOpsYd7GSZk5kE1qZQS3J1M,Eoq92zhqgUpvzHQtuDZZLwcNkR,1280.0,720.0,,235.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div>",,arrowleft,,,,,,,,,True,3.0,72.0,,,,,,,,,,,,,,,,,,100.0,90.0,100.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,235,2282037,0.0-17.0-5.0-6.0-1.12,aSQHqNgAC72qFl41sNLj,223301,3,YB9bOpsYd7GSZk5kE1qZQS3J1M,Eoq92zhqgUpvzHQtuDZZLwcNkR,1280.0,720.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>100</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,236,2282389,0.0-17.0-5.0-6.0-0.13,aSQHqNgAC72qFl41sNLj,223301,3,YB9bOpsYd7GSZk5kE1qZQS3J1M,Eoq92zhqgUpvzHQtuDZZLwcNkR,1280.0,720.0,,351.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div>",,arrowright,,,,,,,,,True,3.0,73.0,,,,,,,,,,,,,,,,,,100.0,90.0,90.0,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,237,2283391,0.0-17.0-5.0-6.0-1.13,aSQHqNgAC72qFl41sNLj,223301,3,YB9bOpsYd7GSZk5kE1qZQS3J1M,Eoq92zhqgUpvzHQtuDZZLwcNkR,1280.0,720.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>90</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,238,2283706,0.0-17.0-5.0-6.0-0.14,aSQHqNgAC72qFl41sNLj,223301,3,YB9bOpsYd7GSZk5kE1qZQS3J1M,Eoq92zhqgUpvzHQtuDZZLwcNkR,1280.0,720.0,,313.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div>",,arrowleft,,,,,,,,,True,3.0,74.0,,,,,,,,,,,,,,,,,,100.0,90.0,100.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,239,2284707,0.0-17.0-5.0-6.0-1.14,aSQHqNgAC72qFl41sNLj,223301,3,YB9bOpsYd7GSZk5kE1qZQS3J1M,Eoq92zhqgUpvzHQtuDZZLwcNkR,1280.0,720.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>100</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,240,2285175,0.0-17.0-5.0-6.0-0.15,aSQHqNgAC72qFl41sNLj,223301,3,YB9bOpsYd7GSZk5kE1qZQS3J1M,Eoq92zhqgUpvzHQtuDZZLwcNkR,1280.0,720.0,,467.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div>",,arrowleft,,,,,,,,,True,3.0,75.0,,,,,,,,,,,,,,,,,,100.0,90.0,100.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,241,2286178,0.0-17.0-5.0-6.0-1.15,aSQHqNgAC72qFl41sNLj,223301,3,YB9bOpsYd7GSZk5kE1qZQS3J1M,Eoq92zhqgUpvzHQtuDZZLwcNkR,1280.0,720.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>100</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,242,2286361,0.0-17.0-5.0-6.0-0.16,aSQHqNgAC72qFl41sNLj,223301,3,YB9bOpsYd7GSZk5kE1qZQS3J1M,Eoq92zhqgUpvzHQtuDZZLwcNkR,1280.0,720.0,,181.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div>",,arrowleft,,,,,,,,,True,3.0,76.0,,,,,,,,,,,,,,,,,,100.0,110.0,100.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,243,2287363,0.0-17.0-5.0-6.0-1.16,aSQHqNgAC72qFl41sNLj,223301,3,YB9bOpsYd7GSZk5kE1qZQS3J1M,Eoq92zhqgUpvzHQtuDZZLwcNkR,1280.0,720.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>100</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
