trial_type,trial_index,time_elapsed,internal_node_id,subject_id,form,wave,session_id,session_restart_id,FULLSCREEN_SCREEN_WIDTH,FULLSCREEN_SCREEN_HEIGHT,view_history,rt,width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_name,success,data_checkpoint,data_checkpoint_ind,experiment_parameters,task_admc_a2,task_admc_rp,task_coherence_forecasting,task_time_series,task_graph_literacy,task_leapfrog,task_admc_rc1,task_impossible_question,task_denominator_neglect_version_A,task_denominator_neglect_version_B,task_bayesian_update_easy,task_bayesian_update_hard,task_shipley_vocab,task_shipley_abstraction,custom_timer_ended_trial,interval_id,stimulus,slider_start,response,slider_moved,admc_id,admc_response,moved_sliders,cfs_id,cfs_response,y_axis_values,chart_height,pt_trial,block,trial,func,direction,noise_condition,datapoints,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,optionA_reward,optionB_reward,points_won,option_selected,curr_block_ind,pt_trial_prediction,response_choice,response_slider,id,question_text,answer_1,answer_2,correct_answer,aig_version,correct,task_version,choice_type,left_lottery_display_type,right_lottery_display_type,left_lottery_type,right_lottery_type,left_lottery_gold_prop,right_lottery_gold_prop,left_lottery_total_coins,right_lottery_total_coins,left_lottery_gold_coins,right_lottery_gold_coins,left_lottery_silver_coins,right_lottery_silver_coins,selected_lottery,coin_drawn,unique_trial,unique_trial_draw_number,ball_split,left_box_majority_color,right_box_majority_color,selected_box_majority_color,current_draw,past_draws,version,score,question_order,shipley_vocabulary_score,shipley_abstraction_score
call-function,0,3,0.0-0.0,aSQHqNgAC72qFl41sNLj,223301,3,YB9bOpsYd7GSZk5kE1qZQS3J1M,Eoq92zhqgUpvzHQtuDZZLwcNkR,1280.0,720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instructions,1,6141,0.0-1.0,aSQHqNgAC72qFl41sNLj,223301,3,YB9bOpsYd7GSZk5kE1qZQS3J1M,Eoq92zhqgUpvzHQtuDZZLwcNkR,1280.0,720.0,"[{'page_index': 0, 'viewing_time': 6136}]",6136.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,2,6142,0.0-2.0,aSQHqNgAC72qFl41sNLj,223301,3,YB9bOpsYd7GSZk5kE1qZQS3J1M,Eoq92zhqgUpvzHQtuDZZLwcNkR,1280.0,720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
browser-check,3,7129,0.0-3.0,aSQHqNgAC72qFl41sNLj,223301,3,YB9bOpsYd7GSZk5kE1qZQS3J1M,Eoq92zhqgUpvzHQtuDZZLwcNkR,1280.0,720.0,,,1280.0,559.0,True,chrome,122.0.0,False,Windows 10,True,61.44,True,True,browser_check,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fullscreen,4,18813,0.0-4.0,aSQHqNgAC72qFl41sNLj,223301,3,YB9bOpsYd7GSZk5kE1qZQS3J1M,Eoq92zhqgUpvzHQtuDZZLwcNkR,1280.0,720.0,,,,,,,,,,,,,,fullscreen,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,5,18814,0.0-5.0,aSQHqNgAC72qFl41sNLj,223301,3,YB9bOpsYd7GSZk5kE1qZQS3J1M,Eoq92zhqgUpvzHQtuDZZLwcNkR,1280.0,720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,6,18815,0.0-6.0,aSQHqNgAC72qFl41sNLj,223301,3,YB9bOpsYd7GSZk5kE1qZQS3J1M,Eoq92zhqgUpvzHQtuDZZLwcNkR,1280.0,720.0,,,,,,,,,,,,,,async_data_save,,experiment__welcome,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,0,4,0.0-0.0,aSQHqNgAC72qFl41sNLj,223301,3,YB9bOpsYd7GSZk5kE1qZQS3J1M,pp3Zrk0u4yxx0RLHyCpqJAkrQQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
