trial_type,trial_index,time_elapsed,internal_node_id,subject_id,form,wave,session_id,session_restart_id,trial_name,experiment_parameters,task_number_series,task_bayesian_update_easy,task_bayesian_update_hard,task_denominator_neglect_version_A,task_denominator_neglect_version_B,task_time_series,task_cognitive_reflection,task_impossible_question,task_admc_a1,task_raven_matrix,task_admc_rc2,task_admc_dr,task_leapfrog,data_checkpoint,data_checkpoint_ind,view_history,rt,FULLSCREEN_SCREEN_WIDTH,FULLSCREEN_SCREEN_HEIGHT,width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,success,custom_timer_ended_trial,interval_id,response,ns_id,ns_response,stimulus,response_slider,pt_trial,block,trial,unique_trial,unique_trial_draw_number,ball_split,left_box_majority_color,right_box_majority_color,selected_box_majority_color,current_draw,past_draws,version,aig_version,score,task_version,choice_type,left_lottery_display_type,right_lottery_display_type,left_lottery_type,right_lottery_type,left_lottery_gold_prop,right_lottery_gold_prop,left_lottery_total_coins,right_lottery_total_coins,left_lottery_gold_coins,right_lottery_gold_coins,left_lottery_silver_coins,right_lottery_silver_coins,selected_lottery,coin_drawn,y_axis_values,chart_height,func,direction,noise_condition,datapoints,question_order,crt_1,crt_2,crt_3,crt_4,crt_5,crt_6,crt_7,response_choice,slider_moved,id,question_text,answer_1,answer_2,correct_answer,correct,slider_start,admc_id,admc_response,list_id,optionA_reward,optionB_reward,points_won,option_selected,curr_block_ind,pt_trial_prediction
html-keyboard-response,420,1662221,0.0-17.0-7.0-0.0-1.15,O64buZkTfWbzctpTJb8y,33ff78,5,mk5rrLS897VhQMADLVelj6a1If,xYdCxqCNpI7VtlV5kfpeDLE2AU,dn_main_trial_version_A,,,,,,,,,,,,,,,,,,2560.0,1504.0,1003.0,,,,,,,,,,,,,False,7697.0,arrowleft,,,"<div id=""lottery_labels_container"">
                            <div>Lottery 1</div>
                            <div>Lottery 2</div>
                        </div>
                        <div id=""lottery_text_desc_container"">
                            <div id=""lottery_left_text"" class=""lottery_text""></div>
                            <div id=""lottery_right_text"" class=""lottery_text""></div>
                        </div>
                        <div id=""lotteries_container"">
                            <div id=""lottery_left_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_left"" class=""lottery""></div>
                            </div>
                            <div id=""lottery_right_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_right"" class=""lottery""></div>
                            </div>
                        </div>
                        <div id=""lottery_choices"">
                            <div class=""lottery_choice""><span>Draw from Lottery 1</span><br><span><i>left arrow</i></span></div>
                            <div class=""lottery_choice""><span>Draw from Lottery 2</span><br><span><i>right arrow</i></span></div>
                        </div>
                ",,False,0.0,15.0,,,,,,,,,,,,B,harmony,both,both,large,small,0.22,0.2,400.0,10.0,88.0,2.0,312.0,8.0,left,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,421,1663225,0.0-17.0-7.0-0.0-2.15,O64buZkTfWbzctpTJb8y,33ff78,5,mk5rrLS897VhQMADLVelj6a1If,xYdCxqCNpI7VtlV5kfpeDLE2AU,dn_trial_feedback,,,,,,,,,,,,,,,,,,,1504.0,1003.0,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: white; line-height: 2em;"">You drew a <b>silver coin</b>.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,422,1663536,0.0-17.0-7.0-0.0-0.16,O64buZkTfWbzctpTJb8y,33ff78,5,mk5rrLS897VhQMADLVelj6a1If,xYdCxqCNpI7VtlV5kfpeDLE2AU,fixation_cross,,,,,,,,,,,,,,,,,,,1504.0,1003.0,,,,,,,,,,,,,,,,,,"<div class=""fixation-cross"">+</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,423,1667137,0.0-17.0-7.0-0.0-1.16,O64buZkTfWbzctpTJb8y,33ff78,5,mk5rrLS897VhQMADLVelj6a1If,xYdCxqCNpI7VtlV5kfpeDLE2AU,dn_main_trial_version_A,,,,,,,,,,,,,,,,,,3598.0,1504.0,1003.0,,,,,,,,,,,,,False,7700.0,arrowleft,,,"<div id=""lottery_labels_container"">
                            <div>Lottery 1</div>
                            <div>Lottery 2</div>
                        </div>
                        <div id=""lottery_text_desc_container"">
                            <div id=""lottery_left_text"" class=""lottery_text""></div>
                            <div id=""lottery_right_text"" class=""lottery_text""></div>
                        </div>
                        <div id=""lotteries_container"">
                            <div id=""lottery_left_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_left"" class=""lottery""></div>
                            </div>
                            <div id=""lottery_right_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_right"" class=""lottery""></div>
                            </div>
                        </div>
                        <div id=""lottery_choices"">
                            <div class=""lottery_choice""><span>Draw from Lottery 1</span><br><span><i>left arrow</i></span></div>
                            <div class=""lottery_choice""><span>Draw from Lottery 2</span><br><span><i>right arrow</i></span></div>
                        </div>
                ",,False,0.0,16.0,,,,,,,,,,,,B,harmony,both,both,large,small,0.32,0.3,400.0,10.0,128.0,3.0,272.0,7.0,left,gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,424,1668139,0.0-17.0-7.0-0.0-2.16,O64buZkTfWbzctpTJb8y,33ff78,5,mk5rrLS897VhQMADLVelj6a1If,xYdCxqCNpI7VtlV5kfpeDLE2AU,dn_trial_feedback,,,,,,,,,,,,,,,,,,,1504.0,1003.0,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: gold; line-height: 2em;"">You drew a <b>gold coin</b>.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,425,1668440,0.0-17.0-7.0-0.0-0.17,O64buZkTfWbzctpTJb8y,33ff78,5,mk5rrLS897VhQMADLVelj6a1If,xYdCxqCNpI7VtlV5kfpeDLE2AU,fixation_cross,,,,,,,,,,,,,,,,,,,1504.0,1003.0,,,,,,,,,,,,,,,,,,"<div class=""fixation-cross"">+</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,426,1676143,0.0-17.0-7.0-0.0-1.17,O64buZkTfWbzctpTJb8y,33ff78,5,mk5rrLS897VhQMADLVelj6a1If,xYdCxqCNpI7VtlV5kfpeDLE2AU,dn_main_trial_version_A,,,,,,,,,,,,,,,,,,7700.0,1504.0,1003.0,,,,,,,,,,,,,False,7704.0,arrowleft,,,"<div id=""lottery_labels_container"">
                            <div>Lottery 1</div>
                            <div>Lottery 2</div>
                        </div>
                        <div id=""lottery_text_desc_container"">
                            <div id=""lottery_left_text"" class=""lottery_text""></div>
                            <div id=""lottery_right_text"" class=""lottery_text""></div>
                        </div>
                        <div id=""lotteries_container"">
                            <div id=""lottery_left_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_left"" class=""lottery""></div>
                            </div>
                            <div id=""lottery_right_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_right"" class=""lottery""></div>
                            </div>
                        </div>
                        <div id=""lottery_choices"">
                            <div class=""lottery_choice""><span>Draw from Lottery 1</span><br><span><i>left arrow</i></span></div>
                            <div class=""lottery_choice""><span>Draw from Lottery 2</span><br><span><i>right arrow</i></span></div>
                        </div>
                ",,False,0.0,17.0,,,,,,,,,,,,B,conflict,both,both,small,large,0.3,0.26,10.0,400.0,3.0,104.0,7.0,296.0,left,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,427,1677148,0.0-17.0-7.0-0.0-2.17,O64buZkTfWbzctpTJb8y,33ff78,5,mk5rrLS897VhQMADLVelj6a1If,xYdCxqCNpI7VtlV5kfpeDLE2AU,dn_trial_feedback,,,,,,,,,,,,,,,,,,,1504.0,1003.0,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: white; line-height: 2em;"">You drew a <b>silver coin</b>.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,428,1677450,0.0-17.0-7.0-0.0-0.18,O64buZkTfWbzctpTJb8y,33ff78,5,mk5rrLS897VhQMADLVelj6a1If,xYdCxqCNpI7VtlV5kfpeDLE2AU,fixation_cross,,,,,,,,,,,,,,,,,,,1504.0,1003.0,,,,,,,,,,,,,,,,,,"<div class=""fixation-cross"">+</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,429,1680695,0.0-17.0-7.0-0.0-1.18,O64buZkTfWbzctpTJb8y,33ff78,5,mk5rrLS897VhQMADLVelj6a1If,xYdCxqCNpI7VtlV5kfpeDLE2AU,dn_main_trial_version_A,,,,,,,,,,,,,,,,,,3243.0,1504.0,1003.0,,,,,,,,,,,,,False,7707.0,arrowleft,,,"<div id=""lottery_labels_container"">
                            <div>Lottery 1</div>
                            <div>Lottery 2</div>
                        </div>
                        <div id=""lottery_text_desc_container"">
                            <div id=""lottery_left_text"" class=""lottery_text""></div>
                            <div id=""lottery_right_text"" class=""lottery_text""></div>
                        </div>
                        <div id=""lotteries_container"">
                            <div id=""lottery_left_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_left"" class=""lottery""></div>
                            </div>
                            <div id=""lottery_right_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_right"" class=""lottery""></div>
                            </div>
                        </div>
                        <div id=""lottery_choices"">
                            <div class=""lottery_choice""><span>Draw from Lottery 1</span><br><span><i>left arrow</i></span></div>
                            <div class=""lottery_choice""><span>Draw from Lottery 2</span><br><span><i>right arrow</i></span></div>
                        </div>
                ",,False,0.0,18.0,,,,,,,,,,,,B,conflict,both,both,large,small,0.27,0.3,400.0,10.0,108.0,3.0,292.0,7.0,left,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
