trial_type,trial_index,time_elapsed,internal_node_id,subject_id,form,wave,session_id,session_restart_id,trial_name,experiment_parameters,task_denominator_neglect_version_A,task_denominator_neglect_version_B,task_leapfrog,task_admc_rc2,task_bayesian_update_easy,task_bayesian_update_hard,task_time_series,task_admc_a1,task_impossible_question,task_cognitive_reflection,task_raven_matrix,task_admc_dr,task_number_series,data_checkpoint,data_checkpoint_ind,view_history,rt,FULLSCREEN_SCREEN_WIDTH,FULLSCREEN_SCREEN_HEIGHT,width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,success,custom_timer_ended_trial,interval_id,stimulus,response,pt_trial,block,trial,task_version,choice_type,left_lottery_display_type,right_lottery_display_type,left_lottery_type,right_lottery_type,left_lottery_gold_prop,right_lottery_gold_prop,left_lottery_total_coins,right_lottery_total_coins,left_lottery_gold_coins,right_lottery_gold_coins,left_lottery_silver_coins,right_lottery_silver_coins,selected_lottery,coin_drawn,optionA_reward,optionB_reward,points_won,option_selected,curr_block_ind,pt_trial_prediction,slider_start,slider_moved,admc_id,admc_response,response_slider,unique_trial,unique_trial_draw_number,ball_split,left_box_majority_color,right_box_majority_color,selected_box_majority_color,current_draw,past_draws,version,aig_version,score,y_axis_values,chart_height,func,direction,noise_condition,datapoints,response_choice,id,question_text,answer_1,answer_2,correct_answer,correct,question_order,crt_1,crt_2,crt_3,crt_4,crt_5,crt_6,crt_7,list_id,ns_id,ns_response
html-keyboard-response,195,255518,0.0-11.0-5.0-0.0-0.1,8SvO5adegSRe2a8FwTg0,33ff78,5,QLbmVbDaQjulwbmW4P32LQKoIn,eXBxPIGvjeNLzFr7f5KZe0Gr02,fixation_cross,,,,,,,,,,,,,,,,,,,1366.0,768.0,,,,,,,,,,,,,,,"<div class=""fixation-cross"">+</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,196,259294,0.0-11.0-5.0-0.0-1.1,8SvO5adegSRe2a8FwTg0,33ff78,5,QLbmVbDaQjulwbmW4P32LQKoIn,eXBxPIGvjeNLzFr7f5KZe0Gr02,dn_main_trial_version_A,,,,,,,,,,,,,,,,,,3770.0,1366.0,768.0,,,,,,,,,,,,,False,207.0,"<div id=""lottery_labels_container"">
                            <div>Lottery 1</div>
                            <div>Lottery 2</div>
                        </div>
                        <div id=""lottery_text_desc_container"">
                            <div id=""lottery_left_text"" class=""lottery_text""></div>
                            <div id=""lottery_right_text"" class=""lottery_text""></div>
                        </div>
                        <div id=""lotteries_container"">
                            <div id=""lottery_left_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_left"" class=""lottery""></div>
                            </div>
                            <div id=""lottery_right_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_right"" class=""lottery""></div>
                            </div>
                        </div>
                        <div id=""lottery_choices"">
                            <div class=""lottery_choice""><span>Draw from Lottery 1</span><br><span><i>left arrow</i></span></div>
                            <div class=""lottery_choice""><span>Draw from Lottery 2</span><br><span><i>right arrow</i></span></div>
                        </div>
                ",arrowleft,True,0.0,1.0,B,harmony,both,both,small,large,0.1,0.11,10.0,400.0,1.0,44.0,9.0,356.0,left,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,197,260297,0.0-11.0-5.0-0.0-2.1,8SvO5adegSRe2a8FwTg0,33ff78,5,QLbmVbDaQjulwbmW4P32LQKoIn,eXBxPIGvjeNLzFr7f5KZe0Gr02,dn_trial_feedback,,,,,,,,,,,,,,,,,,,1366.0,768.0,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: white; line-height: 2em;"">You drew a <b>silver coin</b>.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,198,260613,0.0-11.0-5.0-0.0-0.2,8SvO5adegSRe2a8FwTg0,33ff78,5,QLbmVbDaQjulwbmW4P32LQKoIn,eXBxPIGvjeNLzFr7f5KZe0Gr02,fixation_cross,,,,,,,,,,,,,,,,,,,1366.0,768.0,,,,,,,,,,,,,,,"<div class=""fixation-cross"">+</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,199,262834,0.0-11.0-5.0-0.0-1.2,8SvO5adegSRe2a8FwTg0,33ff78,5,QLbmVbDaQjulwbmW4P32LQKoIn,eXBxPIGvjeNLzFr7f5KZe0Gr02,dn_main_trial_version_A,,,,,,,,,,,,,,,,,,2214.0,1366.0,768.0,,,,,,,,,,,,,False,210.0,"<div id=""lottery_labels_container"">
                            <div>Lottery 1</div>
                            <div>Lottery 2</div>
                        </div>
                        <div id=""lottery_text_desc_container"">
                            <div id=""lottery_left_text"" class=""lottery_text""></div>
                            <div id=""lottery_right_text"" class=""lottery_text""></div>
                        </div>
                        <div id=""lotteries_container"">
                            <div id=""lottery_left_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_left"" class=""lottery""></div>
                            </div>
                            <div id=""lottery_right_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_right"" class=""lottery""></div>
                            </div>
                        </div>
                        <div id=""lottery_choices"">
                            <div class=""lottery_choice""><span>Draw from Lottery 1</span><br><span><i>left arrow</i></span></div>
                            <div class=""lottery_choice""><span>Draw from Lottery 2</span><br><span><i>right arrow</i></span></div>
                        </div>
                ",arrowright,True,0.0,2.0,B,conflict,both,both,large,small,0.12,0.2,400.0,10.0,48.0,2.0,352.0,8.0,right,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,200,263837,0.0-11.0-5.0-0.0-2.2,8SvO5adegSRe2a8FwTg0,33ff78,5,QLbmVbDaQjulwbmW4P32LQKoIn,eXBxPIGvjeNLzFr7f5KZe0Gr02,dn_trial_feedback,,,,,,,,,,,,,,,,,,,1366.0,768.0,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: white; line-height: 2em;"">You drew a <b>silver coin</b>.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,201,264139,0.0-11.0-5.0-0.0-0.3,8SvO5adegSRe2a8FwTg0,33ff78,5,QLbmVbDaQjulwbmW4P32LQKoIn,eXBxPIGvjeNLzFr7f5KZe0Gr02,fixation_cross,,,,,,,,,,,,,,,,,,,1366.0,768.0,,,,,,,,,,,,,,,"<div class=""fixation-cross"">+</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,202,266139,0.0-11.0-5.0-0.0-1.3,8SvO5adegSRe2a8FwTg0,33ff78,5,QLbmVbDaQjulwbmW4P32LQKoIn,eXBxPIGvjeNLzFr7f5KZe0Gr02,dn_main_trial_version_A,,,,,,,,,,,,,,,,,,1993.0,1366.0,768.0,,,,,,,,,,,,,False,213.0,"<div id=""lottery_labels_container"">
                            <div>Lottery 1</div>
                            <div>Lottery 2</div>
                        </div>
                        <div id=""lottery_text_desc_container"">
                            <div id=""lottery_left_text"" class=""lottery_text""></div>
                            <div id=""lottery_right_text"" class=""lottery_text""></div>
                        </div>
                        <div id=""lotteries_container"">
                            <div id=""lottery_left_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_left"" class=""lottery""></div>
                            </div>
                            <div id=""lottery_right_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_right"" class=""lottery""></div>
                            </div>
                        </div>
                        <div id=""lottery_choices"">
                            <div class=""lottery_choice""><span>Draw from Lottery 1</span><br><span><i>left arrow</i></span></div>
                            <div class=""lottery_choice""><span>Draw from Lottery 2</span><br><span><i>right arrow</i></span></div>
                        </div>
                ",arrowright,True,0.0,3.0,B,conflict,both,both,small,large,0.3,0.24,10.0,400.0,3.0,96.0,7.0,304.0,right,gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,203,267142,0.0-11.0-5.0-0.0-2.3,8SvO5adegSRe2a8FwTg0,33ff78,5,QLbmVbDaQjulwbmW4P32LQKoIn,eXBxPIGvjeNLzFr7f5KZe0Gr02,dn_trial_feedback,,,,,,,,,,,,,,,,,,,1366.0,768.0,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: gold; line-height: 2em;"">You drew a <b>gold coin</b>.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,204,267445,0.0-11.0-5.0-0.0-0.4,8SvO5adegSRe2a8FwTg0,33ff78,5,QLbmVbDaQjulwbmW4P32LQKoIn,eXBxPIGvjeNLzFr7f5KZe0Gr02,fixation_cross,,,,,,,,,,,,,,,,,,,1366.0,768.0,,,,,,,,,,,,,,,"<div class=""fixation-cross"">+</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
