trial_type,trial_index,time_elapsed,internal_node_id,subject_id,form,wave,session_id,session_restart_id,FULLSCREEN_SCREEN_WIDTH,FULLSCREEN_SCREEN_HEIGHT,view_history,rt,width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_name,success,data_checkpoint,data_checkpoint_ind,experiment_parameters,task_admc_rc2,task_time_series,task_leapfrog,task_impossible_question,task_cognitive_reflection,task_admc_a1,task_number_series,task_raven_matrix,task_denominator_neglect_version_A,task_denominator_neglect_version_B,task_admc_dr,task_bayesian_update_easy,task_bayesian_update_hard,custom_timer_ended_trial,interval_id,stimulus,slider_start,response,slider_moved,admc_id,admc_response,y_axis_values,chart_height,pt_trial,block,trial,func,direction,noise_condition,datapoints,optionA_reward,optionB_reward,points_won,option_selected,curr_block_ind,pt_trial_prediction,response_choice,response_slider,id,question_text,answer_1,answer_2,correct_answer,aig_version,correct,question_order,crt_1,crt_2,crt_3,crt_4,crt_5,crt_6,crt_7,ns_id,ns_response,list_id,task_version,choice_type,left_lottery_display_type,right_lottery_display_type,left_lottery_type,right_lottery_type,left_lottery_gold_prop,right_lottery_gold_prop,left_lottery_total_coins,right_lottery_total_coins,left_lottery_gold_coins,right_lottery_gold_coins,left_lottery_silver_coins,right_lottery_silver_coins,selected_lottery,coin_drawn,unique_trial,unique_trial_draw_number,ball_split,left_box_majority_color,right_box_majority_color,selected_box_majority_color,current_draw,past_draws,version,score
call-function,0,31,0.0-0.0,kLCaw9Ph55qb2xqEv85A,33ff78,3,YDLP2OeRzC6van4rHwz1kzHp2w,LJS0fXPPDNoCaWBazDWdE7FY2A,1032.0,571.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instructions,1,26617,0.0-1.0,kLCaw9Ph55qb2xqEv85A,33ff78,3,YDLP2OeRzC6van4rHwz1kzHp2w,LJS0fXPPDNoCaWBazDWdE7FY2A,1032.0,571.0,"[{'page_index': 0, 'viewing_time': 26584}]",26584.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,2,26620,0.0-2.0,kLCaw9Ph55qb2xqEv85A,33ff78,3,YDLP2OeRzC6van4rHwz1kzHp2w,LJS0fXPPDNoCaWBazDWdE7FY2A,1032.0,571.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
browser-check,3,27618,0.0-3.0,kLCaw9Ph55qb2xqEv85A,33ff78,3,YDLP2OeRzC6van4rHwz1kzHp2w,LJS0fXPPDNoCaWBazDWdE7FY2A,1032.0,571.0,,,1032.0,571.0,True,firefox,115.0.0,False,Mac OS,True,60.61,True,True,browser_check,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fullscreen,4,33859,0.0-4.0,kLCaw9Ph55qb2xqEv85A,33ff78,3,YDLP2OeRzC6van4rHwz1kzHp2w,LJS0fXPPDNoCaWBazDWdE7FY2A,1032.0,571.0,,,,,,,,,,,,,,fullscreen,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,5,33860,0.0-5.0,kLCaw9Ph55qb2xqEv85A,33ff78,3,YDLP2OeRzC6van4rHwz1kzHp2w,LJS0fXPPDNoCaWBazDWdE7FY2A,1032.0,571.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,6,33861,0.0-6.0,kLCaw9Ph55qb2xqEv85A,33ff78,3,YDLP2OeRzC6van4rHwz1kzHp2w,LJS0fXPPDNoCaWBazDWdE7FY2A,1032.0,571.0,,,,,,,,,,,,,,async_data_save,,experiment__welcome,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,0,35,0.0-0.0,kLCaw9Ph55qb2xqEv85A,33ff78,3,YDLP2OeRzC6van4rHwz1kzHp2w,6tbEJl7JlHLOCtOnDONMk3n86N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
