trial_type,trial_index,time_elapsed,internal_node_id,subject_id,form,wave,session_id,session_restart_id,trial_name,experiment_parameters,task_admc_a2,task_shipley_vocab,task_graph_literacy,task_coherence_forecasting,task_admc_rp,task_leapfrog,task_admc_rc1,task_bayesian_update_easy,task_bayesian_update_hard,task_shipley_abstraction,task_denominator_neglect_version_A,task_denominator_neglect_version_B,task_time_series,task_impossible_question,data_checkpoint,data_checkpoint_ind,view_history,rt,FULLSCREEN_SCREEN_WIDTH,FULLSCREEN_SCREEN_HEIGHT,width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,success,custom_timer_ended_trial,interval_id,stimulus,slider_start,response,slider_moved,admc_id,admc_response,question_order,shipley_vocabulary_score,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,moved_sliders,cfs_id,cfs_response,pt_trial,block,trial,optionA_reward,optionB_reward,points_won,option_selected,curr_block_ind,pt_trial_prediction,response_slider,unique_trial,unique_trial_draw_number,ball_split,left_box_majority_color,right_box_majority_color,selected_box_majority_color,current_draw,past_draws,version,aig_version,score,shipley_abstraction_score,task_version,choice_type,left_lottery_display_type,right_lottery_display_type,left_lottery_type,right_lottery_type,left_lottery_gold_prop,right_lottery_gold_prop,left_lottery_total_coins,right_lottery_total_coins,left_lottery_gold_coins,right_lottery_gold_coins,left_lottery_silver_coins,right_lottery_silver_coins,selected_lottery,coin_drawn,y_axis_values,chart_height,func,direction,noise_condition,datapoints,response_choice,id,question_text,answer_1,answer_2,correct_answer,correct
call-function,20,191479,0.0-9.0-6.0,7rdzWU5Zz8Pev8BzXksx,223301,3,sJKTeo9ykESDH7OZXXImgi0CSH,iq0xpkaJKsrz5Gs0ApT3HFYxwO,,,,,,,,,,,,,,,,,,,,,1280.0,720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,21,191482,0.0-9.0-8.0,7rdzWU5Zz8Pev8BzXksx,223301,3,sJKTeo9ykESDH7OZXXImgi0CSH,iq0xpkaJKsrz5Gs0ApT3HFYxwO,async_data_save,,,,,,,,,,,,,,,,ADMC Framing A2__completed,2.0,,,1280.0,720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,22,191484,0.0-11.0-0.0-0.0,7rdzWU5Zz8Pev8BzXksx,223301,3,sJKTeo9ykESDH7OZXXImgi0CSH,iq0xpkaJKsrz5Gs0ApT3HFYxwO,,,,,,,,,,,,,,,,,,,,,1280.0,720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,23,191635,0.0-11.0-1.0,7rdzWU5Zz8Pev8BzXksx,223301,3,sJKTeo9ykESDH7OZXXImgi0CSH,iq0xpkaJKsrz5Gs0ApT3HFYxwO,,,,,,,,,,,,,,,,,,,,,1280.0,720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instructions,24,203166,0.0-11.0-2.0,7rdzWU5Zz8Pev8BzXksx,223301,3,sJKTeo9ykESDH7OZXXImgi0CSH,iq0xpkaJKsrz5Gs0ApT3HFYxwO,shipley_vocab_instructions,,,,,,,,,,,,,,,,,,"[{'page_index': 0, 'viewing_time': 11530}]",11530.0,1280.0,720.0,,,,,,,,,,,,,False,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,25,203167,0.0-11.0-3.0,7rdzWU5Zz8Pev8BzXksx,223301,3,sJKTeo9ykESDH7OZXXImgi0CSH,iq0xpkaJKsrz5Gs0ApT3HFYxwO,,,,,,,,,,,,,,,,,,,,,1280.0,720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,26,571852,0.0-11.0-4.0,7rdzWU5Zz8Pev8BzXksx,223301,3,sJKTeo9ykESDH7OZXXImgi0CSH,iq0xpkaJKsrz5Gs0ApT3HFYxwO,shipley_vocab_test_trial,,,,,,,,,,,,,,,,,,,368678.0,1280.0,720.0,,,,,,,,,,,,,False,19.0,,,"{'shipley_vocab_1': 'speak', 'shipley_vocab_2': 'sofa', 'shipley_vocab_3': 'recall', 'shipley_vocab_4': 'forgive', 'shipley_vocab_5': 'dreadful', 'shipley_vocab_6': 'large', 'shipley_vocab_7': 'likely', 'shipley_vocab_8': 'pretender', 'shipley_vocab_9': 'enchant', 'shipley_vocab_10': 'obvious', 'shipley_vocab_11': 'tell', 'shipley_vocab_12': 'pull', 'shipley_vocab_13': 'laughter', 'shipley_vocab_14': 'uninformed', 'shipley_vocab_15': 'heading', 'shipley_vocab_16': 'signify', 'shipley_vocab_17': 'serious', 'shipley_vocab_18': 'strengthen', 'shipley_vocab_19': 'deserve', 'shipley_vocab_20': 'fame', 'shipley_vocab_21': 'turn', 'shipley_vocab_22': 'charm', 'shipley_vocab_23': 'barren', 'shipley_vocab_24': 'affable', 'shipley_vocab_25': 'waste', 'shipley_vocab_26': 'notched', 'shipley_vocab_27': 'pilfer', 'shipley_vocab_28': 'hole', 'shipley_vocab_29': 'unspoiled', 'shipley_vocab_30': 'harmless', 'shipley_vocab_31': 'humorous', 'shipley_vocab_32': 'lament', 'shipley_vocab_33': 'relentless', 'shipley_vocab_34': 'intrude', 'shipley_vocab_35': 'mitigate', 'shipley_vocab_36': 'complaining', 'shipley_vocab_37': 'incite', 'shipley_vocab_38': 'disuse', 'shipley_vocab_39': 'traverse', 'shipley_vocab_40': 'everyday'}",,,,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39]",37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,27,571855,0.0-11.0-5.0,7rdzWU5Zz8Pev8BzXksx,223301,3,sJKTeo9ykESDH7OZXXImgi0CSH,iq0xpkaJKsrz5Gs0ApT3HFYxwO,,,,,,,,,,,,,,,,,,,,,1280.0,720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,28,571856,0.0-11.0-6.0,7rdzWU5Zz8Pev8BzXksx,223301,3,sJKTeo9ykESDH7OZXXImgi0CSH,iq0xpkaJKsrz5Gs0ApT3HFYxwO,,,,,,,,,,,,,,,,,,,,,1280.0,720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,29,571857,0.0-11.0-8.0,7rdzWU5Zz8Pev8BzXksx,223301,3,sJKTeo9ykESDH7OZXXImgi0CSH,iq0xpkaJKsrz5Gs0ApT3HFYxwO,async_data_save,,,,,,,,,,,,,,,,Shipley (Vocabulary)__completed,3.0,,,1280.0,720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
