trial_type,trial_index,time_elapsed,internal_node_id,subject_id,form,wave,session_id,session_restart_id,trial_name,experiment_parameters,task_coherence_forecasting,task_leapfrog,task_admc_rp,task_graph_literacy,task_admc_rc1,task_admc_a2,task_denominator_neglect_version_A,task_denominator_neglect_version_B,task_shipley_vocab,task_time_series,task_impossible_question,task_bayesian_update_easy,task_bayesian_update_hard,task_shipley_abstraction,data_checkpoint,data_checkpoint_ind,view_history,rt,FULLSCREEN_SCREEN_WIDTH,FULLSCREEN_SCREEN_HEIGHT,width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,success,custom_timer_ended_trial,interval_id,response,moved_sliders,cfs_id,cfs_response,stimulus,pt_trial,block,trial,optionA_reward,optionB_reward,points_won,option_selected,curr_block_ind,pt_trial_prediction,admc_id,admc_response,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,slider_start,slider_moved,task_version,choice_type,left_lottery_display_type,right_lottery_display_type,left_lottery_type,right_lottery_type,left_lottery_gold_prop,right_lottery_gold_prop,left_lottery_total_coins,right_lottery_total_coins,left_lottery_gold_coins,right_lottery_gold_coins,left_lottery_silver_coins,right_lottery_silver_coins,selected_lottery,coin_drawn,question_order,shipley_vocabulary_score,y_axis_values,chart_height,func,direction,noise_condition,datapoints,response_choice,response_slider,id,question_text,answer_1,answer_2,correct_answer,aig_version,correct,unique_trial,unique_trial_draw_number,ball_split,left_box_majority_color,right_box_majority_color,selected_box_majority_color,current_draw,past_draws,version,score,shipley_abstraction_score
html-keyboard-response,2,7,0.0-2.0,Ij5If0n4tBMsNtacFvQq,223301,3,NKYnMs959z4MohQvtvXVeD8sA1,nBoRaoYeoeUDuCPHK7rKllzkyE,async_data_save,,,,,,,,,,,,,,,,experiment__save_session_params,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instructions,3,1509412,0.0-3.0,Ij5If0n4tBMsNtacFvQq,223301,3,NKYnMs959z4MohQvtvXVeD8sA1,nBoRaoYeoeUDuCPHK7rKllzkyE,,,,,,,,,,,,,,,,,,,"[{'page_index': 0, 'viewing_time': 1509402}]",1509403.0,2560.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,4,1509414,0.0-4.0,Ij5If0n4tBMsNtacFvQq,223301,3,NKYnMs959z4MohQvtvXVeD8sA1,nBoRaoYeoeUDuCPHK7rKllzkyE,,,,,,,,,,,,,,,,,,,,,2560.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
browser-check,5,1510412,0.0-5.0,Ij5If0n4tBMsNtacFvQq,223301,3,NKYnMs959z4MohQvtvXVeD8sA1,nBoRaoYeoeUDuCPHK7rKllzkyE,browser_check,,,,,,,,,,,,,,,,,,,,2560.0,1080.0,1299.0,647.0,True,chrome,122.0.0,False,Windows 10,True,60.78,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fullscreen,6,1522704,0.0-6.0,Ij5If0n4tBMsNtacFvQq,223301,3,NKYnMs959z4MohQvtvXVeD8sA1,nBoRaoYeoeUDuCPHK7rKllzkyE,fullscreen,,,,,,,,,,,,,,,,,,,,2560.0,1080.0,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,7,1522705,0.0-7.0,Ij5If0n4tBMsNtacFvQq,223301,3,NKYnMs959z4MohQvtvXVeD8sA1,nBoRaoYeoeUDuCPHK7rKllzkyE,,,,,,,,,,,,,,,,,,,,,2560.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,8,1522706,0.0-8.0,Ij5If0n4tBMsNtacFvQq,223301,3,NKYnMs959z4MohQvtvXVeD8sA1,nBoRaoYeoeUDuCPHK7rKllzkyE,async_data_save,,,,,,,,,,,,,,,,experiment__welcome,1.0,,,2560.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,9,1522859,0.0-9.0-1.0,Ij5If0n4tBMsNtacFvQq,223301,3,NKYnMs959z4MohQvtvXVeD8sA1,nBoRaoYeoeUDuCPHK7rKllzkyE,,,,,,,,,,,,,,,,,,,,,2560.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instructions,10,1535114,0.0-9.0-2.0,Ij5If0n4tBMsNtacFvQq,223301,3,NKYnMs959z4MohQvtvXVeD8sA1,nBoRaoYeoeUDuCPHK7rKllzkyE,cfs_general_instructions,,,,,,,,,,,,,,,,,,"[{'page_index': 0, 'viewing_time': 12253}]",12254.0,2560.0,1080.0,,,,,,,,,,,,,False,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,11,1535115,0.0-9.0-3.0,Ij5If0n4tBMsNtacFvQq,223301,3,NKYnMs959z4MohQvtvXVeD8sA1,nBoRaoYeoeUDuCPHK7rKllzkyE,,,,,,,,,,,,,,,,,,,,,2560.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
