trial_type,trial_index,time_elapsed,internal_node_id,subject_id,form,wave,session_id,session_restart_id,trial_name,experiment_parameters,task_admc_rc1,task_shipley_vocab,task_denominator_neglect_version_A,task_denominator_neglect_version_B,task_admc_a2,task_shipley_abstraction,task_time_series,task_leapfrog,task_impossible_question,task_admc_rp,task_graph_literacy,task_bayesian_update_easy,task_bayesian_update_hard,task_coherence_forecasting,data_checkpoint,data_checkpoint_ind,view_history,rt,FULLSCREEN_SCREEN_WIDTH,FULLSCREEN_SCREEN_HEIGHT,width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,success,custom_timer_ended_trial,interval_id,stimulus,slider_start,response,slider_moved,admc_id,admc_response,question_order,shipley_vocabulary_score,pt_trial,block,trial,task_version,choice_type,left_lottery_display_type,right_lottery_display_type,left_lottery_type,right_lottery_type,left_lottery_gold_prop,right_lottery_gold_prop,left_lottery_total_coins,right_lottery_total_coins,left_lottery_gold_coins,right_lottery_gold_coins,left_lottery_silver_coins,right_lottery_silver_coins,selected_lottery,coin_drawn,shipley_abstraction_score,y_axis_values,chart_height,func,direction,noise_condition,datapoints,optionA_reward,optionB_reward,points_won,option_selected,curr_block_ind,pt_trial_prediction,response_choice,response_slider,id,question_text,answer_1,answer_2,correct_answer,aig_version,correct,moved_sliders,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,unique_trial,unique_trial_draw_number,ball_split,left_box_majority_color,right_box_majority_color,selected_box_majority_color,current_draw,past_draws,version,score,cfs_id,cfs_response
html-keyboard-response,356,841796,0.0-15.0-7.0-0.0-2.39,yqMj1TFPsIaB3OebJIsk,223301,3,eIL8FFCxQoYkVmUdVQUfZYKTTG,UDaN9rZOwT31bdHhK4l6H5sB1D,dn_trial_feedback,,,,,,,,,,,,,,,,,,,,1504.0,1003.0,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: gold; line-height: 2em;"">You drew a <b>gold coin</b>.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,357,842099,0.0-15.0-7.0-0.0-0.40,yqMj1TFPsIaB3OebJIsk,223301,3,eIL8FFCxQoYkVmUdVQUfZYKTTG,UDaN9rZOwT31bdHhK4l6H5sB1D,fixation_cross,,,,,,,,,,,,,,,,,,,,1504.0,1003.0,,,,,,,,,,,,,,,"<div class=""fixation-cross"">+</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,358,844289,0.0-15.0-7.0-0.0-1.40,yqMj1TFPsIaB3OebJIsk,223301,3,eIL8FFCxQoYkVmUdVQUfZYKTTG,UDaN9rZOwT31bdHhK4l6H5sB1D,dn_main_trial_version_A,,,,,,,,,,,,,,,,,,,2187.0,1504.0,1003.0,,,,,,,,,,,,,False,369.0,"<div id=""lottery_labels_container"">
                            <div>Lottery 1</div>
                            <div>Lottery 2</div>
                        </div>
                        <div id=""lottery_text_desc_container"">
                            <div id=""lottery_left_text"" class=""lottery_text""></div>
                            <div id=""lottery_right_text"" class=""lottery_text""></div>
                        </div>
                        <div id=""lotteries_container"">
                            <div id=""lottery_left_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_left"" class=""lottery""></div>
                            </div>
                            <div id=""lottery_right_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_right"" class=""lottery""></div>
                            </div>
                        </div>
                        <div id=""lottery_choices"">
                            <div class=""lottery_choice""><span>Draw from Lottery 1</span><br><span><i>left arrow</i></span></div>
                            <div class=""lottery_choice""><span>Draw from Lottery 2</span><br><span><i>right arrow</i></span></div>
                        </div>
                ",,arrowright,,,,,,False,0.0,40.0,B,harmony,both,both,large,small,0.15,0.1,400.0,10.0,60.0,1.0,340.0,9.0,right,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,359,845291,0.0-15.0-7.0-0.0-2.40,yqMj1TFPsIaB3OebJIsk,223301,3,eIL8FFCxQoYkVmUdVQUfZYKTTG,UDaN9rZOwT31bdHhK4l6H5sB1D,dn_trial_feedback,,,,,,,,,,,,,,,,,,,,1504.0,1003.0,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: white; line-height: 2em;"">You drew a <b>silver coin</b>.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,360,845593,0.0-15.0-7.0-0.0-0.41,yqMj1TFPsIaB3OebJIsk,223301,3,eIL8FFCxQoYkVmUdVQUfZYKTTG,UDaN9rZOwT31bdHhK4l6H5sB1D,fixation_cross,,,,,,,,,,,,,,,,,,,,1504.0,1003.0,,,,,,,,,,,,,,,"<div class=""fixation-cross"">+</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,361,847514,0.0-15.0-7.0-0.0-1.41,yqMj1TFPsIaB3OebJIsk,223301,3,eIL8FFCxQoYkVmUdVQUfZYKTTG,UDaN9rZOwT31bdHhK4l6H5sB1D,dn_main_trial_version_A,,,,,,,,,,,,,,,,,,,1918.0,1504.0,1003.0,,,,,,,,,,,,,False,372.0,"<div id=""lottery_labels_container"">
                            <div>Lottery 1</div>
                            <div>Lottery 2</div>
                        </div>
                        <div id=""lottery_text_desc_container"">
                            <div id=""lottery_left_text"" class=""lottery_text""></div>
                            <div id=""lottery_right_text"" class=""lottery_text""></div>
                        </div>
                        <div id=""lotteries_container"">
                            <div id=""lottery_left_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_left"" class=""lottery""></div>
                            </div>
                            <div id=""lottery_right_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_right"" class=""lottery""></div>
                            </div>
                        </div>
                        <div id=""lottery_choices"">
                            <div class=""lottery_choice""><span>Draw from Lottery 1</span><br><span><i>left arrow</i></span></div>
                            <div class=""lottery_choice""><span>Draw from Lottery 2</span><br><span><i>right arrow</i></span></div>
                        </div>
                ",,arrowright,,,,,,False,0.0,41.0,B,harmony,both,both,large,small,0.35,0.3,400.0,10.0,140.0,3.0,260.0,7.0,right,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,362,848516,0.0-15.0-7.0-0.0-2.41,yqMj1TFPsIaB3OebJIsk,223301,3,eIL8FFCxQoYkVmUdVQUfZYKTTG,UDaN9rZOwT31bdHhK4l6H5sB1D,dn_trial_feedback,,,,,,,,,,,,,,,,,,,,1504.0,1003.0,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: white; line-height: 2em;"">You drew a <b>silver coin</b>.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,363,848819,0.0-15.0-7.0-0.0-0.42,yqMj1TFPsIaB3OebJIsk,223301,3,eIL8FFCxQoYkVmUdVQUfZYKTTG,UDaN9rZOwT31bdHhK4l6H5sB1D,fixation_cross,,,,,,,,,,,,,,,,,,,,1504.0,1003.0,,,,,,,,,,,,,,,"<div class=""fixation-cross"">+</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,364,849903,0.0-15.0-7.0-0.0-1.42,yqMj1TFPsIaB3OebJIsk,223301,3,eIL8FFCxQoYkVmUdVQUfZYKTTG,UDaN9rZOwT31bdHhK4l6H5sB1D,dn_main_trial_version_A,,,,,,,,,,,,,,,,,,,1080.0,1504.0,1003.0,,,,,,,,,,,,,False,375.0,"<div id=""lottery_labels_container"">
                            <div>Lottery 1</div>
                            <div>Lottery 2</div>
                        </div>
                        <div id=""lottery_text_desc_container"">
                            <div id=""lottery_left_text"" class=""lottery_text""></div>
                            <div id=""lottery_right_text"" class=""lottery_text""></div>
                        </div>
                        <div id=""lotteries_container"">
                            <div id=""lottery_left_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_left"" class=""lottery""></div>
                            </div>
                            <div id=""lottery_right_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_right"" class=""lottery""></div>
                            </div>
                        </div>
                        <div id=""lottery_choices"">
                            <div class=""lottery_choice""><span>Draw from Lottery 1</span><br><span><i>left arrow</i></span></div>
                            <div class=""lottery_choice""><span>Draw from Lottery 2</span><br><span><i>right arrow</i></span></div>
                        </div>
                ",,arrowright,,,,,,False,0.0,42.0,B,conflict,both,both,large,small,0.07,0.1,400.0,10.0,28.0,1.0,372.0,9.0,right,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,365,850906,0.0-15.0-7.0-0.0-2.42,yqMj1TFPsIaB3OebJIsk,223301,3,eIL8FFCxQoYkVmUdVQUfZYKTTG,UDaN9rZOwT31bdHhK4l6H5sB1D,dn_trial_feedback,,,,,,,,,,,,,,,,,,,,1504.0,1003.0,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: white; line-height: 2em;"">You drew a <b>silver coin</b>.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,366,851208,0.0-15.0-7.0-0.0-0.43,yqMj1TFPsIaB3OebJIsk,223301,3,eIL8FFCxQoYkVmUdVQUfZYKTTG,UDaN9rZOwT31bdHhK4l6H5sB1D,fixation_cross,,,,,,,,,,,,,,,,,,,,1504.0,1003.0,,,,,,,,,,,,,,,"<div class=""fixation-cross"">+</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,367,851935,0.0-15.0-7.0-0.0-1.43,yqMj1TFPsIaB3OebJIsk,223301,3,eIL8FFCxQoYkVmUdVQUfZYKTTG,UDaN9rZOwT31bdHhK4l6H5sB1D,dn_main_trial_version_A,,,,,,,,,,,,,,,,,,,723.0,1504.0,1003.0,,,,,,,,,,,,,False,378.0,"<div id=""lottery_labels_container"">
                            <div>Lottery 1</div>
                            <div>Lottery 2</div>
                        </div>
                        <div id=""lottery_text_desc_container"">
                            <div id=""lottery_left_text"" class=""lottery_text""></div>
                            <div id=""lottery_right_text"" class=""lottery_text""></div>
                        </div>
                        <div id=""lotteries_container"">
                            <div id=""lottery_left_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_left"" class=""lottery""></div>
                            </div>
                            <div id=""lottery_right_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_right"" class=""lottery""></div>
                            </div>
                        </div>
                        <div id=""lottery_choices"">
                            <div class=""lottery_choice""><span>Draw from Lottery 1</span><br><span><i>left arrow</i></span></div>
                            <div class=""lottery_choice""><span>Draw from Lottery 2</span><br><span><i>right arrow</i></span></div>
                        </div>
                ",,arrowright,,,,,,False,0.0,43.0,B,conflict,both,both,large,small,0.2199999999999999,0.3,400.0,10.0,88.0,3.0,312.0,7.0,right,gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,368,852938,0.0-15.0-7.0-0.0-2.43,yqMj1TFPsIaB3OebJIsk,223301,3,eIL8FFCxQoYkVmUdVQUfZYKTTG,UDaN9rZOwT31bdHhK4l6H5sB1D,dn_trial_feedback,,,,,,,,,,,,,,,,,,,,1504.0,1003.0,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: gold; line-height: 2em;"">You drew a <b>gold coin</b>.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,369,853240,0.0-15.0-7.0-0.0-0.44,yqMj1TFPsIaB3OebJIsk,223301,3,eIL8FFCxQoYkVmUdVQUfZYKTTG,UDaN9rZOwT31bdHhK4l6H5sB1D,fixation_cross,,,,,,,,,,,,,,,,,,,,1504.0,1003.0,,,,,,,,,,,,,,,"<div class=""fixation-cross"">+</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,370,853887,0.0-15.0-7.0-0.0-1.44,yqMj1TFPsIaB3OebJIsk,223301,3,eIL8FFCxQoYkVmUdVQUfZYKTTG,UDaN9rZOwT31bdHhK4l6H5sB1D,dn_main_trial_version_A,,,,,,,,,,,,,,,,,,,643.0,1504.0,1003.0,,,,,,,,,,,,,False,382.0,"<div id=""lottery_labels_container"">
                            <div>Lottery 1</div>
                            <div>Lottery 2</div>
                        </div>
                        <div id=""lottery_text_desc_container"">
                            <div id=""lottery_left_text"" class=""lottery_text""></div>
                            <div id=""lottery_right_text"" class=""lottery_text""></div>
                        </div>
                        <div id=""lotteries_container"">
                            <div id=""lottery_left_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_left"" class=""lottery""></div>
                            </div>
                            <div id=""lottery_right_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_right"" class=""lottery""></div>
                            </div>
                        </div>
                        <div id=""lottery_choices"">
                            <div class=""lottery_choice""><span>Draw from Lottery 1</span><br><span><i>left arrow</i></span></div>
                            <div class=""lottery_choice""><span>Draw from Lottery 2</span><br><span><i>right arrow</i></span></div>
                        </div>
                ",,arrowright,,,,,,False,0.0,44.0,B,conflict,both,both,large,small,0.27,0.3,400.0,10.0,108.0,3.0,292.0,7.0,right,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,371,854889,0.0-15.0-7.0-0.0-2.44,yqMj1TFPsIaB3OebJIsk,223301,3,eIL8FFCxQoYkVmUdVQUfZYKTTG,UDaN9rZOwT31bdHhK4l6H5sB1D,dn_trial_feedback,,,,,,,,,,,,,,,,,,,,1504.0,1003.0,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: white; line-height: 2em;"">You drew a <b>silver coin</b>.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,372,855192,0.0-15.0-7.0-0.0-0.45,yqMj1TFPsIaB3OebJIsk,223301,3,eIL8FFCxQoYkVmUdVQUfZYKTTG,UDaN9rZOwT31bdHhK4l6H5sB1D,fixation_cross,,,,,,,,,,,,,,,,,,,,1504.0,1003.0,,,,,,,,,,,,,,,"<div class=""fixation-cross"">+</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,373,856154,0.0-15.0-7.0-0.0-1.45,yqMj1TFPsIaB3OebJIsk,223301,3,eIL8FFCxQoYkVmUdVQUfZYKTTG,UDaN9rZOwT31bdHhK4l6H5sB1D,dn_main_trial_version_A,,,,,,,,,,,,,,,,,,,959.0,1504.0,1003.0,,,,,,,,,,,,,False,385.0,"<div id=""lottery_labels_container"">
                            <div>Lottery 1</div>
                            <div>Lottery 2</div>
                        </div>
                        <div id=""lottery_text_desc_container"">
                            <div id=""lottery_left_text"" class=""lottery_text""></div>
                            <div id=""lottery_right_text"" class=""lottery_text""></div>
                        </div>
                        <div id=""lotteries_container"">
                            <div id=""lottery_left_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_left"" class=""lottery""></div>
                            </div>
                            <div id=""lottery_right_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_right"" class=""lottery""></div>
                            </div>
                        </div>
                        <div id=""lottery_choices"">
                            <div class=""lottery_choice""><span>Draw from Lottery 1</span><br><span><i>left arrow</i></span></div>
                            <div class=""lottery_choice""><span>Draw from Lottery 2</span><br><span><i>right arrow</i></span></div>
                        </div>
                ",,arrowright,,,,,,False,0.0,45.0,B,harmony,both,both,small,large,0.3,0.32,10.0,400.0,3.0,128.0,7.0,272.0,right,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
