trial_type,trial_index,time_elapsed,internal_node_id,subject_id,form,wave,session_id,session_restart_id,trial_name,experiment_parameters,task_admc_rc2,task_denominator_neglect_version_A,task_denominator_neglect_version_B,task_raven_matrix,task_bayesian_update_easy,task_bayesian_update_hard,task_leapfrog,task_number_series,task_admc_dr,task_time_series,task_impossible_question,task_admc_a1,task_cognitive_reflection,data_checkpoint,data_checkpoint_ind,view_history,rt,FULLSCREEN_SCREEN_WIDTH,FULLSCREEN_SCREEN_HEIGHT,width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,success,custom_timer_ended_trial,interval_id,stimulus,slider_start,response,slider_moved,admc_id,admc_response,pt_trial,block,trial,task_version,choice_type,left_lottery_display_type,right_lottery_display_type,left_lottery_type,right_lottery_type,left_lottery_gold_prop,right_lottery_gold_prop,left_lottery_total_coins,right_lottery_total_coins,left_lottery_gold_coins,right_lottery_gold_coins,left_lottery_silver_coins,right_lottery_silver_coins,selected_lottery,coin_drawn,question_order,list_id,correct_answer,correct,response_slider,unique_trial,unique_trial_draw_number,ball_split,left_box_majority_color,right_box_majority_color,selected_box_majority_color,current_draw,past_draws,version,aig_version,score,optionA_reward,optionB_reward,points_won,option_selected,curr_block_ind,pt_trial_prediction,ns_id,ns_response,y_axis_values,chart_height,func,direction,noise_condition,datapoints,response_choice,id,question_text,answer_1,answer_2,crt_1,crt_2,crt_3,crt_4,crt_5,crt_6,crt_7
instructions,1190,188373391,0.0-27.0-6.0,LynzelXsiQQRTlvLSarp,33ff78,3,C6VFEurWvlQs5UfcEgMeJxhvyh,UwipvLUquFFVAyIyXWWxyUaTOC,time_series_test_trials_instructions,,,,,,,,,,,,,,,,,"[{'page_index': 0, 'viewing_time': 5389}]",5389.0,1366.0,768.0,,,,,,,,,,,,,False,3497.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,1191,188387605,0.0-27.0-7.0-0.0-0.0,LynzelXsiQQRTlvLSarp,33ff78,3,C6VFEurWvlQs5UfcEgMeJxhvyh,UwipvLUquFFVAyIyXWWxyUaTOC,time_series_trial,,,,,,,,,,,,,,,,,,14213.0,1366.0,768.0,,,,,,,,,,,,,False,3498.0,"<canvas id=""myChart""></canvas>",,0,,,,False,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[426.2236166834457, 429.2006528351435, 419.2903045009553, 417.1324619463056, 415.62256636794905, 438.6250141532248, 418.1309629696411, 414.669340513968, 424.9589133586495, 413.64530833273386, 424.1907561647468, 431.1498523406567, 411.13372155516055, 398.83713679120774, 419.2743204547879, 397.5086211232075, 407.71069056700554, 416.1250825992606, 411.3507121826392, 394.7417466903157, 405.4132692926268, 382.6766821038161, 382.54982548161456, 385.9967753932214, 361.41057396959525, 348.8852014604792, 333.64077816012303, 329.25268604036455, 334.48251126025673, 304.66364012328177, '295.51', '287.43', '283.39', '284.40', '277.33', '275.31']",508.6,exponential,negative,low,datapoints_30,,,,,,,,,,,,
html-button-response,1192,188404546,0.0-27.0-7.0-0.0-0.1,LynzelXsiQQRTlvLSarp,33ff78,3,C6VFEurWvlQs5UfcEgMeJxhvyh,UwipvLUquFFVAyIyXWWxyUaTOC,time_series_trial,,,,,,,,,,,,,,,,,,16940.0,1366.0,768.0,,,,,,,,,,,,,False,3499.0,"<canvas id=""myChart""></canvas>",,0,,,,False,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[82.5430688299369, 79.11871069828862, 97.20715883015285, 86.24085166334811, 84.45795705520705, 87.09085622848805, 88.54664889906024, 92.84709150867616, 96.49948969691934, 102.5882519718378, 79.04553950705692, 95.86240242655853, 117.37620937740785, 113.37915999630394, 87.30937158024255, 95.54228914282419, 90.07110306043438, 113.95087278170462, 108.94931407159517, 98.60056117993817, 107.2582577750863, 107.13366837172208, 125.07677725463044, 141.62071708025417, 147.10432658703712, 167.59726994618927, 168.94611538300703, 170.12370653331894, 183.19654445377458, 207.44185890032009, '227.84', '253.09', '293.49', '318.73', '348.02', '359.13']",508.6,exponential,positive,low,datapoints_30,,,,,,,,,,,,
html-button-response,1193,188419269,0.0-27.0-7.0-0.0-0.2,LynzelXsiQQRTlvLSarp,33ff78,3,C6VFEurWvlQs5UfcEgMeJxhvyh,UwipvLUquFFVAyIyXWWxyUaTOC,time_series_trial,,,,,,,,,,,,,,,,,,14721.0,1366.0,768.0,,,,,,,,,,,,,False,3500.0,"<canvas id=""myChart""></canvas>",,0,,,,False,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[338.6626481929598, 323.57698346099926, 327.7775253770008, 336.99565441368827, 309.9517137248309, 308.3818668502364, 296.10345346645533, 299.87901951710836, 295.37788644760326, 290.9893504097433, 284.3654326927806, 275.7685810313768, 287.0448508033456, 267.183076565254, 289.526387696596, 263.05668539960277, 270.38161674218657, 244.99809051492502, 269.4011789183922, 254.62678437965138, 218.88836392222544, 249.92190331041115, 237.51366408441243, 220.45015274362387, 223.50792734170747, 228.19566923904992, 203.68477083192766, 203.30764690138483, 208.26595856273258, 191.94870421243147, '185.42', '181.38', '173.30', '163.20', '153.11', '167.24']",508.6,linear,negative,low,datapoints_30,,,,,,,,,,,,
html-button-response,1194,188430849,0.0-27.0-7.0-0.0-0.3,LynzelXsiQQRTlvLSarp,33ff78,3,C6VFEurWvlQs5UfcEgMeJxhvyh,UwipvLUquFFVAyIyXWWxyUaTOC,time_series_trial,,,,,,,,,,,,,,,,,,11579.0,1366.0,768.0,,,,,,,,,,,,,False,3501.0,"<canvas id=""myChart""></canvas>",,0,,,,False,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[40.06470359579213, 132.15076797988317, 110.4397176584043, 123.48299042185192, 27.29416968857231, 73.8047083467479, 127.22414843047432, 66.87602780776623, 83.9492691407232, 97.37263251300564, 98.53611000852263, 122.48625969947098, 80.51859244736228, 121.96444231379199, 107.21046129284143, 105.4790223524229, 55.937162723939494, 58.19971685046959, 120.93109716917016, 46.488972318132106, 128.35176472543054, 76.2053628402905, 92.99868208930351, 145.75824284337418, 152.34770606682693, 138.42560378458248, 153.3907981064986, 215.11212942482445, 198.47657321497383, 185.84954545022896, '182.39', '176.33', '158.15', '130.89', '125.84', '94.53']",508.6,exponential,positive,high,datapoints_30,,,,,,,,,,,,
html-button-response,1195,188447572,0.0-27.0-7.0-0.0-0.4,LynzelXsiQQRTlvLSarp,33ff78,3,C6VFEurWvlQs5UfcEgMeJxhvyh,UwipvLUquFFVAyIyXWWxyUaTOC,time_series_trial,,,,,,,,,,,,,,,,,,16721.0,1366.0,768.0,,,,,,,,,,,,,False,3502.0,"<canvas id=""myChart""></canvas>",,0,,,,False,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[355.4939775540251, 357.0443234796839, 370.0368101263903, 307.95578140194016, 356.0821043229565, 314.6168689678394, 295.8611875487914, 271.34505424368206, 338.27426320617735, 337.3314243873034, 289.94665695095256, 309.49848865049273, 285.11772809324896, 279.79118034211433, 219.72901497473373, 270.38855879004257, 255.46181276273913, 274.37606816588584, 167.48710859950177, 237.62545592017506, 265.84974134083234, 258.86401639463014, 232.22024908750555, 266.58319158895256, 231.3031546697206, 278.594799574675, 228.64884684473378, 247.3882691794337, 244.63161178575714, 197.25374615501772, '182.39', '180.37', '203.60', '217.74', '244.00', '261.17']",508.6,linear,negative,high,datapoints_30,,,,,,,,,,,,
html-button-response,1196,188457407,0.0-27.0-7.0-0.0-0.5,LynzelXsiQQRTlvLSarp,33ff78,3,C6VFEurWvlQs5UfcEgMeJxhvyh,UwipvLUquFFVAyIyXWWxyUaTOC,time_series_trial,,,,,,,,,,,,,,,,,,9833.0,1366.0,768.0,,,,,,,,,,,,,False,3503.0,"<canvas id=""myChart""></canvas>",,0,,,,False,0.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[311.90195638089426, 298.9528208699845, 290.8792156139274, 329.8729737057403, 252.88905422525892, 222.41123495752925, 235.8307456876295, 268.0668498137799, 215.6606767025699, 171.64841997755758, '155.13', '161.18', '188.45', '192.49', '212.69', '272.28']",508.6,linear,negative,high,datapoints_10,,,,,,,,,,,,
html-button-response,1197,188468443,0.0-27.0-7.0-0.0-0.6,LynzelXsiQQRTlvLSarp,33ff78,3,C6VFEurWvlQs5UfcEgMeJxhvyh,UwipvLUquFFVAyIyXWWxyUaTOC,time_series_trial,,,,,,,,,,,,,,,,,,11035.0,1366.0,768.0,,,,,,,,,,,,,False,3504.0,"<canvas id=""myChart""></canvas>",,0,,,,False,0.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[179.84769318260436, 195.95995346965705, 194.635988353435, 204.8801194111542, 212.30263100533404, 229.8211613059271, 249.86729413553496, 251.79347835509589, 265.24097878548406, 276.4564836930048, '294.50', '328.83', '342.97', '363.17', '400.54', '409.63']",508.6,linear,positive,low,datapoints_10,,,,,,,,,,,,
html-button-response,1198,188481195,0.0-27.0-7.0-0.0-0.7,LynzelXsiQQRTlvLSarp,33ff78,3,C6VFEurWvlQs5UfcEgMeJxhvyh,UwipvLUquFFVAyIyXWWxyUaTOC,time_series_trial,,,,,,,,,,,,,,,,,,12750.0,1366.0,768.0,,,,,,,,,,,,,False,3505.0,"<canvas id=""myChart""></canvas>",,0,,,,False,0.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[387.9499941097913, 404.561688729838, 395.5829577977102, 465.1293318654697, 400.18881105789654, 448.6160643939208, 415.4331739122505, 452.19878406284613, 400.0041147437201, 418.287541900938, 398.8961594932994, 421.62565272169854, 426.34086341531514, 408.3921637318058, 406.24358523764187, 429.6110198877516, 428.1973103961318, 404.37232284483787, 394.42785647566615, 379.2814900749038, 366.2015964638849, 378.4393710955819, 366.9588601128184, 353.232133475574, 378.78530818798794, 342.83825615978304, 381.3979114588427, 336.06472871284734, 326.6284143131304, 287.02318638644135, '280.36', '268.24', '262.18', '254.10', '254.10', '252.08']",508.6,exponential,negative,high,datapoints_30,,,,,,,,,,,,
html-button-response,1199,188494887,0.0-27.0-7.0-0.0-0.8,LynzelXsiQQRTlvLSarp,33ff78,3,C6VFEurWvlQs5UfcEgMeJxhvyh,UwipvLUquFFVAyIyXWWxyUaTOC,time_series_trial,,,,,,,,,,,,,,,,,,13690.0,1366.0,768.0,,,,,,,,,,,,,False,3507.0,"<canvas id=""myChart""></canvas>",,0,,,,False,0.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 112.17573875775393, 62.74835165748766, 137.60937154255953, 107.07786384195938, 97.04422739272108, 121.9344198896034, 92.59968472468746, 163.80945122379714, 118.55185462404079, '87.46', '95.54', '148.06', '151.09', '214.71', '155.13']",508.6,exponential,positive,high,datapoints_10,,,,,,,,,,,,
