trial_type,trial_index,time_elapsed,internal_node_id,subject_id,form,wave,session_id,session_restart_id,trial_name,experiment_parameters,task_time_series,task_admc_rc2,task_impossible_question,task_cognitive_reflection,task_denominator_neglect_version_A,task_denominator_neglect_version_B,task_raven_matrix,task_admc_a1,task_leapfrog,task_admc_dr,task_bayesian_update_easy,task_bayesian_update_hard,task_number_series,data_checkpoint,data_checkpoint_ind,view_history,rt,FULLSCREEN_SCREEN_WIDTH,FULLSCREEN_SCREEN_HEIGHT,width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,success,custom_timer_ended_trial,interval_id,y_axis_values,chart_height,pt_trial,block,trial,func,direction,noise_condition,datapoints,stimulus,response,slider_start,slider_moved,admc_id,admc_response,response_choice,response_slider,id,question_text,answer_1,answer_2,correct_answer,aig_version,correct,question_order,crt_1,crt_2,crt_3,crt_4,crt_5,crt_6,crt_7,task_version,choice_type,left_lottery_display_type,right_lottery_display_type,left_lottery_type,right_lottery_type,left_lottery_gold_prop,right_lottery_gold_prop,left_lottery_total_coins,right_lottery_total_coins,left_lottery_gold_coins,right_lottery_gold_coins,left_lottery_silver_coins,right_lottery_silver_coins,selected_lottery,coin_drawn,list_id,optionA_reward,optionB_reward,points_won,option_selected,curr_block_ind,pt_trial_prediction,unique_trial,unique_trial_draw_number,ball_split,left_box_majority_color,right_box_majority_color,selected_box_majority_color,current_draw,past_draws,version,score,ns_id,ns_response
call-function,302,983606,0.0-19.0-1.0,baWpZ45AscEjcjtTL7mF,33ff78,3,JZFGkvEg8JZokfnAcJxuCCeLJS,HjMdOCSJa1AA0nSS5iGu6b1JzS,,,,,,,,,,,,,,,,,,,,1536.0,864.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instructions,303,991571,0.0-19.0-2.0,baWpZ45AscEjcjtTL7mF,33ff78,3,JZFGkvEg8JZokfnAcJxuCCeLJS,HjMdOCSJa1AA0nSS5iGu6b1JzS,dn_general_instructions,,,,,,,,,,,,,,,,,"[{'page_index': 0, 'viewing_time': 7964}]",7964.0,1536.0,864.0,,,,,,,,,,,,,False,300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,304,991572,0.0-19.0-3.0,baWpZ45AscEjcjtTL7mF,33ff78,3,JZFGkvEg8JZokfnAcJxuCCeLJS,HjMdOCSJa1AA0nSS5iGu6b1JzS,,,,,,,,,,,,,,,,,,,,1536.0,864.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instructions,305,993248,0.0-19.0-4.0,baWpZ45AscEjcjtTL7mF,33ff78,3,JZFGkvEg8JZokfnAcJxuCCeLJS,HjMdOCSJa1AA0nSS5iGu6b1JzS,dn_pt_trials_instructions,,,,,,,,,,,,,,,,,"[{'page_index': 0, 'viewing_time': 1676}]",1676.0,1536.0,864.0,,,,,,,,,,,,,False,301.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,306,993557,0.0-19.0-5.0-0.0-0.0,baWpZ45AscEjcjtTL7mF,33ff78,3,JZFGkvEg8JZokfnAcJxuCCeLJS,HjMdOCSJa1AA0nSS5iGu6b1JzS,fixation_cross,,,,,,,,,,,,,,,,,,,1536.0,864.0,,,,,,,,,,,,,,,,,,,,,,,,"<div class=""fixation-cross"">+</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,307,995171,0.0-19.0-5.0-0.0-1.0,baWpZ45AscEjcjtTL7mF,33ff78,3,JZFGkvEg8JZokfnAcJxuCCeLJS,HjMdOCSJa1AA0nSS5iGu6b1JzS,dn_main_trial_version_A,,,,,,,,,,,,,,,,,,1613.0,1536.0,864.0,,,,,,,,,,,,,False,303.0,,,True,0.0,0.0,,,,,"<div id=""lottery_labels_container"">
                            <div>Lottery 1</div>
                            <div>Lottery 2</div>
                        </div>
                        <div id=""lottery_text_desc_container"">
                            <div id=""lottery_left_text"" class=""lottery_text""></div>
                            <div id=""lottery_right_text"" class=""lottery_text""></div>
                        </div>
                        <div id=""lotteries_container"">
                            <div id=""lottery_left_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_left"" class=""lottery""></div>
                            </div>
                            <div id=""lottery_right_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_right"" class=""lottery""></div>
                            </div>
                        </div>
                        <div id=""lottery_choices"">
                            <div class=""lottery_choice""><span>Draw from Lottery 1</span><br><span><i>left arrow</i></span></div>
                            <div class=""lottery_choice""><span>Draw from Lottery 2</span><br><span><i>right arrow</i></span></div>
                        </div>
                ",arrowleft,,,,,,,,,,,,,,,,,,,,,,B,conflict,both,both,large,small,0.2799999999999999,0.3,400.0,10.0,112.0,3.0,288.0,7.0,left,silver,,,,,,,,,,,,,,,,,,,
html-keyboard-response,308,996182,0.0-19.0-5.0-0.0-2.0,baWpZ45AscEjcjtTL7mF,33ff78,3,JZFGkvEg8JZokfnAcJxuCCeLJS,HjMdOCSJa1AA0nSS5iGu6b1JzS,dn_trial_feedback,,,,,,,,,,,,,,,,,,,1536.0,864.0,,,,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: white; line-height: 2em;"">You drew a <b>silver coin</b>.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,309,996485,0.0-19.0-5.0-0.0-0.1,baWpZ45AscEjcjtTL7mF,33ff78,3,JZFGkvEg8JZokfnAcJxuCCeLJS,HjMdOCSJa1AA0nSS5iGu6b1JzS,fixation_cross,,,,,,,,,,,,,,,,,,,1536.0,864.0,,,,,,,,,,,,,,,,,,,,,,,,"<div class=""fixation-cross"">+</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,310,997011,0.0-19.0-5.0-0.0-1.1,baWpZ45AscEjcjtTL7mF,33ff78,3,JZFGkvEg8JZokfnAcJxuCCeLJS,HjMdOCSJa1AA0nSS5iGu6b1JzS,dn_main_trial_version_A,,,,,,,,,,,,,,,,,,525.0,1536.0,864.0,,,,,,,,,,,,,False,306.0,,,True,0.0,1.0,,,,,"<div id=""lottery_labels_container"">
                            <div>Lottery 1</div>
                            <div>Lottery 2</div>
                        </div>
                        <div id=""lottery_text_desc_container"">
                            <div id=""lottery_left_text"" class=""lottery_text""></div>
                            <div id=""lottery_right_text"" class=""lottery_text""></div>
                        </div>
                        <div id=""lotteries_container"">
                            <div id=""lottery_left_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_left"" class=""lottery""></div>
                            </div>
                            <div id=""lottery_right_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_right"" class=""lottery""></div>
                            </div>
                        </div>
                        <div id=""lottery_choices"">
                            <div class=""lottery_choice""><span>Draw from Lottery 1</span><br><span><i>left arrow</i></span></div>
                            <div class=""lottery_choice""><span>Draw from Lottery 2</span><br><span><i>right arrow</i></span></div>
                        </div>
                ",arrowleft,,,,,,,,,,,,,,,,,,,,,,B,conflict,both,both,large,small,0.12,0.2,400.0,10.0,48.0,2.0,352.0,8.0,left,silver,,,,,,,,,,,,,,,,,,,
html-keyboard-response,311,998021,0.0-19.0-5.0-0.0-2.1,baWpZ45AscEjcjtTL7mF,33ff78,3,JZFGkvEg8JZokfnAcJxuCCeLJS,HjMdOCSJa1AA0nSS5iGu6b1JzS,dn_trial_feedback,,,,,,,,,,,,,,,,,,,1536.0,864.0,,,,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: white; line-height: 2em;"">You drew a <b>silver coin</b>.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,312,998326,0.0-19.0-5.0-0.0-0.2,baWpZ45AscEjcjtTL7mF,33ff78,3,JZFGkvEg8JZokfnAcJxuCCeLJS,HjMdOCSJa1AA0nSS5iGu6b1JzS,fixation_cross,,,,,,,,,,,,,,,,,,,1536.0,864.0,,,,,,,,,,,,,,,,,,,,,,,,"<div class=""fixation-cross"">+</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,313,998884,0.0-19.0-5.0-0.0-1.2,baWpZ45AscEjcjtTL7mF,33ff78,3,JZFGkvEg8JZokfnAcJxuCCeLJS,HjMdOCSJa1AA0nSS5iGu6b1JzS,dn_main_trial_version_A,,,,,,,,,,,,,,,,,,557.0,1536.0,864.0,,,,,,,,,,,,,False,309.0,,,True,0.0,2.0,,,,,"<div id=""lottery_labels_container"">
                            <div>Lottery 1</div>
                            <div>Lottery 2</div>
                        </div>
                        <div id=""lottery_text_desc_container"">
                            <div id=""lottery_left_text"" class=""lottery_text""></div>
                            <div id=""lottery_right_text"" class=""lottery_text""></div>
                        </div>
                        <div id=""lotteries_container"">
                            <div id=""lottery_left_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_left"" class=""lottery""></div>
                            </div>
                            <div id=""lottery_right_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_right"" class=""lottery""></div>
                            </div>
                        </div>
                        <div id=""lottery_choices"">
                            <div class=""lottery_choice""><span>Draw from Lottery 1</span><br><span><i>left arrow</i></span></div>
                            <div class=""lottery_choice""><span>Draw from Lottery 2</span><br><span><i>right arrow</i></span></div>
                        </div>
                ",arrowleft,,,,,,,,,,,,,,,,,,,,,,B,harmony,both,both,large,small,0.13,0.1,400.0,10.0,52.0,1.0,348.0,9.0,left,gold,,,,,,,,,,,,,,,,,,,
html-keyboard-response,314,999894,0.0-19.0-5.0-0.0-2.2,baWpZ45AscEjcjtTL7mF,33ff78,3,JZFGkvEg8JZokfnAcJxuCCeLJS,HjMdOCSJa1AA0nSS5iGu6b1JzS,dn_trial_feedback,,,,,,,,,,,,,,,,,,,1536.0,864.0,,,,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: gold; line-height: 2em;"">You drew a <b>gold coin</b>.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,315,1000198,0.0-19.0-5.0-0.0-0.3,baWpZ45AscEjcjtTL7mF,33ff78,3,JZFGkvEg8JZokfnAcJxuCCeLJS,HjMdOCSJa1AA0nSS5iGu6b1JzS,fixation_cross,,,,,,,,,,,,,,,,,,,1536.0,864.0,,,,,,,,,,,,,,,,,,,,,,,,"<div class=""fixation-cross"">+</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
