trial_type,trial_index,time_elapsed,internal_node_id,subject_id,form,wave,session_id,session_restart_id,FULLSCREEN_SCREEN_WIDTH,FULLSCREEN_SCREEN_HEIGHT,view_history,rt,width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_name,success,data_checkpoint,data_checkpoint_ind,experiment_parameters,task_time_series,task_impossible_question,task_leapfrog,task_admc_a2,task_denominator_neglect_version_A,task_denominator_neglect_version_B,task_admc_rc1,task_graph_literacy,task_bayesian_update_easy,task_bayesian_update_hard,task_admc_rp,task_shipley_vocab,task_coherence_forecasting,task_shipley_abstraction,custom_timer_ended_trial,interval_id,y_axis_values,chart_height,pt_trial,block,trial,func,direction,noise_condition,datapoints,stimulus,response,response_choice,response_slider,slider_moved,id,question_text,answer_1,answer_2,correct_answer,aig_version,correct,optionA_reward,optionB_reward,points_won,option_selected,curr_block_ind,pt_trial_prediction,slider_start,admc_id,admc_response,task_version,choice_type,left_lottery_display_type,right_lottery_display_type,left_lottery_type,right_lottery_type,left_lottery_gold_prop,right_lottery_gold_prop,left_lottery_total_coins,right_lottery_total_coins,left_lottery_gold_coins,right_lottery_gold_coins,left_lottery_silver_coins,right_lottery_silver_coins,selected_lottery,coin_drawn,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,unique_trial,unique_trial_draw_number,ball_split,left_box_majority_color,right_box_majority_color,selected_box_majority_color,current_draw,past_draws,version,score,moved_sliders,question_order,shipley_vocabulary_score,cfs_id,cfs_response,shipley_abstraction_score
call-function,0,1,0.0-0.0,64RVc86LLeI6qccFOAs0,223301,3,GqJPAjh3eLBJqyfmx0yz9arIot,NuZ7laLShJNU4qA0NXvrum2Rpd,3440.0,1440.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instructions,1,2400,0.0-1.0,64RVc86LLeI6qccFOAs0,223301,3,GqJPAjh3eLBJqyfmx0yz9arIot,NuZ7laLShJNU4qA0NXvrum2Rpd,3440.0,1440.0,"[{'page_index': 0, 'viewing_time': 2398}]",2399.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,2,2401,0.0-2.0,64RVc86LLeI6qccFOAs0,223301,3,GqJPAjh3eLBJqyfmx0yz9arIot,NuZ7laLShJNU4qA0NXvrum2Rpd,3440.0,1440.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
browser-check,3,3610,0.0-3.0,64RVc86LLeI6qccFOAs0,223301,3,GqJPAjh3eLBJqyfmx0yz9arIot,NuZ7laLShJNU4qA0NXvrum2Rpd,3440.0,1440.0,,,1718.0,1260.0,True,chrome,122.0.0,False,Windows 10,True,49.98,True,True,browser_check,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fullscreen,4,10712,0.0-4.0,64RVc86LLeI6qccFOAs0,223301,3,GqJPAjh3eLBJqyfmx0yz9arIot,NuZ7laLShJNU4qA0NXvrum2Rpd,3440.0,1440.0,,,,,,,,,,,,,,fullscreen,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,5,10714,0.0-5.0,64RVc86LLeI6qccFOAs0,223301,3,GqJPAjh3eLBJqyfmx0yz9arIot,NuZ7laLShJNU4qA0NXvrum2Rpd,3440.0,1440.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,6,10715,0.0-6.0,64RVc86LLeI6qccFOAs0,223301,3,GqJPAjh3eLBJqyfmx0yz9arIot,NuZ7laLShJNU4qA0NXvrum2Rpd,3440.0,1440.0,,,,,,,,,,,,,,async_data_save,,experiment__welcome,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,0,2,0.0-0.0,64RVc86LLeI6qccFOAs0,223301,3,GqJPAjh3eLBJqyfmx0yz9arIot,BijVJXCHETJjP8LQLEv4ALrjME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
