trial_type,trial_index,time_elapsed,internal_node_id,subject_id,form,wave,session_id,session_restart_id,trial_name,experiment_parameters,task_denominator_neglect_version_A,task_denominator_neglect_version_B,task_cognitive_reflection,task_number_series,task_time_series,task_leapfrog,task_admc_a1,task_admc_rc2,task_impossible_question,task_admc_dr,task_raven_matrix,task_bayesian_update_easy,task_bayesian_update_hard,data_checkpoint,data_checkpoint_ind,view_history,rt,FULLSCREEN_SCREEN_WIDTH,FULLSCREEN_SCREEN_HEIGHT,width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,success,custom_timer_ended_trial,interval_id,stimulus,response,pt_trial,block,trial,task_version,choice_type,left_lottery_display_type,right_lottery_display_type,left_lottery_type,right_lottery_type,left_lottery_gold_prop,right_lottery_gold_prop,left_lottery_total_coins,right_lottery_total_coins,left_lottery_gold_coins,right_lottery_gold_coins,left_lottery_silver_coins,right_lottery_silver_coins,selected_lottery,coin_drawn,question_order,crt_1,crt_2,crt_3,crt_4,crt_5,crt_6,crt_7,ns_id,ns_response,y_axis_values,chart_height,func,direction,noise_condition,datapoints,optionA_reward,optionB_reward,points_won,option_selected,curr_block_ind,pt_trial_prediction,slider_start,slider_moved,admc_id,admc_response,response_choice,response_slider,id,question_text,answer_1,answer_2,correct_answer,aig_version,correct,list_id,unique_trial,unique_trial_draw_number,ball_split,left_box_majority_color,right_box_majority_color,selected_box_majority_color,current_draw,past_draws,version,score
html-keyboard-response,2,3,0.0-2.0,8dnNzoCXB1BhEOgzIafL,33ff78,3,tkyChqieQ4BxtMbOUKJkOvxWUN,gCwkhwbn33epqLsQbB2xrwvheC,async_data_save,,,,,,,,,,,,,,,experiment__save_session_params,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instructions,3,18427,0.0-3.0,8dnNzoCXB1BhEOgzIafL,33ff78,3,tkyChqieQ4BxtMbOUKJkOvxWUN,gCwkhwbn33epqLsQbB2xrwvheC,,,,,,,,,,,,,,,,,,"[{'page_index': 0, 'viewing_time': 18424}]",18424.0,1920.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,4,18428,0.0-4.0,8dnNzoCXB1BhEOgzIafL,33ff78,3,tkyChqieQ4BxtMbOUKJkOvxWUN,gCwkhwbn33epqLsQbB2xrwvheC,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
browser-check,5,19424,0.0-5.0,8dnNzoCXB1BhEOgzIafL,33ff78,3,tkyChqieQ4BxtMbOUKJkOvxWUN,gCwkhwbn33epqLsQbB2xrwvheC,browser_check,,,,,,,,,,,,,,,,,,,1920.0,1080.0,1920.0,919.0,True,chrome,122.0.0,False,Windows 10,True,60.45,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fullscreen,6,25659,0.0-6.0,8dnNzoCXB1BhEOgzIafL,33ff78,3,tkyChqieQ4BxtMbOUKJkOvxWUN,gCwkhwbn33epqLsQbB2xrwvheC,fullscreen,,,,,,,,,,,,,,,,,,,1920.0,1080.0,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,7,25661,0.0-7.0,8dnNzoCXB1BhEOgzIafL,33ff78,3,tkyChqieQ4BxtMbOUKJkOvxWUN,gCwkhwbn33epqLsQbB2xrwvheC,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,8,25661,0.0-8.0,8dnNzoCXB1BhEOgzIafL,33ff78,3,tkyChqieQ4BxtMbOUKJkOvxWUN,gCwkhwbn33epqLsQbB2xrwvheC,async_data_save,,,,,,,,,,,,,,,experiment__welcome,1.0,,,1920.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,9,25662,0.0-9.0-0.0-0.0,8dnNzoCXB1BhEOgzIafL,33ff78,3,tkyChqieQ4BxtMbOUKJkOvxWUN,gCwkhwbn33epqLsQbB2xrwvheC,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,10,25828,0.0-9.0-1.0,8dnNzoCXB1BhEOgzIafL,33ff78,3,tkyChqieQ4BxtMbOUKJkOvxWUN,gCwkhwbn33epqLsQbB2xrwvheC,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instructions,11,94939,0.0-9.0-2.0,8dnNzoCXB1BhEOgzIafL,33ff78,3,tkyChqieQ4BxtMbOUKJkOvxWUN,gCwkhwbn33epqLsQbB2xrwvheC,dn_general_instructions,,,,,,,,,,,,,,,,,"[{'page_index': 0, 'viewing_time': 14380}, {'page_index': 1, 'viewing_time': 54729}]",69109.0,1920.0,1080.0,,,,,,,,,,,,,False,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
