trial_type,trial_index,time_elapsed,internal_node_id,subject_id,form,wave,session_id,session_restart_id,FULLSCREEN_SCREEN_WIDTH,FULLSCREEN_SCREEN_HEIGHT,view_history,rt,width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_name,success,data_checkpoint,data_checkpoint_ind,experiment_parameters,task_graph_literacy,task_time_series,task_admc_rc1,task_coherence_forecasting,task_impossible_question,task_leapfrog,task_bayesian_update_easy,task_bayesian_update_hard,task_admc_a2,task_shipley_vocab,task_shipley_abstraction,task_admc_rp,task_denominator_neglect_version_A,task_denominator_neglect_version_B,response,custom_timer_ended_trial,interval_id,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,y_axis_values,chart_height,pt_trial,block,trial,func,direction,noise_condition,datapoints,stimulus,slider_start,slider_moved,admc_id,admc_response,moved_sliders,cfs_id,cfs_response,response_choice,response_slider,id,question_text,answer_1,answer_2,correct_answer,aig_version,correct,optionA_reward,optionB_reward,points_won,option_selected,curr_block_ind,pt_trial_prediction,unique_trial,unique_trial_draw_number,ball_split,left_box_majority_color,right_box_majority_color,selected_box_majority_color,current_draw,past_draws,version,score,question_order,shipley_vocabulary_score,shipley_abstraction_score,task_version,choice_type,left_lottery_display_type,right_lottery_display_type,left_lottery_type,right_lottery_type,left_lottery_gold_prop,right_lottery_gold_prop,left_lottery_total_coins,right_lottery_total_coins,left_lottery_gold_coins,right_lottery_gold_coins,left_lottery_silver_coins,right_lottery_silver_coins,selected_lottery,coin_drawn
call-function,0,2,0.0-0.0,UXHtOtRF19fgRxUkUkB8,223301,3,un8j5ggNH4Q7jziY87vAoeixnY,0TGNmF1nCLb36Y31VstDT8q9uU,1440.0,865.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instructions,1,1242124,0.0-1.0,UXHtOtRF19fgRxUkUkB8,223301,3,un8j5ggNH4Q7jziY87vAoeixnY,0TGNmF1nCLb36Y31VstDT8q9uU,1440.0,865.0,"[{'page_index': 0, 'viewing_time': 1242159}]",1242160.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,2,1242127,0.0-2.0,UXHtOtRF19fgRxUkUkB8,223301,3,un8j5ggNH4Q7jziY87vAoeixnY,0TGNmF1nCLb36Y31VstDT8q9uU,1440.0,865.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
browser-check,3,1243119,0.0-3.0,UXHtOtRF19fgRxUkUkB8,223301,3,un8j5ggNH4Q7jziY87vAoeixnY,0TGNmF1nCLb36Y31VstDT8q9uU,1440.0,865.0,,,1316.0,714.0,True,chrome,123.0.0,False,Mac OS,True,61.16,True,True,browser_check,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fullscreen,4,1247541,0.0-4.0,UXHtOtRF19fgRxUkUkB8,223301,3,un8j5ggNH4Q7jziY87vAoeixnY,0TGNmF1nCLb36Y31VstDT8q9uU,1440.0,865.0,,,,,,,,,,,,,,fullscreen,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,5,1247543,0.0-5.0,UXHtOtRF19fgRxUkUkB8,223301,3,un8j5ggNH4Q7jziY87vAoeixnY,0TGNmF1nCLb36Y31VstDT8q9uU,1440.0,865.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,6,1247544,0.0-6.0,UXHtOtRF19fgRxUkUkB8,223301,3,un8j5ggNH4Q7jziY87vAoeixnY,0TGNmF1nCLb36Y31VstDT8q9uU,1440.0,865.0,,,,,,,,,,,,,,async_data_save,,experiment__welcome,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,0,2,0.0-0.0,UXHtOtRF19fgRxUkUkB8,223301,3,un8j5ggNH4Q7jziY87vAoeixnY,Mzs3aRNhtMyHlGP6EQjG7HQ5N9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
