trial_type,trial_index,time_elapsed,internal_node_id,subject_id,form,wave,session_id,session_restart_id,FULLSCREEN_SCREEN_WIDTH,FULLSCREEN_SCREEN_HEIGHT,view_history,rt,width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_name,success,data_checkpoint,data_checkpoint_ind,experiment_parameters,task_admc_a2,task_impossible_question,task_denominator_neglect_version_A,task_denominator_neglect_version_B,task_admc_rc1,task_leapfrog,task_admc_rp,task_time_series,task_bayesian_update_easy,task_bayesian_update_hard,task_shipley_abstraction,task_graph_literacy,task_coherence_forecasting,task_shipley_vocab,custom_timer_ended_trial,interval_id,stimulus,slider_start,response,slider_moved,admc_id,admc_response,response_choice,response_slider,pt_trial,block,trial,id,question_text,answer_1,answer_2,correct_answer,aig_version,correct,task_version,choice_type,left_lottery_display_type,right_lottery_display_type,left_lottery_type,right_lottery_type,left_lottery_gold_prop,right_lottery_gold_prop,left_lottery_total_coins,right_lottery_total_coins,left_lottery_gold_coins,right_lottery_gold_coins,left_lottery_silver_coins,right_lottery_silver_coins,selected_lottery,coin_drawn,optionA_reward,optionB_reward,points_won,option_selected,curr_block_ind,pt_trial_prediction,moved_sliders,y_axis_values,chart_height,func,direction,noise_condition,datapoints,unique_trial,unique_trial_draw_number,ball_split,left_box_majority_color,right_box_majority_color,selected_box_majority_color,current_draw,past_draws,version,score,shipley_abstraction_score,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q13,cfs_id,cfs_response,question_order,shipley_vocabulary_score
call-function,0,37,0.0-0.0,lky9gKMGZreLqNRfLQb0,223301,3,uV6VvoCcmnGk1eOfQxVBU2SQAP,SXWQhpqguXAXwonlYJNHiWMwRt,1536.0,864.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instructions,1,16219,0.0-1.0,lky9gKMGZreLqNRfLQb0,223301,3,uV6VvoCcmnGk1eOfQxVBU2SQAP,SXWQhpqguXAXwonlYJNHiWMwRt,1536.0,864.0,"[{'page_index': 0, 'viewing_time': 16181}]",16182.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,2,16222,0.0-2.0,lky9gKMGZreLqNRfLQb0,223301,3,uV6VvoCcmnGk1eOfQxVBU2SQAP,SXWQhpqguXAXwonlYJNHiWMwRt,1536.0,864.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
browser-check,3,17211,0.0-3.0,lky9gKMGZreLqNRfLQb0,223301,3,uV6VvoCcmnGk1eOfQxVBU2SQAP,SXWQhpqguXAXwonlYJNHiWMwRt,1536.0,864.0,,,1536.0,739.0,True,firefox,124.0.0,False,Windows 10,True,61.54,True,True,browser_check,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fullscreen,4,22701,0.0-4.0,lky9gKMGZreLqNRfLQb0,223301,3,uV6VvoCcmnGk1eOfQxVBU2SQAP,SXWQhpqguXAXwonlYJNHiWMwRt,1536.0,864.0,,,,,,,,,,,,,,fullscreen,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,5,22702,0.0-5.0,lky9gKMGZreLqNRfLQb0,223301,3,uV6VvoCcmnGk1eOfQxVBU2SQAP,SXWQhpqguXAXwonlYJNHiWMwRt,1536.0,864.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,6,22703,0.0-6.0,lky9gKMGZreLqNRfLQb0,223301,3,uV6VvoCcmnGk1eOfQxVBU2SQAP,SXWQhpqguXAXwonlYJNHiWMwRt,1536.0,864.0,,,,,,,,,,,,,,async_data_save,,experiment__welcome,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,0,17,0.0-0.0,lky9gKMGZreLqNRfLQb0,223301,3,uV6VvoCcmnGk1eOfQxVBU2SQAP,u40gtgfQ7KT1r4E8llVeJS4005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
