trial_type,trial_index,time_elapsed,internal_node_id,subject_id,form,wave,session_id,session_restart_id,FULLSCREEN_SCREEN_WIDTH,FULLSCREEN_SCREEN_HEIGHT,view_history,rt,width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_name,success,data_checkpoint,data_checkpoint_ind,experiment_parameters,task_admc_rp,task_shipley_vocab,task_bayesian_update_easy,task_bayesian_update_hard,task_admc_a2,task_graph_literacy,task_denominator_neglect_version_A,task_denominator_neglect_version_B,task_impossible_question,task_time_series,task_admc_rc1,task_coherence_forecasting,task_shipley_abstraction,task_leapfrog,custom_timer_ended_trial,interval_id,response,moved_sliders,admc_id,admc_response,question_order,shipley_vocabulary_score,stimulus,response_slider,pt_trial,block,trial,unique_trial,unique_trial_draw_number,ball_split,left_box_majority_color,right_box_majority_color,selected_box_majority_color,current_draw,past_draws,version,aig_version,score,slider_start,slider_moved,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,task_version,choice_type,left_lottery_display_type,right_lottery_display_type,left_lottery_type,right_lottery_type,left_lottery_gold_prop,right_lottery_gold_prop,left_lottery_total_coins,right_lottery_total_coins,left_lottery_gold_coins,right_lottery_gold_coins,left_lottery_silver_coins,right_lottery_silver_coins,selected_lottery,coin_drawn,response_choice,id,question_text,answer_1,answer_2,correct_answer,correct,y_axis_values,chart_height,func,direction,noise_condition,datapoints,cfs_id,cfs_response,shipley_abstraction_score,optionA_reward,optionB_reward,points_won,option_selected,curr_block_ind,pt_trial_prediction
call-function,0,4,0.0-0.0,Q7iLWceWwxJLQ6xVJGyO,223301,3,aRg8OsqVaMVLpwb5kwt3dkM67f,EjcfgFo4v9vrzun754BsL72igd,1440.0,900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instructions,1,15204,0.0-1.0,Q7iLWceWwxJLQ6xVJGyO,223301,3,aRg8OsqVaMVLpwb5kwt3dkM67f,EjcfgFo4v9vrzun754BsL72igd,1440.0,900.0,"[{'page_index': 0, 'viewing_time': 15199}]",15200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,2,15205,0.0-2.0,Q7iLWceWwxJLQ6xVJGyO,223301,3,aRg8OsqVaMVLpwb5kwt3dkM67f,EjcfgFo4v9vrzun754BsL72igd,1440.0,900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
browser-check,3,16254,0.0-3.0,Q7iLWceWwxJLQ6xVJGyO,223301,3,aRg8OsqVaMVLpwb5kwt3dkM67f,EjcfgFo4v9vrzun754BsL72igd,1440.0,900.0,,,1440.0,779.0,True,chrome,123.0.0,False,Mac OS,True,58.3,True,True,browser_check,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fullscreen,4,23535,0.0-4.0,Q7iLWceWwxJLQ6xVJGyO,223301,3,aRg8OsqVaMVLpwb5kwt3dkM67f,EjcfgFo4v9vrzun754BsL72igd,1440.0,900.0,,,,,,,,,,,,,,fullscreen,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,5,23537,0.0-5.0,Q7iLWceWwxJLQ6xVJGyO,223301,3,aRg8OsqVaMVLpwb5kwt3dkM67f,EjcfgFo4v9vrzun754BsL72igd,1440.0,900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,6,23538,0.0-6.0,Q7iLWceWwxJLQ6xVJGyO,223301,3,aRg8OsqVaMVLpwb5kwt3dkM67f,EjcfgFo4v9vrzun754BsL72igd,1440.0,900.0,,,,,,,,,,,,,,async_data_save,,experiment__welcome,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,0,3,0.0-0.0,Q7iLWceWwxJLQ6xVJGyO,223301,3,aRg8OsqVaMVLpwb5kwt3dkM67f,JfXhFfH0c44zXL4l2FXwKf8Tsq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
