trial_type,trial_index,time_elapsed,internal_node_id,subject_id,form,wave,session_id,session_restart_id,FULLSCREEN_SCREEN_WIDTH,FULLSCREEN_SCREEN_HEIGHT,view_history,rt,width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_name,success,data_checkpoint,data_checkpoint_ind,experiment_parameters,task_time_series,task_bayesian_update_easy,task_bayesian_update_hard,task_shipley_abstraction,task_denominator_neglect_version_A,task_denominator_neglect_version_B,task_impossible_question,task_admc_rp,task_graph_literacy,task_coherence_forecasting,task_admc_a2,task_leapfrog,task_admc_rc1,task_shipley_vocab,custom_timer_ended_trial,interval_id,y_axis_values,chart_height,pt_trial,block,trial,func,direction,noise_condition,datapoints,stimulus,response,response_slider,unique_trial,unique_trial_draw_number,ball_split,left_box_majority_color,right_box_majority_color,selected_box_majority_color,current_draw,past_draws,version,aig_version,score,shipley_abstraction_score,task_version,choice_type,left_lottery_display_type,right_lottery_display_type,left_lottery_type,right_lottery_type,left_lottery_gold_prop,right_lottery_gold_prop,left_lottery_total_coins,right_lottery_total_coins,left_lottery_gold_coins,right_lottery_gold_coins,left_lottery_silver_coins,right_lottery_silver_coins,selected_lottery,coin_drawn,response_choice,slider_moved,id,question_text,answer_1,answer_2,correct_answer,correct,moved_sliders,admc_id,admc_response,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,cfs_id,cfs_response,slider_start,optionA_reward,optionB_reward,points_won,option_selected,curr_block_ind,pt_trial_prediction,question_order,shipley_vocabulary_score
call-function,0,7,0.0-0.0,amrWtFuaQvSMbkuuP4XO,223301,3,NSnQu7t0jZM6R5sNN5zxpi3f0H,EVF6EqOsuQtmq0h3l9d1DACeW8,1728.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instructions,1,514285,0.0-1.0,amrWtFuaQvSMbkuuP4XO,223301,3,NSnQu7t0jZM6R5sNN5zxpi3f0H,EVF6EqOsuQtmq0h3l9d1DACeW8,1728.0,1080.0,"[{'page_index': 0, 'viewing_time': 514276}]",514277.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,2,514287,0.0-2.0,amrWtFuaQvSMbkuuP4XO,223301,3,NSnQu7t0jZM6R5sNN5zxpi3f0H,EVF6EqOsuQtmq0h3l9d1DACeW8,1728.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
browser-check,3,515273,0.0-3.0,amrWtFuaQvSMbkuuP4XO,223301,3,NSnQu7t0jZM6R5sNN5zxpi3f0H,EVF6EqOsuQtmq0h3l9d1DACeW8,1728.0,1080.0,,,1378.0,939.0,True,firefox,124.0.0,False,Linux,True,61.04,True,True,browser_check,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fullscreen,4,519919,0.0-4.0,amrWtFuaQvSMbkuuP4XO,223301,3,NSnQu7t0jZM6R5sNN5zxpi3f0H,EVF6EqOsuQtmq0h3l9d1DACeW8,1728.0,1080.0,,,,,,,,,,,,,,fullscreen,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,5,519919,0.0-5.0,amrWtFuaQvSMbkuuP4XO,223301,3,NSnQu7t0jZM6R5sNN5zxpi3f0H,EVF6EqOsuQtmq0h3l9d1DACeW8,1728.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,6,519920,0.0-6.0,amrWtFuaQvSMbkuuP4XO,223301,3,NSnQu7t0jZM6R5sNN5zxpi3f0H,EVF6EqOsuQtmq0h3l9d1DACeW8,1728.0,1080.0,,,,,,,,,,,,,,async_data_save,,experiment__welcome,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,0,3,0.0-0.0,amrWtFuaQvSMbkuuP4XO,223301,3,NSnQu7t0jZM6R5sNN5zxpi3f0H,9GDk7XQfjnhKU2UUPhxC2vgXnY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
