"session_id","session_restart_id","time_elapsed","trial_index","custom_timer_ended_trial","trial_name","response","rt","admc_id","admc_response","wave"
"VZbfC2MGhLPLp7r6FPuaUY5E8l","cGasZ1EIIEkNWEkGJqrp96fO5Z",3855628,845,FALSE,"admc_rp_a_trial","{'rp_a1': '24', 'rp_a2': '1', 'rp_a3': '9', 'rp_a4': '30', 'rp_a5': '49', 'rp_a6': '10', 'rp_a7': '1', 'rp_a8': '50', 'rp_a9': '10', 'rp_a10': '79'}",120919,"['rp_a1', 'rp_a2', 'rp_a3', 'rp_a4', 'rp_a5', 'rp_a6', 'rp_a7', 'rp_a8', 'rp_a9', 'rp_a10']","['24', '1', '9', '30', '49', '10', '1', '50', '10', '79']","2.0"
"VZbfC2MGhLPLp7r6FPuaUY5E8l","cGasZ1EIIEkNWEkGJqrp96fO5Z",3940649,846,FALSE,"admc_rp_b_trial","{'rp_b1': '20', 'rp_b2': '24', 'rp_b3': '29', 'rp_b4': '29', 'rp_b5': '50', 'rp_b6': '9', 'rp_b7': '1', 'rp_b8': '49', 'rp_b9': '79', 'rp_b10': '80'}",85018,"['rp_b1', 'rp_b2', 'rp_b3', 'rp_b4', 'rp_b5', 'rp_b6', 'rp_b7', 'rp_b8', 'rp_b9', 'rp_b10']","['20', '24', '29', '29', '50', '9', '1', '49', '79', '80']","2.0"
"VZbfC2MGhLPLp7r6FPuaUY5E8l","cGasZ1EIIEkNWEkGJqrp96fO5Z",4471768,1207,FALSE,"resistance_to_framing_trial","4",47051,"a2_1","4","2.0"
"VZbfC2MGhLPLp7r6FPuaUY5E8l","cGasZ1EIIEkNWEkGJqrp96fO5Z",4487036,1208,FALSE,"resistance_to_framing_trial","5",15266,"a2_2","5","2.0"
"VZbfC2MGhLPLp7r6FPuaUY5E8l","cGasZ1EIIEkNWEkGJqrp96fO5Z",4510432,1209,FALSE,"resistance_to_framing_trial","5",23394,"a2_3","5","2.0"
"VZbfC2MGhLPLp7r6FPuaUY5E8l","cGasZ1EIIEkNWEkGJqrp96fO5Z",4529818,1210,FALSE,"resistance_to_framing_trial","4",19385,"a2_4","4","2.0"
"VZbfC2MGhLPLp7r6FPuaUY5E8l","cGasZ1EIIEkNWEkGJqrp96fO5Z",4548108,1211,FALSE,"resistance_to_framing_trial","5",18288,"a2_5","5","2.0"
"VZbfC2MGhLPLp7r6FPuaUY5E8l","cGasZ1EIIEkNWEkGJqrp96fO5Z",4576922,1212,FALSE,"resistance_to_framing_trial","1",28813,"a2_6","1","2.0"
"VZbfC2MGhLPLp7r6FPuaUY5E8l","cGasZ1EIIEkNWEkGJqrp96fO5Z",4606576,1213,FALSE,"resistance_to_framing_trial","4",29653,"a2_7","4","2.0"
"VZbfC2MGhLPLp7r6FPuaUY5E8l","cGasZ1EIIEkNWEkGJqrp96fO5Z",4645422,1220,FALSE,"resistance_to_framing_trial","1",30663,"rc1_1","1","2.0"
"VZbfC2MGhLPLp7r6FPuaUY5E8l","cGasZ1EIIEkNWEkGJqrp96fO5Z",4691938,1221,FALSE,"resistance_to_framing_trial","3",46514,"rc1_2","3","2.0"
"VZbfC2MGhLPLp7r6FPuaUY5E8l","cGasZ1EIIEkNWEkGJqrp96fO5Z",4748136,1222,FALSE,"resistance_to_framing_trial","3",56196,"rc1_3","3","2.0"
"VZbfC2MGhLPLp7r6FPuaUY5E8l","cGasZ1EIIEkNWEkGJqrp96fO5Z",4774258,1223,FALSE,"resistance_to_framing_trial","6",26121,"rc1_4","6","2.0"
"VZbfC2MGhLPLp7r6FPuaUY5E8l","cGasZ1EIIEkNWEkGJqrp96fO5Z",4835261,1224,TRUE,"resistance_to_framing_trial","1",61002,"rc1_5","1","2.0"
"VZbfC2MGhLPLp7r6FPuaUY5E8l","cGasZ1EIIEkNWEkGJqrp96fO5Z",4862434,1225,FALSE,"resistance_to_framing_trial","2",27172,"rc1_6","2","2.0"
"VZbfC2MGhLPLp7r6FPuaUY5E8l","cGasZ1EIIEkNWEkGJqrp96fO5Z",4892215,1226,FALSE,"resistance_to_framing_trial","1",29779,"rc1_7","1","2.0"
"Z74YBwECpL8QkLR6RuxT2rrff6","hkshJADA5gEvvtwdyiZzMC4WH7",603786,594,FALSE,"resistance_to_framing_trial","1",11769,"a1_1","1.0","3.0"
"Z74YBwECpL8QkLR6RuxT2rrff6","hkshJADA5gEvvtwdyiZzMC4WH7",615331,595,FALSE,"resistance_to_framing_trial","4",11544,"a1_2","4.0","3.0"
"Z74YBwECpL8QkLR6RuxT2rrff6","hkshJADA5gEvvtwdyiZzMC4WH7",625758,596,FALSE,"resistance_to_framing_trial","5",10425,"a1_3","5.0","3.0"
"Z74YBwECpL8QkLR6RuxT2rrff6","hkshJADA5gEvvtwdyiZzMC4WH7",638031,597,FALSE,"resistance_to_framing_trial","4",12272,"a1_4","4.0","3.0"
