"session_id","trinary_A","trinary_B","trinary_C","trinary_AB","trinary_BC","binary_statepop1","binary_statearea1","binary_gdp1","binary_statepop2","binary_statearea2","binary_gdp2","time1","time2","time3","time4","time5","time6","space1","space2","space3","space4","space5","space6","confidence_interval1","confidence_interval2","confidence_interval3","tri1_abc","tri1_ab","tri1_bc","bin1","bin2","bin3","t1","t2","s1","s2","ci1","score_mean"
"Z74YBwECpL8QkLR6RuxT2rrff6",0.7,0.79,0.89,0.79,1,0.8,0.5,0.8,0.2,0.49,0.19,0.8,0.89,0.93,0.59,0.69,0.79,0.8,0.99,0.99,0.9,0.9,0.99,0.99,0.99,0.99,0.31,0.3,0.32,1,0.99,0.99,1,1,0.908248290463863,0.908248290463863,0.5,0.747863325538884
"NhLuEUpFKVLMXcgOH9FRZibbUN",0.77,0.8,0.79,0.78,0.77,0.73,0.64,0.62,0.65,0.68,0.64,0.57,0.39,0.43,0.59,0.5,0.42,0.48,0.69,0.6,0.44,0.46,0.27,0.79,0.74,0.73,0.32,0.21,0.18,0.62,0.68,0.74,0.333333333333333,0,0.666666666666667,0.333333333333333,0,0.371212121212121
"roE5s1646kIDOHR2ypn0gY8XIG",0.61,0.55,0.48,0.75,0.75,0.58,0.6,0.89,0.65,0.6,0.74,0.57,0.52,0.43,0.65,0.58,0.51,0.54,0.49,0.43,0.62,0.56,0.51,0.57,0.54,0.5,0.68,0.59,0.72,0.77,0.8,0.37,0,0,0,0,0,0.357272727272727
"tLSjGm6Dqri4nsVHHnkVL8G3V4",0.19,0.31,0.35,0.33,0.27,0.54,0.59,0.69,0.66,0.73,0.79,0.4,0.43,0.51,0.33,0.56,0.65,0.35,0.51,0.6,0.32,0.64,0.82,0.29,0.56,0.64,0.925,0.83,0.61,0.8,0.68,0.52,1,1,1,1,1,0.851363636363636
"W6lW7tpcdPnwidSMJyh0KrZtZ9",0.55,0.54,0.58,0.6,0.58,0.46,0.45,0.43,0.42,0.4,0.42,0.42,0.43,0.43,0.37,0.41,0.41,0.52,0.49,0.56,0.43,0.43,0.47,0.51,0.49,0.49,0.665,0.51,0.46,0.88,0.85,0.85,0.908248290463863,0.908248290463863,0.666666666666667,0.908248290463863,0.0917517095361369,0.699833022508581
"Ox2JDobTVCybEB6T15i8Cf82Z1",0.6,0.8,0.91,0.42,0.39,0.62,1,0.92,0.29,0.01,0.79,0.09,0.03,0.01,0.89,0.95,1,0.96,1,1,0.8,1,0.8,0,0,0,0.345,0.02,-0.32,0.91,0.99,0.29,0,1,0.908248290463863,0.5,0.5,0.467568026405806
"WiMJRTZtpieHRm3ClAWipoHr0C",0,0.3,0.1,0.2,0.29,0.1,0.8,0.8,1,0.21,0.19,0.8,0.9,1,0.6,0.7,0.79,0.62,0.81,1,0.91,0.9,0.79,0.89,0.9,1,0.7,0.9,0.89,0.9,0.99,0.99,1,1,1,0,1,0.851818181818182
"DebsBC0abituuuNqZbrWt3jR91",0.54,0.65,0.71,0.32,0.56,0.49,0.63,0.71,0.6,0.63,0.66,0.72,0.75,0.73,0.5,0.55,0.57,0.8,0.67,0.72,0.49,0.57,0.71,0.2,0.3,0.65,0.55,0.13,0.2,0.91,0.74,0.63,0.666666666666667,1,0.333333333333333,1,1,0.650909090909091
"pXLD8gCCp0YZ9CquUV1lQCIj5c",0.01,0.01,1,0,1,0.03,0.75,0.96,0.99,0.96,0.04,0.5,0.8,0.85,0.64,0.89,0.9,1,1,1,0.59,0.9,1,0.7,0.7,0.29,0.99,0.98,0.99,0.98,0.29,1,1,1,0.5,1,0.0917517095361369,0.801977428139649
"rDRcOADIKvymJ2TSyULLnxWo4D",0.5,0.5,0.79,0.33,0.57,0.58,0.49,0.69,0.5,0.4,0.32,0.75,0.84,0.99,0.65,0.72,0.84,1,1,1,0.59,0.55,0.87,0.48,0.5,0.48,0.605,0.33,0.28,0.92,0.89,0.99,1,1,0.5,0.666666666666667,0.5,0.698333333333333
