"session_id","session_restart_id","time_elapsed","trial_index","custom_timer_ended_trial","rt","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10","Q11","Q12","Q13"
"Z74YBwECpL8QkLR6RuxT2rrff6","hkshJADA5gEvvtwdyiZzMC4WH7",1606971,694,FALSE,256093,35,15,25,25,20,3,25,40,20,3,2,2,5
"NhLuEUpFKVLMXcgOH9FRZibbUN","8bqynu00xCMLlut8SOlhm9JjIj",2278157,1193,FALSE,95708,30,20,30,10,10,3,30,20,40,2,2,3,50
"roE5s1646kIDOHR2ypn0gY8XIG","28TcpfsssHRGwhYTS43NorZ2aj",938951,595,FALSE,297107,35,15,25,50,20,2,25,40,20,2,2,1,5
"tLSjGm6Dqri4nsVHHnkVL8G3V4","VYycXONC2I51jJfJmnalaU8NU2",427036,43,FALSE,114401,35,75,25,40,20,3,25,40,60,1,2,2,50
"W6lW7tpcdPnwidSMJyh0KrZtZ9","FC4UOASx57sEFVAZBJFSxdRL5X",1799760,1340,FALSE,26876,1,1,1,1,1,2,1,1,1,2,2,2,1
"Ox2JDobTVCybEB6T15i8Cf82Z1","6tVhik6yMDBEBQwVOgIqfCrq0H",2393921,1204,TRUE,300999,35,45,10,66,55,NA,NA,10,44,NA,NA,2,13
"WiMJRTZtpieHRm3ClAWipoHr0C","SGb3o2ONPK215NplFlfdAm7wub",2976219,820,FALSE,190846,35,15,100,25,20,2,25,40,60,3,3,1,5
"DebsBC0abituuuNqZbrWt3jR91","u09piBR9Rt2XBjdzMPHEKX1BQv",1083394,189,FALSE,157603,35,40,20,50,20,2,40,40,60,2,2,1,50
"pXLD8gCCp0YZ9CquUV1lQCIj5c","1zlxdqkJSNjpxeTuzeYDS0hy3y",1002164,950,FALSE,196672,35,45,25,25,20,3,25,40,20,2,4,2,5
"rDRcOADIKvymJ2TSyULLnxWo4D","6buOomZW04tVoIyk2wo6RJC08Q",228051,12,FALSE,221717,35,10,25,25,19,3,25,40,20,1,2,2,5
"q4nRVOcjo2BHXLaJItbKSgI6Cl","gkstQDYnOuTw7vuImoEZYZ5h09",4563613,1382,FALSE,133346,35,15,25,25,20,3,25,40,20,1,4,2,5
"Mx8vIXApijMaRfRVx5CwheNj7R","sRPWARk8wXzRjwNYFCV7c96tAO",6079443,1303,FALSE,276812,35,5,25,25,20,3,25,40,60,3,2,3,5
"Scbpoqeq5cPbK4S6JgkDakbaJk","3CvglESnZloYBuDalKTsUHG3Ax",14094125,1342,FALSE,131167,35,15,25,25,23,3,25,40,20,3,4,2,50
"eFe95CeeQAgOoze8mvOzVQ4Hv6","VjYssdBmru7tOalICnyFgzyX5R",449358,91,FALSE,145494,35,15,25,25,20,3,25,40,60,3,4,2,5
"bArB5qhI33ayqzPdBGfvyVkjoA","XtClsJspMTdNEi1tNhwFIm9Eme",3890064,1180,FALSE,180011,35,10,25,25,20,3,25,40,20,2,2,2,50
"MEb7oXeDnmtQ0bC3VQKEpwBH12","9NAozSzIlnTayeZyZgRhswlCbv",2081006,724,FALSE,192519,35,15,25,25,20,2,25,40,20,2,2,2,5
"e93AKbQfQkjIawUmpnrHDyMCEn","r0TGG1ZeRumnSXFJlaV9vR7MW6",2277856,724,FALSE,235725,35,15,50,50,20,2,25,400,200,3,2,1,5
"jD9DLaZo1jwq1HQt3MjwiFBWPC","f1zw8EDQKr0B2RlgBrCHUD06aA",4214426,1304,FALSE,205396,35,10,25,25,20,3,25,40,20,1,2,2,5
"ta2uwIm5tNBrAjeo5kjrWFX4rg","gwi1uKFa5uP0lnIovraWhhZ9ws",708974,366,TRUE,301001,35,15,25,25,20,3,25,40,20,3,3,NA,NA
"C6FdaOsLL8vp2sdEAFgmzZ0hf3","SzS7arHMhlzKZx0dpCAQb5EaO9",2756553,305,TRUE,301003,35,15,30,25,22,NA,22,40,60,1,2,NA,NA
"tbCTQoAafrGj5o6gPjlOQQ6qwi","pwlPELCrjkCJEZrgVTkfFDQT0T",4467289,295,FALSE,190931,35,15,25,25,20,3,25,40,60,3,2,1,50
"qy2ies2MnUrMAg3lka97bXkkxI","mculQR8IUlq2JRACpF34aZtwYL",5498138,1362,FALSE,160847,35,15,25,25,20,3,25,40,20,3,4,2,5
"biu5BgZV2AePGJMpaEXIG7u0N3","MxUO7NYXSHEzSTEPowvnyo0Gds",2451563,453,FALSE,253501,35,5,25,25,20,3,25,40,20,1,4,2,50
"Itq6YDWXogHpqw9eUguLicnSnw","ifEhbrqrmUNVEo1tB64Wf7mgVa",4456888,962,FALSE,156781,35,10,25,25,20,3,25,40,10,3,4,2,5
