"session_id","session_restart_id","time_elapsed","trial_index","custom_timer_ended_trial","trial_name","rt","ns_id","ns_response","wave","correct_answer","correct"
"NhLuEUpFKVLMXcgOH9FRZibbUN","8bqynu00xCMLlut8SOlhm9JjIj",1920737,1113,FALSE,"number_series_test_trial",7228,"NS_6","172","3.0","165",0
"NhLuEUpFKVLMXcgOH9FRZibbUN","8bqynu00xCMLlut8SOlhm9JjIj",1928138,1114,FALSE,"number_series_test_trial",7390,"NS_7","4","3.0","43",0
"NhLuEUpFKVLMXcgOH9FRZibbUN","8bqynu00xCMLlut8SOlhm9JjIj",1936895,1115,FALSE,"number_series_test_trial",8747,"NS_8","8899","3.0","8900",0
"NhLuEUpFKVLMXcgOH9FRZibbUN","8bqynu00xCMLlut8SOlhm9JjIj",1950244,1116,FALSE,"number_series_test_trial",13333,"NS_9","9/12","3.0","12/16",0
"roE5s1646kIDOHR2ypn0gY8XIG","28TcpfsssHRGwhYTS43NorZ2aj",3309828,896,FALSE,"number_series_test_trial",8185,"NS_1","6","2.0","-2",0
"roE5s1646kIDOHR2ypn0gY8XIG","28TcpfsssHRGwhYTS43NorZ2aj",3319961,897,FALSE,"number_series_test_trial",10130,"NS_2","25","2.0","28",0
"roE5s1646kIDOHR2ypn0gY8XIG","28TcpfsssHRGwhYTS43NorZ2aj",3325407,898,FALSE,"number_series_test_trial",5443,"NS_3","67","2.0","64",0
"roE5s1646kIDOHR2ypn0gY8XIG","28TcpfsssHRGwhYTS43NorZ2aj",3333158,899,FALSE,"number_series_test_trial",7748,"NS_4","2","2.0","29",0
"roE5s1646kIDOHR2ypn0gY8XIG","28TcpfsssHRGwhYTS43NorZ2aj",3346583,900,FALSE,"number_series_test_trial",13422,"NS_5","3/23","2.0","8/16",0
"roE5s1646kIDOHR2ypn0gY8XIG","28TcpfsssHRGwhYTS43NorZ2aj",3350088,901,FALSE,"number_series_test_trial",3502,"NS_6","34","2.0","165",0
"roE5s1646kIDOHR2ypn0gY8XIG","28TcpfsssHRGwhYTS43NorZ2aj",3353914,902,FALSE,"number_series_test_trial",3824,"NS_7","6","2.0","43",0
"roE5s1646kIDOHR2ypn0gY8XIG","28TcpfsssHRGwhYTS43NorZ2aj",3358529,903,FALSE,"number_series_test_trial",4612,"NS_8","7887","2.0","8900",0
"roE5s1646kIDOHR2ypn0gY8XIG","28TcpfsssHRGwhYTS43NorZ2aj",3362846,904,FALSE,"number_series_test_trial",4316,"NS_9","6/8","2.0","12/16",0
"tLSjGm6Dqri4nsVHHnkVL8G3V4","VYycXONC2I51jJfJmnalaU8NU2",519073,76,FALSE,"number_series_test_trial",7385,"NS_1","-2","2.0","-2",1
"tLSjGm6Dqri4nsVHHnkVL8G3V4","VYycXONC2I51jJfJmnalaU8NU2",524962,77,FALSE,"number_series_test_trial",5888,"NS_2","28","2.0","28",1
"tLSjGm6Dqri4nsVHHnkVL8G3V4","VYycXONC2I51jJfJmnalaU8NU2",530833,78,FALSE,"number_series_test_trial",5870,"NS_3","64","2.0","64",1
"tLSjGm6Dqri4nsVHHnkVL8G3V4","VYycXONC2I51jJfJmnalaU8NU2",561838,79,TRUE,"number_series_test_trial",31002,"NS_4","27","2.0","29",0
"tLSjGm6Dqri4nsVHHnkVL8G3V4","VYycXONC2I51jJfJmnalaU8NU2",581793,80,FALSE,"number_series_test_trial",19953,"NS_5","8/16","2.0","8/16",1
"tLSjGm6Dqri4nsVHHnkVL8G3V4","VYycXONC2I51jJfJmnalaU8NU2",593074,81,FALSE,"number_series_test_trial",11280,"NS_6","164","2.0","165",0
"tLSjGm6Dqri4nsVHHnkVL8G3V4","VYycXONC2I51jJfJmnalaU8NU2",607899,82,FALSE,"number_series_test_trial",14823,"NS_7","50","2.0","43",0
"tLSjGm6Dqri4nsVHHnkVL8G3V4","VYycXONC2I51jJfJmnalaU8NU2",621718,83,FALSE,"number_series_test_trial",13819,"NS_8","8888","2.0","8900",0
"tLSjGm6Dqri4nsVHHnkVL8G3V4","VYycXONC2I51jJfJmnalaU8NU2",628062,84,FALSE,"number_series_test_trial",6342,"NS_9","10/14","2.0","12/16",0
"W6lW7tpcdPnwidSMJyh0KrZtZ9","FC4UOASx57sEFVAZBJFSxdRL5X",1802694,1347,FALSE,"number_series_test_trial",1772,"NS_1","1","3.0","-2",0
"W6lW7tpcdPnwidSMJyh0KrZtZ9","FC4UOASx57sEFVAZBJFSxdRL5X",1803950,1348,FALSE,"number_series_test_trial",1249,"NS_2","1","3.0","28",0
"W6lW7tpcdPnwidSMJyh0KrZtZ9","FC4UOASx57sEFVAZBJFSxdRL5X",1805086,1349,FALSE,"number_series_test_trial",1131,"NS_3","1","3.0","64",0
"W6lW7tpcdPnwidSMJyh0KrZtZ9","FC4UOASx57sEFVAZBJFSxdRL5X",1806621,1350,FALSE,"number_series_test_trial",1530,"NS_4","1","3.0","29",0
